,T2M,Rain,Humidity
20150101,15.73,0.0,80.88
20150102,17.01,0.0,77.35
20150103,16.86,0.67,82.5
20150104,15.69,8.17,92.68
20150105,14.15,1.19,87.44
20150106,13.37,0.0,81.53
20150107,13.38,0.03,79.64
20150108,13.18,0.88,80.58
20150109,13.75,1.35,80.04
20150110,11.2,0.18,87.39
20150111,11.58,0.02,79.94
20150112,11.63,0.0,80.79
20150113,12.0,0.0,75.91
20150114,12.94,0.0,74.35
20150115,13.3,0.0,78.3
20150116,14.08,0.03,77.18
20150117,14.37,1.47,78.66
20150118,13.84,1.11,73.72
20150119,13.86,0.07,75.34
20150120,13.58,0.0,76.07
20150121,13.92,0.0,74.74
20150122,13.9,0.01,74.49
20150123,13.34,0.2,79.37
20150124,13.64,0.05,77.05
20150125,14.39,0.0,75.99
20150126,14.75,0.0,70.67
20150127,14.84,0.0,68.02
20150128,15.08,0.02,71.41
20150129,15.25,0.44,72.03
20150130,13.8,0.92,76.73
20150131,12.25,0.11,76.98
20150201,12.88,0.01,71.63
20150202,15.62,0.0,65.98
20150203,14.25,0.0,71.24
20150204,14.77,0.0,68.86
20150205,14.8,0.0,67.15
20150206,14.1,0.0,69.88
20150207,13.98,0.0,68.89
20150208,14.76,0.0,66.04
20150209,15.13,0.0,64.71
20150210,14.67,0.01,76.46
20150211,14.83,0.02,73.86
20150212,15.13,4.03,70.54
20150213,13.97,4.42,68.63
20150214,13.59,0.57,74.52
20150215,13.8,0.0,73.33
20150216,14.55,0.0,68.24
20150217,16.12,0.01,62.1
20150218,15.39,0.51,71.51
20150219,15.15,0.84,71.08
20150220,14.95,0.46,77.01
20150221,16.11,1.88,73.7
20150222,14.76,0.63,83.56
20150223,16.49,0.0,76.18
20150224,18.06,0.28,71.85
20150225,18.11,4.01,71.07
20150226,18.03,9.7,75.91
20150227,18.05,2.26,74.29
20150228,19.03,0.0,69.68
20150301,18.89,0.01,72.78
20150302,19.36,0.89,75.45
20150303,17.43,2.5,79.06
20150304,16.08,6.75,77.51
20150305,15.52,0.7,74.22
20150306,15.11,1.01,63.44
20150307,15.33,2.08,66.63
20150308,17.13,0.0,61.49
20150309,18.77,0.0,57.41
20150310,19.02,0.03,58.59
20150311,18.86,0.0,44.63
20150312,18.69,0.0,52.38
20150313,18.79,0.0,57.31
20150314,18.41,0.02,57.11
20150315,19.2,0.04,68.61
20150316,18.91,0.0,66.44
20150317,18.82,0.02,69.43
20150318,19.06,1.84,66.49
20150319,18.42,0.21,64.22
20150320,19.12,0.0,55.24
20150321,20.53,0.0,53.26
20150322,21.43,0.0,51.64
20150323,22.63,0.0,53.39
20150324,19.03,0.27,75.71
20150325,19.45,1.28,75.81
20150326,19.7,0.56,76.06
20150327,19.51,4.07,77.8
20150328,19.77,4.53,78.64
20150329,20.98,0.28,68.98
20150330,21.37,6.34,73.58
20150331,20.06,8.95,76.66
20150401,20.28,8.81,68.87
20150402,18.55,24.34,75.74
20150403,17.97,9.45,83.06
20150404,19.77,25.17,79.79
20150405,19.83,6.92,74.28
20150406,19.57,4.44,73.89
20150407,20.63,1.16,68.72
20150408,19.8,14.59,74.7
20150409,20.18,10.39,68.69
20150410,20.71,2.61,61.09
20150411,20.46,0.31,66.58
20150412,21.39,0.08,65.52
20150413,20.19,0.01,73.47
20150414,21.59,0.0,70.73
20150415,21.98,0.04,72.02
20150416,21.11,8.04,76.8
20150417,20.33,6.15,77.45
20150418,19.43,22.51,82.32
20150419,19.88,2.8,72.64
20150420,21.33,1.03,67.77
20150421,20.47,8.22,79.95
20150422,19.81,20.75,84.42
20150423,20.49,14.06,76.65
20150424,20.66,2.44,78.38
20150425,19.99,1.69,77.51
20150426,19.23,1.05,78.9
20150427,19.53,0.28,77.48
20150428,20.96,0.03,71.31
20150429,19.83,2.63,84.36
20150430,20.74,0.52,72.09
20150501,22.07,0.75,68.14
20150502,22.13,10.24,72.32
20150503,23.06,18.05,68.24
20150504,23.52,8.58,66.38
20150505,22.7,0.02,69.11
20150506,23.54,0.05,66.47
20150507,22.53,0.37,73.19
20150508,22.32,15.49,71.81
20150509,23.1,0.37,66.58
20150510,23.9,0.02,69.42
20150511,22.05,0.15,83.09
20150512,22.34,0.5,76.73
20150513,22.3,8.4,80.22
20150514,24.82,9.18,70.67
20150515,24.29,20.87,75.02
20150516,22.85,12.93,80.65
20150517,22.81,4.98,78.53
20150518,23.47,4.32,71.85
20150519,24.14,0.15,73.78
20150520,24.39,1.08,79.82
20150521,24.04,9.0,84.82
20150522,24.54,27.81,79.05
20150523,25.01,39.48,70.58
20150524,24.55,8.08,69.79
20150525,23.72,3.97,73.7
20150526,24.69,4.3,69.42
20150527,24.3,13.37,71.17
20150528,24.2,17.51,72.39
20150529,23.57,8.49,75.41
20150530,24.74,17.42,76.0
20150531,24.79,38.7,74.59
20150601,24.42,20.56,78.24
20150602,25.33,10.67,73.45
20150603,25.28,1.66,75.18
20150604,25.13,12.69,79.46
20150605,25.33,23.0,80.35
20150606,25.99,26.94,74.33
20150607,24.53,35.49,77.64
20150608,24.54,36.77,80.98
20150609,25.0,31.38,77.23
20150610,23.83,6.76,83.81
20150611,22.74,3.92,84.28
20150612,23.48,15.53,83.71
20150613,24.11,17.03,81.12
20150614,23.82,5.88,82.65
20150615,23.64,10.58,87.45
20150616,23.51,13.83,86.05
20150617,24.84,7.2,80.86
20150618,24.45,13.59,87.55
20150619,24.71,9.81,84.75
20150620,23.41,5.47,90.59
20150621,23.18,23.22,90.53
20150622,23.62,9.08,90.55
20150623,24.81,21.71,86.43
20150624,23.82,13.29,93.49
20150625,25.81,1.68,85.12
20150626,25.9,8.08,83.68
20150627,24.98,17.37,86.2
20150628,24.56,8.74,84.46
20150629,24.89,10.82,85.23
20150630,23.8,19.57,86.65
20150701,24.59,19.26,87.74
20150702,25.47,9.5,82.45
20150703,25.93,11.03,79.62
20150704,25.6,17.93,80.93
20150705,24.21,9.41,87.29
20150706,22.92,2.69,90.67
20150707,23.73,2.78,87.36
20150708,22.66,3.93,90.46
20150709,24.1,1.41,86.36
20150710,23.36,6.77,88.96
20150711,25.09,6.95,79.78
20150712,24.37,4.92,88.19
20150713,26.15,2.55,80.88
