,T2M,Rain,Humidity
20150101,13.47,0.0,73.01
20150102,14.43,0.0,74.15
20150103,14.3,0.46,83.13
20150104,13.76,5.17,90.76
20150105,12.3,0.64,89.86
20150106,12.02,0.04,87.32
20150107,11.43,0.0,85.17
20150108,11.76,0.0,83.39
20150109,10.35,0.04,78.61
20150110,10.79,0.02,81.77
20150111,10.97,0.0,79.85
20150112,10.45,0.0,83.5
20150113,11.33,0.0,78.37
20150114,10.71,0.0,79.03
20150115,11.28,0.0,78.19
20150116,11.35,0.0,80.45
20150117,12.49,0.04,75.19
20150118,11.78,0.03,77.01
20150119,10.33,0.01,84.58
20150120,11.56,0.0,77.94
20150121,11.99,0.0,77.41
20150122,11.7,0.0,77.22
20150123,12.23,0.22,85.11
20150124,12.22,0.01,82.38
20150125,12.69,0.0,82.24
20150126,12.7,0.0,80.83
20150127,12.37,0.0,81.34
20150128,12.22,0.0,85.33
20150129,12.26,0.29,84.59
20150130,10.28,0.63,86.02
20150131,9.67,0.16,78.96
20150201,10.77,0.01,71.0
20150202,11.5,0.0,67.41
20150203,12.33,0.0,68.06
20150204,12.53,0.0,76.58
20150205,12.37,0.0,75.6
20150206,11.18,0.0,77.45
20150207,11.41,0.0,77.27
20150208,11.87,0.0,79.26
20150209,12.49,0.0,79.47
20150210,12.9,0.05,80.14
20150211,13.3,0.02,75.87
20150212,12.44,1.81,77.55
20150213,12.06,1.42,75.27
20150214,11.47,1.18,79.32
20150215,11.67,0.0,82.29
20150216,12.06,0.0,81.4
20150217,13.95,0.01,73.63
20150218,13.83,0.56,75.97
20150219,11.14,1.07,88.07
20150220,12.17,0.37,79.32
20150221,13.44,2.58,87.01
20150222,14.57,1.08,81.1
20150223,14.86,0.0,82.26
20150224,15.59,0.0,83.37
20150225,16.0,3.3,83.09
20150226,15.94,7.9,87.47
20150227,16.13,1.55,84.71
20150228,16.31,0.09,79.27
20150301,16.11,0.0,82.22
20150302,16.28,0.12,84.77
20150303,15.91,1.55,80.02
20150304,14.47,3.42,78.83
20150305,13.0,1.72,78.93
20150306,12.62,5.14,70.3
20150307,13.39,1.27,76.15
20150308,14.29,0.0,74.0
20150309,15.89,0.0,70.12
20150310,15.89,0.34,67.5
20150311,15.83,0.04,69.0
20150312,16.96,0.0,65.95
20150313,17.06,0.0,68.11
20150314,15.83,0.2,70.94
20150315,16.66,0.1,70.5
20150316,16.7,0.0,72.66
20150317,16.29,0.06,74.23
20150318,15.95,0.71,73.5
20150319,15.48,0.27,64.43
20150320,16.34,0.0,57.88
20150321,17.81,0.0,59.29
20150322,18.65,0.0,61.14
20150323,19.74,0.01,61.4
20150324,17.51,0.01,70.42
20150325,18.04,0.04,71.54
20150326,18.66,0.01,74.29
20150327,17.08,2.37,87.63
20150328,16.78,1.64,89.34
20150329,18.55,0.24,79.43
20150330,18.87,3.62,81.5
20150331,17.75,2.99,84.09
20150401,17.41,16.37,83.69
20150402,17.42,20.87,85.77
20150403,16.98,7.83,81.15
20150404,17.84,33.29,85.44
20150405,17.44,7.73,88.43
20150406,16.98,4.03,83.35
20150407,17.29,0.64,78.19
20150408,17.8,5.36,83.69
20150409,18.55,14.83,81.17
20150410,17.88,2.23,76.53
20150411,16.87,0.07,79.38
20150412,17.4,0.0,72.9
20150413,18.11,0.0,76.47
20150414,19.05,4.61,77.6
20150415,19.97,1.22,76.68
20150416,20.0,3.46,79.19
20150417,19.3,10.36,79.64
20150418,18.4,18.13,86.21
20150419,17.3,2.76,85.98
20150420,18.19,0.0,78.11
20150421,16.91,7.32,86.91
20150422,16.94,8.54,83.39
20150423,16.28,18.4,87.4
20150424,16.49,8.64,84.81
20150425,17.0,3.87,84.83
20150426,16.81,0.18,84.84
20150427,17.13,0.2,80.11
20150428,18.11,1.03,80.64
20150429,18.34,1.85,85.52
20150430,18.51,1.2,80.64
20150501,18.27,0.94,85.17
20150502,17.86,8.71,88.63
20150503,20.23,13.75,84.28
20150504,20.58,16.81,83.86
20150505,20.68,0.23,80.45
20150506,18.78,1.46,81.81
20150507,17.97,3.29,79.49
20150508,20.17,5.15,74.05
20150509,20.75,1.09,80.12
20150510,21.7,2.66,80.19
20150511,20.94,5.9,81.8
20150512,18.69,1.5,89.87
20150513,20.35,7.82,82.35
20150514,22.42,12.87,84.76
20150515,20.08,20.19,87.7
20150516,20.88,20.59,90.88
20150517,20.45,12.96,89.26
20150518,20.53,16.3,87.16
20150519,21.37,0.33,84.54
20150520,22.28,0.13,84.35
20150521,23.07,7.36,82.17
20150522,22.64,23.05,83.0
20150523,22.24,54.46,85.81
20150524,21.91,21.6,88.2
20150525,19.94,10.93,88.83
20150526,21.67,8.84,80.96
20150527,20.87,18.91,87.68
20150528,20.84,35.48,89.88
20150529,20.2,6.18,82.55
20150530,20.86,15.52,86.28
20150531,22.24,36.85,89.02
20150601,22.85,25.89,89.43
20150602,22.41,15.84,90.25
20150603,21.9,7.3,91.19
20150604,22.81,23.83,90.46
20150605,23.32,30.78,89.09
20150606,22.95,33.61,92.15
20150607,23.02,50.32,92.35
20150608,23.32,42.56,90.81
20150609,22.46,56.28,92.6
20150610,18.9,17.69,91.67
20150611,19.07,5.67,91.45
20150612,20.96,24.06,91.91
20150613,21.93,30.21,90.81
20150614,21.66,16.16,91.76
20150615,21.89,17.81,88.27
20150616,21.49,19.78,92.28
20150617,22.7,17.98,89.5
20150618,22.23,27.46,92.65
20150619,23.22,25.36,87.11
20150620,22.82,9.64,88.97
20150621,21.64,51.82,93.96
20150622,21.99,16.7,92.16
20150623,23.19,42.81,89.34
20150624,22.88,33.84,90.92
20150625,24.0,5.2,86.7
20150626,24.39,1.64,88.63
20150627,23.75,13.17,88.73
20150628,23.54,19.35,89.6
20150629,23.58,7.53,89.14
20150630,23.3,13.68,91.45
20150701,23.27,13.46,90.86
20150702,23.38,13.22,91.94
20150703,23.81,14.46,89.57
20150704,23.25,27.91,93.54
20150705,23.26,8.98,89.14
20150706,23.32,2.95,87.42
20150707,24.21,2.9,84.06
20150708,22.8,9.19,90.83
20150709,24.37,1.69,80.84
20150710,22.82,2.82,89.53
20150711,23.45,2.74,83.88
20150712,24.44,3.5,84.66
