,T2M,Rain,Humidity
20150101,12.88,0.0,40.88
20150102,14.61,0.18,41.27
20150103,12.63,3.18,63.39
20150104,11.7,0.06,51.16
20150105,10.73,0.0,44.84
20150106,12.12,0.0,47.31
20150107,12.0,0.0,48.88
20150108,12.7,0.0,42.11
20150109,11.99,0.0,38.11
20150110,10.19,0.0,39.04
20150111,11.33,0.0,34.05
20150112,13.76,0.0,30.42
20150113,12.47,0.28,41.03
20150114,11.33,8.6,71.69
20150115,11.83,0.0,73.92
20150116,12.17,0.0,61.28
20150117,11.69,0.0,48.69
20150118,12.44,0.0,42.66
20150119,13.8,0.0,39.19
20150120,12.48,0.0,43.62
20150121,10.68,8.14,62.88
20150122,10.97,6.44,90.06
20150123,12.19,0.1,74.69
20150124,12.23,0.0,64.14
20150125,11.83,0.0,53.45
20150126,11.69,0.1,47.53
20150127,10.47,0.06,51.64
20150128,10.01,0.0,51.07
20150129,10.62,0.0,44.54
20150130,10.77,0.0,45.8
20150131,12.16,0.0,42.35
20150201,14.33,0.0,40.01
20150202,15.0,3.61,46.94
20150203,13.69,13.32,79.27
20150204,13.32,0.14,67.43
20150205,13.0,0.0,52.28
20150206,14.16,0.0,43.23
20150207,14.72,0.0,45.75
20150208,15.28,0.0,54.47
20150209,14.56,0.0,54.46
20150210,14.83,0.0,43.26
20150211,15.56,0.0,41.55
20150212,14.84,0.0,37.71
20150213,16.02,0.0,39.56
20150214,19.34,0.0,40.72
20150215,18.8,0.0,44.07
20150216,18.3,1.11,45.7
20150217,19.02,6.55,53.3
20150218,18.77,0.1,49.8
20150219,18.2,2.86,57.45
20150220,18.48,10.66,65.84
20150221,19.64,0.0,55.26
20150222,19.48,0.0,58.8
20150223,20.89,0.0,51.25
20150224,20.54,0.0,49.62
20150225,17.34,10.7,56.28
20150226,14.16,0.0,35.49
20150227,13.82,0.04,48.05
20150228,14.68,0.06,46.13
20150301,14.72,45.91,83.79
20150302,16.08,20.58,83.55
20150303,14.72,2.09,71.12
20150304,14.82,1.22,65.86
20150305,15.13,1.5,69.12
20150306,16.42,0.06,64.89
20150307,16.41,2.49,65.19
20150308,16.2,3.59,72.84
20150309,13.8,0.15,68.5
20150310,15.31,0.0,57.25
20150311,17.03,0.0,51.14
20150312,18.21,0.0,46.39
20150313,19.4,0.0,41.89
20150314,20.27,1.4,55.74
20150315,18.55,10.38,73.84
20150316,17.96,11.06,77.18
20150317,18.27,0.14,69.44
20150318,18.04,0.0,66.08
20150319,19.76,0.0,54.82
20150320,20.82,0.0,51.0
20150321,22.1,0.0,55.79
20150322,22.86,0.0,57.62
20150323,23.71,0.0,57.09
20150324,25.99,0.0,45.01
20150325,25.44,0.0,49.25
20150326,25.36,0.0,48.36
20150327,25.18,0.0,41.21
20150328,26.3,0.03,37.86
20150329,22.2,3.81,55.5
20150330,22.08,10.57,70.07
20150331,23.08,0.15,62.43
20150401,23.69,0.24,59.87
20150402,24.84,0.02,52.57
20150403,22.98,7.54,62.05
20150404,23.34,0.71,55.67
20150405,22.97,0.01,55.08
20150406,23.58,0.68,54.78
20150407,21.11,4.96,69.07
20150408,23.13,0.04,56.42
20150409,23.77,0.0,54.17
20150410,25.33,0.0,49.5
20150411,27.26,0.0,46.4
20150412,24.98,0.93,58.58
20150413,26.62,0.0,49.46
20150414,26.08,0.09,54.76
20150415,26.71,16.96,56.34
20150416,26.08,2.89,57.9
20150417,26.32,0.75,57.42
20150418,28.52,0.0,47.9
20150419,30.23,0.0,41.07
20150420,29.88,0.17,38.73
20150421,28.3,0.0,42.63
20150422,28.6,0.0,38.29
20150423,30.42,0.0,29.78
20150424,31.24,0.0,28.57
20150425,31.83,0.0,29.8
20150426,29.38,0.0,38.75
20150427,30.04,0.0,40.55
20150428,31.25,2.61,37.99
20150429,30.87,0.9,33.43
20150430,29.99,0.47,35.89
20150501,28.44,6.33,42.33
20150502,29.43,0.0,30.54
20150503,30.46,0.0,26.96
20150504,30.76,0.0,27.05
20150505,31.85,0.0,28.95
20150506,33.04,0.0,30.87
20150507,34.29,0.0,29.39
20150508,32.88,0.0,28.09
20150509,34.07,0.0,27.44
20150510,34.49,0.0,30.69
20150511,34.43,1.89,31.94
20150512,32.57,1.76,34.04
20150513,30.71,5.0,43.32
20150514,30.52,4.14,45.97
20150515,31.45,0.44,41.1
20150516,32.9,1.12,33.32
20150517,33.72,0.0,28.14
20150518,35.55,0.0,30.74
20150519,34.62,0.0,28.36
20150520,33.78,0.28,25.78
20150521,34.46,0.0,24.87
20150522,35.19,0.0,23.32
20150523,36.28,0.0,21.65
20150524,37.1,0.0,18.45
20150525,36.81,0.0,19.79
20150526,35.05,0.0,14.49
20150527,33.08,0.0,14.17
20150528,34.6,0.0,13.93
20150529,35.21,0.04,18.44
20150530,35.73,0.0,19.64
20150531,35.94,0.07,20.31
20150601,36.03,0.7,18.78
20150602,33.21,0.05,27.11
20150603,33.86,1.25,27.8
20150604,30.57,6.49,41.91
20150605,33.3,0.21,36.17
20150606,34.53,0.0,27.34
20150607,36.26,0.0,21.68
20150608,37.73,0.0,18.33
20150609,38.08,0.18,18.52
20150610,37.47,0.0,29.01
20150611,36.43,3.38,28.57
20150612,36.39,0.0,27.14
20150613,36.4,0.55,28.43
20150614,34.86,2.98,34.18
20150615,32.77,15.31,51.9
20150616,34.61,0.02,38.88
20150617,35.5,0.05,36.45
20150618,36.55,0.05,32.77
20150619,37.53,0.13,31.66
20150620,35.55,2.05,36.12
20150621,35.86,12.82,38.88
20150622,34.79,4.5,39.27
20150623,35.47,2.96,39.47
20150624,34.37,9.15,47.82
20150625,32.74,7.78,48.4
20150626,33.48,0.0,36.18
20150627,34.02,0.08,39.32
20150628,35.31,0.0,35.27
20150629,35.61,0.69,35.32
20150630,32.82,19.57,50.66
20150701,34.19,0.0,40.53
20150702,34.06,0.21,43.22
20150703,35.15,0.64,41.5
20150704,35.63,1.0,44.66
20150705,36.29,6.16,43.49
20150706,33.02,8.36,56.92
20150707,31.89,9.31,60.94
20150708,32.42,10.88,56.57
20150709,33.51,4.2,51.63
20150710,33.6,2.1,49.91
20150711,29.56,26.06,70.81
20150712,29.69,63.52,74.4
20150713,30.71,2.93,66.14
20150714,32.14,0.01,60.46
20150715,33.59,0.0,55.33
20150716,33.83,0.76,54.5
20150717,30.81,61.9,73.25
20150718,29.71,19.98,77.36
20150719,30.1,3.08,72.32
20150720,30.3,1.45,70.54
20150721,31.08,1.72,69.01
20150722,31.4,0.03,67.03
20150723,30.23,3.8,74.46
20150724,30.32,2.66,75.25
20150725,30.76,6.11,73.37
20150726,29.58,1.56,78.07
20150727,29.74,0.17,75.31
20150728,29.79,0.65,70.78
20150729,29.49,0.0,70.7
20150730,30.4,0.35,70.17
20150731,30.2,1.88,70.64
20150801,29.5,3.04,74.8
20150802,28.54,8.78,79.92
20150803,30.0,1.95,73.22
20150804,31.67,0.05,64.94
20150805,32.17,4.27,62.79
20150806,32.35,11.68,61.83
20150807,32.51,0.23,61.62
20150808,31.45,4.64,65.27
20150809,32.27,1.73,60.44
20150810,32.62,0.46,56.05
20150811,32.8,0.2,53.37
20150812,29.13,16.15,74.07
20150813,30.16,5.28,67.69
20150814,31.45,1.08,66.65
20150815,31.3,9.76,69.78
20150816,30.83,1.76,69.26
20150817,31.6,4.58,61.47
20150818,31.53,12.03,65.14
20150819,31.2,5.43,63.3
20150820,30.68,7.99,62.72
20150821,30.44,13.04,66.01
20150822,29.76,16.32,68.43
20150823,30.38,0.31,63.3
20150824,30.86,0.49,61.53
20150825,30.78,0.0,58.45
20150826,30.94,0.0,57.94
20150827,31.88,0.0,53.66
20150828,31.03,0.46,58.17
20150829,31.93,0.14,54.72
20150830,32.22,0.0,52.33
20150831,30.75,0.22,49.25
20150901,31.0,0.0,46.31
20150902,30.57,0.0,46.0
20150903,30.45,0.22,45.08
20150904,30.4,0.0,42.86
20150905,30.23,0.0,42.53
20150906,30.2,0.04,41.68
20150907,30.45,0.0,40.91
20150908,30.25,0.0,42.68
20150909,30.74,0.0,43.05
20150910,30.57,0.0,41.01
20150911,30.8,0.0,38.56
