,T2M,Rain,Humidity
20150101,21.45,0.91,77.22
20150102,22.96,0.0,71.99
20150103,23.36,0.01,72.21
20150104,22.55,0.15,78.96
20150105,20.31,0.06,75.53
20150106,17.75,0.0,70.68
20150107,17.02,0.0,69.31
20150108,17.16,0.02,62.12
20150109,16.71,0.02,64.06
20150110,16.66,0.01,66.91
20150111,18.3,0.0,60.18
20150112,18.41,0.0,57.49
20150113,18.97,0.0,55.52
20150114,20.14,0.0,60.17
20150115,20.51,0.13,61.24
20150116,20.56,0.39,62.59
20150117,20.99,1.8,64.63
20150118,19.07,0.04,65.72
20150119,17.12,0.01,68.36
20150120,17.71,0.0,66.76
20150121,19.27,0.0,63.33
20150122,19.75,0.0,64.57
20150123,18.89,0.0,66.48
20150124,18.63,0.0,61.99
20150125,18.79,0.0,55.49
20150126,18.44,0.0,49.43
20150127,19.08,0.0,48.07
20150128,20.05,0.0,57.46
20150129,20.42,0.0,62.42
20150130,19.43,0.0,66.72
20150131,17.75,0.0,60.88
20150201,16.69,0.0,47.06
20150202,18.16,0.0,43.71
20150203,19.7,0.0,43.01
20150204,20.31,0.0,46.7
20150205,20.15,0.0,50.67
20150206,19.97,0.0,51.03
20150207,18.83,0.0,47.67
20150208,18.43,0.0,43.76
20150209,19.7,0.0,44.76
20150210,20.19,0.0,54.22
20150211,20.15,0.0,50.82
20150212,19.22,0.0,44.56
20150213,18.95,0.0,49.85
20150214,19.1,0.0,57.66
20150215,19.98,0.06,56.05
20150216,20.67,0.0,55.62
20150217,21.11,0.0,49.75
20150218,21.28,0.02,51.43
20150219,20.58,3.59,64.79
20150220,21.79,0.06,60.97
20150221,22.07,0.8,58.63
20150222,22.49,3.52,59.02
20150223,22.92,0.0,58.49
20150224,23.63,0.0,56.1
20150225,23.54,0.0,55.83
20150226,23.14,0.0,60.88
20150227,23.08,0.01,67.48
20150228,24.11,0.0,64.46
20150301,25.6,0.0,55.88
20150302,25.47,0.0,51.18
20150303,24.49,0.02,58.17
20150304,21.66,9.9,74.04
20150305,23.0,0.63,63.47
20150306,22.4,0.0,41.95
20150307,21.7,0.0,37.77
20150308,22.82,0.0,37.49
20150309,24.63,0.0,37.05
20150310,25.67,0.0,34.33
20150311,25.47,0.0,30.65
20150312,24.62,0.0,26.42
20150313,24.57,0.0,27.28
20150314,25.2,0.0,38.04
20150315,26.38,0.0,45.66
20150316,27.18,0.0,42.76
20150317,26.62,0.0,45.09
20150318,26.78,0.0,46.68
20150319,26.3,0.0,46.02
20150320,25.22,0.0,37.87
20150321,26.09,0.0,30.09
20150322,26.66,0.0,29.46
20150323,26.04,0.0,35.79
20150324,26.82,0.0,43.3
20150325,25.54,9.64,61.09
20150326,26.0,4.32,62.45
20150327,26.71,0.0,56.29
20150328,26.43,0.29,58.37
20150329,26.52,0.51,58.52
20150330,26.58,1.01,58.59
20150331,23.55,8.63,80.42
20150401,25.15,4.65,73.05
20150402,24.31,23.17,78.1
20150403,24.9,26.76,81.82
20150404,25.35,3.58,78.0
20150405,25.17,13.1,79.08
20150406,25.14,24.54,80.98
20150407,25.94,2.85,76.54
20150408,26.77,2.98,68.96
20150409,25.94,0.03,72.1
20150410,26.55,0.53,69.48
20150411,27.07,0.96,65.08
20150412,27.49,0.71,66.42
20150413,27.23,3.66,69.36
20150414,25.95,3.78,73.88
20150415,26.58,0.0,71.89
20150416,27.79,0.0,65.82
20150417,26.81,1.48,67.23
20150418,25.37,21.02,77.76
20150419,26.33,4.56,75.53
20150420,27.75,1.08,69.56
20150421,26.71,3.97,77.95
20150422,25.88,18.64,82.34
20150423,23.88,35.5,91.91
20150424,23.49,10.97,86.93
20150425,23.49,0.44,80.63
20150426,25.34,0.19,67.01
20150427,25.08,0.65,74.19
20150428,25.5,0.28,74.2
20150429,25.41,0.82,75.94
20150430,25.94,12.39,78.23
20150501,25.79,16.16,81.79
20150502,25.66,0.87,83.17
20150503,26.31,0.57,79.3
20150504,27.68,0.01,74.28
20150505,27.23,0.02,74.86
20150506,26.55,0.56,74.49
20150507,25.46,4.16,79.92
20150508,27.42,1.52,71.32
20150509,27.55,0.84,71.91
20150510,26.59,13.4,84.25
20150511,26.4,15.2,86.18
20150512,26.71,4.57,80.53
20150513,27.43,0.76,74.73
20150514,28.1,0.04,77.06
20150515,26.99,5.39,84.22
20150516,26.73,5.1,84.27
20150517,26.56,10.08,86.29
20150518,26.4,5.59,80.38
20150519,27.94,0.0,72.69
20150520,29.06,0.0,72.57
20150521,28.51,0.5,75.05
20150522,28.56,0.89,77.29
20150523,27.33,25.36,84.13
20150524,25.68,29.08,92.23
20150525,27.07,0.24,80.93
20150526,27.49,2.18,77.39
20150527,27.53,3.32,81.8
20150528,26.41,3.03,87.72
20150529,27.78,3.05,80.61
20150530,27.58,4.04,84.61
20150531,27.71,2.92,82.71
20150601,26.97,0.93,86.26
20150602,28.23,0.34,79.03
20150603,28.65,2.29,79.96
20150604,28.66,0.15,79.13
20150605,28.18,3.37,81.87
20150606,27.93,1.14,81.88
20150607,27.5,0.71,84.36
20150608,27.91,0.52,81.7
20150609,27.59,1.49,82.29
20150610,27.06,26.07,86.26
20150611,26.41,22.92,88.29
20150612,25.47,19.41,94.6
20150613,25.55,9.92,91.79
20150614,25.75,10.93,89.32
20150615,25.87,13.6,90.46
20150616,26.56,7.45,86.14
20150617,27.53,0.57,83.01
20150618,27.31,0.57,83.14
20150619,27.09,5.53,84.28
20150620,27.86,8.95,84.06
20150621,27.63,9.75,83.6
20150622,26.53,46.0,88.9
20150623,26.66,86.75,89.59
20150624,27.18,65.7,91.22
20150625,27.35,28.99,91.51
20150626,26.39,66.05,93.67
20150627,25.39,17.17,94.04
20150628,26.55,6.72,85.37
20150629,25.99,11.45,85.71
20150630,26.53,2.04,85.37
20150701,26.52,2.7,85.82
20150702,26.68,13.19,87.69
20150703,27.27,9.46,87.84
20150704,27.7,0.99,85.44
20150705,28.07,4.0,85.68
20150706,27.63,8.67,88.03
20150707,28.31,23.38,83.19
20150708,26.49,94.42,91.7
20150709,25.71,33.58,91.82
20150710,26.03,6.26,85.02
20150711,26.55,13.15,87.43
20150712,27.26,3.43,84.32
20150713,27.9,2.25,83.46
20150714,28.1,7.63,85.85
20150715,27.5,19.27,88.73
20150716,26.71,38.84,90.8
20150717,25.39,37.92,95.7
20150718,25.73,59.44,93.28
20150719,25.27,55.77,93.64
20150720,26.6,7.47,88.14
20150721,26.93,8.03,85.84
20150722,24.87,10.66,92.35
20150723,25.72,34.74,91.26
20150724,24.67,53.78,96.83
20150725,24.07,167.07,95.53
20150726,24.5,49.28,94.38
20150727,25.15,45.18,94.54
20150728,25.35,18.54,90.34
20150729,26.26,4.9,87.52
20150730,25.19,49.56,89.07
20150731,25.36,57.77,94.07
20150801,25.52,19.47,87.61
20150802,25.4,0.2,85.2
20150803,25.91,0.45,85.07
20150804,26.29,2.78,86.04
20150805,26.47,1.93,87.08
20150806,26.63,1.25,86.41
20150807,27.21,6.68,87.39
20150808,27.33,3.67,86.22
20150809,25.78,4.36,89.97
20150810,27.47,9.41,85.74
20150811,26.37,30.86,93.96
20150812,27.07,1.15,88.82
20150813,26.4,2.63,90.41
20150814,26.79,10.62,89.37
20150815,25.93,7.12,91.96
20150816,25.65,32.6,92.93
20150817,25.35,32.74,93.01
20150818,25.82,60.6,91.05
20150819,26.07,68.49,91.26
20150820,26.34,33.16,94.73
20150821,27.45,14.28,86.37
20150822,26.89,9.83,87.26
20150823,26.64,7.72,87.99
20150824,26.97,0.78,85.38
20150825,26.38,1.92,90.81
20150826,26.26,2.77,90.06
20150827,25.79,3.99,91.88
20150828,25.62,17.64,90.2
20150829,25.8,14.43,90.44
20150830,25.83,18.98,92.2
20150831,25.33,76.44,96.41
20150901,25.18,12.84,95.75
20150902,24.82,17.43,95.47
20150903,25.38,25.82,91.56
20150904,26.33,1.2,86.59
20150905,26.24,1.29,87.0
20150906,26.72,0.47,86.36
20150907,25.89,6.08,88.6
