,T2M,Rain,Humidity
20150101,21.51,0.08,53.35
20150102,20.26,4.6,69.78
20150103,20.34,3.41,77.82
20150104,20.91,0.54,73.0
20150105,17.31,0.0,60.67
20150106,13.96,0.0,60.3
20150107,14.34,0.06,58.51
20150108,15.67,0.19,59.18
20150109,15.36,0.0,57.54
20150110,13.36,0.0,53.76
20150111,13.19,0.0,52.05
20150112,13.89,0.0,47.92
20150113,14.89,0.0,51.81
20150114,16.29,0.0,51.61
20150115,17.42,0.0,50.33
20150116,17.14,0.0,50.73
20150117,16.02,0.0,50.97
20150118,14.88,0.0,57.1
20150119,14.37,0.0,52.7
20150120,13.66,0.0,50.33
20150121,14.63,0.0,49.72
20150122,16.01,0.0,44.65
20150123,17.64,0.0,48.44
20150124,18.92,0.0,60.42
20150125,17.43,0.0,50.71
20150126,17.87,0.0,53.87
20150127,19.97,0.14,58.6
20150128,19.45,0.38,62.21
20150129,18.42,1.6,63.25
20150130,16.5,0.37,51.77
20150131,14.3,0.0,45.42
20150201,14.77,0.0,44.58
20150202,16.91,0.0,44.19
20150203,18.76,0.0,42.53
20150204,20.16,0.0,44.33
20150205,17.89,0.0,46.39
20150206,16.61,0.0,44.71
20150207,16.91,0.0,44.14
20150208,19.08,0.0,46.21
20150209,19.33,0.0,55.8
20150210,19.27,0.0,45.11
20150211,17.81,0.0,39.85
20150212,18.63,0.0,40.28
20150213,18.93,0.0,44.77
20150214,18.88,0.0,40.02
20150215,20.37,0.06,37.77
20150216,21.08,0.19,47.58
20150217,22.84,0.05,47.79
20150218,23.98,0.31,44.2
20150219,23.46,0.27,47.63
20150220,22.29,0.0,44.95
20150221,23.24,0.21,41.52
20150222,23.6,0.58,42.46
20150223,24.48,0.01,36.38
20150224,24.85,0.0,36.45
20150225,24.74,0.0,39.04
20150226,25.49,0.02,37.52
20150227,26.17,0.53,38.45
20150228,26.77,0.08,36.45
20150301,28.07,0.34,37.04
20150302,24.79,5.63,50.4
20150303,22.18,1.98,60.23
20150304,23.0,0.03,44.12
20150305,21.37,0.0,32.55
20150306,20.97,0.0,35.91
20150307,22.29,0.0,38.49
20150308,23.25,0.0,34.99
20150309,25.13,0.0,31.98
20150310,26.17,0.0,29.64
20150311,23.77,0.0,25.61
20150312,24.21,0.0,25.57
20150313,25.35,0.0,28.0
20150314,27.57,0.0,34.65
20150315,27.57,0.0,37.78
20150316,26.72,0.7,41.56
20150317,27.63,0.0,38.84
20150318,27.05,0.0,30.9
20150319,25.04,0.0,29.57
20150320,25.88,0.0,30.96
20150321,26.77,0.0,29.09
20150322,27.72,0.0,30.14
20150323,28.69,0.45,29.93
20150324,30.14,0.47,28.41
20150325,30.64,0.01,30.77
20150326,31.17,0.67,35.5
20150327,28.45,23.76,58.7
20150328,29.13,0.3,51.87
20150329,29.8,0.44,43.43
20150330,27.83,22.85,59.25
20150331,26.18,2.12,55.95
20150401,28.34,1.21,45.86
20150402,29.17,0.03,40.24
20150403,29.72,0.07,40.33
20150404,30.3,0.04,39.65
20150405,29.15,0.43,44.25
20150406,28.98,0.27,41.6
20150407,29.32,1.42,48.6
20150408,29.27,0.53,47.21
20150409,28.45,0.0,33.41
20150410,29.02,0.0,31.02
20150411,30.56,0.0,27.85
20150412,29.28,3.46,41.48
20150413,25.52,10.73,66.04
20150414,26.82,0.0,53.51
20150415,28.83,0.0,48.22
20150416,30.05,0.13,46.62
20150417,28.63,9.7,50.28
20150418,28.87,15.58,55.41
20150419,29.95,4.35,42.65
20150420,31.11,0.0,48.91
20150421,32.14,2.07,41.57
20150422,32.1,1.17,35.06
20150423,31.82,0.31,31.14
20150424,30.31,1.91,51.53
20150425,26.08,0.34,64.19
20150426,27.1,0.18,51.15
20150427,28.02,0.82,54.49
20150428,29.25,8.85,56.32
20150429,29.2,3.64,58.19
20150430,30.47,0.19,46.37
20150501,32.39,0.12,39.78
20150502,32.52,2.25,44.29
20150503,32.6,0.65,43.96
20150504,32.76,0.01,27.92
20150505,33.75,0.0,24.95
20150506,32.95,0.05,24.99
20150507,32.27,1.08,39.47
20150508,32.17,0.19,48.02
20150509,32.3,0.4,50.0
20150510,32.63,3.09,52.33
20150511,31.5,6.9,58.15
20150512,31.78,10.34,57.39
20150513,32.62,1.56,45.75
20150514,33.97,1.36,38.51
20150515,34.21,0.24,38.1
20150516,33.08,1.36,42.08
20150517,32.38,5.48,46.87
20150518,32.07,12.75,54.01
20150519,32.53,6.13,56.47
20150520,33.07,8.11,53.79
20150521,34.58,1.87,43.1
20150522,34.51,0.41,37.23
20150523,34.49,1.84,36.32
20150524,33.48,2.82,41.6
20150525,33.93,2.36,49.88
20150526,34.04,6.24,49.02
20150527,32.75,10.67,56.04
20150528,33.55,2.49,53.67
20150529,34.08,5.88,53.71
20150530,33.67,6.67,56.68
20150531,34.26,1.44,52.81
20150601,34.34,5.3,51.99
20150602,34.94,1.86,43.48
20150603,34.27,2.0,49.94
20150604,34.92,0.25,49.31
20150605,34.86,2.77,48.1
20150606,35.48,2.93,46.05
20150607,35.99,0.79,42.15
20150608,35.71,1.3,47.95
20150609,36.65,0.38,43.1
20150610,34.65,12.63,53.42
20150611,33.79,9.06,57.9
20150612,34.55,5.71,53.04
20150613,33.62,0.22,51.78
20150614,32.19,2.8,53.65
20150615,32.92,1.0,58.79
20150616,32.73,1.66,59.89
20150617,33.75,1.5,54.26
20150618,33.32,7.54,58.25
20150619,32.38,17.68,62.98
20150620,32.87,6.48,60.71
