,T2M,Rain,Humidity
20150101,25.97,3.08,82.08
20150102,25.08,0.0,76.53
20150103,24.3,0.0,75.08
20150104,24.9,0.0,79.61
20150105,24.59,0.0,78.88
20150106,24.46,0.0,77.93
20150107,23.84,0.0,77.8
20150108,24.23,0.0,77.66
20150109,24.06,0.0,78.98
20150110,23.32,0.0,72.12
20150111,21.87,0.0,71.68
20150112,21.75,0.0,69.75
20150113,21.79,0.0,71.14
20150114,22.35,0.0,72.3
20150115,22.31,0.0,70.64
20150116,23.71,0.0,76.72
20150117,24.39,0.0,76.96
20150118,24.01,0.0,74.22
20150119,23.51,0.01,71.23
20150120,23.03,0.0,73.48
20150121,22.84,0.02,73.37
20150122,23.65,0.14,74.14
20150123,25.01,0.37,75.31
20150124,24.92,0.13,74.75
20150125,24.89,0.0,67.59
20150126,24.02,0.0,71.63
20150127,24.47,0.0,72.93
20150128,25.14,0.0,72.72
20150129,25.41,0.0,70.95
20150130,25.39,0.0,70.41
20150131,25.05,0.0,64.78
20150201,24.57,0.0,70.02
20150202,24.39,0.0,67.25
20150203,24.77,0.0,67.97
20150204,23.68,0.57,74.05
20150205,25.18,0.16,69.1
20150206,24.87,0.01,68.78
20150207,24.96,0.05,66.62
20150208,25.22,0.0,62.32
20150209,25.34,0.0,65.58
20150210,24.99,0.0,68.34
20150211,26.21,0.0,67.38
20150212,26.9,0.02,66.59
20150213,27.07,0.01,65.8
20150214,26.67,0.0,62.71
20150215,26.17,0.0,59.0
20150216,25.65,0.0,59.95
20150217,25.31,0.0,57.34
20150218,25.29,0.0,55.1
20150219,25.62,0.0,55.14
20150220,25.39,0.0,59.16
20150221,25.46,0.0,61.56
20150222,25.45,0.0,57.65
20150223,25.66,0.0,57.49
20150224,26.35,0.0,57.26
20150225,27.77,0.0,61.74
20150226,28.55,1.55,63.38
20150227,28.2,1.66,67.34
20150228,28.53,0.2,64.18
20150301,28.88,0.01,62.02
20150302,29.39,0.1,62.27
20150303,29.28,0.16,59.4
20150304,28.38,0.05,53.55
20150305,29.46,0.0,57.0
20150306,29.94,0.58,57.79
20150307,29.36,1.55,59.44
20150308,28.55,0.51,59.1
20150309,28.74,0.02,59.92
20150310,28.23,0.0,54.29
20150311,27.79,0.0,57.18
20150312,28.8,0.0,58.78
20150313,28.94,0.01,58.39
20150314,28.11,3.02,62.31
20150315,27.93,2.33,69.25
20150316,27.71,4.49,70.66
20150317,27.11,1.54,65.01
20150318,27.31,0.0,56.04
20150319,27.44,0.0,49.88
20150320,28.2,0.0,56.75
20150321,28.55,0.0,56.04
20150322,28.98,0.0,54.64
20150323,29.94,0.0,51.17
20150324,30.35,0.0,53.24
20150325,29.44,0.0,56.45
20150326,29.48,0.0,54.2
20150327,29.52,0.01,54.84
20150328,29.62,0.18,58.12
20150329,30.29,0.37,57.65
20150330,30.45,0.11,55.28
20150331,30.14,0.68,58.23
20150401,29.39,14.64,66.78
20150402,29.25,3.18,67.31
20150403,30.95,0.07,59.53
20150404,30.98,0.06,60.62
20150405,30.56,0.0,61.73
20150406,30.12,0.07,63.67
20150407,29.49,0.26,66.1
20150408,28.44,0.64,64.03
20150409,28.46,0.54,60.86
20150410,28.9,0.4,67.53
20150411,30.35,1.13,60.4
20150412,28.67,3.68,68.67
20150413,26.83,3.7,71.86
20150414,27.36,1.83,68.08
20150415,26.46,31.26,80.48
20150416,26.8,17.22,80.57
20150417,27.54,22.97,74.95
20150418,28.18,6.93,71.92
20150419,28.62,0.11,71.41
20150420,28.58,2.57,72.06
20150421,27.62,2.8,76.19
20150422,26.84,1.03,78.2
20150423,29.01,1.12,67.13
20150424,28.78,3.38,69.89
20150425,27.08,6.6,71.99
20150426,28.29,1.4,64.33
20150427,28.19,0.15,70.78
20150428,28.81,0.01,69.31
20150429,29.55,0.14,66.0
20150430,30.47,0.1,63.36
20150501,29.76,0.0,65.07
20150502,30.28,0.0,61.2
20150503,30.28,0.0,63.78
20150504,29.38,1.15,69.37
20150505,29.01,3.81,69.98
20150506,28.11,6.56,75.1
20150507,27.75,10.71,77.14
20150508,29.4,12.37,69.38
20150509,28.77,13.73,74.18
20150510,28.74,2.49,68.88
20150511,27.03,12.8,71.6
20150512,27.66,19.01,65.03
20150513,26.69,13.03,76.12
20150514,27.29,13.53,78.57
20150515,26.19,29.37,88.66
20150516,26.77,3.86,87.75
20150517,26.1,8.18,90.75
20150518,27.57,3.12,80.15
20150519,27.83,0.9,78.26
20150520,28.31,0.15,74.79
20150521,28.83,0.02,72.29
20150522,29.0,0.0,72.78
20150523,29.0,0.24,72.9
20150524,29.19,0.06,68.2
20150525,29.58,0.0,67.61
20150526,29.73,0.0,67.7
20150527,28.56,3.78,72.47
20150528,28.23,2.36,67.4
20150529,29.37,0.3,67.73
20150530,28.67,13.79,74.87
20150531,28.56,2.52,73.98
20150601,28.58,0.17,70.77
20150602,28.04,28.78,75.53
20150603,28.21,2.18,77.12
20150604,28.01,1.02,78.88
20150605,26.93,9.61,83.84
20150606,28.71,0.05,71.29
20150607,28.43,0.8,72.0
20150608,27.77,0.65,72.6
20150609,28.43,0.08,71.13
20150610,27.89,0.54,76.58
20150611,28.23,1.31,73.43
20150612,27.84,0.07,73.04
20150613,27.56,4.08,73.92
20150614,27.79,0.27,69.23
20150615,27.88,0.43,65.32
20150616,26.4,0.56,68.09
20150617,26.61,0.48,68.97
20150618,27.06,1.12,69.93
20150619,27.87,0.9,66.77
20150620,28.54,0.36,65.66
20150621,28.13,1.02,67.27
20150622,28.74,0.36,67.08
20150623,28.09,0.79,73.75
20150624,28.74,0.22,70.07
20150625,28.33,0.55,73.17
20150626,27.0,1.59,63.02
20150627,27.81,0.8,62.72
20150628,29.11,0.59,67.12
20150629,27.76,1.35,69.97
20150630,28.8,10.61,59.71
20150701,27.9,14.76,74.48
20150702,29.19,0.04,65.76
20150703,29.25,0.09,66.41
20150704,29.12,0.22,67.09
20150705,29.46,0.04,64.9
20150706,28.55,0.0,63.41
20150707,28.21,0.02,63.81
20150708,28.24,0.18,64.8
20150709,29.76,0.13,61.64
20150710,29.06,0.44,65.57
20150711,28.54,0.24,67.42
20150712,29.19,0.03,61.12
20150713,29.4,0.09,61.18
20150714,29.73,0.27,62.6
20150715,29.04,0.31,65.81
20150716,29.34,0.14,61.07
20150717,28.12,1.34,59.91
20150718,28.52,0.28,57.59
20150719,27.33,1.64,62.62
20150720,27.8,0.41,64.2
20150721,28.59,3.24,65.88
20150722,28.32,1.03,65.23
20150723,28.24,1.28,64.97
20150724,28.13,0.21,66.93
20150725,28.23,0.2,63.99
20150726,27.76,0.02,62.06
20150727,29.16,0.08,57.02
20150728,29.21,8.82,62.21
20150729,28.71,3.68,63.69
20150730,28.63,0.0,62.43
20150731,29.25,0.02,60.27
20150801,28.82,0.97,63.05
20150802,28.92,1.02,62.94
20150803,28.21,2.11,66.33
20150804,29.16,0.28,60.75
20150805,28.6,0.06,59.48
20150806,29.38,0.03,56.47
20150807,28.23,0.04,62.96
20150808,29.65,0.66,60.55
20150809,29.5,0.13,59.83
20150810,29.08,0.98,60.07
20150811,29.54,0.08,61.11
20150812,29.45,0.09,59.04
20150813,28.65,0.58,64.24
20150814,30.27,0.64,56.75
20150815,29.92,1.51,61.85
20150816,27.3,25.32,75.97
20150817,28.62,4.71,69.0
20150818,28.24,4.81,72.16
20150819,27.49,3.02,74.3
20150820,27.84,0.03,70.2
20150821,28.62,4.85,69.19
20150822,28.63,5.06,68.76
20150823,28.64,1.01,61.15
20150824,28.62,0.18,60.64
20150825,29.19,0.02,58.07
20150826,29.12,0.0,58.35
20150827,28.45,0.01,63.8
20150828,29.39,0.0,59.45
20150829,30.31,0.0,60.11
20150830,30.89,0.0,55.4
20150831,30.93,0.0,55.06
20150901,30.36,1.67,61.19
20150902,28.3,15.55,70.39
20150903,28.43,8.82,70.18
20150904,27.83,0.36,71.89
20150905,27.78,4.77,73.2
20150906,26.91,1.82,76.74
20150907,26.36,0.91,74.88
20150908,27.57,0.55,63.97
20150909,27.46,0.82,67.12
20150910,28.02,0.6,67.97
20150911,27.71,0.68,71.27
20150912,29.22,0.31,63.45
20150913,28.96,0.01,63.01
20150914,29.56,0.03,59.42
20150915,28.51,0.25,65.84
20150916,29.31,0.95,62.81
20150917,28.49,0.28,60.28
20150918,29.17,0.31,61.0
20150919,29.12,0.44,64.54
20150920,28.92,0.42,66.89
20150921,28.29,0.02,63.42
20150922,30.62,0.07,60.53
20150923,29.15,0.9,67.38
20150924,29.27,0.54,64.58
20150925,30.31,0.77,61.47
20150926,31.1,1.39,58.28
20150927,26.94,47.98,82.36
20150928,27.28,6.03,76.33
20150929,25.83,47.74,87.27
20150930,25.97,4.17,80.96
20151001,25.68,2.76,83.05
20151002,26.23,6.85,81.98
20151003,28.03,1.81,74.15
20151004,27.05,1.38,77.97
20151005,26.51,6.46,81.25
20151006,27.73,3.83,69.59
20151007,27.34,3.12,72.93
20151008,27.08,2.15,75.81
20151009,27.09,0.98,73.18
20151010,27.28,1.54,75.79
20151011,27.72,3.79,75.21
20151012,26.03,10.2,87.17
20151013,26.8,0.4,76.28
20151014,27.05,1.1,74.71
20151015,27.03,0.23,73.02
20151016,27.24,0.06,71.07
20151017,27.04,0.1,74.27
20151018,26.41,7.61,84.75
20151019,26.41,6.54,85.51
20151020,26.89,1.71,80.29
20151021,27.46,0.11,75.22
20151022,27.43,0.15,73.45
20151023,27.48,0.36,70.65
20151024,26.94,4.42,78.55
20151025,26.3,2.06,73.07
20151026,26.36,0.06,71.29
20151027,25.91,1.36,73.44
20151028,25.35,5.97,82.78
20151029,26.28,0.73,75.16
20151030,25.75,5.37,81.16
20151031,24.78,11.49,90.15
20151101,25.31,11.63,88.35
20151102,24.99,12.71,87.18
20151103,26.11,8.49,82.18
20151104,26.01,16.11,84.51
20151105,25.9,12.0,84.91
20151106,25.77,4.81,84.53
20151107,25.1,11.03,89.14
20151108,24.62,7.87,90.33
20151109,25.1,5.25,86.71
20151110,26.6,2.69,79.64
20151111,25.36,1.79,83.64
20151112,25.71,3.12,84.58
20151113,23.94,9.68,88.99
20151114,23.83,3.63,90.27
20151115,24.29,6.98,88.19
20151116,24.51,4.25,87.32
20151117,25.13,4.5,88.1
20151118,24.68,13.7,93.63
20151119,24.77,2.5,92.13
20151120,24.78,4.89,91.26
20151121,24.7,5.77,87.3
20151122,24.8,23.21,91.4
20151123,24.55,5.29,89.49
20151124,25.23,2.51,89.49
20151125,24.09,0.03,85.36
20151126,23.46,0.01,85.53
20151127,24.18,0.13,88.82
20151128,23.99,0.26,86.24
20151129,24.1,28.29,89.98
20151130,23.92,10.0,89.81
20151201,24.38,2.0,90.27
20151202,24.19,4.93,93.26
20151203,24.43,2.32,88.01
20151204,24.56,4.6,89.22
20151205,24.04,7.27,93.08
20151206,24.48,5.37,94.72
20151207,24.57,13.24,92.55
20151208,23.18,8.77,91.86
20151209,23.69,3.18,92.49
20151210,24.62,7.28,92.72
20151211,24.8,3.15,90.06
20151212,24.72,3.51,91.06
20151213,25.06,0.6,87.06
20151214,25.32,7.73,89.2
20151215,24.94,1.89,88.57
20151216,23.06,0.05,87.24
20151217,23.49,0.57,88.2
20151218,24.16,9.66,90.62
20151219,24.41,6.43,89.91
20151220,24.06,1.6,89.62
20151221,22.66,0.02,82.17
20151222,22.18,0.0,84.89
20151223,22.93,0.0,86.99
20151224,22.62,0.0,86.63
20151225,22.5,0.0,85.94
20151226,22.72,0.0,87.11
20151227,23.62,3.36,87.11
20151228,23.51,1.01,86.8
20151229,23.6,0.47,86.15
20151230,23.33,0.01,82.17
20151231,22.51,0.0,83.83
20160101,22.0,0.0,82.02
20160102,21.91,0.0,81.18
20160103,21.35,0.0,78.93
20160104,21.59,0.0,82.24
20160105,22.67,0.0,81.54
20160106,23.26,0.01,81.91
20160107,23.18,0.0,83.88
20160108,22.85,0.0,80.82
20160109,22.84,0.0,81.3
20160110,22.63,0.0,81.58
20160111,22.42,0.0,78.82
20160112,22.0,0.0,78.35
20160113,22.41,0.0,78.45
20160114,21.27,0.0,78.19
20160115,21.14,0.0,78.58
20160116,22.48,0.0,78.4
20160117,23.0,0.0,78.69
20160118,23.44,0.0,77.53
20160119,24.66,0.0,79.03
20160120,25.35,0.23,78.32
20160121,25.6,0.23,79.97
20160122,25.2,0.03,78.39
20160123,25.26,0.01,78.53
20160124,25.88,0.02,77.08
20160125,25.89,0.0,77.33
20160126,25.44,0.0,75.34
20160127,25.22,0.01,75.13
20160128,24.53,0.0,70.66
20160129,24.02,0.0,69.93
20160130,23.7,0.0,74.24
20160131,23.47,0.0,76.63
20160201,23.63,0.0,72.8
20160202,23.35,0.0,71.84
20160203,23.58,0.0,68.53
20160204,23.59,0.0,67.97
20160205,24.26,0.0,69.29
20160206,24.59,0.0,73.19
20160207,26.1,0.33,72.16
20160208,26.56,0.14,71.94
20160209,26.13,0.02,69.22
20160210,26.1,0.16,67.19
20160211,26.14,0.25,65.39
20160212,26.1,0.0,63.12
20160213,26.4,0.0,63.36
20160214,25.89,0.0,66.74
20160215,26.37,0.0,67.38
20160216,26.92,0.0,66.35
20160217,26.63,0.0,68.14
20160218,27.26,0.0,67.8
20160219,27.46,0.0,67.24
20160220,28.26,0.11,66.72
20160221,28.62,0.53,65.28
20160222,28.45,0.17,61.34
20160223,27.38,0.0,59.98
20160224,27.61,0.0,56.26
20160225,28.56,0.0,60.83
20160226,28.51,0.04,65.21
20160227,27.73,0.01,65.97
20160228,28.5,0.48,66.37
20160229,26.77,0.14,67.98
20160301,27.83,0.1,66.35
20160302,28.32,0.0,63.55
20160303,26.57,0.0,64.97
20160304,26.72,0.0,64.49
20160305,28.47,0.0,60.79
20160306,28.85,0.0,57.79
20160307,29.1,0.0,58.03
20160308,28.36,0.0,59.36
20160309,29.39,0.0,57.92
20160310,29.36,0.0,60.68
20160311,30.63,0.09,56.96
20160312,30.64,0.12,55.27
20160313,30.22,0.4,55.0
20160314,30.74,0.0,57.08
20160315,31.29,0.06,53.04
20160316,30.98,0.88,56.81
20160317,31.36,0.14,53.62
20160318,31.06,0.0,50.3
20160319,31.33,0.0,42.62
20160320,31.31,0.0,42.72
20160321,31.6,0.0,43.16
20160322,32.52,0.56,43.86
20160323,32.54,0.13,50.13
20160324,31.28,0.02,52.03
20160325,30.16,0.07,49.97
20160326,30.03,0.0,48.79
20160327,30.57,0.02,50.85
20160328,31.14,3.02,55.83
20160329,30.42,1.32,63.46
20160330,30.65,2.02,61.04
20160331,30.76,0.03,57.27
20160401,31.1,0.07,54.42
20160402,31.53,0.0,52.47
20160403,32.1,0.01,49.28
20160404,31.86,0.01,49.51
20160405,32.21,0.0,49.03
20160406,32.6,0.01,51.75
20160407,32.22,0.47,53.9
20160408,31.87,0.78,57.71
20160409,30.44,17.42,67.31
20160410,29.48,6.25,71.07
20160411,30.97,0.19,61.55
20160412,31.71,0.0,58.41
20160413,32.91,0.0,54.31
20160414,32.24,0.63,59.0
20160415,32.03,0.24,59.96
20160416,32.18,0.04,57.65
20160417,31.04,0.0,60.32
20160418,31.68,0.02,59.88
20160419,31.42,0.56,62.59
20160420,31.55,1.06,60.33
20160421,32.19,0.15,54.66
20160422,33.55,0.08,49.74
20160423,35.19,0.24,41.96
20160424,34.85,0.14,45.62
20160425,34.1,0.03,48.12
20160426,32.35,0.13,54.57
20160427,31.17,0.19,57.71
20160428,32.42,0.13,54.21
20160429,32.14,0.05,53.51
20160430,32.61,0.03,50.5
20160501,32.78,0.02,50.2
20160502,33.81,0.01,48.03
20160503,33.16,0.0,50.26
20160504,33.18,0.06,52.26
20160505,32.75,0.42,52.29
20160506,32.92,4.59,51.54
20160507,31.27,5.13,60.47
20160508,31.61,3.05,60.54
20160509,30.63,0.64,62.96
20160510,30.9,1.23,58.26
20160511,28.75,11.15,68.79
20160512,30.07,0.22,61.73
20160513,31.25,0.31,57.89
20160514,29.84,5.37,67.66
20160515,27.91,13.99,74.28
20160516,26.56,23.14,70.94
20160517,26.54,7.99,69.88
20160518,29.39,1.03,67.42
20160519,29.7,4.22,67.83
20160520,29.16,0.72,69.47
20160521,31.4,0.0,59.08
20160522,31.58,0.02,60.13
20160523,32.5,0.01,56.65
20160524,31.06,0.04,61.29
20160525,30.59,1.9,65.87
20160526,30.21,0.35,63.53
20160527,29.51,2.03,68.34
20160528,29.17,3.63,69.13
20160529,28.25,0.53,69.83
20160530,28.97,5.64,66.74
20160531,29.29,3.62,66.75
20160601,29.57,0.6,66.12
20160602,28.74,3.17,69.34
20160603,28.73,0.71,69.5
20160604,29.91,1.03,63.56
20160605,30.05,1.04,64.3
20160606,29.25,0.41,66.45
20160607,28.13,4.69,79.67
20160608,28.09,3.03,75.54
20160609,27.37,1.3,77.12
20160610,28.25,0.6,67.28
20160611,28.35,2.09,68.1
20160612,28.85,0.19,62.65
20160613,29.19,0.09,60.42
20160614,29.89,0.02,57.61
20160615,29.79,0.03,56.82
20160616,29.75,0.13,59.64
20160617,28.86,0.56,63.49
20160618,27.77,2.32,63.7
20160619,28.66,2.12,62.52
20160620,28.58,0.29,64.81
20160621,28.21,0.27,66.45
20160622,28.11,0.41,59.94
20160623,26.6,1.82,62.67
20160624,27.5,0.05,59.64
20160625,28.95,0.03,56.61
20160626,29.45,0.43,59.41
20160627,29.59,1.12,60.36
20160628,28.61,0.66,60.87
20160629,28.28,2.2,63.91
20160630,29.07,0.07,57.05
20160701,29.62,0.07,53.24
20160702,29.92,0.05,50.13
20160703,30.21,0.23,50.56
20160704,29.74,0.54,53.85
20160705,31.09,0.15,53.27
20160706,30.26,1.78,60.55
20160707,30.03,0.3,54.04
20160708,29.08,0.9,49.38
20160709,29.01,1.08,56.55
20160710,29.45,0.27,59.4
20160711,29.98,0.57,56.85
20160712,29.76,0.39,56.38
20160713,30.54,0.11,51.16
20160714,30.81,2.57,53.04
20160715,29.65,3.66,60.55
20160716,28.34,14.96,69.08
20160717,26.56,6.8,77.15
20160718,26.61,4.26,75.48
20160719,28.12,0.3,64.92
20160720,28.66,0.24,59.9
20160721,28.68,0.22,58.82
20160722,28.39,0.18,58.73
20160723,27.83,0.43,61.53
20160724,27.79,5.89,70.15
20160725,27.51,36.86,72.93
20160726,25.37,29.82,81.46
20160727,25.98,11.4,81.99
20160728,26.99,5.43,77.71
20160729,27.69,1.03,71.47
20160730,27.27,1.32,71.05
20160731,28.04,0.21,67.44
20160801,27.42,0.15,69.0
20160802,27.11,0.02,66.92
