,T2M,Rain,Humidity
20150101,25.37,0.15,77.86
20150102,25.13,0.01,70.19
20150103,25.28,0.0,70.5
20150104,25.39,0.0,72.33
20150105,25.85,0.0,73.59
20150106,26.02,0.01,74.9
20150107,26.14,0.0,76.34
20150108,26.18,0.0,74.91
20150109,26.2,0.0,72.05
20150110,26.12,0.0,70.4
20150111,25.54,0.0,54.06
20150112,24.8,0.0,60.98
20150113,24.57,0.0,62.08
20150114,24.72,0.0,61.91
20150115,25.02,0.0,64.43
20150116,25.63,0.0,65.24
20150117,25.99,0.0,66.86
20150118,26.5,0.0,68.43
20150119,26.45,0.0,69.32
20150120,26.36,0.0,67.94
20150121,26.03,0.04,70.84
20150122,26.09,0.06,66.92
20150123,26.15,0.01,64.37
20150124,26.64,0.01,67.09
20150125,27.31,0.01,65.89
20150126,27.12,0.02,54.89
20150127,26.61,0.0,61.78
20150128,27.01,0.0,64.86
20150129,26.96,0.03,70.5
20150130,27.34,0.02,65.26
20150131,27.76,0.01,60.92
20150201,27.29,0.0,61.06
20150202,27.51,0.02,58.45
20150203,26.92,0.0,52.27
20150204,26.78,0.0,52.43
20150205,27.6,0.0,55.43
20150206,27.67,0.0,60.17
20150207,27.13,0.02,64.84
20150208,26.66,0.1,64.04
20150209,27.41,0.08,58.08
20150210,27.26,0.01,58.05
20150211,27.44,0.01,63.35
20150212,27.83,0.01,62.36
20150213,27.82,0.06,64.6
20150214,27.77,0.0,61.35
20150215,27.74,0.0,64.42
20150216,27.92,0.01,62.48
20150217,27.46,0.02,70.27
20150218,27.1,0.02,71.79
20150219,27.14,0.02,71.53
20150220,27.97,0.0,61.39
20150221,28.17,0.0,49.54
20150222,28.41,0.0,46.7
20150223,27.99,0.0,47.7
20150224,27.71,0.0,55.49
20150225,27.6,0.0,62.79
20150226,27.51,0.0,67.19
20150227,27.72,0.07,68.75
20150228,27.81,0.33,66.54
20150301,27.81,0.35,68.96
20150302,27.54,0.31,71.22
20150303,27.62,1.13,69.96
20150304,27.67,0.38,69.41
20150305,28.1,0.07,67.1
20150306,27.99,4.16,72.15
20150307,27.75,2.26,73.92
20150308,27.62,1.51,72.36
20150309,27.7,1.23,71.82
20150310,28.2,0.64,66.56
20150311,28.45,0.11,58.45
20150312,28.82,0.1,60.22
20150313,28.83,1.29,63.6
20150314,28.71,3.04,62.25
20150315,27.64,11.68,75.09
20150316,28.01,6.81,73.96
20150317,28.08,1.73,74.45
20150318,28.07,0.15,74.58
20150319,28.65,0.06,71.2
20150320,28.88,0.01,65.62
20150321,28.81,0.01,62.51
20150322,28.9,0.0,65.47
20150323,28.81,0.0,72.48
20150324,29.03,0.0,71.97
20150325,28.81,0.01,71.8
20150326,28.98,0.01,68.18
20150327,28.94,0.29,63.18
20150328,28.97,0.72,66.42
20150329,28.81,1.02,71.38
20150330,28.63,1.59,71.34
20150331,28.17,1.93,74.8
