,T2M,Rain,Humidity
20150101,12.77,0.0,38.77
20150102,14.52,0.88,44.39
20150103,12.88,2.86,66.05
20150104,11.91,0.0,49.13
20150105,11.06,0.0,44.98
20150106,12.4,0.0,47.61
20150107,12.09,0.0,49.62
20150108,12.46,0.0,40.92
20150109,11.86,0.0,35.22
20150110,10.44,0.0,36.85
20150111,11.59,0.0,30.83
20150112,14.03,0.0,27.41
20150113,12.31,0.4,39.62
20150114,11.02,7.26,69.19
20150115,11.5,0.01,74.36
20150116,12.24,0.0,62.24
20150117,12.1,0.0,48.73
20150118,12.61,0.0,43.09
20150119,14.3,0.0,39.22
20150120,12.4,0.0,43.1
20150121,10.86,3.48,57.11
20150122,10.93,7.13,88.08
20150123,12.01,0.06,73.09
20150124,12.05,0.0,62.61
20150125,11.86,0.0,52.41
20150126,11.92,0.12,46.35
20150127,10.12,0.04,51.32
20150128,9.77,0.0,50.85
20150129,10.45,0.0,42.77
20150130,10.89,0.0,43.42
20150131,12.67,0.0,39.61
20150201,14.4,0.0,38.26
20150202,14.66,6.97,45.84
20150203,13.95,7.26,75.81
20150204,13.13,0.37,67.99
20150205,13.09,0.0,51.45
20150206,14.48,0.0,43.51
20150207,14.99,0.0,43.99
20150208,15.39,0.0,52.43
20150209,14.68,0.0,54.08
20150210,14.7,0.0,41.51
20150211,15.24,0.0,40.32
20150212,14.61,0.0,37.31
20150213,16.38,0.0,36.97
20150214,19.68,0.0,38.3
20150215,19.42,0.0,39.28
20150216,18.5,0.71,40.75
20150217,18.75,3.12,52.36
20150218,18.94,0.0,46.96
20150219,19.09,0.35,49.72
20150220,19.11,6.58,58.54
20150221,19.83,0.06,54.53
20150222,19.92,0.0,54.39
20150223,21.28,0.0,47.08
20150224,20.62,0.0,44.21
20150225,17.85,6.93,48.5
20150226,14.2,0.0,30.37
20150227,14.23,0.04,40.19
20150228,14.68,0.02,43.15
20150301,15.01,40.56,82.56
20150302,16.21,13.88,80.69
20150303,15.04,1.9,64.62
20150304,15.28,0.58,61.17
20150305,16.5,1.48,60.87
20150306,16.9,0.08,62.67
20150307,17.22,3.21,63.71
20150308,16.53,3.23,68.31
20150309,13.92,0.04,61.99
20150310,15.79,0.0,52.45
20150311,17.59,0.0,44.92
20150312,17.93,0.0,44.14
20150313,20.16,0.0,38.67
20150314,20.31,1.61,55.63
20150315,18.73,10.72,71.04
20150316,18.46,9.25,73.62
20150317,18.62,0.03,63.05
20150318,18.42,0.0,60.56
20150319,20.24,0.0,48.46
20150320,21.84,0.0,43.13
20150321,22.97,0.0,50.43
20150322,23.5,0.0,53.0
20150323,24.27,0.0,51.44
20150324,26.67,0.0,37.1
20150325,25.99,0.0,42.92
20150326,25.72,0.0,44.93
20150327,26.05,0.0,38.4
20150328,26.58,0.03,33.29
20150329,22.24,3.52,54.79
20150330,22.06,5.93,68.35
20150331,24.07,0.02,56.97
20150401,24.57,0.09,54.17
20150402,24.98,0.0,50.34
20150403,23.35,12.65,60.7
20150404,23.49,1.71,53.66
20150405,23.32,0.0,51.77
20150406,23.9,0.82,52.54
20150407,22.5,3.85,59.27
20150408,23.61,0.02,51.8
20150409,24.12,0.0,50.42
20150410,25.65,0.0,46.09
20150411,27.59,0.45,43.2
20150412,24.88,1.47,60.48
20150413,26.83,0.01,47.79
20150414,26.13,0.11,54.45
20150415,26.88,12.01,54.08
20150416,26.61,2.04,53.86
20150417,26.58,2.81,54.62
20150418,28.89,0.0,45.64
20150419,30.94,0.0,39.43
20150420,30.27,0.01,36.32
20150421,28.67,0.0,39.79
20150422,29.12,0.0,34.17
20150423,31.37,0.0,24.48
20150424,32.06,0.0,22.68
20150425,33.0,0.0,22.92
20150426,29.1,0.0,38.32
