,T2M,Rain,Humidity
20150101,18.37,22.53,86.43
20150102,19.0,5.97,78.78
20150103,17.62,4.56,87.42
20150104,16.79,0.51,76.65
20150105,13.07,0.0,63.66
20150106,14.2,0.0,51.08
20150107,15.74,0.0,47.9
20150108,13.95,0.0,57.15
20150109,12.73,0.0,54.42
20150110,13.61,0.0,46.68
20150111,13.6,0.0,45.99
20150112,13.98,0.0,46.08
20150113,14.49,0.0,43.74
20150114,15.65,0.0,44.47
20150115,15.16,0.0,50.08
20150116,14.55,0.0,53.97
20150117,13.69,0.0,53.33
20150118,12.79,0.0,47.32
20150119,14.09,0.0,45.84
20150120,14.84,0.0,47.64
20150121,16.13,0.0,53.29
20150122,17.77,0.48,51.22
20150123,17.44,2.83,68.15
20150124,17.68,0.09,71.13
20150125,19.43,0.0,62.08
20150126,19.45,0.03,62.6
20150127,19.72,0.34,63.14
20150128,18.5,2.32,70.25
20150129,17.41,3.14,72.95
20150130,15.05,0.0,45.5
20150131,14.49,0.0,36.88
20150201,17.18,0.0,33.69
20150202,17.24,0.0,39.55
20150203,19.13,0.0,39.51
20150204,19.93,0.09,44.6
20150205,18.81,0.0,49.7
20150206,19.17,0.0,43.31
20150207,20.43,0.0,43.37
20150208,20.35,2.71,50.15
20150209,18.38,1.51,61.58
20150210,19.37,0.33,56.81
20150211,18.27,2.27,63.26
20150212,18.7,2.09,67.76
20150213,18.27,0.0,50.13
20150214,19.85,0.0,37.95
20150215,21.14,0.0,38.04
20150216,20.49,0.0,36.12
20150217,21.84,0.0,33.74
20150218,22.78,0.0,31.04
20150219,22.08,0.0,33.08
20150220,22.87,0.0,33.09
20150221,23.19,0.24,33.73
20150222,22.8,0.0,34.51
20150223,23.02,0.0,30.65
20150224,23.49,0.0,28.3
20150225,25.01,0.0,25.95
20150226,23.88,0.0,30.36
20150227,24.65,0.0,33.36
20150228,25.39,7.15,34.31
20150301,22.07,3.71,65.27
20150302,19.19,32.0,79.25
20150303,19.57,2.4,67.92
20150304,16.99,0.0,55.1
20150305,18.52,0.0,51.39
20150306,19.86,0.0,48.33
20150307,21.73,0.0,43.69
20150308,23.11,0.0,44.88
20150309,23.83,0.14,49.26
20150310,22.76,0.01,52.45
20150311,22.86,0.0,43.61
20150312,24.6,0.22,43.37
20150313,24.82,0.29,48.86
20150314,23.6,3.65,56.2
20150315,23.88,4.2,55.43
20150316,22.82,5.79,58.91
20150317,23.45,0.94,63.29
20150318,22.48,0.0,55.01
20150319,22.01,0.0,43.96
20150320,22.75,0.0,39.43
20150321,23.87,0.0,39.78
20150322,26.03,0.0,39.48
20150323,27.1,0.0,37.97
20150324,26.37,0.0,37.29
20150325,26.75,0.0,27.36
20150326,28.05,0.0,25.39
20150327,28.98,0.0,28.03
20150328,29.11,0.34,30.99
20150329,28.33,2.46,37.08
20150330,24.03,1.53,56.11
20150331,26.52,0.0,44.56
20150401,27.42,0.0,30.28
20150402,27.97,0.0,23.54
20150403,28.03,0.0,28.72
20150404,28.02,0.0,26.58
20150405,27.31,0.0,30.45
20150406,28.39,0.0,32.2
20150407,28.94,0.0,30.5
20150408,28.75,6.67,38.98
20150409,28.56,1.43,50.3
20150410,29.27,0.17,45.14
20150411,28.05,0.75,47.43
20150412,23.47,1.93,62.6
20150413,22.43,2.09,67.3
20150414,23.8,5.83,62.44
20150415,23.44,3.08,61.95
20150416,26.04,0.05,53.65
20150417,27.63,0.0,47.41
20150418,29.55,0.0,43.25
20150419,31.51,0.0,38.53
20150420,31.98,0.0,34.44
20150421,32.18,0.0,27.71
20150422,32.5,0.0,24.04
20150423,32.21,0.0,21.83
20150424,31.58,0.13,17.22
20150425,30.45,1.38,30.95
20150426,29.41,3.1,42.39
20150427,30.89,0.09,36.46
20150428,32.48,0.01,27.91
20150429,32.61,0.09,23.41
20150430,32.25,0.15,27.81
20150501,32.3,0.0,20.39
20150502,32.7,0.0,14.07
20150503,32.74,0.77,22.11
20150504,32.6,0.18,29.67
20150505,32.81,0.1,30.28
20150506,33.04,0.0,22.09
20150507,33.21,0.0,18.88
20150508,34.52,0.0,14.6
20150509,34.17,0.0,14.97
20150510,33.1,0.0,21.09
20150511,33.85,1.11,28.61
20150512,33.77,0.25,33.93
20150513,34.3,0.35,29.47
20150514,32.7,0.23,35.39
20150515,29.61,1.68,45.87
20150516,32.1,1.6,41.07
20150517,32.29,0.51,36.88
20150518,33.9,0.0,29.66
20150519,35.5,0.0,26.63
20150520,35.56,0.05,25.05
20150521,35.55,0.0,20.17
20150522,36.31,0.0,19.07
20150523,36.39,0.0,17.0
20150524,35.88,0.1,22.08
20150525,36.3,0.11,23.99
20150526,36.44,0.03,23.69
20150527,36.81,0.39,19.55
20150528,35.56,0.0,8.5
20150529,36.61,0.0,16.61
20150530,37.31,0.0,17.16
20150531,37.39,0.01,19.78
20150601,34.07,0.71,34.99
20150602,34.2,0.71,34.11
20150603,34.31,0.01,31.02
20150604,33.52,0.01,37.74
20150605,33.96,1.05,37.79
20150606,34.16,4.14,37.86
20150607,33.2,1.12,43.24
20150608,34.8,0.0,36.25
20150609,35.52,0.01,30.09
20150610,34.83,0.11,32.31
20150611,33.24,1.83,41.71
