,T2M,Rain,Humidity
20150101,13.87,11.87,86.11
20150102,13.34,0.93,88.03
20150103,15.2,0.42,75.08
20150104,14.25,0.02,70.13
20150105,15.46,0.0,47.47
20150106,15.49,0.0,44.85
20150107,15.69,0.0,48.04
20150108,14.9,0.0,47.07
20150109,14.45,0.0,44.88
20150110,16.79,0.0,38.67
20150111,17.41,0.0,38.78
20150112,16.47,0.0,45.55
20150113,16.56,0.0,42.38
20150114,16.67,0.0,43.88
20150115,13.26,0.0,50.25
20150116,13.3,0.0,45.61
20150117,12.41,0.0,42.08
20150118,13.23,0.0,39.94
20150119,14.34,0.0,40.28
20150120,15.62,0.0,45.31
20150121,17.72,4.31,59.44
20150122,17.15,3.7,76.82
20150123,15.97,0.36,75.38
20150124,15.15,0.01,73.38
20150125,13.63,6.79,82.56
20150126,14.93,0.48,77.88
20150127,14.54,0.05,74.49
20150128,13.24,0.0,61.81
20150129,13.05,0.0,50.2
20150130,12.69,0.0,45.73
20150131,15.88,0.0,37.34
20150201,16.71,0.0,45.59
20150202,18.23,0.0,47.95
20150203,18.62,0.0,49.21
20150204,16.08,0.0,52.56
20150205,16.96,0.0,42.91
20150206,19.16,0.01,45.07
20150207,20.05,0.52,44.35
20150208,19.28,3.47,53.27
20150209,18.0,0.06,67.18
20150210,17.74,0.0,53.57
20150211,18.53,0.25,51.81
20150212,18.16,0.0,46.41
20150213,20.22,0.0,32.3
20150214,21.46,0.0,32.67
20150215,21.65,0.0,34.61
20150216,22.54,0.0,34.13
20150217,23.26,0.0,30.97
20150218,22.9,0.0,31.96
20150219,23.94,0.0,30.99
20150220,24.66,0.0,30.98
20150221,24.09,0.0,29.29
20150222,24.51,0.0,29.49
20150223,25.69,0.0,25.71
20150224,24.9,0.0,30.04
20150225,24.31,0.0,35.0
20150226,20.56,0.0,19.73
20150227,19.87,0.0,19.08
20150228,20.17,0.04,29.12
20150301,20.03,16.49,61.74
20150302,19.07,1.57,65.66
20150303,18.17,0.0,51.67
20150304,19.13,0.0,45.56
20150305,20.33,0.0,45.04
20150306,21.5,0.0,46.39
20150307,22.44,0.0,47.57
20150308,22.81,0.0,46.84
20150309,18.41,0.0,27.8
20150310,18.36,0.0,36.2
20150311,23.44,0.23,35.79
20150312,24.43,1.43,56.38
20150313,23.07,17.07,61.97
20150314,21.21,27.23,73.4
20150315,21.4,17.18,75.38
20150316,20.65,0.0,55.27
20150317,20.02,0.0,60.16
20150318,19.61,0.0,53.11
20150319,21.37,0.0,45.02
20150320,23.32,0.0,45.23
20150321,25.54,0.0,43.86
20150322,26.55,0.0,46.05
20150323,26.44,0.0,47.74
20150324,27.8,0.0,41.57
20150325,27.54,0.0,42.89
20150326,27.38,0.0,45.09
20150327,27.31,0.0,46.72
20150328,28.79,0.01,44.89
20150329,27.34,0.08,46.5
20150330,27.1,0.08,35.51
20150331,26.09,0.0,33.63
20150401,27.53,0.0,32.61
20150402,28.51,0.0,33.25
20150403,28.47,0.0,37.31
20150404,26.27,0.09,44.53
20150405,26.02,0.0,53.26
20150406,27.42,1.47,46.09
20150407,26.3,5.35,50.66
20150408,26.58,0.55,48.42
20150409,27.29,0.11,42.58
20150410,29.38,0.0,37.89
20150411,29.6,1.3,38.15
20150412,26.41,2.87,49.57
20150413,24.22,1.63,57.61
20150414,24.19,1.86,59.25
20150415,26.34,0.06,52.62
20150416,28.24,0.0,45.19
20150417,30.36,0.0,38.21
20150418,32.81,0.0,28.85
20150419,33.21,0.0,26.99
20150420,33.34,0.0,22.8
20150421,32.95,0.0,21.49
20150422,31.69,0.0,20.72
20150423,31.2,0.0,18.71
20150424,32.23,0.0,18.89
20150425,32.71,0.0,18.28
20150426,33.19,0.0,21.19
20150427,34.12,0.0,21.81
20150428,34.32,0.0,19.16
20150429,33.54,0.0,20.82
20150430,33.66,0.0,18.6
20150501,32.97,0.0,18.17
20150502,32.74,0.0,15.13
20150503,32.89,0.0,17.35
20150504,33.51,0.0,17.67
20150505,34.68,0.0,16.55
20150506,34.59,0.0,15.43
20150507,35.29,0.0,16.68
20150508,35.5,0.0,21.4
20150509,35.15,0.0,22.11
20150510,34.65,0.05,21.56
20150511,34.9,0.0,25.26
20150512,35.35,0.07,27.58
20150513,34.74,0.2,27.73
20150514,34.02,0.14,25.41
20150515,35.31,0.15,22.09
20150516,35.94,0.0,20.82
20150517,35.79,0.0,19.49
20150518,36.74,0.0,16.69
20150519,37.48,0.0,23.35
20150520,36.84,0.0,24.63
20150521,36.88,0.0,25.48
20150522,36.76,0.0,23.36
20150523,36.02,0.0,23.7
20150524,35.56,0.0,32.89
20150525,35.85,0.0,33.43
20150526,35.69,0.0,32.84
20150527,36.41,0.0,29.43
20150528,36.54,0.01,26.67
20150529,36.65,0.31,25.41
20150530,36.86,0.0,23.47
20150531,36.96,0.0,20.61
20150601,36.74,0.0,20.98
20150602,34.86,1.54,35.24
20150603,32.77,3.43,42.29
20150604,32.56,0.0,39.63
20150605,33.82,0.0,31.03
20150606,34.87,0.0,26.07
20150607,36.25,0.0,25.15
20150608,36.48,0.0,28.93
20150609,35.06,0.0,35.39
20150610,34.12,3.11,42.46
20150611,33.04,2.76,48.05
20150612,31.84,8.21,57.16
20150613,31.75,3.02,58.31
20150614,31.33,3.34,60.37
20150615,30.74,17.29,63.65
20150616,31.14,3.88,61.95
20150617,32.06,0.86,56.35
20150618,32.37,1.36,55.15
20150619,31.83,1.75,58.17
20150620,32.06,0.64,58.67
20150621,33.17,3.4,55.55
20150622,29.69,6.64,69.38
20150623,29.81,3.28,69.43
20150624,28.54,3.74,73.49
20150625,29.2,15.97,70.05
20150626,29.49,11.21,67.21
20150627,30.43,0.0,63.38
20150628,30.48,2.52,62.68
20150629,30.72,8.95,63.99
20150630,30.17,0.59,64.15
20150701,29.9,0.02,63.86
20150702,29.94,0.06,61.74
20150703,30.51,0.0,60.38
20150704,30.89,0.0,58.15
20150705,31.09,0.0,59.51
20150706,30.67,0.0,60.75
20150707,30.29,0.0,61.26
20150708,30.35,11.12,64.11
20150709,29.28,16.24,69.96
20150710,29.18,18.38,69.07
20150711,29.27,10.18,70.61
20150712,28.27,6.56,72.82
20150713,29.39,2.67,70.33
20150714,30.62,0.86,63.9
20150715,30.49,0.16,61.84
20150716,29.64,0.01,64.83
20150717,28.83,10.85,70.53
20150718,27.9,27.16,79.11
20150719,27.58,15.74,81.01
20150720,26.32,23.75,87.01
20150721,27.79,48.78,83.5
20150722,27.75,11.65,83.38
20150723,27.84,26.22,84.76
20150724,26.78,14.37,87.3
20150725,26.66,49.73,89.52
20150726,25.56,61.64,91.87
20150727,26.01,10.11,85.63
20150728,24.9,14.9,85.35
20150729,25.46,3.95,88.14
20150730,26.33,0.62,82.63
20150731,26.36,0.17,82.36
20150801,26.07,1.53,84.38
20150802,26.55,2.86,82.61
20150803,26.49,6.79,82.24
20150804,26.75,19.84,84.5
20150805,26.66,6.55,85.43
20150806,27.16,1.45,83.01
20150807,25.97,0.74,87.83
20150808,26.67,1.53,85.87
