,T2M,Rain,Humidity
20150101,24.22,1.6,68.7
20150102,23.64,0.04,65.5
20150103,23.62,0.0,63.25
20150104,24.25,0.0,59.26
20150105,24.14,0.0,58.32
20150106,23.72,0.0,58.37
20150107,23.12,0.0,55.11
20150108,23.42,0.0,54.17
20150109,23.26,0.0,58.71
20150110,21.91,0.0,44.77
20150111,20.16,0.0,38.29
20150112,20.12,0.0,48.04
20150113,20.15,0.0,46.63
20150114,20.43,0.0,47.55
20150115,21.01,0.0,51.64
20150116,22.33,0.0,53.65
20150117,23.57,0.0,54.57
20150118,23.61,0.0,52.39
20150119,23.35,0.0,53.54
20150120,23.2,0.0,55.51
20150121,22.75,0.0,54.32
20150122,21.82,0.0,48.52
20150123,22.85,0.0,57.1
20150124,23.97,0.0,60.59
20150125,23.92,0.0,48.55
20150126,21.99,0.0,50.02
20150127,22.91,0.0,56.11
20150128,24.1,0.0,56.41
20150129,24.99,0.0,55.15
20150130,25.28,0.0,51.59
20150131,24.37,0.0,47.78
20150201,23.7,0.0,50.17
20150202,23.28,0.0,50.58
20150203,22.66,0.0,49.5
20150204,22.75,0.0,47.66
20150205,23.73,0.0,43.78
20150206,24.11,0.0,41.95
20150207,24.01,0.0,44.89
20150208,22.97,0.0,45.78
20150209,23.67,0.0,46.44
20150210,22.86,0.0,46.18
20150211,24.06,0.0,43.54
20150212,24.9,0.0,45.06
20150213,24.96,0.0,41.59
20150214,24.8,0.0,29.42
20150215,25.16,0.0,33.31
20150216,24.54,0.0,42.05
20150217,24.53,0.0,32.79
20150218,24.53,0.0,31.75
20150219,24.99,0.0,35.07
20150220,24.26,0.0,36.29
20150221,24.06,0.0,41.36
20150222,24.22,0.0,43.35
20150223,23.79,0.0,33.52
20150224,23.7,0.0,29.21
20150225,25.06,0.0,30.51
20150226,26.94,0.0,44.29
20150227,27.94,0.0,44.76
20150228,26.9,0.62,51.57
20150301,27.69,0.44,52.55
20150302,27.83,1.57,51.66
20150303,26.76,7.37,57.47
20150304,26.56,1.57,61.18
20150305,27.98,0.0,50.29
20150306,26.94,7.25,60.05
20150307,25.98,2.25,64.65
20150308,25.83,0.37,61.75
20150309,26.08,0.04,54.6
20150310,25.65,0.01,46.36
20150311,24.99,0.0,44.1
20150312,26.32,0.0,49.89
20150313,26.59,0.0,47.4
20150314,26.47,0.0,46.57
20150315,27.43,2.49,53.0
20150316,25.91,3.42,55.66
20150317,26.04,0.0,45.01
20150318,26.7,0.0,37.97
20150319,27.0,0.0,34.69
20150320,26.85,0.0,32.21
20150321,26.55,0.0,38.48
20150322,27.39,0.0,31.42
20150323,28.86,0.0,33.52
20150324,29.73,0.0,33.95
20150325,28.42,0.0,37.99
20150326,27.77,0.0,38.03
20150327,26.98,0.0,35.69
20150328,26.97,0.0,34.11
20150329,28.28,0.04,40.46
20150330,29.01,0.08,38.77
20150331,29.05,0.53,46.36
20150401,28.76,2.14,50.91
20150402,29.81,0.15,49.94
20150403,28.97,4.33,56.53
20150404,29.59,0.16,52.17
20150405,30.32,0.0,46.48
20150406,30.09,0.03,48.88
20150407,29.52,0.2,51.47
20150408,29.88,0.12,45.57
20150409,29.69,0.15,37.28
20150410,29.36,1.39,49.64
20150411,26.64,4.01,61.42
20150412,25.91,7.31,65.87
20150413,24.82,7.11,71.07
20150414,25.33,5.69,69.72
20150415,25.53,6.7,71.02
20150416,24.55,3.48,71.47
20150417,26.84,4.93,61.54
20150418,27.6,0.07,60.09
20150419,27.18,0.16,64.32
20150420,28.29,0.14,58.06
20150421,27.72,0.7,60.06
20150422,27.28,1.28,64.79
20150423,25.95,5.58,72.02
20150424,26.23,17.75,71.7
20150425,24.69,23.04,77.89
20150426,25.77,3.07,69.35
20150427,26.18,0.23,65.93
20150428,27.51,0.02,62.35
20150429,28.39,0.51,60.56
20150430,27.7,2.99,65.78
20150501,28.29,7.36,63.47
20150502,26.59,8.38,71.68
20150503,26.91,1.98,68.6
20150504,27.1,0.16,66.32
20150505,26.3,0.12,69.47
20150506,26.16,0.43,69.12
20150507,26.35,1.66,69.89
20150508,26.43,0.69,71.08
20150509,26.22,0.76,74.07
20150510,26.24,1.98,70.84
