,T2M,Rain,Humidity
20150101,16.92,17.66,82.6
20150102,17.69,4.32,86.13
20150103,17.44,1.94,87.32
20150104,15.82,0.98,80.73
20150105,12.39,0.0,64.17
20150106,13.6,0.0,50.76
20150107,14.85,0.0,52.53
20150108,13.58,0.0,58.94
20150109,12.18,0.0,54.11
20150110,13.16,0.0,42.5
20150111,13.17,0.0,41.75
20150112,12.9,0.0,44.62
20150113,12.45,0.0,49.04
20150114,14.58,0.0,45.59
20150115,14.44,0.0,49.2
20150116,13.2,0.0,56.48
20150117,12.08,0.0,55.28
20150118,12.35,0.0,50.55
20150119,12.28,0.0,50.44
20150120,13.4,0.0,44.56
20150121,15.77,0.0,49.95
20150122,17.16,0.2,54.78
20150123,16.2,0.47,72.21
20150124,16.33,0.01,72.59
20150125,18.32,0.0,61.2
20150126,18.72,0.62,62.24
20150127,18.49,1.67,69.78
20150128,17.13,2.97,75.43
20150129,16.05,7.71,74.26
20150130,13.16,0.62,47.55
20150131,13.29,0.0,37.32
20150201,16.21,0.0,34.84
20150202,16.61,0.0,43.39
20150203,19.17,0.0,41.52
20150204,17.89,0.24,56.7
20150205,16.73,0.0,49.66
20150206,17.04,0.0,44.57
20150207,18.82,0.0,49.14
20150208,19.33,1.69,55.15
20150209,17.52,0.86,69.18
20150210,18.16,0.0,54.58
20150211,17.98,4.48,58.22
20150212,17.91,0.74,66.24
20150213,17.64,0.0,51.39
20150214,19.0,0.0,39.46
20150215,20.02,0.0,43.92
20150216,20.02,0.0,43.63
20150217,20.95,0.0,41.77
20150218,21.53,0.0,37.3
20150219,20.43,0.0,39.61
20150220,21.88,0.0,35.53
20150221,22.33,0.0,34.48
20150222,21.5,0.0,40.08
20150223,22.03,0.0,36.26
20150224,23.03,0.0,32.8
20150225,24.57,0.0,29.82
20150226,23.53,0.0,36.17
20150227,23.63,0.15,42.83
20150228,23.97,1.57,41.68
20150301,23.14,5.39,57.02
20150302,19.32,18.5,75.96
20150303,19.46,3.83,66.49
20150304,17.19,0.0,53.82
20150305,18.46,0.0,43.57
20150306,19.45,0.0,42.91
20150307,20.83,0.0,42.81
20150308,22.42,0.0,43.09
20150309,23.79,0.17,46.85
20150310,22.16,0.03,50.18
20150311,21.6,0.0,36.44
20150312,23.26,0.0,39.73
20150313,24.46,0.0,41.24
20150314,24.21,0.31,49.23
20150315,23.8,3.04,58.02
20150316,23.07,1.46,56.96
20150317,22.81,8.4,62.46
20150318,22.22,0.0,50.5
20150319,21.2,0.0,42.25
20150320,22.14,0.0,37.43
20150321,23.33,0.0,33.1
20150322,25.69,0.0,36.72
20150323,26.28,0.0,39.75
20150324,25.86,0.0,37.14
20150325,26.48,0.0,31.91
20150326,27.27,0.0,31.38
20150327,27.69,0.0,31.13
20150328,28.13,0.0,30.76
20150329,28.47,0.92,34.26
20150330,23.74,2.84,59.34
20150331,25.53,2.51,44.76
20150401,26.44,0.0,32.34
20150402,28.27,0.0,25.88
20150403,28.03,0.0,31.92
20150404,28.28,0.0,31.22
20150405,27.49,0.01,35.69
20150406,28.15,0.1,38.64
20150407,28.92,0.01,29.53
20150408,28.19,0.74,32.53
20150409,27.32,11.77,39.87
20150410,28.95,0.0,36.91
20150411,28.78,1.58,44.43
20150412,24.46,1.39,57.65
20150413,22.92,3.48,65.65
20150414,24.72,6.07,59.92
20150415,24.16,6.92,58.71
20150416,25.88,0.16,52.42
20150417,27.24,0.19,46.74
20150418,29.47,0.0,39.93
20150419,31.38,0.0,34.3
20150420,31.66,0.0,33.76
20150421,32.3,0.0,30.87
20150422,30.92,0.0,30.6
20150423,31.33,0.0,24.88
20150424,31.46,0.0,20.14
20150425,29.81,2.24,31.87
20150426,28.01,4.23,49.22
20150427,29.93,0.51,41.76
20150428,31.33,0.0,34.32
20150429,31.22,0.89,33.68
20150430,31.0,0.29,31.22
20150501,31.91,0.0,22.31
20150502,31.07,0.0,18.93
20150503,32.31,0.01,24.08
20150504,33.26,0.02,22.78
20150505,33.19,0.2,24.48
20150506,33.47,0.01,15.73
