,T2M,Rain,Humidity
20150101,13.14,0.0,35.71
20150102,15.04,1.83,46.89
20150103,13.79,1.8,66.05
20150104,12.59,0.0,46.76
20150105,11.65,0.0,44.93
20150106,12.92,0.0,48.05
20150107,12.72,0.0,49.2
20150108,12.7,0.0,39.4
20150109,12.37,0.0,32.54
20150110,11.0,0.0,33.24
20150111,12.34,0.0,27.0
20150112,14.43,0.0,24.27
20150113,12.8,0.29,38.2
20150114,11.46,5.7,60.82
20150115,11.44,0.05,73.55
20150116,12.55,0.0,63.63
20150117,12.89,0.0,49.46
20150118,13.3,0.0,43.24
20150119,14.89,0.0,38.37
20150120,12.36,0.0,40.93
20150121,11.72,1.24,48.83
20150122,11.87,7.06,80.79
20150123,12.34,0.02,70.9
20150124,12.27,0.0,60.28
20150125,12.25,0.0,50.64
20150126,12.39,0.07,46.21
20150127,10.21,0.11,50.09
20150128,9.83,0.0,50.64
20150129,10.36,0.0,40.8
20150130,11.08,0.0,40.22
20150131,13.41,0.0,36.62
20150201,14.34,0.0,37.81
20150202,14.7,8.25,46.31
20150203,14.09,2.88,71.95
20150204,13.19,0.26,68.23
20150205,13.29,0.0,51.43
20150206,14.62,0.0,43.13
20150207,14.99,0.0,44.36
20150208,15.6,0.0,50.48
20150209,14.97,0.0,53.3
20150210,14.98,0.0,41.29
20150211,15.24,0.0,38.84
20150212,14.91,0.0,35.23
20150213,17.19,0.0,33.06
20150214,20.1,0.0,35.54
20150215,20.52,0.0,32.74
20150216,19.16,0.36,34.83
20150217,18.95,1.04,49.69
20150218,19.52,0.0,43.01
20150219,19.97,0.09,43.11
20150220,20.22,2.88,49.46
20150221,20.11,0.25,52.47
20150222,20.5,0.0,49.86
20150223,21.45,0.0,42.81
20150224,20.92,0.0,38.89
20150225,18.84,4.37,40.91
20150226,14.35,0.0,27.38
20150227,15.05,0.03,31.13
20150228,14.88,0.0,39.94
20150301,15.46,36.69,81.42
20150302,16.3,8.95,78.39
20150303,15.48,1.41,60.54
20150304,16.05,0.19,54.87
20150305,17.34,0.91,53.31
20150306,17.14,0.47,63.35
20150307,17.68,5.1,63.74
20150308,16.76,2.47,64.53
20150309,14.0,0.01,56.7
20150310,16.18,0.0,49.15
20150311,18.14,0.0,40.99
20150312,18.38,0.0,42.33
20150313,21.18,0.0,38.53
20150314,20.38,1.65,58.36
20150315,18.88,11.92,71.08
20150316,19.03,8.61,70.95
20150317,19.1,0.0,58.94
20150318,18.74,0.0,57.67
20150319,20.8,0.0,44.65
20150320,22.7,0.0,38.75
20150321,23.84,0.0,45.57
20150322,23.96,0.0,50.44
20150323,24.57,0.0,48.32
20150324,27.23,0.0,32.33
20150325,26.69,0.0,37.07
20150326,26.17,0.0,42.68
20150327,26.91,0.0,37.36
20150328,27.21,0.01,31.55
20150329,22.76,4.36,53.07
20150330,22.37,2.86,66.53
20150331,24.37,0.0,55.66
20150401,25.48,0.05,50.41
20150402,25.35,0.01,48.81
20150403,23.38,20.93,61.72
20150404,23.09,5.14,56.86
20150405,23.45,0.0,51.02
20150406,24.19,1.04,50.67
20150407,23.22,2.73,55.3
20150408,23.81,0.05,50.69
20150409,24.15,0.0,49.22
20150410,25.74,0.0,44.87
20150411,28.47,1.58,37.39
20150412,25.44,1.12,57.33
20150413,26.66,0.04,48.18
20150414,25.96,0.09,55.99
20150415,26.82,8.84,53.31
20150416,27.06,0.8,51.63
20150417,26.77,5.69,52.49
20150418,28.98,0.0,44.54
20150419,30.91,0.0,39.96
20150420,30.55,0.0,35.3
20150421,28.81,0.0,39.38
20150422,29.22,0.0,33.03
20150423,31.76,0.0,22.6
20150424,32.11,0.0,22.6
20150425,32.89,0.0,22.16
20150426,28.94,0.0,37.81
20150427,30.21,0.0,38.11
20150428,31.57,2.28,38.79
20150429,31.13,1.09,32.28
20150430,31.08,0.04,29.93
20150501,29.47,4.75,39.35
20150502,30.33,0.0,28.43
20150503,31.78,0.0,21.51
20150504,32.81,0.0,19.52
20150505,33.65,0.0,19.02
20150506,34.24,0.0,19.94
20150507,34.31,0.0,18.33
20150508,34.51,0.0,17.85
20150509,35.08,0.0,23.29
20150510,35.55,0.0,23.27
20150511,34.8,1.61,27.41
20150512,33.25,0.67,27.95
20150513,32.3,1.79,31.87
20150514,31.71,1.07,37.62
20150515,32.57,0.47,35.32
20150516,33.7,1.17,27.69
20150517,34.12,0.0,23.62
20150518,37.1,0.0,21.28
20150519,36.14,0.0,24.96
20150520,35.25,0.64,15.88
20150521,35.48,0.0,14.48
20150522,36.31,0.0,12.69
20150523,36.76,0.0,11.29
20150524,37.18,0.0,10.98
20150525,37.16,0.0,11.26
20150526,35.74,0.0,10.71
20150527,34.45,0.0,8.0
20150528,35.72,0.01,10.83
20150529,36.19,0.3,19.37
20150530,36.26,0.0,19.88
20150531,36.52,0.01,18.57
20150601,36.07,0.37,17.51
20150602,34.19,0.03,29.8
20150603,33.77,0.23,30.21
20150604,32.73,5.79,33.57
20150605,33.66,0.0,33.22
20150606,35.2,0.0,25.56
20150607,36.37,0.0,21.3
20150608,38.09,0.0,17.19
20150609,38.37,0.0,18.71
20150610,36.34,0.0,31.76
20150611,37.05,0.42,27.15
20150612,37.23,0.0,28.62
20150613,36.56,7.03,30.74
20150614,32.22,8.0,47.35
20150615,33.07,3.37,49.83
20150616,33.95,0.59,42.74
20150617,34.55,0.3,38.57
20150618,35.92,0.03,33.92
20150619,37.49,0.0,28.93
20150620,36.58,0.11,29.37
20150621,35.33,12.99,43.35
20150622,34.69,3.89,42.69
20150623,35.83,0.04,37.44
20150624,32.43,31.4,58.09
20150625,32.21,4.15,54.92
20150626,32.82,0.46,43.25
20150627,33.28,0.37,51.12
20150628,34.4,0.0,44.89
20150629,34.65,0.34,40.97
20150630,32.84,9.62,50.56
20150701,33.37,0.01,47.08
20150702,33.36,0.54,47.84
20150703,33.94,3.86,48.35
20150704,34.92,0.32,47.52
20150705,35.37,5.14,46.81
20150706,32.63,21.99,59.06
20150707,30.76,5.23,63.13
20150708,32.05,8.76,59.21
20150709,32.77,3.64,55.4
20150710,32.44,5.05,56.53
20150711,30.03,13.16,69.53
20150712,29.35,48.59,76.4
20150713,30.21,4.17,70.83
20150714,31.63,0.0,62.88
20150715,32.79,0.04,56.64
20150716,32.91,0.49,57.05
20150717,31.48,22.01,65.91
20150718,30.14,12.48,71.73
20150719,31.5,0.36,66.87
20150720,31.03,7.2,67.23
20150721,31.3,7.65,67.55
20150722,31.08,0.46,67.38
20150723,30.43,1.59,73.21
20150724,30.43,0.18,71.37
20150725,31.03,1.2,69.5
20150726,30.36,0.43,70.31
20150727,30.17,0.46,70.75
20150728,30.15,0.01,65.06
20150729,29.64,0.01,66.75
20150730,30.83,0.76,65.79
20150731,30.16,3.68,69.64
20150801,29.57,2.37,72.84
20150802,28.74,7.24,76.5
20150803,29.98,2.7,71.19
20150804,31.79,0.14,61.32
20150805,32.76,0.77,57.7
20150806,32.92,13.98,59.0
20150807,32.96,0.16,59.96
20150808,32.48,3.99,59.62
20150809,32.07,2.03,57.96
20150810,32.66,0.48,52.61
20150811,32.56,0.08,53.65
20150812,29.28,33.28,74.13
20150813,30.82,3.05,66.37
20150814,31.31,0.83,68.36
20150815,31.16,3.41,68.91
20150816,30.41,0.8,70.3
20150817,31.23,2.52,64.6
20150818,31.61,6.45,64.6
20150819,31.11,2.44,61.81
20150820,30.96,1.79,59.71
20150821,30.54,6.59,64.02
20150822,30.32,7.96,62.85
20150823,30.64,1.39,61.31
20150824,30.59,1.28,61.46
20150825,30.81,0.0,56.07
20150826,31.12,0.0,55.9
20150827,31.94,0.0,52.85
20150828,32.01,0.63,54.08
20150829,32.2,3.42,55.52
20150830,31.89,0.01,50.86
20150831,30.64,0.11,49.23
20150901,30.84,0.0,46.05
20150902,30.64,0.0,43.64
20150903,30.14,0.12,45.58
20150904,29.81,0.0,40.88
20150905,29.73,0.0,39.51
20150906,30.43,0.0,39.36
20150907,30.41,0.0,41.02
20150908,30.63,0.0,40.36
20150909,31.21,0.0,38.34
20150910,30.95,0.0,35.96
20150911,31.13,0.0,36.25
20150912,32.5,0.0,33.86
20150913,31.86,0.0,32.79
20150914,32.56,0.0,30.77
20150915,33.17,0.0,29.21
20150916,32.31,0.05,29.13
20150917,31.56,0.58,35.74
20150918,31.33,0.09,36.26
20150919,26.2,5.58,69.05
20150920,28.46,20.19,72.56
20150921,29.75,9.77,65.62
20150922,29.56,8.54,65.03
20150923,26.88,4.83,67.21
20150924,27.17,0.0,52.65
20150925,27.48,0.0,47.66
20150926,28.3,0.03,46.57
20150927,28.25,1.85,49.16
20150928,27.39,0.44,48.62
20150929,27.31,0.0,44.79
20150930,26.49,0.0,46.27
20151001,27.01,0.0,45.55
20151002,27.69,0.0,42.72
20151003,28.26,0.0,39.26
20151004,28.59,0.0,35.73
20151005,28.13,0.0,41.25
20151006,27.76,0.0,44.77
20151007,28.06,0.0,44.36
20151008,27.67,0.0,43.54
20151009,28.08,0.0,39.65
20151010,28.28,0.0,37.62
20151011,28.91,0.0,42.0
20151012,29.22,0.0,48.89
20151013,28.97,0.14,45.93
20151014,27.66,0.86,43.81
20151015,26.84,0.22,47.63
20151016,27.22,0.0,45.13
20151017,26.92,0.0,43.44
20151018,28.16,0.0,38.44
20151019,27.97,0.0,37.27
