,T2M,Rain,Humidity
20150101,19.82,2.88,80.45
20150102,22.53,9.77,82.44
20150103,23.42,16.93,88.12
20150104,21.43,11.06,86.64
20150105,19.04,0.0,74.42
20150106,16.16,0.0,68.24
20150107,16.25,0.0,64.31
20150108,17.07,0.0,65.61
20150109,15.53,0.0,71.0
20150110,15.26,0.0,65.66
20150111,14.44,0.0,60.32
20150112,14.68,0.0,58.4
20150113,15.42,0.0,61.82
20150114,16.5,0.0,62.6
20150115,17.56,0.0,61.53
20150116,16.52,0.0,61.49
20150117,16.42,0.0,63.44
20150118,14.65,0.0,62.73
20150119,14.67,0.0,64.14
20150120,14.77,0.0,58.45
20150121,14.99,0.0,56.24
20150122,16.52,0.0,52.34
20150123,18.08,0.0,60.08
20150124,19.32,0.0,70.06
20150125,19.42,0.0,65.93
20150126,19.04,0.0,62.35
20150127,20.24,0.0,67.22
20150128,20.84,0.0,70.72
20150129,20.91,0.01,68.69
20150130,19.54,0.18,72.76
20150131,16.27,0.0,51.25
20150201,15.92,0.0,49.81
20150202,17.32,0.0,51.84
20150203,18.98,0.0,51.26
20150204,20.68,0.0,52.86
20150205,20.68,0.0,59.14
20150206,19.6,0.0,48.18
20150207,19.22,0.0,44.57
20150208,19.47,0.0,48.56
20150209,19.88,0.0,62.69
20150210,21.76,0.0,60.26
20150211,20.45,0.0,51.23
20150212,20.41,0.0,49.95
20150213,21.66,0.0,58.85
20150214,21.92,0.0,59.35
20150215,22.67,2.48,69.21
20150216,23.3,1.45,69.74
20150217,23.39,0.0,70.58
20150218,23.92,1.82,74.67
20150219,24.66,4.25,73.64
20150220,23.7,0.01,66.35
20150221,23.44,0.0,61.26
20150222,25.21,0.01,57.69
20150223,24.95,0.06,55.44
20150224,25.29,0.0,66.58
20150225,25.94,0.0,61.31
20150226,25.61,0.0,65.46
20150227,25.97,0.0,64.62
20150228,26.36,0.0,64.89
20150301,26.09,0.0,60.55
20150302,26.07,0.0,56.64
20150303,24.76,1.16,59.12
20150304,23.57,12.61,72.03
20150305,24.36,0.01,51.19
20150306,22.66,0.0,43.77
20150307,22.78,0.0,41.83
20150308,24.22,0.0,44.78
20150309,25.77,0.0,45.86
20150310,26.82,0.0,45.89
20150311,26.54,0.0,40.08
20150312,25.1,0.0,30.72
20150313,26.18,0.0,39.27
20150314,28.31,0.0,50.74
20150315,28.8,0.01,53.55
20150316,28.45,0.0,43.66
20150317,28.58,0.01,44.78
20150318,29.25,0.0,48.32
20150319,28.94,0.0,41.65
20150320,27.46,0.0,30.41
20150321,27.49,0.0,29.67
20150322,27.59,0.0,36.61
20150323,28.98,0.0,47.15
20150324,29.44,0.0,59.14
20150325,29.3,0.0,59.54
20150326,29.23,0.06,58.35
20150327,29.23,0.19,56.58
20150328,29.17,3.03,59.61
20150329,29.4,0.09,63.1
20150330,28.99,8.09,67.73
20150331,27.29,21.37,70.71
20150401,29.24,0.09,64.76
20150402,29.78,0.19,63.39
20150403,30.93,0.01,58.65
20150404,30.94,0.45,66.03
20150405,29.28,10.01,74.8
20150406,29.43,7.27,71.79
20150407,29.07,6.91,72.33
20150408,28.73,8.98,71.74
20150409,30.21,0.03,60.21
20150410,30.04,0.0,58.45
20150411,29.92,0.0,64.7
20150412,28.3,1.76,69.64
20150413,28.57,3.2,66.8
20150414,29.3,0.0,59.39
20150415,28.76,0.52,63.72
20150416,28.26,0.0,62.1
20150417,28.9,0.17,60.26
20150418,30.41,0.59,63.22
20150419,31.08,0.0,65.11
20150420,30.62,0.0,67.95
20150421,31.97,1.5,65.36
20150422,31.75,5.81,67.62
20150423,31.42,8.94,67.24
20150424,28.66,15.1,75.72
20150425,27.58,4.54,71.78
20150426,27.16,8.43,71.0
20150427,27.85,7.21,67.29
20150428,28.08,10.36,73.89
20150429,29.14,4.47,75.06
20150430,29.88,0.51,72.63
20150501,30.65,0.51,71.2
20150502,29.43,1.92,78.13
20150503,30.15,2.93,73.04
20150504,29.12,5.97,74.89
20150505,29.52,0.0,73.84
20150506,31.14,0.0,66.71
20150507,31.73,0.0,63.75
20150508,31.44,0.0,65.69
20150509,31.26,0.05,68.87
20150510,30.88,0.4,71.42
20150511,29.82,0.66,75.85
20150512,31.84,0.4,63.89
20150513,31.91,0.84,66.33
20150514,31.52,5.08,69.56
20150515,31.76,3.96,67.87
20150516,30.1,8.58,74.76
20150517,30.13,5.64,69.26
20150518,30.74,4.01,67.98
20150519,30.93,6.83,69.98
20150520,32.19,0.22,66.45
20150521,32.81,0.07,67.91
20150522,33.99,0.0,63.03
20150523,33.61,0.0,67.65
20150524,32.8,0.59,68.28
20150525,32.44,1.03,69.77
20150526,31.57,0.93,68.36
20150527,30.91,0.82,73.55
20150528,31.63,0.27,71.43
20150529,31.82,0.22,71.03
20150530,31.23,0.2,72.96
20150531,31.54,0.12,69.02
20150601,30.88,0.08,72.25
20150602,31.38,0.01,68.14
20150603,31.8,0.0,67.31
20150604,31.41,0.54,69.27
20150605,30.56,2.07,74.08
20150606,30.84,0.21,72.56
20150607,31.41,0.0,69.52
20150608,32.32,0.0,66.73
20150609,31.77,0.25,71.13
20150610,32.07,0.46,70.26
20150611,31.18,7.67,76.72
20150612,30.54,9.74,76.71
20150613,30.01,11.98,73.15
20150614,28.6,36.87,84.83
20150615,28.86,18.76,82.35
20150616,28.6,2.71,82.22
20150617,29.4,1.31,78.46
20150618,30.04,1.42,76.82
20150619,30.26,3.14,76.6
20150620,30.27,9.31,77.84
20150621,29.97,13.37,79.06
20150622,29.43,17.23,79.95
20150623,29.65,7.56,80.07
20150624,29.38,12.65,83.98
20150625,29.18,12.26,83.72
20150626,28.83,23.42,86.34
20150627,28.98,5.1,78.78
20150628,28.41,16.24,86.64
20150629,28.84,1.79,79.78
20150630,28.79,4.28,81.22
20150701,29.51,3.53,82.08
20150702,28.62,30.81,88.18
20150703,29.44,12.75,83.98
20150704,29.74,8.69,83.99
