,T2M,Rain,Humidity
20150101,19.07,0.07,47.56
20150102,19.84,0.0,59.82
20150103,20.06,0.0,53.88
20150104,20.51,0.0,45.89
20150105,20.22,0.0,38.72
20150106,20.83,0.0,33.82
20150107,21.25,0.0,62.72
20150108,21.51,0.0,37.0
20150109,21.3,0.0,27.85
20150110,20.99,0.0,29.49
20150111,20.95,0.0,32.24
20150112,21.45,0.0,36.55
20150113,21.69,0.0,64.7
20150114,22.43,0.0,55.8
20150115,19.24,0.0,27.26
20150116,17.78,0.0,33.07
20150117,17.54,0.0,29.31
20150118,18.14,0.0,23.36
20150119,18.84,0.0,19.91
20150120,20.33,0.01,34.07
20150121,21.06,3.61,71.09
20150122,19.79,0.01,60.58
20150123,18.99,0.0,50.79
20150124,18.12,0.0,39.17
20150125,18.33,0.0,33.46
20150126,16.98,0.0,30.96
20150127,16.39,0.0,30.92
20150128,16.39,0.0,28.9
20150129,16.88,0.0,24.83
20150130,18.66,0.0,24.55
20150131,20.3,0.0,22.69
20150201,20.09,0.0,54.36
20150202,22.66,0.0,64.92
20150203,22.37,0.0,36.8
20150204,21.78,0.0,27.59
20150205,21.19,0.0,22.54
20150206,21.45,0.0,21.02
20150207,21.84,0.0,28.36
20150208,20.9,0.0,36.27
20150209,20.87,0.0,34.52
20150210,22.13,0.0,37.09
20150211,22.15,0.0,28.57
20150212,22.31,0.0,22.43
20150213,23.78,0.0,34.79
20150214,23.97,0.0,59.55
20150215,24.87,0.0,60.46
20150216,25.36,0.0,57.99
20150217,25.36,0.0,58.35
20150218,25.67,0.0,55.55
20150219,25.21,0.0,60.86
20150220,26.15,0.0,53.91
20150221,27.2,0.0,38.23
20150222,29.05,0.0,23.61
20150223,28.33,0.0,33.08
20150224,26.06,0.0,56.61
20150225,23.32,0.0,40.41
20150226,21.55,0.0,33.63
20150227,21.66,0.0,23.13
20150228,22.52,0.78,27.25
20150301,20.96,9.89,50.0
20150302,19.99,0.02,52.1
20150303,21.15,0.0,57.98
20150304,22.28,0.0,51.98
20150305,23.46,0.0,51.52
20150306,24.96,0.0,55.83
20150307,25.39,0.0,46.12
20150308,24.6,0.0,47.36
20150309,23.23,0.0,15.8
20150310,22.98,0.0,16.8
20150311,24.96,0.0,20.01
20150312,26.82,0.11,20.51
20150313,27.12,0.49,35.42
20150314,25.87,0.65,50.45
20150315,23.92,0.05,56.04
20150316,23.68,0.0,49.05
20150317,25.16,0.0,37.06
20150318,25.96,0.0,28.84
20150319,27.63,0.0,25.89
20150320,29.15,0.0,35.09
20150321,30.78,0.0,34.17
20150322,31.99,0.0,24.95
20150323,32.01,0.0,27.14
20150324,31.34,0.0,34.41
20150325,31.39,0.0,36.24
20150326,32.5,0.0,27.22
20150327,32.41,0.0,33.69
20150328,31.86,0.0,38.9
20150329,31.46,0.0,42.32
20150330,29.02,0.0,46.89
20150331,28.78,0.0,44.94
20150401,29.04,0.0,53.03
20150402,28.69,0.0,60.05
20150403,28.36,0.0,59.73
20150404,28.46,0.01,58.43
20150405,28.68,0.0,54.82
20150406,29.42,0.0,49.0
20150407,30.52,0.04,46.12
20150408,32.1,0.0,36.19
20150409,33.13,0.0,24.12
20150410,32.64,0.0,29.1
20150411,30.08,0.0,52.2
20150412,30.41,0.38,51.07
20150413,31.29,1.59,46.3
20150414,31.81,0.02,35.07
20150415,32.91,0.0,32.18
20150416,34.33,0.0,29.09
20150417,34.19,0.0,33.83
20150418,33.04,0.0,44.43
20150419,32.94,0.0,47.56
20150420,33.44,0.0,41.25
20150421,34.0,0.0,29.24
20150422,32.99,0.0,28.96
20150423,31.47,0.0,46.85
20150424,31.39,0.0,50.15
20150425,31.97,0.0,51.71
20150426,32.48,0.0,51.23
20150427,32.89,0.0,50.74
20150428,31.77,0.0,54.23
20150429,32.36,0.0,54.4
20150430,32.29,0.0,55.68
20150501,32.92,0.0,51.76
20150502,33.49,0.0,43.9
20150503,33.25,0.0,42.27
20150504,33.48,0.0,41.08
20150505,33.1,0.0,42.08
20150506,32.0,0.0,49.96
20150507,32.84,0.0,49.26
20150508,32.89,0.0,47.79
20150509,33.39,0.0,48.07
20150510,32.48,0.01,53.97
20150511,32.14,0.14,56.88
20150512,33.17,3.2,51.82
20150513,33.93,0.05,46.8
20150514,33.92,0.59,47.4
20150515,34.81,0.0,42.49
20150516,34.76,0.0,41.06
20150517,34.2,0.0,45.62
20150518,33.66,0.0,51.07
20150519,33.1,0.0,55.77
20150520,33.51,0.0,54.19
20150521,33.91,0.0,53.21
20150522,33.61,0.0,55.65
20150523,33.42,0.0,57.35
20150524,32.85,0.0,61.22
20150525,32.8,0.0,60.36
20150526,32.81,0.0,59.38
20150527,32.73,0.0,60.24
20150528,32.74,0.0,58.86
20150529,33.34,0.0,54.66
20150530,32.73,0.0,56.84
20150531,33.79,0.0,53.94
20150601,33.33,0.0,57.24
20150602,32.87,0.16,56.46
20150603,33.16,2.91,52.99
20150604,32.91,5.92,53.18
20150605,33.54,0.02,45.33
20150606,33.94,0.0,47.6
20150607,33.36,0.09,50.22
20150608,34.43,0.63,48.06
20150609,32.45,8.11,58.2
20150610,30.95,10.55,67.67
20150611,32.04,6.11,63.36
20150612,32.5,0.09,62.67
20150613,31.76,8.38,66.43
20150614,31.62,5.64,67.97
20150615,31.88,4.99,67.48
20150616,31.52,10.93,69.64
20150617,32.29,3.75,66.1
20150618,31.22,4.2,70.88
20150619,32.21,2.11,64.83
20150620,31.88,0.26,66.77
20150621,31.75,0.29,70.45
20150622,31.5,0.38,69.31
20150623,30.66,32.52,74.99
20150624,29.06,82.18,81.98
20150625,30.34,8.88,77.86
20150626,30.58,0.01,74.79
20150627,30.57,0.0,73.08
20150628,30.63,0.0,72.3
20150629,30.57,0.0,72.01
20150630,30.27,0.0,71.46
20150701,30.1,0.0,70.86
