,T2M,Rain,Humidity
20150101,18.38,7.7,87.88
20150102,20.6,3.93,78.61
20150103,20.23,1.41,81.75
20150104,19.36,2.94,79.13
20150105,15.98,0.0,59.51
20150106,16.67,0.0,46.09
20150107,17.02,0.0,47.48
20150108,15.96,0.0,56.35
20150109,14.8,0.0,54.2
20150110,15.17,0.0,47.44
20150111,14.37,0.0,44.84
20150112,14.75,0.0,45.26
20150113,14.53,0.0,47.57
20150114,15.57,0.0,50.56
20150115,16.51,0.0,53.28
20150116,15.89,0.0,52.09
20150117,15.45,0.0,52.49
20150118,14.73,0.0,46.66
20150119,14.38,0.0,50.17
20150120,14.63,0.0,49.91
20150121,16.27,0.0,53.22
20150122,18.22,0.0,49.0
20150123,19.01,0.11,57.27
20150124,19.68,0.03,64.21
20150125,20.0,0.0,62.23
20150126,20.5,0.0,63.63
20150127,21.57,0.01,57.75
20150128,20.13,0.82,67.7
20150129,20.3,1.29,66.63
20150130,18.43,0.0,49.87
20150131,15.99,0.0,36.47
20150201,16.62,0.0,39.35
20150202,17.32,0.0,45.22
20150203,19.71,0.0,41.93
20150204,21.47,0.0,42.52
20150205,20.73,0.0,50.62
20150206,20.35,0.0,43.73
20150207,20.88,0.0,45.79
20150208,21.13,0.04,49.4
20150209,20.62,1.1,56.55
20150210,21.62,0.06,54.26
20150211,21.14,0.04,50.48
20150212,20.42,4.38,64.83
20150213,20.89,0.03,48.51
20150214,21.07,0.0,38.04
20150215,23.14,0.0,36.4
20150216,22.96,0.0,35.91
20150217,22.92,0.0,37.75
20150218,24.55,0.0,33.27
20150219,23.69,0.0,33.98
20150220,23.66,0.0,34.14
20150221,25.03,0.06,32.94
20150222,25.09,0.0,32.31
20150223,25.29,0.0,29.3
20150224,25.45,0.0,28.69
20150225,25.2,0.0,28.81
20150226,26.08,0.0,28.22
20150227,25.79,0.0,30.1
20150228,26.26,0.15,36.42
20150301,25.19,13.36,53.43
20150302,21.4,6.18,73.59
20150303,22.92,3.76,63.28
20150304,21.43,0.01,45.08
20150305,21.74,0.0,41.38
20150306,22.97,0.0,38.98
20150307,23.49,0.0,39.9
20150308,24.85,0.0,40.08
20150309,26.71,0.03,38.14
20150310,26.46,0.11,44.21
20150311,26.31,0.0,36.11
20150312,26.92,0.01,30.25
20150313,27.52,0.0,35.64
20150314,27.51,0.11,40.09
20150315,27.2,0.17,43.01
20150316,27.15,0.76,39.68
20150317,26.84,5.01,51.76
20150318,26.78,0.0,44.66
20150319,26.6,0.0,33.84
20150320,26.57,0.0,28.85
20150321,27.12,0.0,26.02
20150322,29.05,0.0,26.88
20150323,30.13,0.0,29.63
20150324,29.99,0.0,29.55
20150325,30.37,0.0,24.99
20150326,30.62,0.0,24.71
20150327,30.44,0.09,27.43
20150328,31.22,0.18,28.43
20150329,31.11,1.58,29.06
20150330,26.7,2.17,51.04
20150331,29.32,0.0,41.48
20150401,31.29,0.0,30.0
20150402,31.25,0.0,22.37
20150403,31.31,0.0,22.47
20150404,32.07,0.0,22.21
20150405,31.04,0.0,22.85
20150406,31.68,0.0,25.4
20150407,32.01,0.0,27.53
20150408,30.73,6.55,32.53
