,T2M,Rain,Humidity
20150101,20.83,0.12,73.43
20150102,23.33,1.32,73.32
20150103,23.73,7.55,75.71
20150104,20.84,6.05,82.42
20150105,19.35,0.0,66.37
20150106,16.54,0.0,59.44
20150107,16.28,0.0,57.55
20150108,16.69,0.0,58.61
20150109,16.48,0.0,62.16
20150110,16.0,0.0,54.8
20150111,15.1,0.0,50.72
20150112,15.29,0.0,48.86
20150113,15.68,0.0,53.37
20150114,16.9,0.0,53.36
20150115,18.08,0.0,49.25
20150116,18.19,0.0,53.11
20150117,17.74,0.09,52.66
20150118,15.62,0.0,53.84
20150119,15.52,0.0,55.07
20150120,15.44,0.0,50.27
20150121,15.92,0.0,49.54
20150122,17.28,0.0,48.53
20150123,18.33,0.0,51.13
20150124,19.85,0.0,62.43
20150125,19.45,0.0,55.72
20150126,19.48,0.0,50.86
20150127,20.64,0.0,58.53
20150128,21.41,0.0,63.86
20150129,21.26,0.11,61.75
20150130,19.44,0.01,65.32
20150131,16.66,0.0,42.71
20150201,16.31,0.0,44.24
20150202,17.84,0.0,47.2
20150203,19.89,0.0,46.05
20150204,21.0,0.0,46.36
20150205,21.02,0.0,51.57
20150206,19.55,0.0,39.57
20150207,19.36,0.0,34.12
20150208,21.4,0.0,34.42
20150209,20.87,0.0,52.64
20150210,22.17,0.0,47.44
20150211,20.61,0.0,36.31
20150212,20.49,0.0,38.87
20150213,22.02,0.0,44.53
20150214,22.29,0.0,44.53
20150215,22.68,14.16,53.64
20150216,22.37,1.65,65.62
20150217,23.79,0.0,54.79
20150218,23.54,2.28,67.2
20150219,23.92,22.32,72.43
20150220,24.01,0.0,53.99
20150221,24.22,0.08,49.78
20150222,25.16,0.0,47.65
20150223,25.1,0.0,50.28
20150224,25.28,0.0,58.91
20150225,25.7,0.0,58.03
20150226,25.35,0.0,52.24
20150227,26.08,0.0,61.3
20150228,26.4,0.0,59.5
20150301,26.95,0.0,55.74
20150302,26.51,0.0,47.65
20150303,24.66,0.32,54.56
20150304,22.66,12.41,67.03
20150305,23.02,0.02,49.6
20150306,21.89,0.0,39.85
20150307,22.56,0.0,38.83
20150308,24.4,0.0,38.75
20150309,25.62,0.0,40.34
20150310,26.47,0.0,41.73
20150311,25.32,0.0,31.59
20150312,24.28,0.0,27.77
20150313,25.62,0.0,31.64
20150314,28.14,0.0,41.23
20150315,28.67,0.0,41.77
20150316,28.55,0.0,39.93
20150317,28.63,0.24,42.45
20150318,28.91,0.0,40.03
20150319,28.51,0.01,33.0
20150320,27.12,0.0,25.16
20150321,27.93,0.0,22.64
20150322,28.18,0.0,25.11
20150323,29.53,0.0,29.65
20150324,30.15,0.0,43.57
20150325,30.36,0.0,47.7
20150326,30.11,0.0,49.13
20150327,30.32,0.1,46.14
20150328,30.52,0.24,46.36
20150329,30.39,0.0,50.23
20150330,30.22,1.96,57.22
20150331,27.72,19.4,67.47
20150401,28.87,0.68,58.68
20150402,29.47,5.95,62.14
20150403,31.23,0.0,57.02
20150404,31.16,4.32,58.31
20150405,28.73,12.88,72.89
20150406,28.43,9.94,70.09
20150407,28.33,16.41,70.61
20150408,27.65,19.68,73.91
20150409,29.72,0.01,60.17
20150410,29.33,0.0,50.23
20150411,29.8,0.0,60.0
20150412,28.62,1.13,65.31
20150413,27.46,3.35,69.75
20150414,28.9,0.0,60.8
20150415,28.48,0.01,59.98
20150416,27.82,0.0,60.66
20150417,28.78,0.16,56.01
20150418,30.06,3.43,59.8
20150419,31.03,0.79,63.21
20150420,31.16,0.16,62.99
20150421,32.19,0.76,62.14
20150422,31.79,2.43,65.43
20150423,31.46,4.53,64.45
20150424,28.04,15.03,74.53
20150425,25.47,4.2,80.87
20150426,25.91,1.31,71.59
20150427,27.97,3.35,63.76
20150428,28.26,4.73,68.14
20150429,28.94,6.87,72.3
20150430,30.05,2.07,66.76
20150501,31.03,2.84,64.52
20150502,30.25,1.94,69.28
20150503,30.34,4.4,69.24
20150504,30.63,2.33,63.71
20150505,30.06,0.0,67.24
20150506,31.85,0.0,60.19
20150507,32.52,0.01,56.88
20150508,31.34,0.4,59.09
20150509,31.51,0.58,61.77
20150510,31.08,5.6,69.38
20150511,29.43,8.73,76.74
20150512,31.12,4.03,65.99
20150513,32.23,0.19,59.96
20150514,32.52,1.74,62.88
20150515,32.19,10.65,65.56
20150516,29.28,24.3,77.17
20150517,29.68,4.25,70.88
20150518,30.18,4.23,68.32
20150519,31.16,1.62,67.28
20150520,31.93,0.03,65.09
20150521,32.91,0.02,61.54
20150522,34.02,0.06,58.08
20150523,34.47,0.02,61.02
20150524,33.19,4.07,64.58
20150525,32.27,5.37,67.33
20150526,31.26,3.19,67.66
20150527,30.63,0.7,70.21
20150528,32.01,0.12,66.45
20150529,32.3,2.94,67.26
20150530,31.61,7.93,70.33
20150531,32.09,0.01,66.1
20150601,30.99,0.73,71.27
20150602,31.71,1.12,64.95
20150603,31.51,1.12,68.01
20150604,32.0,0.08,64.15
20150605,31.6,1.25,65.72
20150606,30.81,0.47,71.26
20150607,31.78,0.0,66.75
20150608,32.68,0.0,63.58
20150609,32.92,0.09,64.84
20150610,32.23,1.25,67.72
20150611,31.08,3.66,75.22
20150612,30.48,6.96,75.72
20150613,29.82,10.62,73.86
20150614,28.36,18.06,84.33
20150615,29.15,15.42,80.01
20150616,28.82,12.61,81.27
20150617,29.89,0.94,75.2
20150618,30.22,2.03,74.26
20150619,30.91,0.23,71.97
20150620,30.59,2.0,73.88
20150621,30.1,7.98,78.22
20150622,29.59,12.96,80.08
20150623,29.32,13.62,83.29
20150624,29.28,32.53,86.08
20150625,29.11,62.97,85.78
20150626,28.6,40.75,88.73
20150627,28.33,7.18,84.53
20150628,28.32,27.24,88.16
20150629,28.55,1.87,83.72
20150630,28.63,5.46,83.73
20150701,29.47,1.27,83.75
20150702,29.06,13.53,86.68
20150703,29.6,6.51,84.23
20150704,29.94,2.07,84.17
20150705,28.66,1.79,91.01
20150706,29.49,4.23,84.59
20150707,29.45,17.72,84.18
20150708,28.86,32.77,85.49
20150709,28.02,77.74,92.68
20150710,28.09,47.52,91.13
20150711,28.63,2.34,88.37
20150712,28.86,1.09,85.9
20150713,29.62,4.54,85.04
20150714,29.65,9.48,89.44
20150715,28.77,18.9,94.52
20150716,28.16,8.95,91.7
20150717,27.93,19.21,87.58
20150718,27.53,30.61,89.95
20150719,26.96,34.83,94.35
20150720,27.83,24.47,89.69
20150721,28.24,5.03,88.92
20150722,28.14,15.62,89.71
20150723,27.9,5.18,92.63
20150724,27.46,18.38,93.06
20150725,28.06,25.56,87.11
20150726,26.97,12.72,93.76
20150727,27.55,23.17,91.82
20150728,27.09,2.47,93.37
20150729,27.93,1.98,93.64
20150730,28.48,11.71,92.32
20150731,26.97,71.74,93.48
20150801,26.06,27.06,95.21
20150802,27.46,14.39,92.23
20150803,27.57,6.84,89.23
20150804,27.92,1.48,88.38
20150805,28.63,1.68,86.37
20150806,28.73,5.91,85.85
20150807,28.43,0.84,87.2
