,T2M,Rain,Humidity
20150101,13.61,0.15,51.47
20150102,14.06,0.09,72.21
20150103,15.06,0.02,69.07
20150104,14.49,0.0,55.78
20150105,14.48,0.0,42.38
20150106,15.37,0.0,45.43
20150107,15.35,0.0,42.19
20150108,14.91,0.0,31.84
20150109,14.59,0.0,28.31
20150110,14.67,0.0,26.19
20150111,15.24,0.0,26.3
20150112,17.08,0.0,26.19
20150113,17.18,0.03,31.68
20150114,14.6,0.02,38.12
20150115,12.31,0.0,47.09
20150116,12.07,0.0,47.82
20150117,12.98,0.0,38.76
20150118,13.34,0.0,30.25
20150119,13.87,0.0,30.37
20150120,15.53,0.02,33.97
20150121,16.44,0.73,49.06
20150122,16.29,2.09,63.13
20150123,14.03,0.02,56.52
20150124,12.8,0.0,46.44
20150125,14.18,0.01,42.52
20150126,14.14,0.01,67.9
20150127,12.67,0.0,58.16
20150128,10.73,0.0,36.41
20150129,11.9,0.0,31.52
20150130,12.62,0.0,25.64
20150131,16.14,0.0,20.61
20150201,17.23,0.0,24.45
20150202,16.85,0.0,33.29
20150203,15.5,0.12,54.12
20150204,14.32,0.0,49.97
20150205,14.14,0.0,33.8
20150206,15.43,0.0,27.48
20150207,17.09,0.0,34.77
20150208,17.66,0.01,42.05
20150209,17.1,0.17,53.31
20150210,16.98,0.0,40.15
20150211,16.55,0.0,31.78
20150212,17.0,0.0,23.58
20150213,19.76,0.0,21.76
20150214,21.16,0.0,32.21
20150215,23.08,0.0,23.61
20150216,22.74,0.0,26.46
20150217,22.07,0.0,32.56
20150218,21.63,0.0,34.06
20150219,23.13,0.0,30.74
20150220,23.03,0.0,30.63
20150221,22.15,0.0,29.78
20150222,22.56,0.0,35.34
20150223,24.49,0.0,28.88
20150224,24.14,0.0,28.72
20150225,20.66,0.02,23.16
20150226,16.51,0.0,14.96
20150227,17.14,0.0,15.34
20150228,17.88,0.49,22.3
20150301,17.92,16.88,57.66
20150302,15.66,0.42,67.32
20150303,17.24,0.0,53.82
20150304,18.19,0.0,39.98
20150305,19.12,0.01,41.77
20150306,19.39,3.29,51.02
20150307,19.52,1.19,56.87
20150308,18.77,0.0,45.71
20150309,15.54,0.0,28.78
20150310,16.27,0.0,33.65
20150311,20.2,0.0,27.94
20150312,22.56,0.14,42.14
20150313,23.07,2.11,58.05
20150314,21.07,1.85,55.81
20150315,20.34,10.21,65.28
20150316,18.85,0.0,56.63
20150317,18.49,0.1,54.24
20150318,20.6,0.0,46.69
20150319,22.29,0.0,39.7
20150320,24.29,0.0,37.35
20150321,25.12,0.0,39.63
20150322,25.79,0.0,36.21
20150323,27.52,0.0,31.28
20150324,30.51,0.0,24.09
20150325,29.33,0.0,29.44
20150326,29.24,0.0,32.31
20150327,29.24,0.0,32.13
20150328,30.29,0.0,31.99
20150329,28.23,0.18,30.78
20150330,26.16,0.0,37.43
20150331,26.03,0.0,36.8
20150401,28.37,0.0,29.98
20150402,29.62,0.0,30.27
20150403,26.25,12.44,50.98
20150404,22.91,14.1,64.7
20150405,23.59,0.05,51.73
20150406,25.03,0.01,42.84
20150407,25.27,1.71,43.92
20150408,24.5,0.0,43.55
20150409,24.99,0.0,38.96
20150410,26.86,0.0,32.15
20150411,27.46,1.23,34.02
20150412,24.74,1.64,54.87
20150413,26.38,0.01,50.4
20150414,26.41,0.02,49.47
20150415,27.89,0.02,41.91
20150416,29.53,0.01,40.34
20150417,31.11,0.04,32.48
20150418,32.69,0.0,24.43
20150419,33.5,0.0,21.78
20150420,32.57,0.0,19.47
20150421,31.58,0.0,22.67
20150422,31.88,0.0,19.73
20150423,32.35,0.0,14.45
20150424,33.56,0.0,10.64
20150425,33.1,0.0,15.17
20150426,33.21,0.0,16.96
20150427,33.81,0.0,19.92
20150428,34.1,0.0,21.64
20150429,32.93,0.0,16.11
20150430,32.82,0.0,13.78
20150501,31.18,0.0,16.55
20150502,31.67,0.0,19.23
20150503,32.61,0.0,14.22
20150504,33.16,0.0,12.95
20150505,34.12,0.0,12.27
20150506,34.5,0.0,13.6
20150507,34.56,0.0,14.02
20150508,33.36,0.0,26.28
20150509,34.13,0.0,23.66
20150510,33.92,0.01,24.25
20150511,34.37,3.42,29.39
20150512,32.73,2.64,34.26
20150513,31.31,2.71,34.0
20150514,32.01,0.15,31.74
20150515,33.53,0.0,26.11
20150516,34.68,0.0,21.98
20150517,35.13,0.0,21.21
20150518,35.95,0.0,22.65
20150519,36.91,0.0,26.37
20150520,35.26,5.05,29.12
20150521,36.56,0.0,24.62
20150522,36.39,0.01,21.92
20150523,35.92,0.0,24.94
20150524,35.0,0.0,25.56
20150525,35.1,0.0,22.3
20150526,34.5,0.0,23.14
20150527,34.84,0.0,14.33
20150528,33.56,6.65,34.15
20150529,33.72,1.55,30.47
20150530,34.9,0.0,27.24
20150531,35.43,1.11,24.51
20150601,35.7,0.62,23.98
20150602,32.42,4.84,39.76
20150603,31.46,0.91,42.74
20150604,31.2,0.42,39.1
20150605,32.6,0.0,29.08
20150606,34.53,0.0,25.16
20150607,36.07,0.0,22.4
20150608,37.15,0.0,20.81
20150609,34.86,0.0,32.8
20150610,32.44,1.53,43.92
20150611,32.18,10.37,53.88
20150612,32.63,1.15,53.09
20150613,33.24,0.02,47.88
20150614,32.0,6.05,54.61
20150615,32.18,4.14,54.79
20150616,33.57,0.0,49.04
20150617,34.8,0.04,41.68
20150618,36.51,0.06,35.13
20150619,37.04,0.01,31.42
20150620,36.6,0.12,36.18
20150621,35.81,7.94,41.04
20150622,35.27,0.75,43.23
20150623,33.82,0.44,49.94
20150624,29.79,0.93,57.07
20150625,32.49,2.09,50.55
20150626,30.67,21.84,66.85
20150627,31.2,4.6,60.08
20150628,32.07,0.22,52.62
20150629,32.82,0.99,50.33
20150630,32.1,9.78,57.78
20150701,31.86,0.97,55.22
20150702,31.58,0.39,55.45
20150703,32.66,0.14,50.95
20150704,32.92,0.0,48.47
20150705,33.66,0.0,49.35
20150706,33.7,0.07,48.47
20150707,33.29,0.34,48.29
20150708,32.22,15.85,55.62
20150709,31.43,4.17,61.16
20150710,31.72,2.41,57.94
20150711,31.93,0.84,56.61
20150712,32.07,0.22,54.93
20150713,31.17,0.74,61.05
20150714,32.25,0.08,56.87
20150715,32.2,0.0,52.11
20150716,32.48,0.0,51.03
20150717,31.87,0.33,54.32
20150718,32.83,4.73,51.5
20150719,33.11,3.07,51.3
20150720,32.62,2.57,53.31
20150721,31.59,3.75,58.75
20150722,32.49,1.99,56.7
20150723,30.85,17.8,69.82
20150724,30.83,7.48,69.84
20150725,29.46,20.29,75.98
20150726,30.16,16.66,73.12
20150727,29.56,6.13,73.06
20150728,27.32,10.45,78.84
20150729,27.21,6.1,79.18
20150730,27.58,18.17,81.85
20150731,27.81,13.55,78.25
20150801,27.88,9.45,77.41
20150802,28.66,0.09,71.01
20150803,29.54,0.0,67.01
20150804,29.99,1.02,64.58
20150805,30.06,1.01,64.79
20150806,30.24,0.15,65.35
20150807,29.95,0.0,65.88
20150808,30.68,0.0,64.65
20150809,30.5,0.19,63.5
20150810,30.91,0.67,61.23
20150811,30.85,2.37,62.74
20150812,30.21,6.77,66.77
20150813,30.73,3.85,66.86
20150814,30.58,2.37,67.98
20150815,28.79,27.36,79.22
20150816,28.56,11.32,78.79
20150817,29.58,0.28,71.24
20150818,30.29,0.01,68.9
20150819,29.54,0.0,70.88
20150820,28.52,0.0,69.3
20150821,28.27,0.0,67.63
20150822,28.88,0.0,68.15
20150823,29.11,0.01,68.34
20150824,28.8,0.01,68.19
20150825,29.13,0.0,65.98
20150826,29.23,0.0,65.55
20150827,29.61,0.0,64.13
20150828,30.27,0.04,61.41
20150829,30.7,0.0,60.06
20150830,30.3,0.0,61.79
20150831,29.34,0.01,63.47
20150901,28.87,0.07,59.68
20150902,28.31,0.0,59.51
20150903,28.5,0.06,59.41
20150904,29.19,0.0,55.73
20150905,29.14,0.0,50.94
20150906,29.09,0.01,54.01
20150907,28.57,0.0,54.59
20150908,28.95,0.0,54.26
20150909,29.92,0.0,50.42
20150910,30.46,0.0,49.08
20150911,30.84,0.0,45.98
20150912,31.32,0.0,39.95
20150913,31.66,0.0,37.03
20150914,32.47,0.0,36.43
20150915,31.78,0.0,40.35
20150916,31.67,0.0,34.84
20150917,31.81,0.11,34.09
20150918,31.09,0.25,48.95
20150919,31.23,0.49,54.83
20150920,31.06,1.35,56.19
20150921,28.69,6.28,64.95
20150922,27.73,4.91,73.34
20150923,27.16,0.01,59.91
20150924,26.11,0.0,50.96
20150925,26.45,0.0,50.94
20150926,27.08,0.0,53.59
20150927,27.61,0.02,48.57
20150928,28.47,0.0,37.02
20150929,29.15,0.0,33.94
20150930,28.56,0.0,33.44
20151001,29.0,0.0,29.6
20151002,29.69,0.0,25.7
20151003,30.36,0.0,23.2
20151004,28.75,0.0,30.55
20151005,29.48,0.0,32.22
20151006,29.91,0.0,30.97
20151007,30.25,0.0,27.58
20151008,29.84,0.0,25.91
20151009,29.39,0.0,25.01
20151010,28.67,0.0,30.98
20151011,28.48,0.0,33.46
20151012,27.99,0.0,34.92
20151013,28.12,0.0,29.41
20151014,29.1,0.0,28.03
20151015,28.67,0.0,30.52
20151016,29.24,0.44,33.92
20151017,29.17,0.0,31.14
20151018,30.17,0.0,27.9
20151019,30.23,0.0,27.07
20151020,28.62,0.0,32.37
20151021,27.07,0.0,32.38
20151022,26.14,0.44,28.54
20151023,26.1,0.0,22.12
20151024,27.86,0.0,20.18
20151025,26.49,0.0,25.12
20151026,24.1,0.01,35.08
20151027,22.85,0.08,38.66
