,T2M,Rain,Humidity
20150101,21.71,3.46,73.69
20150102,22.0,6.91,74.18
20150103,19.99,6.55,85.85
20150104,20.15,0.19,70.54
20150105,17.16,0.0,57.8
20150106,17.95,0.0,43.58
20150107,18.49,0.0,43.54
20150108,17.18,0.0,50.29
20150109,16.04,0.0,49.23
20150110,16.72,0.0,43.49
20150111,16.3,0.0,42.51
20150112,16.99,0.0,43.31
20150113,17.68,0.0,40.15
20150114,18.89,0.0,38.11
20150115,18.28,0.0,42.02
20150116,18.58,0.0,45.35
20150117,18.13,0.0,45.74
20150118,17.87,0.0,38.1
20150119,17.61,0.0,36.51
20150120,18.09,0.0,42.35
20150121,19.26,0.0,45.0
20150122,20.64,0.02,48.06
20150123,21.89,0.34,46.78
20150124,22.04,0.26,54.44
20150125,22.8,0.01,48.9
20150126,22.77,0.01,49.12
20150127,23.27,0.02,45.04
20150128,22.55,0.32,49.96
20150129,21.55,0.46,58.92
20150130,20.36,0.0,45.96
20150131,19.15,0.0,27.1
20150201,19.93,0.0,28.16
20150202,20.71,0.0,34.56
20150203,21.77,0.0,40.35
20150204,22.88,0.0,36.28
20150205,22.67,0.0,43.22
20150206,22.63,0.0,41.47
20150207,23.3,0.0,40.54
20150208,24.33,0.43,43.32
20150209,22.8,0.04,43.98
20150210,24.11,2.21,44.65
20150211,24.07,1.7,51.63
20150212,23.84,0.11,51.76
20150213,23.28,0.0,38.86
20150214,23.07,0.0,29.36
20150215,25.18,0.0,25.83
20150216,24.38,0.0,28.91
20150217,25.03,0.0,25.61
20150218,26.0,0.0,21.8
20150219,25.05,0.0,29.13
20150220,26.45,0.0,29.94
20150221,26.66,2.09,30.2
20150222,26.21,0.0,28.39
20150223,26.63,0.0,26.55
20150224,27.04,0.0,24.72
20150225,27.51,0.0,23.61
20150226,26.75,0.0,25.01
20150227,27.01,0.0,28.0
20150228,26.9,7.37,34.63
20150301,24.16,6.5,67.4
20150302,22.73,21.41,72.29
20150303,22.88,0.13,59.52
20150304,21.15,0.0,44.5
20150305,22.56,0.0,45.04
20150306,23.91,0.0,45.36
20150307,25.11,0.0,42.99
20150308,25.73,0.0,43.24
20150309,25.84,2.53,51.96
20150310,26.18,0.05,50.4
20150311,26.06,0.0,50.3
20150312,26.86,2.27,48.9
