,T2M,Rain,Humidity
20150101,18.89,0.16,83.71
20150102,20.66,0.22,71.49
20150103,20.81,8.85,78.93
20150104,20.21,2.0,81.26
20150105,17.7,0.0,68.38
20150106,16.32,0.0,54.26
20150107,17.32,0.0,48.12
20150108,17.16,0.0,50.32
20150109,15.42,0.0,56.6
20150110,15.46,0.0,50.88
20150111,15.3,0.0,51.16
20150112,15.32,0.0,48.49
20150113,16.0,0.0,50.46
20150114,17.2,0.0,52.24
20150115,17.28,0.0,53.61
20150116,16.97,0.0,48.86
20150117,16.69,0.0,51.26
20150118,16.73,0.0,52.18
20150119,16.36,0.0,47.49
20150120,16.84,0.0,46.43
20150121,17.3,0.0,55.98
20150122,18.2,0.0,52.34
20150123,19.27,0.0,50.18
20150124,19.88,0.0,54.11
20150125,20.79,0.0,54.87
20150126,20.76,0.0,54.79
20150127,20.65,0.0,52.52
20150128,20.87,0.0,53.04
20150129,20.94,0.0,56.29
20150130,20.25,0.0,58.55
20150131,19.47,0.0,48.5
20150201,18.92,0.18,35.78
20150202,19.48,0.0,39.89
20150203,20.32,0.0,50.56
20150204,21.44,0.0,40.32
20150205,21.12,0.0,38.54
20150206,21.42,0.0,45.67
20150207,20.95,0.0,48.71
20150208,22.3,0.0,46.73
20150209,22.17,0.0,48.01
20150210,21.88,0.03,52.2
20150211,22.89,0.2,50.58
20150212,23.05,0.02,49.89
20150213,22.67,0.0,47.94
20150214,21.77,0.0,31.8
20150215,23.78,0.0,27.53
20150216,23.66,0.0,27.9
20150217,23.96,0.0,29.15
20150218,24.26,0.0,33.26
20150219,24.63,0.0,39.26
20150220,24.68,1.48,35.54
20150221,24.47,1.6,37.04
20150222,24.71,0.0,32.38
20150223,25.03,0.0,29.79
20150224,25.1,0.0,30.78
20150225,25.66,0.0,32.12
20150226,25.94,0.0,26.26
20150227,24.64,0.0,37.18
20150228,25.08,0.0,36.8
20150301,24.2,0.19,50.26
20150302,23.05,7.68,71.91
20150303,23.57,1.44,66.12
20150304,22.53,0.19,47.06
20150305,23.35,0.0,38.62
20150306,24.58,0.0,42.03
20150307,25.52,0.0,37.83
20150308,25.9,2.57,45.07
20150309,25.56,1.46,55.31
20150310,26.35,0.0,41.79
20150311,26.52,0.0,39.16
20150312,27.58,0.08,37.91
20150313,27.92,0.0,34.94
20150314,27.37,0.0,36.57
20150315,26.95,0.0,38.67
20150316,26.55,0.22,40.71
20150317,28.0,0.01,37.9
20150318,28.49,0.0,41.5
20150319,29.09,0.0,33.6
20150320,28.26,0.0,32.69
20150321,28.2,0.0,26.97
20150322,29.0,0.0,22.85
20150323,29.88,0.0,23.48
20150324,30.08,0.0,25.0
20150325,29.72,0.0,29.21
20150326,29.58,0.26,35.23
20150327,26.67,23.93,59.85
20150328,27.01,1.12,55.51
20150329,27.77,0.11,52.67
20150330,26.43,0.01,56.85
20150331,27.9,0.0,51.28
20150401,28.39,0.0,51.63
20150402,28.73,0.0,49.96
20150403,29.6,0.0,40.06
20150404,29.8,0.0,32.31
20150405,29.32,0.0,28.91
20150406,30.08,0.0,35.26
20150407,30.24,0.67,43.11
20150408,29.53,0.29,43.42
20150409,29.64,0.32,43.55
20150410,30.44,0.77,40.17
20150411,28.35,5.71,46.74
20150412,25.48,5.07,61.59
20150413,24.03,3.0,62.28
20150414,25.1,2.8,56.52
20150415,25.44,2.09,58.03
20150416,26.97,0.06,52.92
20150417,28.12,0.03,48.7
20150418,29.65,0.0,42.5
20150419,30.67,0.0,42.73
20150420,31.69,0.0,41.55
20150421,31.63,0.93,42.28
20150422,30.94,2.92,44.78
20150423,30.96,3.61,46.27
20150424,28.71,9.49,58.76
20150425,28.38,0.65,52.32
20150426,27.19,13.51,62.37
20150427,27.48,8.82,62.9
20150428,29.35,0.05,54.21
20150429,29.79,0.12,54.74
20150430,30.33,0.13,53.03
20150501,29.97,1.18,52.24
20150502,28.86,18.7,61.97
20150503,29.59,12.2,57.35
20150504,27.89,8.26,65.16
20150505,28.9,0.0,57.95
20150506,29.55,2.24,52.71
20150507,29.87,0.34,50.11
20150508,30.69,0.0,47.12
20150509,30.82,0.04,45.0
20150510,28.97,0.32,53.08
20150511,27.75,10.71,61.29
20150512,29.89,0.0,47.43
20150513,30.35,0.13,47.56
20150514,29.69,1.45,53.42
20150515,29.26,0.81,56.26
20150516,29.05,1.82,58.64
20150517,30.35,0.0,52.5
20150518,31.03,0.0,54.29
