,T2M,Rain,Humidity
20150101,20.53,3.04,67.05
20150102,19.87,0.38,68.29
20150103,20.74,0.01,63.09
20150104,21.26,0.0,53.16
20150105,19.88,0.0,43.65
20150106,20.33,0.0,32.96
20150107,20.52,0.0,28.53
20150108,20.45,0.0,33.06
20150109,19.85,0.0,32.18
20150110,20.01,0.0,27.17
20150111,20.72,0.0,27.4
20150112,21.49,0.0,28.47
20150113,21.23,0.0,27.54
20150114,21.34,0.0,29.2
20150115,20.45,0.0,43.13
20150116,20.43,0.0,40.01
20150117,20.36,0.0,39.42
20150118,20.77,0.0,37.93
20150119,21.18,0.0,38.75
20150120,21.11,0.0,49.79
20150121,22.19,0.71,57.42
20150122,21.3,0.68,68.21
20150123,21.83,0.0,56.3
20150124,22.63,0.73,51.51
20150125,22.47,2.31,61.29
20150126,21.03,0.0,58.43
20150127,19.97,0.0,41.16
20150128,20.84,0.0,61.26
20150129,21.15,0.0,50.49
20150130,20.54,0.0,34.65
20150131,21.67,0.0,28.21
20150201,22.23,0.0,30.0
20150202,22.3,0.0,42.21
20150203,24.24,0.0,34.22
20150204,24.03,0.0,42.44
20150205,24.06,0.0,41.78
20150206,24.57,0.0,36.88
20150207,24.42,0.0,31.61
20150208,22.59,0.0,30.75
20150209,22.93,0.0,32.16
20150210,25.12,0.39,39.57
20150211,25.21,0.01,43.73
20150212,24.59,0.0,33.37
20150213,24.9,0.0,22.32
20150214,25.79,0.0,19.6
20150215,25.4,0.0,34.48
20150216,25.68,0.0,43.57
20150217,24.92,0.0,39.57
20150218,24.68,0.0,47.98
20150219,25.49,0.0,49.28
20150220,25.86,0.0,36.9
20150221,27.2,0.0,21.29
20150222,28.3,0.0,20.57
20150223,28.6,0.0,21.57
20150224,27.73,0.0,31.49
20150225,24.83,0.0,46.54
20150226,23.16,0.0,41.07
20150227,23.02,0.0,39.97
20150228,23.81,0.21,43.72
20150301,22.05,8.94,65.84
20150302,21.09,0.16,60.65
20150303,20.05,0.0,53.36
20150304,21.54,0.0,47.62
20150305,23.5,0.0,32.87
20150306,25.04,0.0,31.62
20150307,26.35,0.0,31.23
20150308,25.82,0.0,42.14
20150309,25.54,0.0,31.74
20150310,27.89,0.0,28.0
20150311,29.92,0.41,32.04
20150312,28.49,1.64,42.94
20150313,28.33,2.15,43.38
20150314,26.73,6.19,54.64
20150315,25.22,0.87,61.55
20150316,23.33,0.06,54.97
20150317,24.52,0.0,41.66
20150318,25.61,0.0,36.05
20150319,26.91,0.0,33.25
20150320,29.21,0.0,29.78
20150321,30.6,0.0,29.86
20150322,32.14,0.0,24.06
20150323,31.87,0.0,26.88
20150324,31.51,0.0,35.0
20150325,33.14,0.0,23.58
20150326,34.27,0.0,23.92
20150327,33.18,0.0,33.87
20150328,32.32,0.0,39.49
20150329,30.65,2.18,37.28
20150330,30.44,0.11,36.96
20150331,28.31,0.0,33.63
20150401,28.39,0.0,44.14
20150402,28.69,0.0,53.11
20150403,28.26,0.0,55.0
20150404,27.02,0.0,62.36
20150405,28.07,0.0,57.8
20150406,28.07,0.0,52.82
20150407,28.55,0.01,51.72
20150408,30.03,0.0,50.45
20150409,31.0,0.09,50.45
20150410,30.68,0.0,53.49
20150411,29.47,0.2,54.93
20150412,28.18,1.05,51.94
20150413,28.01,4.85,51.79
20150414,27.96,2.36,53.41
20150415,29.21,2.52,51.5
20150416,31.18,0.0,44.85
20150417,32.66,0.0,37.43
20150418,32.68,0.0,43.77
20150419,32.9,0.0,40.41
20150420,33.36,0.0,38.69
20150421,33.51,0.0,34.11
20150422,32.48,0.0,38.13
20150423,31.7,0.0,43.81
20150424,31.36,0.0,44.13
20150425,31.36,0.0,49.85
20150426,31.88,0.0,51.2
20150427,32.59,0.0,49.66
20150428,32.5,0.0,51.03
20150429,32.24,0.0,48.52
20150430,32.29,0.0,49.86
20150501,32.35,0.0,47.58
20150502,32.81,0.0,44.3
20150503,33.13,0.0,42.55
20150504,33.38,0.0,42.57
20150505,33.77,0.0,39.97
20150506,33.06,0.0,38.64
20150507,33.5,0.14,40.78
20150508,34.31,0.0,36.49
20150509,34.33,0.01,36.76
20150510,33.65,0.46,40.61
20150511,33.85,0.02,41.14
20150512,33.16,0.03,46.99
20150513,32.85,0.21,52.67
20150514,33.3,0.75,46.16
20150515,34.97,0.05,41.12
20150516,35.71,0.03,40.78
20150517,35.24,0.0,39.46
20150518,34.7,0.0,41.31
20150519,33.64,0.0,48.22
20150520,33.52,0.0,50.9
20150521,33.25,0.0,52.39
20150522,33.12,0.0,53.85
20150523,32.54,0.0,57.7
20150524,31.8,0.0,60.52
20150525,31.64,0.0,60.9
20150526,32.11,0.0,58.62
20150527,32.28,0.0,57.62
20150528,32.56,0.0,57.31
20150529,33.8,0.0,50.58
20150530,33.73,0.0,49.4
20150531,34.46,0.0,43.57
20150601,32.69,0.0,53.54
20150602,31.71,0.1,55.77
20150603,31.76,0.28,56.19
20150604,33.03,0.03,51.24
20150605,32.51,0.0,53.91
20150606,32.72,0.04,54.33
20150607,32.56,0.58,55.22
20150608,32.03,5.94,58.77
20150609,30.93,2.43,62.23
20150610,30.66,1.83,65.67
20150611,29.12,17.83,77.1
20150612,27.65,36.42,85.68
20150613,27.18,29.74,88.21
20150614,27.75,9.74,82.18
20150615,27.93,8.94,80.62
20150616,28.09,3.6,76.79
20150617,28.65,0.61,77.26
20150618,28.65,4.87,76.45
20150619,27.82,0.49,83.27
20150620,28.59,0.27,81.49
20150621,28.45,24.58,82.36
20150622,27.48,58.73,87.64
20150623,27.18,37.03,85.78
20150624,26.91,123.58,89.68
20150625,26.85,33.56,89.41
20150626,27.48,0.01,83.77
20150627,27.5,0.23,83.31
20150628,27.37,0.11,82.98
20150629,27.29,0.0,83.59
20150630,27.11,0.0,83.87
20150701,27.23,0.0,82.19
20150702,27.17,0.0,81.78
20150703,27.3,0.0,81.78
20150704,27.49,0.0,81.63
20150705,27.58,0.0,80.99
20150706,27.32,0.0,81.64
20150707,27.51,0.11,81.56
20150708,27.42,0.15,80.81
20150709,27.07,0.61,82.27
20150710,27.4,1.11,82.05
20150711,27.2,0.68,81.88
20150712,27.9,0.0,79.23
20150713,27.83,0.0,80.04
20150714,28.01,0.0,79.15
20150715,27.73,0.59,79.23
20150716,28.06,1.28,78.4
20150717,27.64,0.08,80.54
20150718,27.93,4.62,79.9
20150719,27.21,8.34,83.66
20150720,26.83,11.47,85.71
20150721,26.67,15.61,87.76
20150722,26.74,14.78,90.1
20150723,26.87,7.25,88.12
20150724,26.67,10.98,90.89
20150725,26.01,10.63,89.66
20150726,25.9,28.82,88.4
20150727,25.35,62.25,93.96
20150728,25.51,23.59,90.48
20150729,25.66,14.73,88.96
20150730,25.85,1.52,86.65
20150731,26.26,0.69,85.47
20150801,26.36,0.44,85.4
20150802,26.33,0.17,85.45
20150803,25.83,0.29,86.35
20150804,26.26,5.26,85.86
20150805,25.71,10.33,88.89
20150806,26.42,1.98,85.39
20150807,26.94,0.72,84.52
20150808,26.91,0.29,85.5
20150809,25.93,0.36,89.07
20150810,26.72,0.13,85.53
20150811,26.55,2.22,86.24
20150812,25.83,4.28,88.32
20150813,26.14,3.86,86.35
20150814,26.43,2.17,86.24
20150815,26.9,0.9,84.6
20150816,26.73,1.92,85.0
20150817,26.69,3.47,85.83
20150818,26.79,2.28,85.75
20150819,26.87,0.42,84.61
20150820,26.29,0.06,85.14
20150821,26.41,0.23,83.39
20150822,26.51,0.12,81.85
20150823,26.66,0.45,82.21
20150824,26.35,1.06,83.3
20150825,26.62,4.1,83.32
20150826,26.96,2.19,82.5
20150827,26.98,0.32,81.96
20150828,26.81,0.34,83.03
20150829,27.06,0.65,82.32
20150830,25.95,17.19,87.92
20150831,26.15,14.14,86.02
20150901,25.84,2.06,84.38
20150902,25.51,0.0,83.09
20150903,25.61,0.01,80.25
20150904,26.6,0.54,79.21
20150905,27.06,0.04,76.45
20150906,26.5,0.1,74.93
20150907,25.95,0.08,77.51
20150908,26.1,2.43,78.96
20150909,27.19,6.56,78.93
20150910,28.08,2.51,77.09
20150911,29.2,2.18,71.52
20150912,28.05,32.32,80.28
20150913,26.59,3.72,86.38
20150914,26.95,3.63,86.0
20150915,26.94,2.71,85.18
20150916,27.75,0.05,80.43
20150917,28.49,1.22,76.16
20150918,26.5,63.87,90.76
20150919,26.14,97.14,92.73
20150920,24.97,87.2,89.95
20150921,25.61,45.41,90.32
20150922,25.69,15.98,88.92
20150923,25.63,2.86,87.69
20150924,24.73,0.52,86.38
20150925,24.27,0.0,85.6
20150926,24.23,0.0,84.64
20150927,25.02,0.0,82.64
20150928,26.14,0.0,75.33
20150929,26.65,0.01,75.55
20150930,26.43,0.0,76.88
20151001,25.09,0.0,71.37
20151002,27.13,1.27,78.71
20151003,26.45,3.4,89.34
20151004,27.55,1.38,80.23
20151005,28.2,0.24,75.57
20151006,28.71,0.0,64.54
20151007,29.26,0.0,57.5
20151008,28.81,0.0,56.98
20151009,27.46,0.0,65.9
20151010,26.35,0.0,81.7
20151011,27.45,0.39,78.06
20151012,27.62,0.53,77.26
20151013,27.97,0.0,69.03
20151014,27.33,0.0,59.01
20151015,25.78,0.0,59.0
20151016,26.51,0.0,66.58
20151017,27.32,0.0,65.02
20151018,28.09,0.0,57.95
20151019,28.59,0.0,54.7
20151020,29.09,0.0,51.36
20151021,28.14,0.0,56.19
20151022,27.97,0.0,55.66
20151023,28.27,0.0,52.83
20151024,28.72,0.0,50.32
20151025,25.87,1.52,68.73
20151026,26.21,3.61,71.85
20151027,26.88,0.0,64.34
20151028,26.59,0.06,62.14
20151029,23.19,0.0,48.94
20151030,23.63,0.0,62.49
20151031,23.78,0.0,58.85
20151101,24.85,0.0,61.77
20151102,25.85,0.0,58.41
20151103,26.35,0.0,57.51
20151104,27.86,0.0,49.73
20151105,27.35,0.0,50.54
20151106,26.62,0.0,50.3
20151107,26.15,0.0,50.59
20151108,26.46,0.0,52.69
20151109,27.06,0.0,54.63
20151110,26.38,0.0,54.53
20151111,26.26,0.0,55.74
20151112,26.88,0.0,52.26
20151113,26.25,0.0,52.18
20151114,26.44,0.0,46.67
20151115,25.98,0.0,43.46
20151116,25.1,0.0,42.33
20151117,25.37,0.0,42.29
20151118,24.32,0.0,39.95
20151119,24.44,0.0,43.09
20151120,24.04,0.0,36.46
20151121,25.78,0.22,39.98
20151122,24.96,1.38,60.3
20151123,25.86,0.17,68.96
20151124,25.46,0.03,63.83
20151125,26.53,0.0,48.6
20151126,27.68,0.0,41.38
20151127,25.36,0.0,35.03
20151128,25.16,0.0,32.57
20151129,26.48,0.0,37.59
20151130,28.29,0.0,40.1
20151201,28.4,0.0,38.95
20151202,26.36,0.0,32.1
20151203,24.61,0.0,25.33
20151204,23.83,0.0,21.41
20151205,24.5,0.0,25.38
20151206,24.38,0.0,24.96
20151207,24.36,0.0,21.12
20151208,24.37,0.0,19.45
20151209,24.8,0.0,25.5
20151210,25.46,0.0,36.62
20151211,23.6,0.0,36.98
20151212,22.82,0.0,18.48
20151213,23.72,0.0,17.38
20151214,23.47,0.0,19.18
20151215,22.55,0.0,20.15
20151216,23.44,0.0,15.96
20151217,21.96,0.0,14.78
20151218,21.2,0.0,19.3
20151219,22.8,0.0,22.83
20151220,22.94,0.0,33.27
20151221,21.41,0.0,22.29
20151222,19.56,0.0,20.72
20151223,18.71,0.0,20.93
20151224,18.17,0.0,19.09
20151225,17.92,0.0,20.36
20151226,19.01,0.0,16.47
20151227,21.83,0.0,16.11
20151228,24.16,0.0,21.1
20151229,25.52,0.0,22.18
20151230,26.93,0.0,19.7
20151231,25.82,0.0,21.99
20160101,24.99,0.0,22.48
20160102,24.3,0.0,19.37
20160103,22.97,0.0,22.64
20160104,22.7,0.0,24.08
20160105,23.29,0.0,23.52
20160106,23.99,0.0,25.7
20160107,23.94,0.0,29.11
20160108,23.79,0.0,31.0
20160109,23.0,0.0,26.13
20160110,22.51,0.0,22.05
20160111,23.24,0.0,25.5
20160112,23.35,0.0,28.97
20160113,23.08,0.0,31.56
20160114,22.8,0.0,31.61
20160115,22.83,0.0,33.72
20160116,23.37,0.0,35.18
20160117,22.79,0.0,44.0
20160118,22.76,0.0,43.13
20160119,20.86,0.0,30.71
20160120,19.27,0.0,38.21
20160121,18.61,0.0,22.66
20160122,18.6,0.0,15.93
20160123,19.98,0.0,14.58
20160124,21.32,0.0,14.49
20160125,21.85,0.0,14.21
20160126,22.75,0.0,13.5
20160127,22.16,0.0,31.91
20160128,24.57,0.0,34.75
20160129,26.14,0.0,26.55
20160130,26.0,0.0,26.71
20160131,24.9,0.0,34.14
20160201,25.1,0.0,30.59
20160202,23.83,0.0,32.06
20160203,23.4,0.0,23.47
20160204,22.52,0.0,20.86
20160205,24.25,0.0,16.78
20160206,22.15,0.0,46.75
20160207,21.73,0.0,53.46
20160208,22.81,0.0,35.53
20160209,24.44,0.0,23.13
20160210,24.03,0.0,35.79
20160211,22.63,0.0,42.38
20160212,21.44,0.0,57.64
20160213,21.95,0.0,53.51
20160214,23.46,0.0,27.81
20160215,24.33,0.0,26.2
20160216,26.66,0.0,30.68
20160217,27.33,0.0,35.81
20160218,27.94,0.0,36.32
20160219,27.05,0.0,54.42
20160220,26.62,0.0,54.64
20160221,28.11,0.0,29.87
20160222,26.7,0.0,21.65
20160223,27.18,0.0,15.57
20160224,27.52,0.0,10.68
20160225,26.36,0.0,30.72
20160226,27.24,0.0,18.25
20160227,27.74,0.0,12.25
20160228,28.97,0.0,14.45
20160229,29.73,0.0,28.21
20160301,29.78,0.12,33.36
20160302,29.55,0.0,34.12
20160303,30.13,0.69,35.11
20160304,29.57,0.39,33.79
20160305,28.31,0.01,37.94
20160306,27.35,0.0,32.55
20160307,27.47,0.0,33.87
20160308,28.0,0.0,25.8
20160309,28.91,0.0,24.9
20160310,29.03,0.0,31.18
20160311,30.84,0.0,25.11
20160312,27.73,0.02,36.14
20160313,25.51,0.0,48.6
20160314,26.22,0.0,49.35
20160315,27.36,0.0,37.97
20160316,28.79,0.0,24.86
20160317,28.79,0.0,36.86
20160318,29.47,0.0,43.96
20160319,29.62,0.0,39.6
20160320,29.85,0.0,36.83
20160321,29.31,0.0,27.07
20160322,29.98,0.0,16.52
20160323,31.07,0.0,11.32
20160324,32.94,0.0,9.58
20160325,33.22,0.0,14.24
20160326,31.65,0.0,31.23
20160327,31.7,0.0,20.83
20160328,30.81,0.0,22.02
20160329,29.85,0.0,32.34
20160330,30.28,0.0,37.28
20160331,30.09,0.0,40.06
20160401,30.09,0.0,45.01
20160402,30.81,0.0,48.55
20160403,31.88,0.0,47.67
20160404,31.69,0.0,33.29
20160405,31.31,0.01,41.27
20160406,31.29,0.02,36.32
20160407,30.32,0.0,34.96
20160408,30.4,0.0,29.96
20160409,30.2,0.0,29.76
20160410,31.02,0.0,33.51
20160411,31.53,0.0,32.61
20160412,31.57,0.0,30.8
20160413,32.03,0.0,35.6
20160414,32.07,0.0,36.94
20160415,31.69,0.0,40.42
20160416,31.47,0.0,44.57
20160417,30.78,0.0,47.91
20160418,32.48,0.0,43.96
20160419,32.61,0.0,46.54
20160420,33.83,0.0,36.94
20160421,32.25,0.0,40.72
20160422,29.95,0.0,49.69
20160423,30.04,0.0,52.4
20160424,30.06,0.0,51.52
20160425,29.72,0.0,51.68
20160426,30.14,0.0,39.27
20160427,33.05,0.0,21.07
20160428,33.14,0.0,23.5
20160429,33.28,0.0,36.63
20160430,32.67,0.0,46.05
20160501,32.93,0.0,41.81
20160502,31.68,0.0,44.95
20160503,34.04,0.0,36.79
20160504,32.02,0.0,44.85
20160505,32.05,0.0,46.25
20160506,31.96,0.23,45.97
20160507,32.05,0.53,49.29
20160508,33.23,0.32,46.34
20160509,33.44,1.54,44.05
20160510,33.86,0.32,42.56
20160511,34.38,0.06,43.85
20160512,34.33,0.63,42.13
20160513,34.25,0.9,46.98
20160514,34.44,0.0,43.26
20160515,34.47,0.0,44.49
20160516,34.67,0.0,41.64
20160517,35.74,0.0,42.12
20160518,36.45,0.0,39.33
20160519,34.89,0.0,48.99
20160520,33.38,0.0,55.71
20160521,32.04,0.0,60.31
20160522,31.65,0.0,60.78
20160523,31.45,0.0,64.1
20160524,31.64,0.0,59.75
20160525,31.85,0.0,59.58
20160526,32.36,0.0,59.84
20160527,31.73,0.0,62.0
20160528,32.4,0.0,58.53
20160529,32.03,0.0,58.56
20160530,32.14,0.0,58.92
20160531,32.77,0.0,53.73
20160601,32.87,0.0,52.68
20160602,33.18,0.0,52.27
20160603,34.12,0.01,47.92
20160604,34.94,0.04,47.12
20160605,35.3,0.0,46.44
20160606,34.23,0.0,51.57
20160607,33.85,0.0,52.12
20160608,33.41,0.0,54.76
20160609,31.9,0.0,58.74
20160610,32.02,0.0,60.09
20160611,30.89,0.0,64.83
20160612,30.76,0.0,66.98
20160613,31.14,0.0,65.13
20160614,31.29,0.0,63.32
20160615,31.28,0.0,62.6
20160616,31.39,0.0,59.21
20160617,31.13,0.01,56.49
20160618,32.29,0.23,54.27
20160619,31.05,2.17,55.98
20160620,30.45,1.19,62.59
20160621,29.81,13.7,70.49
20160622,28.27,9.56,79.19
20160623,28.74,0.5,74.53
20160624,27.79,1.75,79.45
20160625,27.24,5.88,82.37
20160626,28.66,2.59,75.26
20160627,28.99,10.11,74.87
20160628,28.64,18.72,78.35
20160629,26.74,12.34,84.64
20160630,28.67,3.02,77.8
20160701,28.5,10.29,80.1
20160702,28.15,20.38,83.93
20160703,27.07,38.09,89.38
20160704,27.43,29.47,86.0
20160705,27.43,3.87,84.71
20160706,27.01,0.93,85.8
20160707,26.86,0.69,85.45
20160708,27.61,1.17,82.23
20160709,27.07,6.38,84.62
20160710,26.97,18.06,86.98
20160711,26.61,40.9,88.85
20160712,25.72,17.23,91.77
20160713,26.77,6.12,85.59
20160714,27.36,2.55,83.45
20160715,27.05,1.06,84.44
20160716,26.96,6.36,85.31
20160717,26.92,4.61,84.2
20160718,26.07,6.45,86.96
20160719,25.95,11.94,87.48
20160720,26.55,5.39,85.19
20160721,26.48,3.19,85.85
20160722,26.76,1.61,84.39
20160723,26.79,4.58,83.82
20160724,26.28,2.71,86.73
20160725,26.77,9.24,86.0
20160726,26.39,27.08,89.3
20160727,25.93,24.93,89.75
20160728,25.85,12.05,89.29
20160729,25.79,4.14,87.66
20160730,26.15,23.49,88.6
20160731,25.83,41.14,91.94
20160801,25.98,25.17,90.75
20160802,25.58,29.4,91.89
20160803,25.58,11.17,91.32
20160804,25.87,8.15,90.11
20160805,26.38,9.07,90.04
20160806,25.39,16.15,91.57
20160807,25.27,12.21,91.49
20160808,25.62,12.66,90.34
20160809,25.63,53.14,91.66
20160810,25.47,26.25,91.45
20160811,25.72,6.47,90.38
20160812,26.22,0.4,88.87
20160813,26.11,0.09,88.65
20160814,25.74,0.03,88.15
20160815,25.71,0.01,87.74
20160816,25.61,0.01,88.06
20160817,25.67,0.27,87.78
20160818,25.76,0.19,86.31
20160819,25.34,1.47,87.52
20160820,24.9,2.81,91.18
20160821,25.58,3.67,89.57
20160822,26.03,0.98,87.87
20160823,25.98,9.08,88.82
20160824,25.91,5.8,88.5
20160825,25.73,2.92,86.64
20160826,25.53,1.42,88.99
20160827,26.95,3.2,87.04
20160828,26.36,1.86,89.81
20160829,26.67,1.4,87.72
20160830,26.57,2.8,88.13
20160831,26.5,4.41,87.42
20160901,25.64,3.93,89.06
20160902,25.62,2.36,86.87
20160903,25.24,0.32,84.86
20160904,25.28,0.0,84.51
20160905,25.16,0.02,84.57
20160906,25.02,3.6,84.69
20160907,24.86,8.64,86.88
20160908,25.04,5.36,86.39
20160909,25.05,2.7,86.79
20160910,25.18,0.78,86.45
20160911,25.3,0.08,85.04
20160912,25.51,0.05,83.95
20160913,25.77,0.34,84.11
20160914,26.48,1.06,83.65
20160915,26.5,16.87,87.33
20160916,26.74,11.69,88.58
20160917,26.16,10.55,90.55
20160918,25.64,57.99,93.58
20160919,25.31,15.97,90.71
20160920,25.59,6.02,89.05
20160921,26.05,11.67,88.37
20160922,25.91,5.57,89.62
20160923,26.37,5.64,88.62
20160924,26.41,2.57,88.56
20160925,26.28,0.51,86.69
20160926,26.26,0.14,85.96
20160927,26.16,0.1,84.96
20160928,25.72,0.62,87.12
20160929,25.02,0.11,87.5
20160930,25.07,0.57,86.91
20161001,24.96,3.64,89.33
20161002,25.32,9.33,89.91
20161003,24.79,33.71,95.27
20161004,25.81,14.8,91.09
20161005,25.5,5.0,90.21
20161006,25.43,5.54,89.68
20161007,25.85,2.73,84.36
20161008,26.13,0.82,86.78
20161009,25.81,0.08,87.19
20161010,25.33,0.0,87.0
20161011,25.1,0.0,87.0
20161012,23.99,0.0,84.12
20161013,24.09,0.0,72.26
20161014,25.15,0.0,63.04
20161015,26.01,0.0,57.6
20161016,26.46,0.0,58.4
20161017,25.97,0.0,60.91
20161018,25.6,0.0,59.09
20161019,25.4,0.0,57.08
20161020,24.65,0.0,61.56
20161021,24.34,0.0,63.8
20161022,24.5,0.0,61.62
20161023,24.42,0.0,63.9
20161024,23.63,0.0,70.08
20161025,23.15,0.0,70.02
20161026,23.92,0.0,62.49
20161027,24.16,0.0,62.68
20161028,23.57,0.0,59.7
20161029,22.66,0.0,56.41
20161030,22.22,0.0,58.53
20161031,22.26,0.0,58.1
20161101,22.01,0.0,57.73
20161102,21.8,0.0,59.49
20161103,21.77,0.0,61.25
20161104,22.51,0.0,62.76
20161105,22.13,0.0,60.05
20161106,22.9,0.0,53.89
20161107,22.89,0.0,50.92
20161108,22.87,0.0,49.19
20161109,22.11,0.0,47.35
20161110,22.37,0.0,45.3
20161111,22.63,0.0,44.64
20161112,22.04,0.0,47.93
20161113,21.96,0.0,52.77
20161114,22.34,0.0,54.26
20161115,22.41,0.0,56.98
20161116,23.01,0.0,60.8
20161117,22.3,0.0,52.44
20161118,21.78,0.0,48.45
20161119,22.7,0.0,45.73
20161120,22.6,0.0,47.08
20161121,22.51,0.0,44.74
20161122,22.38,0.0,45.29
20161123,22.37,0.0,44.67
20161124,22.46,0.0,43.36
20161125,22.64,0.0,44.06
20161126,23.09,0.0,38.22
20161127,23.15,0.0,38.11
20161128,23.99,0.0,35.96
20161129,24.4,0.0,33.98
20161130,24.01,0.0,31.99
20161201,24.12,0.0,33.23
20161202,23.86,0.0,39.21
20161203,23.24,0.0,43.73
20161204,23.33,0.0,45.32
20161205,23.05,0.0,37.01
20161206,22.27,0.0,31.85
20161207,22.28,0.0,33.05
20161208,22.46,0.0,31.11
20161209,22.21,0.0,26.74
20161210,22.22,0.0,25.25
20161211,22.42,0.0,30.24
20161212,22.42,0.0,29.64
20161213,22.73,0.0,29.5
20161214,23.08,0.0,34.56
20161215,23.82,0.0,38.37
20161216,23.91,0.0,33.88
20161217,23.54,0.0,29.78
20161218,22.94,0.0,30.02
20161219,21.96,0.0,30.1
20161220,21.64,0.0,27.8
20161221,22.45,0.0,26.22
20161222,22.42,0.0,21.77
20161223,23.75,0.0,16.6
20161224,24.01,0.0,17.77
20161225,23.43,0.0,20.38
20161226,20.89,0.0,17.89
20161227,19.9,0.0,22.76
20161228,21.07,0.0,24.62
20161229,22.54,0.0,23.9
20161230,23.38,0.0,22.73
20161231,23.52,0.0,23.47
20170101,23.44,0.0,23.72
20170102,21.74,0.0,23.8
20170103,20.69,0.0,30.29
20170104,21.91,0.0,28.26
20170105,22.29,0.0,25.75
20170106,22.3,0.0,27.68
20170107,20.76,0.0,62.69
20170108,21.48,0.0,62.81
20170109,20.29,0.0,30.47
