,T2M,Rain,Humidity
20150101,16.87,27.32,90.43
20150102,18.1,17.72,83.15
20150103,17.84,2.39,86.98
20150104,16.05,0.07,74.53
20150105,14.14,0.0,61.49
20150106,15.76,0.0,47.27
20150107,16.19,0.0,49.22
20150108,13.92,0.0,61.57
20150109,13.18,0.0,54.48
20150110,14.45,0.0,46.54
20150111,14.73,0.0,47.79
20150112,14.43,0.0,48.84
20150113,13.88,0.0,48.69
20150114,16.55,0.0,41.04
20150115,15.45,0.0,51.05
20150116,14.22,0.0,61.46
20150117,13.35,0.0,59.14
20150118,12.9,0.0,52.58
20150119,13.58,0.0,49.76
20150120,15.33,0.0,51.94
20150121,17.03,0.0,54.47
20150122,16.62,2.41,65.87
20150123,17.09,3.61,78.9
20150124,17.84,1.55,75.96
20150125,19.1,0.98,70.9
20150126,19.42,0.29,70.66
20150127,18.48,0.56,74.63
20150128,17.16,3.66,75.83
20150129,15.55,5.31,75.32
20150130,13.93,0.0,51.41
20150131,14.73,0.0,42.45
20150201,16.63,0.0,43.25
20150202,18.35,0.0,44.01
20150203,20.89,0.03,45.67
20150204,19.02,0.06,62.81
20150205,17.94,0.0,58.15
20150206,18.86,0.0,53.1
20150207,20.88,0.61,53.17
20150208,20.76,4.54,61.95
20150209,19.73,1.47,66.73
20150210,19.29,0.16,61.44
20150211,16.63,2.68,73.43
20150212,18.96,0.06,68.17
20150213,18.64,0.0,51.95
20150214,21.02,0.0,38.6
20150215,20.59,0.0,46.2
20150216,20.57,0.0,44.51
20150217,23.0,0.0,35.91
20150218,22.35,0.0,38.02
20150219,21.94,0.0,39.03
20150220,23.08,0.0,37.62
20150221,23.59,0.36,38.21
20150222,23.6,0.0,37.39
20150223,23.98,0.0,32.26
20150224,24.52,0.0,29.46
20150225,25.89,0.0,26.69
20150226,24.22,0.0,34.46
20150227,24.37,0.0,32.3
20150228,24.91,9.57,40.21
20150301,19.6,14.94,79.63
20150302,18.76,23.82,77.1
20150303,18.57,0.19,63.17
20150304,18.13,0.0,55.23
20150305,19.6,0.0,50.06
20150306,20.96,0.0,46.28
20150307,22.64,0.0,41.99
20150308,23.86,0.0,44.43
20150309,23.4,0.01,52.05
20150310,21.81,0.0,52.13
20150311,22.69,0.28,46.89
20150312,24.67,0.27,49.03
20150313,24.74,2.22,56.17
20150314,21.72,10.26,69.95
20150315,23.71,5.47,62.92
20150316,24.22,4.7,67.45
20150317,23.88,0.0,61.85
20150318,22.13,0.0,59.47
20150319,21.92,0.0,49.03
20150320,22.8,0.0,45.63
20150321,24.9,0.0,43.64
20150322,27.26,0.0,41.82
20150323,27.65,0.0,44.44
20150324,26.12,0.0,48.31
20150325,26.63,0.0,37.81
20150326,27.61,0.0,36.39
20150327,28.42,0.0,38.62
20150328,29.41,0.29,37.2
20150329,29.16,1.1,40.81
20150330,25.42,0.7,51.71
20150331,27.54,0.0,37.7
20150401,27.39,0.0,28.14
20150402,29.03,0.0,23.57
20150403,29.17,0.0,27.89
20150404,28.3,0.0,27.64
20150405,27.88,0.0,35.51
20150406,28.85,0.06,36.86
20150407,29.35,0.12,31.15
20150408,29.72,0.13,34.9
20150409,30.92,1.16,31.56
20150410,31.39,0.11,35.79
20150411,31.17,0.6,37.33
20150412,27.04,2.4,48.9
20150413,24.05,3.16,59.37
20150414,24.35,6.62,59.5
20150415,25.18,1.85,59.06
20150416,27.19,0.0,54.22
20150417,29.76,0.0,43.83
20150418,32.03,0.0,35.59
20150419,33.55,0.0,30.39
20150420,33.74,0.0,27.38
20150421,33.53,0.0,23.54
20150422,34.48,0.0,20.01
20150423,33.76,0.0,17.43
20150424,32.55,0.0,15.97
20150425,32.76,0.02,17.68
20150426,32.36,0.06,26.84
20150427,33.45,0.01,24.06
20150428,34.4,0.05,20.88
20150429,33.78,0.0,20.3
20150430,34.28,0.0,23.24
20150501,33.45,0.0,14.92
20150502,33.33,0.0,11.76
20150503,33.85,0.0,17.34
20150504,34.82,0.43,19.34
20150505,34.86,0.0,22.76
20150506,35.73,0.0,12.58
20150507,35.68,0.0,11.89
20150508,35.66,0.0,12.77
20150509,35.83,0.0,14.5
20150510,36.13,0.12,20.15
20150511,35.99,0.07,24.56
20150512,35.96,0.18,27.99
