,T2M,Rain,Humidity
20150101,13.16,2.45,70.66
20150102,14.3,5.21,86.4
20150103,15.95,0.71,80.65
20150104,14.7,0.0,70.67
20150105,13.93,0.0,50.05
20150106,15.35,0.0,46.53
20150107,15.51,0.0,51.04
20150108,14.21,0.0,47.41
20150109,14.97,0.0,37.44
20150110,15.7,0.0,34.66
20150111,16.08,0.0,37.74
20150112,14.9,0.0,40.04
20150113,13.52,0.0,42.65
20150114,15.0,0.43,48.58
20150115,13.29,0.0,54.13
20150116,13.1,0.0,47.85
20150117,14.01,0.0,42.75
20150118,14.19,0.0,41.35
20150119,13.58,0.0,41.81
20150120,13.0,0.0,42.31
20150121,14.86,0.6,47.41
20150122,17.21,17.72,72.57
20150123,15.49,3.77,75.64
20150124,15.19,0.0,66.6
20150125,12.85,3.02,73.69
20150126,14.29,3.08,86.98
20150127,15.17,0.28,72.69
20150128,13.77,0.0,53.84
20150129,12.52,0.23,46.46
20150130,12.3,0.03,39.9
20150131,14.7,0.0,34.21
20150201,15.85,0.0,40.64
20150202,17.34,0.0,46.98
20150203,18.75,0.0,54.42
20150204,16.19,0.09,52.8
20150205,14.82,0.0,43.99
20150206,16.86,0.0,41.37
20150207,17.98,3.98,54.6
20150208,17.82,3.91,70.83
20150209,18.18,0.02,60.72
20150210,17.37,0.0,45.51
20150211,18.62,0.0,47.04
20150212,18.14,0.25,52.59
20150213,17.94,0.0,37.45
20150214,20.31,0.0,40.33
20150215,20.51,0.0,41.72
20150216,21.18,0.0,37.23
20150217,21.18,0.0,41.54
20150218,21.07,0.0,42.31
20150219,22.8,0.0,40.18
20150220,24.17,0.08,36.61
20150221,23.65,0.0,36.5
20150222,23.18,0.0,36.27
20150223,24.62,0.0,32.36
20150224,24.29,0.0,35.56
20150225,24.91,0.0,37.63
20150226,21.66,0.0,28.78
20150227,19.7,0.09,31.16
20150228,19.95,2.53,40.96
20150301,17.84,14.38,82.45
20150302,19.04,4.57,71.99
20150303,19.56,0.01,55.82
20150304,18.43,0.0,46.65
20150305,19.59,0.0,38.97
20150306,20.8,0.0,39.88
20150307,21.65,0.0,43.19
20150308,24.2,0.51,41.09
20150309,21.52,0.0,40.9
20150310,18.89,0.0,30.79
20150311,21.49,0.0,33.71
20150312,21.9,1.44,45.32
20150313,23.73,2.87,55.91
20150314,22.23,12.65,68.12
20150315,20.18,33.32,82.69
20150316,21.74,1.37,71.99
20150317,21.65,0.0,61.31
20150318,20.92,0.0,50.48
20150319,21.44,0.0,41.96
20150320,24.25,0.0,33.95
20150321,25.4,0.0,38.98
20150322,26.43,0.0,41.84
20150323,26.51,0.0,43.37
