,T2M,Rain,Humidity
20150101,13.12,0.0,88.24
20150102,14.55,0.01,86.23
20150103,14.96,1.11,86.99
20150104,14.15,12.19,93.18
20150105,12.44,0.36,84.4
20150106,11.34,0.0,79.36
20150107,11.63,0.07,78.48
20150108,11.08,1.7,81.44
20150109,11.25,2.68,81.96
20150110,9.36,0.2,87.72
20150111,9.51,0.13,82.52
20150112,9.06,0.0,82.96
20150113,8.87,0.0,77.34
20150114,10.18,0.0,74.84
20150115,11.26,0.0,78.46
20150116,12.27,0.07,76.04
20150117,12.13,3.22,81.24
20150118,10.7,1.46,77.41
20150119,11.16,0.02,78.14
20150120,11.45,0.0,76.4
20150121,11.49,0.0,77.05
20150122,11.43,0.03,76.09
20150123,11.88,0.12,75.66
20150124,11.71,0.0,76.26
20150125,12.12,0.0,74.9
20150126,12.32,0.0,68.94
20150127,12.81,0.0,62.65
20150128,12.75,0.02,69.24
20150129,12.95,0.33,70.79
20150130,11.15,0.67,74.93
20150131,10.14,0.03,76.13
20150201,10.84,0.0,73.25
20150202,12.12,0.0,68.49
20150203,13.04,0.0,64.99
20150204,12.99,0.0,62.3
20150205,12.6,0.0,64.98
20150206,11.94,0.0,69.63
20150207,12.25,0.0,67.01
20150208,12.78,0.0,62.53
20150209,12.41,0.0,63.17
20150210,12.61,0.0,75.84
20150211,12.69,0.03,74.34
20150212,12.64,3.22,74.52
20150213,11.24,2.67,70.08
20150214,10.77,0.05,73.74
20150215,11.05,0.0,76.27
20150216,12.66,0.0,63.76
20150217,13.61,0.01,62.61
20150218,13.14,0.57,70.22
20150219,12.82,0.71,70.95
20150220,13.23,0.45,72.19
20150221,13.54,2.33,75.64
20150222,12.41,0.12,81.24
20150223,15.25,0.0,71.69
20150224,15.89,0.5,71.53
20150225,15.75,3.36,71.61
20150226,15.86,7.25,73.85
20150227,15.66,0.42,72.78
20150228,16.4,0.0,69.75
20150301,16.54,0.03,72.59
20150302,16.86,1.22,74.94
20150303,14.96,1.52,79.73
20150304,13.6,4.13,79.19
20150305,12.83,0.98,76.25
20150306,12.85,1.55,62.8
20150307,12.94,0.32,63.1
20150308,15.0,0.0,58.82
20150309,16.42,0.0,55.1
20150310,16.72,0.0,56.44
20150311,15.65,0.0,47.02
20150312,16.0,0.0,52.42
20150313,16.64,0.0,53.38
20150314,15.7,0.02,59.09
20150315,16.88,0.01,70.22
20150316,16.46,0.0,66.21
20150317,16.62,0.03,68.3
20150318,16.48,1.34,66.26
20150319,15.84,0.01,64.67
20150320,16.5,0.0,57.89
20150321,18.19,0.0,54.65
20150322,19.22,0.0,50.06
20150323,19.59,0.0,53.05
20150324,17.38,0.8,73.3
20150325,16.6,2.39,76.68
20150326,17.75,0.81,71.18
20150327,17.32,3.35,76.98
20150328,17.07,4.15,79.75
20150329,18.68,0.17,69.84
20150330,18.59,6.11,75.22
20150331,16.94,9.29,78.81
20150401,17.48,12.06,68.25
20150402,16.31,14.86,71.42
20150403,16.11,10.03,81.78
20150404,17.52,24.65,78.35
20150405,17.62,11.75,74.54
20150406,16.62,4.39,73.6
20150407,18.15,1.03,68.72
20150408,17.91,9.92,71.59
20150409,17.58,9.19,67.26
20150410,17.67,3.43,62.78
20150411,18.34,0.15,63.35
20150412,19.23,0.39,64.28
20150413,17.67,0.04,74.18
20150414,18.99,0.0,73.64
20150415,19.38,0.08,75.36
20150416,19.1,5.96,75.96
20150417,18.05,9.75,76.77
20150418,17.41,15.61,80.61
20150419,17.98,1.95,68.09
20150420,19.85,4.08,65.67
20150421,18.57,10.26,79.93
20150422,18.2,17.19,82.35
20150423,18.06,11.5,78.05
20150424,18.3,1.64,78.6
20150425,17.14,3.73,81.08
20150426,17.05,1.4,80.44
20150427,17.17,0.44,78.4
20150428,19.05,0.06,70.9
20150429,17.96,2.93,83.0
20150430,18.28,0.81,70.77
