,T2M,Rain,Humidity
20150101,27.71,0.31,74.17
20150102,27.47,0.26,75.31
20150103,27.04,0.11,70.24
20150104,26.43,0.0,71.85
20150105,26.47,0.1,72.23
20150106,26.7,1.09,78.75
20150107,26.62,0.23,75.56
20150108,26.58,0.01,69.86
20150109,26.43,4.17,72.5
20150110,26.23,0.69,67.88
20150111,25.9,0.45,71.37
20150112,26.36,5.7,76.69
20150113,27.07,14.58,80.7
20150114,27.47,4.97,76.24
20150115,27.38,2.01,75.12
20150116,27.24,7.49,78.67
20150117,27.36,0.2,70.18
20150118,27.12,0.13,69.2
20150119,27.23,0.42,68.52
20150120,27.1,0.38,68.94
20150121,26.98,0.13,68.66
20150122,26.67,0.0,65.9
20150123,26.47,0.0,60.73
20150124,26.14,0.0,64.74
20150125,25.99,0.07,63.74
20150126,26.16,0.02,65.11
20150127,25.95,0.12,67.55
20150128,25.77,0.0,67.02
20150129,26.6,0.09,72.3
20150130,26.63,0.31,74.33
20150131,26.43,0.16,74.41
20150201,26.57,0.29,77.99
20150202,26.71,0.65,79.44
20150203,27.26,0.01,73.14
20150204,27.33,0.0,71.48
20150205,27.18,0.0,69.76
20150206,27.32,0.04,71.82
20150207,27.16,0.54,70.07
20150208,27.19,0.43,67.6
20150209,26.95,0.38,71.63
20150210,27.01,2.26,72.61
20150211,27.08,1.08,69.84
20150212,27.02,0.01,69.03
20150213,26.74,0.0,64.3
20150214,26.49,0.0,62.94
20150215,25.91,0.0,64.26
20150216,25.78,0.0,67.31
20150217,26.34,0.0,65.18
20150218,26.52,0.0,64.64
20150219,26.96,0.01,64.16
20150220,27.15,0.01,69.89
20150221,27.26,0.08,69.48
20150222,27.35,0.25,70.92
20150223,27.33,0.0,69.62
20150224,27.17,0.0,64.84
20150225,27.1,0.0,61.89
20150226,26.79,0.0,66.62
20150227,27.19,0.0,64.59
20150228,27.18,0.0,67.06
20150301,27.85,0.83,70.51
20150302,28.21,0.12,70.76
20150303,28.24,0.0,70.06
20150304,28.32,0.19,70.14
20150305,27.92,0.02,72.42
20150306,27.66,0.0,74.24
20150307,27.69,0.0,65.97
20150308,27.49,0.0,63.11
20150309,27.54,0.0,65.94
20150310,28.56,0.0,64.91
20150311,28.78,0.0,65.36
20150312,29.0,0.0,62.79
20150313,29.08,0.0,60.09
20150314,29.12,0.01,62.42
20150315,29.02,0.0,55.47
20150316,28.39,0.0,64.65
20150317,28.59,0.02,71.19
20150318,29.18,0.02,64.37
20150319,29.27,0.0,61.58
20150320,28.85,0.07,67.15
20150321,28.83,0.0,61.32
20150322,28.24,0.0,59.94
20150323,28.0,0.0,60.96
20150324,28.54,0.0,65.28
20150325,28.85,0.64,72.12
20150326,29.0,1.72,75.1
20150327,29.16,0.36,73.5
20150328,29.1,0.59,72.99
20150329,29.09,0.06,71.99
20150330,29.5,0.03,70.13
20150331,29.43,0.08,69.97
20150401,29.66,0.73,63.75
20150402,29.46,0.04,62.28
20150403,29.33,0.01,61.18
20150404,29.48,0.01,60.41
20150405,29.71,0.02,62.36
20150406,29.89,0.0,63.19
20150407,29.98,0.01,67.5
20150408,30.07,0.1,69.4
20150409,30.08,0.14,67.65
20150410,30.42,0.09,62.62
20150411,30.58,1.18,61.08
20150412,30.21,4.31,65.76
20150413,29.59,4.02,70.23
20150414,28.63,8.86,74.88
20150415,28.89,3.29,73.05
20150416,28.95,1.63,74.01
20150417,29.27,1.93,70.7
20150418,29.68,0.89,70.02
20150419,29.57,0.85,72.03
20150420,30.13,3.87,68.81
20150421,30.33,1.34,68.96
20150422,29.87,0.34,70.67
20150423,30.0,0.55,68.97
20150424,29.94,2.45,66.5
20150425,29.59,1.66,71.79
20150426,29.54,3.26,69.85
20150427,29.72,5.97,71.0
20150428,29.67,5.9,72.44
20150429,30.01,3.24,66.65
20150430,29.42,4.51,72.4
20150501,29.07,5.57,74.4
20150502,29.53,0.66,71.36
20150503,29.72,0.67,69.29
20150504,29.84,0.99,68.19
20150505,30.49,2.82,66.54
20150506,30.24,3.73,71.12
20150507,29.98,2.84,72.8
20150508,30.32,3.79,68.97
20150509,30.51,5.9,68.91
20150510,30.51,6.48,69.66
20150511,31.25,1.34,67.84
20150512,30.67,1.45,72.03
20150513,30.32,9.19,73.46
20150514,29.61,20.57,78.76
20150515,29.6,12.12,77.79
20150516,29.18,11.31,79.78
20150517,28.81,33.98,81.11
20150518,29.92,5.77,74.66
20150519,29.27,14.45,80.71
20150520,29.35,21.82,79.39
20150521,29.25,31.33,82.5
20150522,28.78,15.96,82.47
20150523,29.14,16.2,82.06
20150524,28.91,74.94,76.41
20150525,28.85,11.07,77.92
20150526,29.08,7.29,79.55
20150527,28.82,6.09,78.8
20150528,28.46,15.65,80.91
20150529,27.97,1.37,84.93
20150530,27.89,4.37,83.57
20150531,28.65,2.64,80.64
20150601,28.81,6.34,83.46
20150602,28.78,8.37,80.52
20150603,28.09,4.17,81.66
20150604,28.32,3.53,81.22
20150605,28.39,0.61,79.55
20150606,28.82,0.17,80.31
20150607,29.2,0.14,77.17
20150608,29.47,0.35,76.57
20150609,28.88,1.92,80.44
20150610,28.77,3.19,80.5
20150611,28.45,2.68,78.25
20150612,28.11,2.91,83.96
20150613,27.89,5.06,84.14
20150614,28.02,9.84,83.91
20150615,27.82,18.19,82.57
20150616,27.75,22.72,81.23
20150617,28.24,31.76,82.25
20150618,28.57,31.0,83.49
20150619,28.43,10.18,83.63
20150620,28.66,8.1,79.6
20150621,28.78,7.74,85.56
20150622,28.71,7.81,87.03
20150623,28.63,14.51,87.09
20150624,28.47,71.49,85.34
20150625,28.32,14.11,85.79
20150626,27.85,1.85,83.07
20150627,28.03,13.63,80.7
20150628,27.9,43.82,85.93
20150629,27.6,31.44,84.69
20150630,27.67,2.54,82.95
20150701,28.33,3.24,84.04
20150702,28.62,4.05,83.0
20150703,28.68,9.02,84.31
20150704,28.71,9.12,86.81
20150705,28.31,4.79,87.21
20150706,28.53,1.91,84.31
20150707,28.24,6.94,87.85
20150708,28.63,2.77,84.63
20150709,28.74,1.16,81.61
20150710,28.55,6.34,84.39
20150711,28.38,6.4,86.16
20150712,28.08,4.21,86.82
20150713,28.15,9.28,85.95
20150714,28.05,4.29,82.47
20150715,28.16,21.78,83.22
20150716,28.41,21.49,84.22
20150717,28.47,23.29,81.12
20150718,28.21,37.37,85.13
20150719,27.97,26.28,85.0
20150720,27.79,69.25,83.48
20150721,27.95,20.16,82.71
20150722,27.84,14.4,83.99
20150723,27.86,6.26,83.36
20150724,27.79,7.13,84.14
20150725,28.12,5.37,82.98
20150726,28.43,10.09,83.55
20150727,28.4,5.61,84.35
20150728,28.27,6.61,84.05
20150729,28.33,6.48,80.44
20150730,28.16,13.81,80.53
20150731,28.31,10.3,81.6
20150801,28.43,8.88,80.69
20150802,28.42,5.36,82.51
20150803,28.23,5.02,84.17
20150804,27.79,11.56,83.86
20150805,27.56,10.94,85.97
20150806,27.63,24.54,83.87
20150807,27.98,26.35,86.34
20150808,27.82,20.97,85.68
20150809,28.02,18.43,86.55
20150810,28.05,9.38,86.5
20150811,28.22,5.46,84.12
20150812,28.19,5.98,86.14
20150813,27.91,10.23,87.23
20150814,27.91,2.27,82.19
20150815,27.86,1.05,82.4
20150816,27.67,2.62,84.55
20150817,27.86,1.3,84.11
20150818,28.13,0.49,82.74
20150819,27.86,11.47,85.4
20150820,27.5,10.82,85.41
20150821,27.48,9.02,81.0
20150822,27.47,18.35,83.23
20150823,28.17,11.07,80.38
20150824,28.23,22.3,86.11
20150825,27.79,42.81,88.02
20150826,27.68,17.76,85.97
20150827,27.6,39.46,86.27
20150828,27.69,7.75,86.01
20150829,28.0,3.9,84.75
20150830,28.21,1.45,84.64
20150831,27.88,2.09,85.33
20150901,27.99,2.61,83.73
20150902,28.06,3.65,85.17
20150903,27.44,25.1,82.4
20150904,27.5,10.49,84.89
20150905,27.02,18.68,84.03
20150906,27.17,3.39,83.67
20150907,27.59,3.94,82.49
20150908,27.88,12.55,84.23
20150909,27.63,36.9,86.9
20150910,27.04,28.81,88.62
20150911,27.43,6.97,85.27
20150912,27.51,15.55,87.21
20150913,27.68,25.75,87.14
20150914,27.91,8.03,84.84
20150915,28.08,26.98,87.49
20150916,27.76,34.16,88.45
20150917,27.37,22.78,88.11
20150918,27.67,15.3,87.71
