,T2M,Rain,Humidity
20150101,25.98,0.01,60.27
20150102,25.85,0.22,70.67
20150103,26.13,1.82,72.32
20150104,25.45,0.28,64.96
20150105,24.3,0.0,54.73
20150106,22.87,0.0,41.02
20150107,22.49,0.0,37.53
20150108,22.29,0.0,34.94
20150109,21.32,0.0,33.12
20150110,20.95,0.0,34.37
20150111,20.64,0.0,35.58
20150112,21.52,0.0,44.61
20150113,22.11,0.0,43.77
20150114,22.51,0.0,60.8
20150115,22.99,0.0,58.49
20150116,23.46,0.0,52.81
20150117,22.67,0.0,41.46
20150118,22.45,0.0,37.04
20150119,22.36,0.0,51.2
20150120,22.77,0.0,60.21
20150121,22.75,0.0,54.68
20150122,22.31,0.0,51.76
20150123,22.87,0.0,58.08
20150124,23.65,0.0,59.48
20150125,23.61,0.0,61.03
20150126,23.98,0.0,60.29
20150127,24.03,0.0,58.14
20150128,24.4,0.0,64.29
20150129,25.57,0.0,60.65
20150130,25.66,0.0,57.12
20150131,25.29,0.0,55.53
20150201,25.34,0.0,60.18
20150202,25.42,0.0,61.61
20150203,24.33,0.0,55.72
20150204,24.27,0.0,53.26
20150205,24.69,0.0,50.99
20150206,24.14,0.0,57.05
20150207,24.17,0.0,59.4
20150208,24.69,0.0,56.99
20150209,25.66,0.0,53.46
20150210,25.62,0.0,56.96
20150211,25.9,0.0,55.81
20150212,25.83,0.0,56.33
20150213,26.29,0.0,54.4
20150214,26.43,0.0,48.12
20150215,27.37,0.0,41.1
20150216,26.64,0.0,53.33
20150217,27.02,0.0,51.98
20150218,26.77,0.0,54.31
20150219,27.27,0.0,55.29
20150220,27.33,0.01,54.23
20150221,27.57,0.0,48.52
20150222,27.68,0.0,41.8
20150223,27.43,0.0,40.4
20150224,27.07,0.0,43.25
20150225,26.93,0.0,43.64
20150226,26.88,0.0,40.0
20150227,26.59,0.0,50.17
20150228,27.47,0.0,56.69
20150301,27.1,0.04,58.82
20150302,27.59,1.44,64.73
20150303,28.91,0.0,57.74
20150304,28.51,0.0,41.15
20150305,29.28,0.0,45.07
20150306,30.03,0.01,52.22
20150307,29.68,0.0,53.12
20150308,29.57,0.5,53.86
20150309,29.32,1.45,55.02
20150310,29.84,0.0,46.51
20150311,28.98,0.0,43.32
20150312,28.94,0.0,49.16
20150313,29.28,0.0,47.92
20150314,28.96,0.0,51.03
20150315,28.91,0.0,52.42
20150316,29.0,0.0,51.25
20150317,29.53,0.0,48.02
20150318,30.72,0.0,37.61
20150319,31.26,0.0,34.75
20150320,30.76,0.0,41.39
20150321,31.36,0.0,36.69
20150322,31.89,0.0,34.71
20150323,31.96,0.0,39.41
20150324,32.38,0.0,41.62
20150325,31.6,0.0,49.14
20150326,31.18,0.01,49.86
20150327,31.09,0.02,49.05
20150328,30.86,0.04,48.86
20150329,31.43,0.0,49.97
20150330,30.21,0.09,51.75
20150331,29.01,0.19,58.31
20150401,31.57,0.0,49.76
