,T2M,Rain,Humidity
20150101,25.74,0.01,65.72
20150102,25.71,0.57,74.52
20150103,25.96,1.02,75.81
20150104,25.85,0.07,67.45
20150105,24.78,0.0,56.87
20150106,23.55,0.0,47.39
20150107,23.04,0.0,44.63
20150108,22.71,0.0,44.5
20150109,21.16,0.0,36.59
20150110,20.93,0.0,40.46
20150111,20.61,0.0,44.52
20150112,22.06,0.0,52.97
20150113,22.27,0.0,54.21
20150114,22.77,0.0,64.91
20150115,23.06,0.0,65.39
20150116,23.74,0.0,59.26
20150117,23.35,0.0,53.32
20150118,22.91,0.0,46.54
20150119,22.79,0.0,60.64
20150120,23.22,0.0,62.45
20150121,22.66,0.0,57.96
20150122,22.42,0.0,58.11
20150123,23.04,0.0,61.85
20150124,23.47,0.0,63.66
20150125,23.74,0.0,64.95
20150126,24.07,0.0,63.0
20150127,24.14,0.0,61.08
20150128,24.41,0.0,67.31
20150129,25.41,0.0,65.03
20150130,25.63,0.0,61.54
20150131,25.34,0.0,63.01
20150201,25.46,0.0,64.22
20150202,25.51,0.0,64.12
20150203,24.38,0.0,60.14
20150204,24.09,0.0,57.92
20150205,24.68,0.0,55.7
20150206,24.31,0.0,60.17
20150207,24.46,0.0,61.34
20150208,24.47,0.0,59.71
20150209,25.54,0.0,56.26
20150210,25.28,0.0,61.31
20150211,25.62,0.0,60.71
20150212,25.89,0.0,60.72
20150213,26.39,0.0,57.36
20150214,26.7,0.0,54.56
20150215,27.13,0.0,53.38
20150216,26.92,0.0,58.11
20150217,27.13,0.0,56.12
20150218,26.91,0.0,56.5
20150219,27.28,0.0,57.77
20150220,27.21,0.0,58.2
20150221,27.61,0.0,52.45
20150222,27.74,0.0,44.56
20150223,27.43,0.0,44.01
20150224,26.95,0.0,47.81
20150225,26.99,0.0,46.79
20150226,26.85,0.0,43.0
20150227,26.72,0.0,54.42
20150228,27.4,0.0,59.87
20150301,26.93,0.1,60.59
20150302,27.9,0.94,64.78
20150303,29.07,0.0,60.25
20150304,29.23,0.0,49.93
20150305,29.57,0.0,58.01
20150306,30.09,0.0,54.99
20150307,29.41,0.0,56.59
20150308,29.37,0.07,56.73
20150309,29.58,0.22,56.23
20150310,29.74,0.0,48.46
20150311,28.83,0.0,48.04
20150312,28.82,0.0,53.79
20150313,29.16,0.0,52.82
20150314,28.8,0.0,55.19
20150315,28.8,0.0,55.7
20150316,28.76,0.0,55.06
20150317,29.42,0.0,51.45
20150318,30.49,0.0,40.91
20150319,30.47,0.0,43.67
20150320,30.93,0.0,44.42
20150321,31.22,0.0,41.4
20150322,31.71,0.0,39.04
