,T2M,Rain,Humidity
20150101,14.67,0.04,46.13
20150102,14.68,3.48,66.91
20150103,14.17,8.51,80.69
20150104,13.62,0.0,65.34
20150105,13.0,0.0,45.73
20150106,13.52,0.0,53.05
20150107,13.04,0.0,54.57
20150108,13.17,0.0,45.36
20150109,12.97,0.0,36.0
20150110,11.88,0.0,38.59
20150111,13.12,0.0,35.34
20150112,12.77,0.0,36.96
20150113,12.19,0.0,40.28
20150114,11.39,1.65,52.32
20150115,11.39,0.0,64.07
20150116,12.37,0.0,58.1
20150117,14.01,0.0,51.48
20150118,13.8,0.0,47.33
20150119,12.89,0.0,42.38
20150120,12.21,0.0,40.63
20150121,13.21,3.43,44.47
20150122,12.6,8.19,75.85
20150123,13.28,4.39,77.22
20150124,13.6,0.0,66.52
20150125,13.31,0.0,48.0
20150126,12.52,3.7,72.02
20150127,12.02,0.0,66.78
20150128,10.7,0.0,47.12
20150129,10.49,0.0,43.02
20150130,11.19,0.0,39.12
20150131,14.05,0.0,34.36
20150201,15.13,0.0,37.09
20150202,16.08,0.0,43.23
20150203,15.38,0.19,55.58
20150204,14.16,0.06,61.75
20150205,14.0,0.0,45.21
20150206,15.49,0.0,37.75
20150207,17.05,0.13,43.15
20150208,17.57,0.0,45.35
20150209,16.11,0.03,48.14
20150210,15.79,0.0,41.93
20150211,15.99,0.0,39.39
20150212,15.51,0.0,37.84
20150213,17.6,0.0,30.51
20150214,20.42,0.0,34.2
20150215,20.35,0.0,35.32
20150216,19.92,0.0,36.49
20150217,19.89,0.0,42.69
20150218,20.95,0.0,39.47
20150219,21.85,0.01,38.83
20150220,22.13,0.82,41.78
20150221,21.97,0.0,37.12
20150222,21.77,0.0,42.98
20150223,21.64,0.0,40.35
20150224,22.21,0.0,37.47
20150225,22.62,0.03,34.47
20150226,17.05,1.57,26.86
20150227,16.93,0.02,24.84
20150228,18.3,0.01,29.57
20150301,16.71,21.41,82.26
20150302,17.14,18.61,81.16
20150303,16.7,0.16,62.88
20150304,16.31,0.1,46.11
20150305,18.73,0.0,34.34
20150306,18.98,0.0,43.79
20150307,20.79,0.19,46.38
20150308,20.88,4.24,51.51
20150309,16.68,1.18,42.1
20150310,16.62,0.0,44.17
20150311,19.21,0.0,33.88
20150312,22.03,0.0,36.02
20150313,22.39,0.36,50.55
20150314,22.83,2.44,54.82
20150315,18.77,10.61,77.42
20150316,19.55,7.67,72.06
20150317,20.44,0.0,56.65
20150318,20.05,0.0,51.0
20150319,20.97,0.0,39.89
20150320,23.35,0.0,32.92
20150321,24.38,0.0,33.54
20150322,24.71,0.0,43.05
20150323,25.06,0.0,41.85
20150324,27.08,0.0,30.18
20150325,28.09,0.0,28.74
20150326,28.06,0.0,35.67
20150327,28.35,0.0,35.63
20150328,28.76,0.0,27.48
20150329,24.94,6.08,38.7
20150330,22.89,4.01,64.71
20150331,25.01,0.0,57.48
20150401,26.8,0.02,44.59
20150402,28.41,0.02,37.61
20150403,25.51,6.56,52.76
20150404,22.63,14.96,66.42
20150405,23.27,0.0,55.83
20150406,24.76,0.02,39.33
20150407,25.61,0.06,38.23
20150408,25.5,0.09,41.2
20150409,24.91,0.0,39.56
20150410,26.19,0.0,37.09
20150411,28.16,0.0,32.68
20150412,26.22,11.53,48.18
20150413,23.46,1.11,65.94
20150414,25.59,0.07,54.53
20150415,26.19,1.19,54.44
20150416,27.57,0.01,47.8
20150417,27.93,0.01,43.58
20150418,30.32,0.0,37.64
20150419,32.14,0.0,32.98
20150420,31.77,0.0,31.9
20150421,30.15,0.0,31.12
20150422,30.0,0.0,26.95
20150423,31.43,0.0,23.17
20150424,33.3,0.0,19.25
20150425,32.34,0.0,21.09
20150426,29.25,0.0,42.13
20150427,30.52,0.0,39.19
20150428,31.7,2.76,40.45
20150429,32.46,0.0,30.89
20150430,32.3,0.0,31.02
20150501,31.58,0.07,32.45
