,T2M,Rain,Humidity
20150101,14.45,0.0,40.6
20150102,15.61,3.77,54.1
20150103,13.46,6.74,76.13
20150104,12.45,0.0,60.93
20150105,12.36,0.0,43.27
20150106,13.07,0.0,49.44
20150107,12.13,0.0,51.14
20150108,11.97,0.0,45.0
20150109,10.95,0.0,40.73
20150110,10.81,0.0,38.34
20150111,11.7,0.0,34.33
20150112,12.56,0.0,33.27
20150113,12.45,0.0,38.12
20150114,10.88,3.68,61.15
20150115,11.39,0.0,71.9
20150116,12.6,0.0,66.34
20150117,12.86,0.0,51.0
20150118,12.55,0.0,46.06
20150119,13.41,0.0,43.43
20150120,11.91,0.0,43.16
20150121,12.42,1.29,46.37
20150122,12.56,5.25,79.44
20150123,12.76,1.16,72.43
20150124,13.04,0.0,58.9
20150125,12.09,0.0,48.2
20150126,12.08,2.07,52.28
20150127,11.45,0.03,53.37
20150128,10.41,0.0,50.92
20150129,10.1,0.0,41.74
20150130,11.34,0.0,41.65
20150131,12.75,0.0,39.02
20150201,14.53,0.0,39.03
20150202,15.46,0.82,43.04
20150203,14.82,5.59,59.77
20150204,14.0,0.32,63.89
20150205,13.47,0.0,48.91
20150206,13.86,0.0,44.19
20150207,15.64,0.0,41.04
20150208,16.64,0.0,43.68
20150209,15.69,0.0,49.76
20150210,15.08,0.0,41.0
20150211,14.58,0.0,39.36
20150212,14.59,0.0,37.3
20150213,15.85,0.0,35.27
20150214,19.47,0.0,37.07
20150215,20.15,0.0,37.88
20150216,18.64,0.06,39.8
20150217,19.57,0.0,46.55
20150218,20.42,0.0,42.29
20150219,21.07,0.01,40.23
20150220,20.46,3.89,47.01
20150221,21.19,0.01,43.55
20150222,21.35,0.0,46.43
20150223,20.73,0.0,44.7
20150224,20.78,0.0,41.17
20150225,19.16,2.72,47.34
20150226,14.88,0.0,27.92
20150227,15.35,0.35,29.37
20150228,16.87,0.31,36.68
20150301,15.89,34.1,83.62
20150302,15.42,34.99,87.28
20150303,15.43,2.54,66.65
20150304,15.19,0.0,58.67
20150305,16.76,0.0,53.01
20150306,17.62,0.47,59.93
20150307,18.72,4.52,60.18
20150308,18.98,2.05,60.63
20150309,14.82,2.4,53.04
20150310,16.59,0.0,52.15
20150311,18.05,0.0,44.21
20150312,19.68,0.0,42.85
20150313,21.77,0.0,41.92
20150314,20.88,0.19,56.19
20150315,19.11,6.32,67.74
20150316,18.55,5.83,74.13
20150317,19.3,0.0,61.99
20150318,19.18,0.0,56.63
20150319,20.06,0.0,48.55
20150320,21.56,0.0,42.33
20150321,23.05,0.0,46.34
20150322,24.25,0.0,47.51
20150323,24.49,0.0,46.81
20150324,26.08,0.0,35.74
20150325,27.2,0.0,34.12
20150326,26.7,0.0,39.67
20150327,27.11,0.0,37.93
20150328,26.47,0.0,33.38
20150329,22.52,2.97,49.66
20150330,20.86,7.43,71.86
20150331,24.19,0.0,54.26
20150401,25.78,0.86,48.67
20150402,25.86,0.27,48.5
20150403,23.79,17.42,56.77
20150404,21.41,8.07,70.62
20150405,22.61,0.01,57.79
20150406,23.64,0.0,47.46
20150407,24.25,0.42,45.96
20150408,24.23,1.41,47.32
20150409,24.18,0.07,47.88
20150410,25.45,0.0,44.94
20150411,28.06,0.0,35.27
20150412,25.99,1.12,45.03
20150413,26.22,0.68,48.2
20150414,25.59,2.19,56.0
20150415,27.06,5.41,50.5
20150416,26.38,1.49,53.19
20150417,26.75,1.52,49.1
20150418,29.28,0.0,42.7
20150419,31.44,0.0,35.66
20150420,30.41,0.14,35.49
20150421,29.41,0.0,33.98
20150422,28.95,0.0,30.11
20150423,30.62,0.0,26.01
20150424,32.67,0.0,19.59
20150425,32.21,0.0,21.84
20150426,28.5,0.14,43.53
20150427,29.82,0.0,40.53
20150428,31.26,1.63,40.73
20150429,31.12,0.58,32.93
20150430,31.01,0.0,32.34
20150501,29.73,4.1,40.22
20150502,30.28,0.05,30.47
20150503,30.75,0.0,24.54
20150504,31.67,0.0,21.87
20150505,31.85,0.0,24.03
20150506,32.61,0.0,22.39
20150507,33.03,0.0,21.25
20150508,33.83,0.0,19.24
20150509,34.25,0.0,26.6
20150510,34.96,0.0,25.57
20150511,35.09,0.82,27.08
20150512,33.75,0.86,29.98
20150513,33.28,0.06,27.31
20150514,32.03,1.31,32.26
20150515,32.59,0.0,33.64
20150516,33.56,0.83,27.71
20150517,34.21,0.0,22.82
20150518,36.79,0.0,20.56
20150519,36.99,0.02,21.31
20150520,35.47,0.27,15.6
20150521,35.51,0.0,15.85
20150522,36.26,0.0,13.9
20150523,36.53,0.0,11.01
20150524,36.92,0.0,10.8
20150525,37.04,0.0,10.66
20150526,36.17,0.0,10.54
20150527,34.69,0.01,7.83
20150528,35.27,0.0,9.59
20150529,36.41,0.1,19.68
20150530,36.57,0.0,18.88
