,T2M,Rain,Humidity
20150101,14.13,25.4,81.07
20150102,15.83,16.09,87.33
20150103,16.75,3.78,86.23
20150104,14.72,0.02,75.95
20150105,12.93,0.0,61.27
20150106,14.2,0.0,54.29
20150107,15.11,0.0,56.52
20150108,13.36,0.0,58.48
20150109,13.58,0.0,45.23
20150110,14.35,0.0,41.79
20150111,14.78,0.0,43.0
20150112,13.46,0.0,49.61
20150113,12.86,0.0,49.69
20150114,15.0,0.0,46.11
20150115,13.78,0.03,55.68
20150116,13.29,0.0,59.76
20150117,12.6,0.0,52.27
20150118,13.43,0.0,46.12
20150119,12.53,0.0,51.79
20150120,12.93,0.0,47.63
20150121,15.57,0.01,53.47
20150122,15.01,5.32,74.12
20150123,16.13,2.04,80.74
20150124,15.84,0.04,72.44
20150125,15.71,0.72,67.42
20150126,16.29,1.58,79.49
20150127,15.18,3.76,85.51
20150128,15.03,0.68,68.6
20150129,13.84,4.47,62.11
20150130,12.4,0.0,44.56
20150131,14.38,0.0,37.53
20150201,16.11,0.0,40.51
20150202,17.53,0.0,47.57
20150203,18.9,0.63,53.92
20150204,17.1,0.43,61.02
20150205,15.61,0.0,48.35
20150206,16.98,0.0,47.37
20150207,18.86,0.19,54.77
20150208,18.69,3.89,66.27
20150209,18.26,2.14,67.32
20150210,17.77,0.0,51.89
20150211,17.42,3.52,60.22
20150212,17.92,0.26,66.79
20150213,17.55,0.0,45.45
20150214,19.64,0.0,43.61
20150215,20.41,0.0,48.13
20150216,21.36,0.0,38.2
20150217,21.18,0.0,44.69
20150218,21.23,0.0,43.42
20150219,22.42,0.0,40.48
20150220,23.28,0.0,39.97
20150221,22.98,0.0,40.82
20150222,22.46,0.0,40.7
20150223,23.71,0.0,34.58
20150224,24.16,0.0,33.63
20150225,24.58,0.0,35.5
20150226,22.67,0.04,37.92
20150227,22.76,0.13,38.78
20150228,23.31,6.52,45.04
20150301,19.05,23.07,83.6
20150302,18.98,18.16,79.04
20150303,18.52,0.05,63.19
20150304,17.75,0.12,56.55
20150305,19.16,0.0,45.03
20150306,20.44,0.0,45.09
20150307,21.27,0.0,47.17
20150308,22.87,0.0,46.04
20150309,22.01,0.09,52.57
20150310,19.84,0.0,41.88
20150311,21.15,0.0,39.57
20150312,23.21,0.14,43.11
20150313,24.2,0.02,49.26
20150314,20.02,10.36,76.14
20150315,21.59,7.02,70.96
20150316,22.49,5.28,71.73
20150317,22.54,0.15,62.04
20150318,21.39,0.0,52.83
20150319,21.03,0.0,46.71
20150320,22.83,0.0,41.2
20150321,24.83,0.0,39.39
20150322,26.41,0.0,43.35
20150323,26.51,0.0,46.11
20150324,26.76,0.0,40.78
20150325,27.41,0.0,32.02
20150326,27.0,0.0,38.38
20150327,27.29,0.0,42.52
20150328,28.17,0.0,39.53
20150329,27.83,0.04,41.55
20150330,23.69,3.78,64.67
20150331,25.69,0.0,45.95
20150401,27.13,0.0,37.82
20150402,28.13,0.0,36.52
20150403,28.62,0.0,38.75
20150404,27.91,0.07,40.82
20150405,27.1,0.07,44.25
20150406,27.21,0.01,39.45
20150407,27.47,0.19,33.42
20150408,27.42,0.0,34.26
20150409,28.86,0.08,29.24
20150410,29.56,0.0,26.01
20150411,31.01,5.46,30.07
20150412,26.06,4.57,56.15
20150413,22.46,3.87,73.18
20150414,23.47,14.12,69.5
20150415,23.64,0.98,66.9
20150416,26.41,0.01,58.02
20150417,28.52,0.0,46.76
20150418,30.43,0.0,41.72
20150419,32.44,0.0,36.74
20150420,32.32,0.0,36.43
20150421,32.56,0.0,28.26
20150422,31.48,0.0,29.68
20150423,32.21,0.0,24.57
20150424,31.94,0.0,23.34
20150425,31.72,0.02,25.88
20150426,30.77,0.01,36.05
20150427,32.13,0.03,33.75
20150428,33.24,0.08,29.14
20150429,32.49,0.0,30.43
20150430,33.38,0.0,27.41
20150501,32.75,0.0,16.88
20150502,32.21,0.0,19.84
20150503,33.26,0.0,21.07
20150504,34.01,0.0,18.49
20150505,34.44,0.0,17.49
20150506,35.46,0.0,11.76
20150507,36.02,0.0,11.8
20150508,35.4,0.0,14.66
20150509,35.97,0.0,15.29
20150510,36.48,0.03,18.34
20150511,37.1,0.0,16.62
20150512,35.83,0.02,22.73
20150513,35.33,0.54,25.11
20150514,35.14,1.74,30.04
20150515,34.24,0.41,32.99
20150516,33.65,12.79,37.88
20150517,31.37,26.09,48.46
20150518,32.9,0.0,40.54
20150519,34.07,0.0,41.74
20150520,33.05,1.36,37.26
20150521,33.92,0.0,27.99
20150522,34.92,0.0,28.47
20150523,35.46,0.0,25.89
20150524,36.46,0.0,24.04
20150525,36.91,0.02,24.11
20150526,37.15,0.0,24.12
20150527,35.87,0.17,16.73
20150528,35.64,0.0,12.26
20150529,37.27,0.04,17.42
20150530,37.19,0.0,19.23
20150531,37.37,0.0,18.93
20150601,37.29,0.0,18.55
20150602,36.12,0.26,30.4
20150603,36.66,0.12,22.36
20150604,36.8,0.0,24.67
20150605,37.22,0.0,23.7
20150606,36.99,0.0,21.3
20150607,37.48,0.02,20.33
20150608,38.12,0.0,20.63
20150609,38.38,0.0,17.48
20150610,37.61,0.04,27.22
20150611,36.39,1.1,33.86
20150612,35.32,0.25,38.49
20150613,33.62,2.54,45.22
20150614,34.11,0.26,41.32
20150615,33.96,3.08,38.74
20150616,31.9,13.88,59.15
20150617,33.93,0.13,50.88
20150618,33.88,0.31,50.01
20150619,34.62,1.39,47.44
20150620,34.82,0.05,47.53
20150621,35.17,0.08,43.6
20150622,34.15,3.17,48.67
20150623,30.93,2.49,64.37
20150624,30.11,10.82,68.25
20150625,28.8,8.85,74.32
20150626,30.49,0.05,59.85
20150627,30.95,4.4,58.87
20150628,31.64,22.77,61.54
20150629,29.37,26.44,75.79
20150630,28.91,14.46,75.53
20150701,29.59,1.72,70.29
20150702,28.96,3.8,71.27
20150703,30.44,1.32,63.62
20150704,31.25,1.25,60.95
20150705,31.76,0.31,56.71
20150706,30.68,10.38,65.22
20150707,28.56,29.04,77.52
20150708,28.76,12.73,77.6
20150709,27.73,24.85,85.19
20150710,27.63,42.8,84.96
20150711,27.03,23.51,89.28
20150712,27.4,9.53,81.78
20150713,28.59,0.25,78.37
20150714,29.11,4.57,78.87
20150715,28.61,7.24,81.18
20150716,27.32,3.18,83.16
20150717,26.7,12.01,85.44
20150718,27.44,4.74,85.82
20150719,27.85,3.23,86.01
20150720,28.19,2.46,82.53
20150721,28.73,3.79,81.22
20150722,28.36,6.75,84.23
20150723,28.08,6.57,85.32
20150724,27.04,4.37,89.34
20150725,26.57,21.27,87.13
20150726,26.44,1.49,84.78
20150727,26.45,0.27,82.96
20150728,26.44,0.42,82.32
