,T2M,Rain,Humidity
20150101,19.95,2.25,51.05
20150102,19.7,10.97,67.84
20150103,19.54,5.05,80.45
20150104,18.2,3.96,78.17
20150105,14.34,0.0,72.49
20150106,12.97,0.02,67.95
20150107,14.12,0.0,63.18
20150108,14.24,0.05,64.36
20150109,12.64,0.05,64.81
20150110,10.85,0.0,64.62
20150111,12.17,0.0,58.17
20150112,12.93,0.0,57.53
20150113,13.27,0.0,56.5
20150114,14.8,0.0,54.03
20150115,15.11,0.0,57.45
20150116,14.49,0.0,59.33
20150117,13.4,0.0,61.93
20150118,12.7,0.0,66.85
20150119,12.5,0.0,61.2
20150120,12.08,0.0,59.56
20150121,13.17,0.0,54.35
20150122,15.02,0.0,49.18
20150123,17.09,0.33,61.15
20150124,16.23,0.58,68.2
20150125,15.51,0.01,62.07
20150126,14.82,0.26,69.13
20150127,15.56,0.5,76.94
20150128,16.63,0.01,67.71
20150129,15.62,0.46,61.15
20150130,13.66,0.0,55.64
20150131,13.52,0.0,52.33
20150201,14.53,0.0,48.73
20150202,16.83,0.0,44.06
20150203,18.64,0.23,44.82
20150204,18.94,0.28,50.79
20150205,15.87,0.51,60.29
20150206,15.58,0.0,52.36
20150207,16.45,0.0,50.47
20150208,18.24,0.08,55.64
20150209,17.16,0.0,64.23
20150210,17.48,0.0,49.22
20150211,16.72,0.0,45.02
20150212,17.37,0.0,44.85
20150213,17.21,0.0,48.2
20150214,17.7,0.0,43.05
20150215,19.12,0.0,42.25
20150216,20.82,0.0,43.16
20150217,21.32,0.0,47.28
20150218,22.14,0.85,48.87
20150219,22.28,1.32,48.57
20150220,21.62,0.2,48.37
20150221,22.81,0.0,44.1
20150222,22.66,0.28,45.35
20150223,23.86,0.51,40.89
20150224,24.4,0.0,43.18
20150225,23.67,0.0,45.28
20150226,22.78,1.71,48.27
20150227,23.57,0.05,48.98
20150228,24.65,0.04,42.7
20150301,21.7,3.29,54.56
20150302,19.74,10.89,72.77
20150303,19.83,5.57,68.98
20150304,19.87,0.94,54.19
20150305,18.94,0.0,44.33
20150306,19.86,0.0,47.12
20150307,20.6,0.0,48.38
20150308,22.19,0.0,40.79
20150309,24.21,0.0,39.53
20150310,23.7,0.0,36.92
20150311,21.52,0.0,40.12
20150312,22.7,0.0,37.83
20150313,23.86,0.0,40.34
20150314,24.17,1.14,47.26
20150315,23.98,1.21,54.61
20150316,22.88,1.34,59.17
20150317,24.84,0.13,47.63
20150318,23.69,0.33,44.84
20150319,22.99,0.27,45.72
20150320,24.27,0.08,45.43
20150321,25.15,0.0,39.92
20150322,26.31,0.0,40.45
20150323,26.88,0.46,40.37
20150324,28.33,0.33,38.74
20150325,29.99,0.1,35.4
20150326,30.12,1.11,38.99
20150327,27.8,12.1,52.15
20150328,27.74,3.98,55.98
20150329,29.4,0.06,43.98
20150330,24.94,18.79,64.39
20150331,25.59,0.0,58.6
20150401,27.56,0.01,45.21
20150402,28.61,0.18,42.13
