,T2M,Rain,Humidity
20150101,11.97,0.0,37.0
20150102,11.62,0.08,38.62
20150103,10.18,0.52,50.76
20150104,9.14,0.02,47.94
20150105,10.6,0.0,35.83
20150106,12.22,0.0,35.22
20150107,10.98,0.0,37.6
20150108,11.68,0.0,24.33
20150109,11.41,0.0,23.59
20150110,11.62,0.0,21.99
20150111,13.66,0.0,20.22
20150112,13.78,0.0,23.8
20150113,11.24,1.35,39.47
20150114,8.13,4.93,74.35
20150115,9.58,0.0,61.37
20150116,10.75,0.0,44.87
20150117,10.72,0.0,37.5
20150118,11.06,0.0,31.09
20150119,11.31,0.0,32.7
20150120,11.5,0.0,35.25
20150121,8.94,11.36,59.66
20150122,6.99,3.53,91.35
20150123,8.22,0.1,80.77
20150124,9.63,0.0,63.96
20150125,9.62,0.0,59.23
20150126,8.46,0.01,54.64
20150127,6.75,0.01,61.35
20150128,8.44,0.0,48.59
20150129,6.8,0.05,52.69
20150130,9.15,0.0,39.23
20150131,11.0,0.0,36.35
20150201,10.64,0.04,51.32
20150202,10.12,4.53,66.92
20150203,6.96,17.78,88.32
20150204,10.24,0.01,55.45
20150205,11.61,0.01,36.0
20150206,10.78,0.0,41.66
20150207,11.39,0.03,46.29
20150208,10.26,0.67,62.35
20150209,11.99,0.0,50.05
20150210,12.85,0.0,40.11
20150211,13.42,0.0,37.25
20150212,12.94,0.0,34.81
20150213,14.13,0.0,36.86
20150214,15.61,0.0,50.32
20150215,15.69,0.16,46.53
20150216,13.21,12.65,65.42
20150217,14.43,2.1,60.96
20150218,13.89,4.29,61.47
20150219,12.15,18.12,66.64
20150220,11.29,11.11,77.04
20150221,15.03,0.02,56.02
20150222,17.81,0.0,43.14
20150223,18.16,0.02,45.78
20150224,17.65,2.0,53.12
20150225,11.49,22.19,83.97
20150226,10.41,0.1,60.32
20150227,11.08,0.0,46.76
20150228,11.63,0.65,52.75
20150301,9.15,42.84,84.75
20150302,7.92,37.34,96.04
20150303,9.07,1.7,79.0
20150304,9.7,2.48,68.96
20150305,8.92,4.53,75.53
20150306,11.1,0.06,69.45
20150307,10.67,7.31,69.05
20150308,10.47,13.53,85.08
20150309,8.91,2.12,66.58
20150310,12.21,0.0,50.08
20150311,14.72,0.0,45.37
20150312,16.27,0.0,45.83
20150313,15.97,0.0,45.4
20150314,16.04,2.02,57.69
20150315,13.31,12.34,80.5
20150316,10.48,25.0,92.91
20150317,12.86,0.64,75.63
20150318,14.54,0.0,63.33
20150319,15.82,0.0,57.61
20150320,17.41,0.0,54.72
20150321,17.58,0.0,57.85
20150322,19.0,0.0,56.45
20150323,20.39,0.0,56.58
20150324,21.32,0.79,59.22
20150325,20.85,0.98,57.63
20150326,21.02,0.0,49.16
20150327,21.42,0.0,48.13
20150328,22.59,2.6,45.65
20150329,15.46,41.16,74.7
20150330,15.37,26.72,82.09
20150331,16.06,2.75,70.02
20150401,16.24,8.0,82.07
20150402,17.84,5.35,71.17
20150403,15.95,10.33,78.86
20150404,16.95,5.59,75.29
20150405,16.44,0.27,71.85
20150406,17.14,5.02,66.74
20150407,15.03,7.66,78.99
20150408,16.85,0.08,69.17
20150409,18.38,0.0,62.68
20150410,19.82,0.0,58.01
20150411,19.96,0.0,60.68
20150412,19.71,0.0,60.08
20150413,19.89,0.0,68.26
20150414,19.57,0.0,75.51
20150415,20.22,26.61,77.72
20150416,19.18,4.0,76.41
20150417,20.73,0.0,61.5
20150418,22.73,0.02,49.45
20150419,24.36,0.29,48.86
20150420,23.71,8.88,56.97
20150421,22.81,0.06,53.45
20150422,22.81,0.0,50.54
20150423,23.16,0.0,48.48
20150424,24.38,0.0,44.84
20150425,24.96,0.0,41.2
20150426,22.92,1.32,53.49
20150427,23.23,3.0,58.11
20150428,23.68,0.33,48.64
20150429,23.66,2.85,46.55
20150430,22.37,4.45,53.08
20150501,22.7,0.12,44.46
20150502,22.81,0.0,38.99
20150503,23.36,0.0,38.35
20150504,24.08,0.0,40.36
20150505,25.45,0.0,40.8
20150506,27.02,0.0,41.58
20150507,27.88,0.0,39.83
20150508,28.12,0.0,40.94
20150509,27.57,0.0,44.39
20150510,27.55,0.26,41.18
20150511,26.51,1.64,44.66
20150512,25.14,5.9,52.21
20150513,24.5,2.48,51.47
20150514,23.57,9.13,56.58
20150515,24.48,0.24,53.26
20150516,26.82,0.03,45.94
20150517,26.91,2.35,47.32
20150518,28.03,0.49,46.35
20150519,28.31,0.02,36.37
20150520,28.12,0.0,31.31
20150521,27.98,0.0,31.37
20150522,29.03,0.0,27.03
20150523,29.65,0.01,28.26
20150524,29.46,0.65,33.24
20150525,30.38,1.1,29.98
20150526,27.92,0.23,29.29
20150527,28.13,0.0,23.18
20150528,28.55,0.0,23.65
20150529,28.5,0.04,29.35
20150530,28.68,0.12,32.27
20150531,28.31,0.19,31.16
20150601,27.66,0.16,29.09
20150602,25.67,0.15,35.93
20150603,26.58,0.41,36.98
20150604,23.33,4.77,54.26
20150605,26.26,0.38,45.41
20150606,27.74,0.01,36.55
20150607,29.5,0.0,32.88
20150608,31.03,0.3,29.37
20150609,30.7,0.16,29.22
20150610,30.66,1.48,28.87
20150611,28.8,3.05,35.3
20150612,29.34,3.5,35.71
20150613,28.66,3.62,43.2
20150614,28.2,8.42,41.36
20150615,26.35,5.16,54.31
20150616,28.0,0.0,41.69
20150617,29.75,0.0,36.44
20150618,31.27,0.01,35.97
20150619,31.94,0.02,41.16
20150620,29.23,4.21,52.38
20150621,29.74,1.63,46.68
20150622,30.03,0.29,41.11
