,T2M,Rain,Humidity
20150101,18.15,4.62,65.35
20150102,18.71,3.53,82.94
20150103,19.82,3.84,85.98
20150104,19.09,0.49,78.63
20150105,15.52,0.0,61.48
20150106,13.05,0.0,61.44
20150107,14.32,0.0,59.42
20150108,14.32,0.0,61.44
20150109,13.28,0.0,60.91
20150110,12.03,0.0,55.75
20150111,12.1,0.0,52.74
20150112,12.75,0.0,49.93
20150113,13.11,0.0,51.57
20150114,14.54,0.0,48.42
20150115,14.86,0.0,51.73
20150116,13.89,0.02,61.1
20150117,13.15,0.0,57.94
20150118,13.37,0.0,61.87
20150119,12.77,0.0,55.93
20150120,12.75,0.0,49.64
20150121,13.69,0.0,46.94
20150122,15.9,0.0,45.0
20150123,17.44,0.01,60.64
20150124,17.84,0.08,67.82
20150125,16.74,0.0,56.14
20150126,17.3,0.01,65.05
20150127,17.75,1.61,77.05
20150128,18.39,1.62,71.2
20150129,17.36,5.03,68.12
20150130,14.63,0.0,52.12
20150131,13.81,0.0,46.29
20150201,14.38,0.0,45.65
20150202,17.03,0.0,41.78
20150203,19.43,0.0,40.32
20150204,19.41,0.0,49.07
20150205,16.29,0.0,46.26
20150206,15.14,0.0,40.8
20150207,16.93,0.0,42.33
20150208,19.3,0.26,54.7
20150209,18.66,0.0,66.55
20150210,18.33,0.0,48.11
20150211,17.32,0.0,44.06
20150212,18.56,0.11,48.82
20150213,18.36,0.0,50.41
20150214,18.78,0.0,40.77
20150215,19.76,0.0,43.56
20150216,19.61,0.07,52.39
20150217,21.71,0.0,53.44
20150218,22.77,0.0,53.81
20150219,23.0,0.06,46.0
20150220,22.99,0.0,40.78
20150221,23.78,0.0,39.28
20150222,23.35,0.19,42.51
20150223,24.54,0.12,37.5
20150224,24.75,0.0,38.43
20150225,24.94,0.0,37.54
20150226,25.27,0.06,37.62
20150227,23.95,0.72,52.06
20150228,25.64,0.12,44.75
20150301,25.21,1.09,50.41
20150302,21.87,2.24,62.65
20150303,21.38,5.16,67.32
20150304,21.83,0.04,47.66
20150305,19.72,0.0,39.75
20150306,20.05,0.0,38.25
20150307,21.6,0.0,40.94
20150308,23.33,0.0,41.3
20150309,25.18,0.0,41.18
20150310,24.94,0.0,39.65
20150311,21.9,0.0,28.27
20150312,22.6,0.0,29.18
20150313,25.34,0.0,38.45
20150314,26.69,0.0,42.42
20150315,25.93,0.0,47.35
20150316,24.03,4.03,55.81
20150317,26.08,0.13,46.15
20150318,25.93,0.0,37.37
20150319,23.63,0.0,35.29
20150320,24.33,0.0,34.63
20150321,24.67,0.0,32.58
20150322,26.59,0.0,34.1
20150323,27.38,0.0,35.05
20150324,28.71,0.14,32.94
20150325,30.59,0.0,29.71
20150326,31.14,0.0,31.57
20150327,29.63,1.77,40.35
20150328,29.7,0.4,43.93
20150329,30.29,0.04,38.24
20150330,25.72,11.31,58.07
20150331,25.82,0.16,57.31
20150401,28.9,0.08,41.5
20150402,29.85,0.0,36.88
20150403,30.46,0.01,37.61
20150404,30.83,0.1,37.99
20150405,28.97,1.78,42.37
20150406,30.19,2.16,41.63
20150407,31.04,0.0,36.06
20150408,29.89,0.28,35.09
20150409,28.97,0.0,27.46
20150410,29.09,0.0,24.99
20150411,31.09,0.0,23.66
20150412,30.15,0.34,28.76
20150413,28.1,3.47,44.6
20150414,27.98,0.45,54.42
20150415,29.28,1.45,48.01
20150416,30.1,0.17,47.91
20150417,30.56,1.07,39.54
20150418,31.78,0.0,34.01
20150419,33.39,0.77,27.71
20150420,33.46,0.0,34.61
20150421,35.21,0.0,25.29
20150422,34.31,0.01,22.8
20150423,33.68,0.41,20.67
20150424,33.47,0.02,33.56
20150425,29.86,0.62,50.58
20150426,28.48,0.14,47.36
20150427,30.81,0.03,42.1
20150428,32.1,0.31,41.48
20150429,32.13,3.53,45.02
20150430,32.24,0.03,39.5
20150501,33.86,0.0,28.93
20150502,33.97,0.0,31.42
20150503,34.57,0.01,23.27
20150504,34.45,0.08,17.36
20150505,34.92,0.0,15.19
20150506,35.98,0.0,13.61
20150507,36.67,0.02,14.68
20150508,34.84,0.01,28.14
20150509,35.69,0.0,30.5
20150510,36.37,0.02,30.14
20150511,36.5,0.52,30.58
20150512,35.43,1.65,35.93
20150513,35.15,0.5,30.47
20150514,37.02,0.23,24.86
20150515,35.52,0.64,30.82
20150516,33.1,12.27,41.62
20150517,33.0,0.07,46.45
20150518,34.81,0.07,39.21
20150519,35.59,1.05,42.13
20150520,36.35,0.24,33.67
20150521,36.35,0.09,22.94
20150522,37.07,0.0,16.76
20150523,37.8,0.01,15.5
20150524,38.4,0.01,15.82
20150525,37.55,0.05,22.32
20150526,38.08,0.0,26.06
20150527,37.42,0.5,32.15
20150528,37.32,0.09,34.31
20150529,38.86,0.0,29.99
20150530,38.31,0.0,27.04
20150531,38.24,0.05,31.7
20150601,38.62,1.22,25.09
20150602,36.64,4.55,32.34
20150603,37.63,0.1,26.81
20150604,38.03,0.4,32.94
20150605,37.94,2.9,33.92
20150606,38.48,0.0,31.54
20150607,39.51,0.04,21.68
20150608,39.38,0.0,18.09
20150609,39.88,0.0,25.76
20150610,40.09,0.07,16.08
20150611,39.33,0.13,23.03
20150612,38.81,0.14,28.03
20150613,34.98,4.86,44.35
20150614,34.38,1.76,45.4
20150615,35.64,0.28,40.42
20150616,36.29,0.29,40.4
20150617,37.32,0.1,37.82
20150618,36.76,0.34,41.08
20150619,36.86,0.84,41.08
20150620,36.59,1.23,42.63
20150621,35.47,0.26,48.36
20150622,33.8,2.42,56.59
20150623,33.57,4.62,57.91
20150624,33.62,13.08,59.31
20150625,33.06,14.89,60.55
20150626,33.13,3.12,58.75
20150627,32.02,25.1,57.93
20150628,30.57,27.07,70.78
