,T2M,Rain,Humidity
20150101,12.48,0.03,42.04
20150102,10.72,2.44,69.46
20150103,9.67,19.0,86.01
20150104,9.6,1.21,75.1
20150105,10.37,0.0,41.69
20150106,11.51,0.0,41.89
20150107,9.49,0.0,47.49
20150108,10.24,0.0,38.79
20150109,10.12,0.0,34.38
20150110,10.09,0.0,34.65
20150111,10.2,0.0,33.33
20150112,10.46,0.0,33.52
20150113,10.85,0.0,37.53
20150114,7.58,3.15,61.95
20150115,8.64,0.0,61.26
20150116,9.62,0.0,61.6
20150117,10.19,0.0,55.01
20150118,9.83,0.0,43.65
20150119,9.65,0.0,43.38
20150120,9.84,0.0,44.43
20150121,9.72,0.76,50.34
20150122,6.43,5.08,83.45
20150123,8.92,1.86,76.79
20150124,10.65,0.0,63.57
20150125,10.53,0.03,51.42
20150126,9.3,3.73,63.99
20150127,8.67,0.16,77.3
20150128,9.63,0.0,63.73
20150129,7.95,0.0,58.16
20150130,7.96,0.0,45.21
20150131,9.91,0.0,37.38
20150201,10.61,0.0,43.25
20150202,10.09,0.97,65.19
20150203,10.12,5.05,72.5
20150204,11.04,0.0,62.0
20150205,12.5,0.0,44.38
20150206,11.86,0.0,41.6
20150207,11.44,0.0,41.69
20150208,12.39,0.0,43.65
20150209,12.16,0.0,49.15
20150210,12.77,0.0,43.3
20150211,12.65,0.0,43.75
20150212,12.13,0.0,42.7
20150213,12.08,0.0,39.04
20150214,14.23,0.0,43.41
20150215,14.54,0.0,49.72
20150216,14.7,0.0,48.72
20150217,14.93,0.0,54.5
20150218,14.57,0.0,58.6
20150219,15.6,0.08,51.18
20150220,15.55,7.63,58.36
20150221,15.59,0.0,52.39
20150222,17.31,0.0,43.89
20150223,17.88,0.0,48.05
20150224,18.11,0.01,48.74
20150225,15.56,2.91,64.27
20150226,14.04,2.15,63.84
20150227,12.91,3.81,46.42
20150228,13.74,0.3,46.99
20150301,9.8,37.78,83.68
20150302,10.94,57.19,86.36
20150303,9.55,12.16,84.52
20150304,9.75,0.67,74.17
20150305,11.59,0.26,66.92
20150306,12.16,0.01,64.23
20150307,13.14,0.1,58.89
20150308,12.77,4.62,71.42
20150309,11.95,3.4,72.35
20150310,14.0,0.0,53.1
20150311,15.55,0.0,48.39
20150312,15.87,0.0,46.65
20150313,15.43,0.0,48.03
20150314,15.0,4.27,62.52
20150315,12.61,2.66,80.54
20150316,13.06,3.06,76.25
20150317,13.94,0.06,70.76
20150318,13.97,0.0,66.82
20150319,15.52,0.0,61.36
20150320,17.14,0.0,54.06
20150321,17.7,0.0,53.37
20150322,19.0,0.0,54.5
20150323,19.77,0.0,55.77
20150324,20.57,0.0,54.48
20150325,20.76,0.0,55.8
20150326,21.09,0.08,47.33
20150327,21.75,0.11,43.59
20150328,21.44,0.0,40.33
20150329,18.72,5.27,52.25
20150330,13.71,13.81,76.62
20150331,16.56,0.03,63.4
20150401,17.42,2.69,67.49
20150402,19.19,0.67,60.26
20150403,15.8,18.07,72.14
20150404,15.09,5.52,78.19
20150405,16.31,0.26,69.11
20150406,17.92,0.41,55.37
20150407,17.66,1.93,56.9
20150408,17.06,0.33,58.88
20150409,18.47,0.0,55.45
20150410,20.21,0.0,49.33
20150411,20.7,0.03,44.14
20150412,19.3,0.16,50.37
20150413,17.94,0.36,66.77
20150414,19.12,4.32,67.89
20150415,18.49,6.89,71.87
20150416,18.48,2.51,72.12
20150417,19.97,0.0,60.57
20150418,22.45,0.0,44.47
20150419,24.31,0.03,40.06
20150420,24.71,0.52,44.38
20150421,23.48,0.02,45.7
20150422,23.13,0.0,35.03
20150423,23.52,0.0,32.35
20150424,24.32,0.01,31.19
20150425,23.73,0.14,37.96
20150426,20.4,0.42,61.55
20150427,21.99,2.13,59.19
20150428,23.31,0.51,53.13
20150429,22.95,0.01,41.7
20150430,23.7,0.78,40.21
20150501,23.88,4.88,42.13
20150502,23.05,0.03,36.43
20150503,22.54,0.01,33.36
20150504,23.46,0.0,32.06
20150505,24.86,0.0,32.9
20150506,26.19,0.0,32.82
20150507,27.48,0.06,32.24
20150508,27.78,0.1,30.88
20150509,27.46,0.0,29.63
20150510,27.06,0.02,35.39
20150511,27.92,1.22,35.52
20150512,26.41,0.92,37.93
20150513,25.93,0.13,38.54
20150514,24.95,0.02,40.52
20150515,24.84,0.23,44.19
20150516,24.76,0.24,45.49
20150517,25.73,0.0,39.96
20150518,27.71,0.0,36.39
20150519,28.93,0.0,29.44
20150520,27.29,0.01,25.48
20150521,27.6,0.0,22.7
20150522,28.28,0.0,20.91
20150523,28.93,0.0,21.08
20150524,29.97,0.0,18.57
20150525,30.0,0.0,18.06
20150526,29.36,0.12,17.93
20150527,28.55,0.09,14.27
20150528,28.26,0.25,14.09
20150529,29.54,0.46,17.25
20150530,29.08,0.0,23.72
20150531,28.33,0.08,26.27
20150601,27.11,0.23,26.45
20150602,26.24,0.08,32.16
20150603,27.64,0.01,30.27
20150604,28.19,0.49,30.7
20150605,28.25,0.1,28.89
20150606,27.89,0.0,28.6
20150607,29.2,0.0,26.02
20150608,30.17,0.1,22.26
20150609,31.06,0.03,22.5
20150610,28.54,0.0,33.55
20150611,29.72,0.0,33.34
20150612,29.65,0.0,27.43
20150613,28.14,4.33,38.26
20150614,24.84,1.09,54.04
20150615,26.42,0.01,45.49
20150616,27.52,0.0,42.19
20150617,28.42,1.22,42.25
20150618,28.72,3.35,43.19
20150619,27.58,8.64,51.31
20150620,26.99,4.51,57.56
20150621,27.29,5.63,56.22
20150622,27.29,0.7,55.64
20150623,27.38,3.29,56.31
20150624,26.96,1.72,56.88
20150625,23.52,37.23,77.8
20150626,25.33,4.61,56.3
20150627,26.11,5.0,49.14
20150628,26.94,8.88,50.92
20150629,24.99,41.35,66.48
20150630,24.79,8.87,70.18
20150701,25.17,3.69,67.9
20150702,24.92,5.17,68.56
20150703,26.3,0.21,63.32
20150704,25.96,16.01,71.31
20150705,25.91,18.18,76.44
20150706,24.45,41.36,80.54
20150707,23.68,15.94,83.85
20150708,23.69,6.07,83.69
20150709,23.73,5.95,84.33
20150710,22.47,37.96,89.03
20150711,22.51,66.14,87.47
20150712,23.44,16.17,80.04
20150713,23.3,18.94,84.95
20150714,24.08,6.21,87.89
20150715,24.28,4.7,87.43
20150716,23.96,10.21,85.42
20150717,22.95,10.25,91.14
20150718,23.0,3.81,89.69
20150719,22.74,0.86,88.22
20150720,23.17,2.32,85.47
20150721,23.3,8.0,88.5
20150722,22.82,7.15,92.35
20150723,23.17,3.36,88.43
20150724,23.09,4.88,89.35
20150725,23.15,32.37,89.4
20150726,23.94,6.7,84.5
20150727,23.27,3.23,86.65
20150728,22.98,9.92,86.6
20150729,23.05,0.0,84.98
20150730,23.39,1.04,86.21
20150731,22.55,12.97,89.55
20150801,22.27,27.82,88.96
20150802,22.23,2.04,86.59
20150803,23.38,0.51,82.54
20150804,23.5,0.09,86.51
20150805,23.37,0.9,86.89
20150806,22.72,17.01,91.29
20150807,21.95,30.4,93.53
20150808,22.23,36.8,94.6
20150809,22.31,9.14,94.81
20150810,23.34,4.06,89.4
20150811,23.67,14.49,87.56
20150812,23.01,1.73,88.55
20150813,23.62,8.59,87.57
20150814,23.74,2.93,87.53
20150815,23.51,16.64,90.59
20150816,23.4,11.05,88.07
20150817,22.4,19.16,91.96
20150818,23.02,6.78,88.61
20150819,22.39,7.46,90.14
20150820,22.2,57.18,91.52
20150821,22.01,18.48,91.99
20150822,21.88,16.01,91.08
20150823,21.74,27.84,91.05
20150824,22.28,1.3,89.89
20150825,22.5,0.07,88.59
20150826,22.85,4.36,87.29
20150827,22.91,5.47,86.92
20150828,22.73,1.14,87.13
20150829,22.93,2.27,84.46
20150830,23.2,11.79,83.78
20150831,22.3,1.15,83.06
20150901,21.98,0.87,77.9
20150902,21.74,11.73,77.87
20150903,22.15,1.25,76.46
20150904,21.81,0.11,75.92
20150905,22.1,0.0,71.57
20150906,21.52,0.0,72.68
20150907,21.34,0.06,71.67
20150908,21.6,0.0,72.9
20150909,22.66,0.0,70.63
20150910,22.53,0.0,70.49
20150911,22.67,0.0,69.91
20150912,22.61,0.5,70.34
20150913,21.78,0.04,71.71
20150914,22.28,0.0,71.65
20150915,22.82,4.51,68.6
20150916,22.56,0.33,70.72
20150917,22.84,0.0,69.83
20150918,22.86,3.89,71.22
20150919,22.7,8.06,84.67
20150920,23.07,16.13,82.63
20150921,22.51,1.87,83.3
20150922,22.18,9.37,86.9
20150923,21.09,2.91,89.11
20150924,19.43,0.05,86.01
20150925,19.69,0.0,78.46
20150926,20.24,0.01,76.55
20150927,20.24,0.0,72.06
20150928,20.03,0.0,73.06
20150929,21.11,0.0,67.6
20150930,21.76,0.0,65.04
20151001,21.76,0.0,62.48
20151002,21.73,0.0,57.58
20151003,20.52,0.0,62.17
20151004,20.29,0.0,62.98
20151005,20.25,0.0,60.13
20151006,20.14,0.0,61.95
20151007,20.92,0.0,60.89
20151008,20.97,0.0,61.67
20151009,20.62,0.0,63.23
20151010,20.51,0.0,61.56
20151011,20.4,0.0,61.14
20151012,19.89,3.21,68.87
20151013,19.01,2.51,80.85
20151014,19.09,6.0,80.42
20151015,18.69,1.29,80.03
20151016,18.56,0.93,77.76
20151017,18.96,0.0,69.49
20151018,19.65,0.0,64.31
20151019,19.82,0.0,63.58
20151020,19.94,0.0,61.03
20151021,18.38,0.0,55.35
20151022,17.51,0.0,53.32
20151023,17.59,0.0,54.38
20151024,18.39,0.0,48.5
20151025,18.0,0.07,50.27
20151026,17.26,0.66,53.86
20151027,16.6,1.68,55.03
20151028,15.63,0.01,60.15
20151029,16.22,0.79,58.46
20151030,15.24,0.02,61.39
20151031,16.93,0.0,53.9
20151101,16.7,0.0,58.28
20151102,17.3,0.0,56.3
20151103,16.81,0.0,56.63
20151104,16.37,0.02,53.49
20151105,16.3,1.15,58.15
20151106,16.26,0.03,56.43
20151107,16.08,0.0,51.03
20151108,16.17,0.01,54.1
