,T2M,Rain,Humidity
20150101,16.78,0.0,76.29
20150102,18.34,0.0,76.02
20150103,18.63,0.75,80.88
20150104,17.68,13.71,89.2
20150105,14.79,2.88,85.77
20150106,14.24,0.0,75.13
20150107,14.23,0.0,75.08
20150108,14.52,1.83,77.4
20150109,13.02,2.15,87.21
20150110,14.56,0.18,73.67
20150111,13.95,0.0,71.3
20150112,12.89,0.0,75.1
20150113,13.51,0.0,68.63
20150114,14.29,0.0,67.53
20150115,15.39,0.0,71.28
20150116,16.05,0.01,71.75
20150117,16.28,2.54,73.05
20150118,13.83,2.2,82.54
20150119,13.83,0.1,76.62
20150120,14.62,0.0,72.52
20150121,15.26,0.0,68.16
20150122,15.52,0.0,66.47
20150123,14.56,0.01,70.72
20150124,14.58,0.0,70.99
20150125,14.98,0.0,64.53
20150126,15.39,0.0,58.77
20150127,15.64,0.0,56.49
20150128,15.72,0.0,68.12
20150129,16.27,0.05,67.76
20150130,14.74,0.21,74.25
20150131,13.73,0.02,70.05
20150201,14.03,0.0,62.23
20150202,15.5,0.0,59.0
20150203,16.59,0.0,54.09
20150204,15.88,0.0,56.92
20150205,16.05,0.0,57.55
20150206,15.66,0.0,58.9
20150207,15.41,0.0,51.81
20150208,15.7,0.0,47.41
20150209,15.98,0.0,53.53
20150210,16.62,0.0,63.42
20150211,16.55,0.0,61.94
20150212,16.12,0.23,59.35
20150213,14.66,0.33,58.4
20150214,14.95,0.05,64.18
20150215,15.53,0.0,60.25
20150216,16.78,0.0,53.64
20150217,17.81,0.0,52.04
20150218,17.18,2.43,60.41
20150219,15.86,0.27,66.55
20150220,17.13,0.11,68.12
20150221,17.38,1.3,69.2
20150222,17.26,2.99,74.51
20150223,18.54,0.0,66.84
20150224,19.16,0.0,65.37
20150225,19.0,0.74,63.81
20150226,18.65,2.73,73.85
20150227,19.34,0.4,70.76
20150228,20.55,0.07,66.32
20150301,21.36,0.0,61.88
20150302,21.31,0.02,64.32
20150303,19.5,0.11,67.12
20150304,17.17,1.44,71.11
20150305,16.87,0.1,69.3
20150306,16.93,0.27,49.34
20150307,17.51,0.92,47.93
20150308,19.27,0.0,45.92
20150309,20.67,0.0,45.66
20150310,19.9,0.0,44.05
20150311,20.38,0.0,35.06
20150312,20.49,0.0,36.59
20150313,19.7,0.0,38.88
20150314,20.1,0.0,44.97
20150315,21.39,0.02,55.09
20150316,21.44,0.0,51.13
20150317,20.98,0.0,56.87
20150318,20.95,0.13,55.09
20150319,20.4,0.12,55.74
20150320,20.98,0.0,43.92
20150321,22.27,0.0,40.37
20150322,22.73,0.0,41.75
20150323,22.89,0.0,43.09
20150324,22.05,0.0,54.99
20150325,21.86,1.52,62.05
20150326,22.34,3.31,63.87
20150327,22.15,2.18,64.94
20150328,21.2,4.48,71.09
20150329,22.53,0.27,63.48
20150330,22.92,1.68,64.37
20150331,20.37,1.89,75.69
20150401,21.04,2.39,70.09
20150402,19.94,15.8,77.21
20150403,20.87,12.06,78.02
20150404,20.96,17.28,83.39
20150405,20.37,15.21,78.63
20150406,19.66,24.4,81.38
20150407,21.42,0.88,71.81
20150408,21.04,1.55,75.98
20150409,21.28,2.18,75.78
20150410,20.98,9.13,73.75
20150411,21.7,0.58,68.15
20150412,22.03,0.04,68.67
20150413,21.97,1.02,71.26
20150414,22.97,0.0,64.9
20150415,23.03,0.0,68.39
20150416,23.03,0.66,69.46
