,T2M,Rain,Humidity
20150101,14.24,0.0,85.89
20150102,15.6,0.0,83.69
20150103,15.83,0.78,85.5
20150104,15.19,15.06,90.24
20150105,12.32,2.11,87.0
20150106,11.8,0.0,77.19
20150107,12.38,0.03,73.49
20150108,12.28,2.12,76.88
20150109,11.08,2.63,84.56
20150110,11.49,0.21,79.28
20150111,11.03,0.06,76.7
20150112,9.7,0.0,81.13
20150113,10.15,0.0,74.48
20150114,11.47,0.0,71.54
20150115,12.38,0.0,76.46
20150116,13.32,0.03,75.77
20150117,12.97,3.27,80.07
20150118,11.32,2.21,83.12
20150119,11.35,0.1,79.16
20150120,12.18,0.0,73.5
20150121,12.52,0.0,70.98
20150122,12.8,0.01,69.57
20150123,12.8,0.02,68.08
20150124,12.75,0.0,70.86
20150125,12.7,0.0,69.04
20150126,13.13,0.0,61.74
20150127,13.97,0.0,54.01
20150128,13.36,0.0,65.97
20150129,13.79,0.14,65.91
20150130,11.96,0.22,72.75
20150131,11.38,0.03,70.22
20150201,11.96,0.0,67.02
20150202,13.14,0.0,62.96
20150203,14.41,0.0,56.49
20150204,13.84,0.0,56.99
20150205,13.35,0.0,62.03
20150206,12.69,0.0,65.44
20150207,12.88,0.0,59.23
20150208,13.5,0.0,52.61
20150209,13.95,0.0,52.76
20150210,13.91,0.0,69.31
20150211,13.65,0.0,70.48
20150212,13.73,1.02,66.34
20150213,11.98,0.92,64.86
20150214,11.98,0.05,69.63
20150215,12.25,0.0,67.34
20150216,13.79,0.0,58.33
20150217,14.85,0.01,56.99
20150218,14.6,0.98,61.72
20150219,13.76,0.35,64.46
20150220,14.36,0.26,67.39
20150221,14.46,1.81,71.22
20150222,13.67,1.53,77.1
20150223,15.88,0.0,68.44
20150224,16.22,0.11,69.37
20150225,16.53,1.59,65.82
20150226,16.56,3.79,69.61
20150227,16.46,0.22,69.51
20150228,17.79,0.08,66.02
20150301,18.13,0.0,63.88
20150302,18.24,0.21,67.84
20150303,16.4,0.47,73.89
20150304,14.42,1.97,76.78
20150305,13.62,0.29,74.64
20150306,13.72,0.63,58.48
20150307,14.36,0.9,53.64
20150308,16.12,0.0,52.33
20150309,18.13,0.0,47.98
20150310,17.36,0.0,49.38
20150311,17.2,0.0,39.88
20150312,17.31,0.0,43.84
20150313,17.35,0.0,44.71
20150314,16.81,0.01,52.64
20150315,18.13,0.01,63.67
20150316,17.73,0.0,60.83
20150317,17.59,0.0,64.96
20150318,17.73,0.48,61.25
20150319,16.95,0.07,62.94
20150320,17.82,0.0,54.32
20150321,19.37,0.0,48.66
20150322,20.25,0.0,45.26
20150323,20.85,0.0,47.73
20150324,19.3,0.31,62.47
20150325,18.19,2.16,70.62
20150326,19.74,2.75,63.79
20150327,19.18,1.72,67.82
20150328,18.95,4.72,69.54
20150329,20.13,0.19,66.33
20150330,20.44,2.38,66.71
20150331,17.94,2.97,73.93
20150401,18.07,5.13,70.01
20150402,16.92,13.3,77.49
20150403,17.67,12.22,79.36
20150404,18.28,20.04,80.82
20150405,18.04,20.16,76.69
20150406,17.04,14.99,78.04
20150407,19.11,1.14,68.35
20150408,18.63,2.92,70.82
20150409,18.18,4.43,72.39
20150410,18.06,8.33,70.87
20150411,18.79,0.21,65.94
20150412,19.79,0.35,66.39
20150413,19.02,0.76,71.9
20150414,20.51,0.0,64.99
20150415,20.47,0.0,71.03
20150416,20.74,1.73,69.95
20150417,18.99,5.25,74.87
20150418,18.27,11.17,80.48
20150419,18.9,5.61,69.75
20150420,20.56,3.03,65.28
20150421,19.42,10.97,79.08
20150422,19.14,8.34,83.48
20150423,19.52,17.63,78.41
20150424,19.75,2.14,76.66
20150425,18.08,6.07,81.23
20150426,18.12,2.99,76.25
20150427,18.2,1.28,75.61
20150428,19.91,0.21,70.47
20150429,19.0,2.52,75.82
20150430,18.94,1.87,69.65
20150501,20.14,1.02,68.35
20150502,20.3,1.72,70.08
20150503,20.66,6.64,70.1
20150504,20.77,1.37,68.0
20150505,20.35,0.0,65.12
20150506,21.55,0.34,65.5
20150507,21.29,1.36,71.35
20150508,19.06,3.17,74.12
20150509,21.58,0.07,63.12
20150510,22.24,0.75,69.86
20150511,21.11,0.59,79.52
20150512,21.13,0.2,74.62
20150513,21.65,3.29,72.29
20150514,22.71,3.95,69.97
20150515,22.77,6.37,73.18
20150516,20.95,9.17,82.04
20150517,20.66,2.41,75.37
20150518,20.71,4.41,71.64
20150519,22.94,0.08,70.1
20150520,22.84,0.64,77.95
20150521,23.89,2.57,73.78
20150522,23.73,18.52,72.87
20150523,23.52,12.85,66.54
20150524,21.96,5.38,72.22
20150525,22.46,2.29,65.1
20150526,23.78,4.36,65.0
20150527,22.68,5.78,70.84
20150528,22.74,8.72,69.72
20150529,22.97,3.03,70.81
20150530,23.18,8.28,73.5
20150531,22.78,10.27,72.86
20150601,22.96,8.31,74.73
20150602,23.26,4.16,70.93
20150603,23.67,3.02,73.45
20150604,24.33,6.16,73.96
20150605,24.21,12.94,73.47
20150606,23.38,8.23,74.67
20150607,22.63,13.38,78.66
20150608,23.19,13.0,78.24
20150609,23.14,18.81,75.16
20150610,23.04,13.21,75.43
20150611,22.11,7.6,80.22
20150612,20.8,10.6,85.5
20150613,21.66,6.95,81.32
20150614,22.56,4.34,78.29
20150615,22.32,8.89,83.69
20150616,22.31,6.21,80.99
20150617,22.94,3.71,79.08
20150618,21.4,6.71,88.89
20150619,22.9,2.81,82.14
20150620,22.08,5.17,91.38
20150621,22.2,9.72,88.18
20150622,23.61,4.24,80.63
20150623,23.41,12.75,82.45
20150624,23.35,13.54,86.33
20150625,24.6,6.64,82.98
20150626,23.93,23.7,85.89
20150627,23.09,37.91,85.82
20150628,23.17,8.39,81.4
20150629,22.81,2.97,84.2
20150630,23.01,5.57,80.41
20150701,22.87,18.77,85.46
20150702,24.11,5.56,78.27
20150703,23.76,5.74,78.91
20150704,23.64,4.16,77.91
20150705,22.6,4.09,85.97
20150706,21.68,10.67,94.05
20150707,21.77,2.08,89.7
20150708,21.32,13.09,92.59
20150709,22.56,3.9,88.17
20150710,21.58,9.85,88.81
20150711,22.62,2.35,84.48
20150712,23.24,0.54,80.07
20150713,24.57,0.87,79.71
20150714,24.36,12.57,83.18
20150715,22.64,10.75,84.41
20150716,21.52,16.15,92.23
20150717,20.98,34.89,93.52
20150718,21.15,9.86,89.81
20150719,20.75,21.78,93.95
20150720,21.08,18.05,94.25
20150721,21.81,13.03,88.96
20150722,21.55,16.94,91.64
20150723,20.6,14.88,90.69
20150724,20.81,10.24,89.59
20150725,21.2,1.84,85.31
20150726,21.02,1.29,88.29
20150727,20.17,6.09,86.86
20150728,20.93,3.61,88.95
20150729,21.25,3.16,87.12
20150730,20.35,14.83,92.15
20150731,19.82,64.07,94.02
20150801,19.48,6.56,92.28
20150802,22.68,0.7,81.43
20150803,22.59,1.81,83.85
20150804,21.99,12.15,84.22
20150805,21.54,6.66,84.94
20150806,22.61,5.06,83.7
20150807,22.55,3.67,87.6
20150808,21.25,23.25,93.29
20150809,22.21,22.31,88.59
20150810,21.91,5.03,88.34
20150811,22.68,6.35,84.96
20150812,24.29,3.35,79.88
20150813,22.06,12.95,87.95
20150814,23.34,3.4,81.53
20150815,22.03,2.38,88.41
20150816,22.29,1.51,84.82
20150817,22.23,5.8,84.78
20150818,22.28,3.46,84.85
20150819,22.02,8.1,86.72
20150820,22.03,8.68,88.17
20150821,21.33,8.34,93.28
20150822,21.72,8.16,89.57
20150823,21.82,15.5,89.68
20150824,21.89,8.85,90.93
20150825,23.01,5.18,83.68
20150826,22.78,14.4,87.81
20150827,22.87,10.2,87.94
20150828,21.97,12.17,90.2
20150829,21.94,43.79,86.23
20150830,20.86,22.92,94.02
20150831,21.42,8.07,89.05
20150901,20.9,8.56,93.09
20150902,21.2,18.16,91.46
20150903,21.31,10.18,90.88
20150904,21.29,4.98,90.35
20150905,22.08,4.39,79.99
20150906,22.45,4.59,80.12
20150907,22.16,3.31,82.07
20150908,22.14,0.54,86.17
20150909,22.92,1.54,80.69
20150910,22.69,8.83,88.07
20150911,22.64,3.98,86.32
20150912,23.52,0.09,77.98
20150913,22.13,2.12,86.87
20150914,21.18,1.15,91.39
20150915,21.77,0.35,86.41
20150916,22.5,0.02,84.0
20150917,22.44,0.06,86.29
20150918,22.58,0.61,85.24
20150919,21.71,40.8,90.4
20150920,19.73,22.57,92.94
20150921,21.55,4.7,84.17
20150922,21.96,13.94,82.68
20150923,21.54,7.5,85.97
20150924,21.22,7.58,88.88
20150925,21.06,2.88,85.79
20150926,21.16,0.0,81.86
20150927,21.9,0.0,80.11
20150928,22.22,0.0,79.76
20150929,23.12,0.0,78.0
20150930,23.28,0.0,78.59
20151001,22.83,0.23,83.26
20151002,22.61,4.67,79.81
20151003,22.29,1.41,78.86
20151004,21.75,0.16,81.37
20151005,21.57,2.89,84.37
20151006,21.68,1.42,82.58
20151007,20.69,3.7,90.83
20151008,19.84,9.07,92.9
20151009,20.61,14.93,86.28
20151010,20.32,16.72,84.04
20151011,17.58,15.18,88.54
20151012,16.74,3.42,87.5
20151013,16.46,1.43,88.05
20151014,16.38,2.66,89.37
20151015,18.82,3.32,82.41
20151016,19.3,0.45,79.78
20151017,18.97,0.0,79.23
20151018,19.1,0.0,77.66
20151019,19.5,0.0,78.28
20151020,19.94,0.0,76.47
20151021,19.49,0.13,79.1
20151022,18.84,3.99,80.62
20151023,18.73,1.07,78.7
20151024,18.51,0.05,77.28
20151025,18.58,0.0,75.07
20151026,18.66,0.0,74.3
20151027,17.93,0.0,78.28
20151028,17.73,0.0,81.88
20151029,17.12,0.0,88.21
20151030,18.29,0.33,83.41
20151031,16.71,5.03,92.57
20151101,16.8,0.97,87.95
20151102,17.43,1.22,83.41
20151103,17.34,6.66,82.82
20151104,16.72,4.95,80.89
20151105,16.59,0.72,80.6
20151106,16.44,0.01,78.97
20151107,16.87,0.0,79.78
20151108,16.65,0.0,75.39
20151109,16.05,0.0,74.96
20151110,17.35,0.0,75.58
20151111,17.06,0.01,80.91
20151112,16.18,0.0,79.1
20151113,16.82,0.0,75.77
20151114,16.05,0.0,82.65
20151115,15.8,0.48,78.11
20151116,15.62,1.02,78.83
20151117,15.51,0.32,79.15
20151118,15.48,0.0,81.87
20151119,15.35,0.0,74.43
20151120,14.88,0.0,74.11
20151121,15.39,0.0,71.42
20151122,15.53,0.0,69.93
20151123,15.59,0.0,69.81
20151124,15.5,0.0,72.65
20151125,15.8,0.0,73.99
20151126,15.44,0.0,76.7
20151127,14.67,0.0,79.26
20151128,14.99,0.0,74.29
20151129,14.73,0.0,73.6
20151130,15.07,0.0,78.64
20151201,15.1,0.0,81.24
20151202,14.65,0.25,84.04
20151203,13.83,6.03,86.83
20151204,12.77,2.81,83.68
20151205,12.51,0.0,82.96
20151206,13.12,0.0,82.38
