,T2M,Rain,Humidity
20150101,11.14,0.12,47.91
20150102,8.95,15.32,80.19
20150103,8.14,36.96,88.91
20150104,8.71,3.85,80.37
20150105,8.71,0.0,48.1
20150106,10.38,0.0,48.54
20150107,8.42,0.0,52.07
20150108,8.91,0.0,40.97
20150109,7.56,0.0,40.22
20150110,9.83,0.0,38.42
20150111,9.79,0.0,40.47
20150112,9.35,0.0,42.55
20150113,9.89,0.0,43.46
20150114,7.95,0.95,58.42
20150115,7.66,0.02,63.65
20150116,8.33,0.0,58.4
20150117,9.09,0.0,55.45
20150118,8.96,0.0,47.97
20150119,9.24,0.0,46.05
20150120,9.65,0.0,44.23
20150121,9.63,0.24,45.14
20150122,5.3,11.77,80.55
20150123,7.98,3.09,77.46
20150124,10.11,0.01,59.83
20150125,9.92,0.3,51.57
20150126,7.69,1.41,70.84
20150127,8.56,0.08,74.6
20150128,9.2,0.0,65.4
20150129,7.29,0.0,65.03
20150130,6.95,0.0,51.17
20150131,9.08,0.0,41.85
20150201,9.57,0.0,46.23
20150202,9.43,0.44,62.53
20150203,8.72,5.63,75.08
20150204,10.01,0.01,64.91
20150205,11.26,0.02,48.26
20150206,11.44,0.0,44.74
20150207,11.13,0.0,41.93
20150208,11.62,0.0,47.16
20150209,10.89,0.0,53.28
20150210,11.72,0.0,47.27
20150211,11.64,0.0,48.39
20150212,10.74,0.0,50.67
20150213,11.0,0.0,44.82
20150214,12.65,0.5,47.11
20150215,12.61,0.11,56.33
20150216,12.98,0.23,57.86
20150217,13.43,0.01,58.7
20150218,12.65,0.47,67.47
20150219,13.18,0.98,61.58
20150220,13.32,1.68,62.26
20150221,14.63,0.0,53.46
20150222,16.97,0.0,42.85
20150223,17.2,0.0,48.73
20150224,17.24,0.0,52.93
20150225,15.26,1.08,66.57
20150226,12.88,4.52,78.79
20150227,12.58,11.61,62.98
20150228,13.23,1.11,56.16
20150301,8.39,16.49,87.5
20150302,9.85,56.72,82.9
20150303,9.22,21.39,85.12
20150304,9.25,3.15,75.26
20150305,10.69,0.01,65.2
20150306,11.31,0.08,61.63
20150307,12.21,0.05,58.53
20150308,11.85,3.12,65.39
20150309,12.19,1.11,68.07
20150310,13.33,0.0,54.56
20150311,15.23,0.0,46.01
20150312,15.94,0.0,43.53
20150313,15.0,0.0,50.16
20150314,14.02,1.46,67.88
20150315,11.71,4.55,81.08
20150316,11.34,6.63,78.81
20150317,13.68,0.06,65.4
20150318,13.66,0.0,61.57
20150319,14.39,0.0,61.48
20150320,16.62,0.0,55.12
20150321,16.75,0.0,54.13
20150322,18.31,0.0,55.02
20150323,19.26,0.0,55.6
20150324,19.69,0.0,56.26
20150325,19.31,0.16,59.52
20150326,19.8,0.87,51.25
20150327,19.97,0.01,51.14
20150328,20.22,1.3,44.26
20150329,18.32,0.89,49.9
20150330,13.25,36.32,81.96
20150331,15.26,0.32,65.65
20150401,16.18,0.29,67.42
20150402,17.79,0.66,63.38
20150403,14.89,5.89,71.07
20150404,13.24,16.43,80.71
20150405,14.83,1.32,71.73
20150406,16.41,2.19,62.81
20150407,16.76,0.48,58.49
20150408,15.99,0.24,62.05
20150409,17.3,0.0,58.11
20150410,18.78,0.0,51.3
20150411,19.55,0.07,46.83
20150412,17.9,0.71,54.84
20150413,15.74,1.55,77.04
20150414,16.76,0.8,73.84
20150415,17.23,1.85,74.89
20150416,17.49,8.13,74.55
20150417,18.41,0.14,67.21
20150418,20.61,0.08,51.51
20150419,22.38,0.01,46.06
20150420,22.6,0.15,50.2
20150421,21.75,0.26,51.85
20150422,21.58,0.04,39.28
20150423,21.72,0.02,33.24
20150424,22.12,0.26,39.16
20150425,21.13,0.3,51.72
20150426,17.32,0.07,72.67
20150427,19.17,4.02,70.1
20150428,20.17,2.8,67.9
20150429,20.35,0.1,57.88
20150430,21.25,0.32,51.75
20150501,21.95,5.36,51.01
20150502,21.02,0.26,44.35
20150503,21.04,0.18,36.82
20150504,22.04,0.02,35.36
20150505,23.61,0.0,35.06
20150506,24.23,0.32,37.82
20150507,25.2,0.27,41.12
20150508,25.12,0.63,42.11
20150509,24.96,0.0,36.68
20150510,24.87,0.0,38.83
20150511,25.6,1.2,40.45
20150512,24.33,0.29,43.96
20150513,23.9,0.02,45.69
20150514,23.82,0.02,46.05
20150515,23.59,0.54,47.85
20150516,23.8,0.36,44.57
20150517,23.93,0.0,47.27
20150518,25.73,0.0,43.08
20150519,26.9,0.0,35.47
20150520,25.84,0.0,30.5
20150521,26.05,0.0,25.44
20150522,26.61,0.0,22.94
20150523,27.17,0.01,21.44
20150524,27.52,0.03,22.12
20150525,27.88,0.02,22.8
20150526,27.64,0.86,24.09
20150527,26.83,1.8,20.55
20150528,25.7,1.31,22.86
20150529,26.55,3.53,27.83
20150530,27.24,0.15,29.61
20150531,26.03,1.08,34.06
20150601,24.9,0.24,33.95
20150602,24.84,0.17,35.52
20150603,26.24,0.01,31.87
20150604,26.7,0.15,33.95
20150605,27.31,0.01,31.15
20150606,26.85,0.04,28.21
20150607,27.55,0.02,27.76
20150608,28.43,0.04,23.44
20150609,29.24,0.01,23.14
20150610,28.56,0.0,31.21
20150611,28.68,0.0,34.36
20150612,28.72,0.02,27.89
20150613,26.22,1.24,41.78
20150614,23.87,0.26,55.04
20150615,24.98,0.0,45.52
20150616,25.54,0.11,45.73
20150617,26.02,4.22,49.29
20150618,25.99,16.04,55.07
20150619,25.44,4.9,60.31
20150620,25.41,9.49,63.0
20150621,25.94,3.32,63.05
20150622,24.46,4.74,71.24
20150623,25.51,3.12,65.38
20150624,26.13,1.09,59.03
20150625,22.4,54.16,78.81
20150626,22.43,72.01,76.02
20150627,23.83,2.57,57.32
20150628,24.54,5.29,62.25
20150629,22.6,34.11,78.8
20150630,22.32,29.19,79.71
20150701,22.79,4.98,73.21
20150702,22.6,3.02,80.21
20150703,24.24,0.04,71.6
20150704,24.09,2.96,75.67
20150705,24.57,11.7,79.66
20150706,23.11,28.58,83.93
20150707,22.5,11.89,84.55
20150708,22.28,9.54,86.18
20150709,22.47,14.28,87.32
20150710,22.18,24.45,86.58
20150711,22.14,43.17,86.14
20150712,21.5,14.93,84.78
20150713,23.07,3.43,81.81
20150714,23.84,0.61,85.89
20150715,23.45,1.89,88.37
20150716,23.16,6.31,86.76
20150717,21.62,4.7,92.24
20150718,21.82,0.64,87.87
20150719,22.1,1.24,88.1
20150720,22.62,3.05,80.77
20150721,22.2,2.1,90.7
20150722,21.68,4.82,90.87
20150723,22.46,9.58,89.22
20150724,22.14,19.15,87.69
20150725,22.03,17.0,88.02
20150726,22.37,3.15,85.64
20150727,22.16,0.89,86.25
20150728,22.25,0.83,86.16
20150729,21.76,0.0,85.64
20150730,22.33,0.29,86.02
20150731,21.57,8.26,89.3
20150801,21.01,13.02,89.75
20150802,21.84,4.44,79.77
20150803,22.72,0.7,80.46
20150804,22.49,0.09,87.08
20150805,22.28,0.37,88.29
20150806,21.19,6.1,94.73
20150807,21.6,7.67,91.99
20150808,21.31,13.64,94.79
20150809,21.96,2.31,93.05
20150810,21.87,2.2,92.81
20150811,21.99,11.64,89.29
20150812,22.17,2.86,83.2
20150813,22.62,2.83,86.84
20150814,22.91,3.24,88.08
