,T2M,Rain,Humidity
20150101,25.39,0.47,83.9
20150102,25.65,0.27,87.25
20150103,25.67,0.15,85.77
20150104,25.53,0.0,83.22
20150105,25.32,0.01,83.24
20150106,25.06,0.01,82.79
20150107,24.79,0.01,82.55
20150108,24.95,0.02,80.07
20150109,24.65,0.02,80.29
20150110,23.98,0.0,74.18
20150111,23.94,0.01,72.45
20150112,23.98,0.0,69.79
20150113,23.97,0.0,72.34
20150114,23.85,0.0,68.6
20150115,23.8,0.0,77.42
20150116,24.57,0.31,82.41
20150117,24.68,0.05,80.5
20150118,24.37,0.0,76.01
20150119,24.18,0.0,74.25
20150120,23.9,0.0,76.55
20150121,23.89,0.03,77.84
20150122,24.53,0.5,82.78
20150123,25.02,3.04,82.11
20150124,24.88,0.93,82.16
20150125,24.48,0.04,74.49
20150126,24.74,0.4,75.44
20150127,25.16,0.13,75.31
20150128,24.86,0.13,77.54
20150129,25.12,0.11,76.71
20150130,24.89,0.0,76.29
20150131,24.72,0.0,77.2
20150201,24.7,0.2,79.22
20150202,24.62,0.04,76.44
20150203,25.09,0.18,75.5
20150204,25.04,0.1,76.87
20150205,25.06,0.02,76.54
20150206,25.29,0.05,73.94
20150207,25.08,0.02,71.33
20150208,25.13,0.02,72.66
20150209,25.0,0.02,72.27
20150210,25.06,0.25,76.67
20150211,25.49,0.64,81.6
20150212,25.76,0.1,78.42
20150213,25.57,0.01,78.71
20150214,25.34,0.0,75.12
20150215,25.69,0.29,71.27
20150216,25.85,0.0,73.15
20150217,25.56,0.0,70.41
20150218,25.5,0.03,70.02
20150219,25.66,0.0,66.38
20150220,25.49,0.0,72.62
20150221,25.72,0.0,75.08
20150222,25.75,0.0,73.25
20150223,25.68,0.0,70.54
20150224,25.57,0.0,69.07
20150225,26.05,0.03,74.84
20150226,26.56,0.2,77.96
20150227,27.19,0.18,75.98
20150228,27.13,0.42,76.6
20150301,27.32,0.11,74.19
20150302,27.23,0.07,74.02
20150303,27.46,0.13,73.23
20150304,28.06,0.11,71.69
20150305,28.02,0.22,78.06
20150306,28.16,0.23,73.36
20150307,27.93,0.25,72.76
20150308,27.54,0.13,74.36
20150309,27.53,0.05,72.88
20150310,27.09,0.0,67.98
20150311,27.06,0.05,70.8
20150312,27.75,0.33,72.97
20150313,27.54,0.28,72.44
20150314,27.5,0.13,73.15
20150315,27.45,0.1,75.02
20150316,27.39,0.11,73.73
20150317,27.18,0.02,69.37
20150318,27.84,0.0,62.57
20150319,27.95,0.0,66.98
20150320,27.79,0.02,73.14
20150321,28.08,0.0,68.86
20150322,28.83,0.0,64.77
20150323,28.92,0.02,70.24
20150324,28.67,0.04,72.69
20150325,28.55,0.06,71.18
20150326,28.47,0.02,71.27
20150327,28.4,0.12,72.06
20150328,28.25,0.18,75.03
20150329,28.55,0.05,73.55
20150330,28.69,0.09,74.84
20150331,28.59,0.29,76.59
20150401,29.18,0.51,72.34
20150402,29.5,0.34,72.26
20150403,30.35,0.21,70.95
20150404,30.22,0.59,72.27
20150405,30.05,0.74,74.08
20150406,29.63,0.27,73.15
20150407,29.39,0.24,75.99
20150408,28.82,1.68,79.14
20150409,28.81,1.26,77.28
20150410,29.24,0.21,73.01
20150411,29.31,0.12,72.38
20150412,28.85,0.55,73.42
20150413,28.49,4.17,71.09
20150414,28.36,4.44,71.23
20150415,27.95,13.81,77.63
20150416,28.11,7.33,77.86
20150417,28.68,3.31,74.61
20150418,28.87,1.94,72.57
20150419,29.38,0.22,71.64
20150420,29.26,1.31,72.46
20150421,28.96,2.22,77.88
20150422,29.12,1.18,78.64
20150423,30.22,0.74,74.87
20150424,29.63,4.98,78.39
20150425,29.6,4.84,73.45
20150426,29.49,0.81,72.54
20150427,29.56,0.69,72.17
20150428,29.68,0.25,71.97
20150429,29.98,0.27,73.82
20150430,30.35,0.81,73.21
20150501,29.87,0.93,77.14
20150502,30.21,0.95,75.05
20150503,29.46,1.16,79.7
20150504,29.46,0.76,78.31
20150505,29.96,0.19,69.72
20150506,29.87,0.13,72.11
20150507,30.15,1.96,73.28
20150508,30.44,2.8,70.59
20150509,30.31,3.16,75.7
20150510,30.57,3.39,70.29
20150511,30.77,4.2,62.0
20150512,30.13,0.63,68.45
20150513,28.64,6.63,76.17
20150514,28.09,20.92,83.57
20150515,28.74,8.21,81.11
20150516,29.07,9.36,81.67
20150517,28.87,1.2,78.05
20150518,30.5,0.85,71.86
20150519,30.44,1.16,74.93
20150520,30.6,1.0,75.43
20150521,31.07,0.54,71.74
20150522,31.08,0.11,71.46
20150523,30.99,0.07,69.35
20150524,30.88,0.55,69.85
20150525,31.18,0.19,69.99
20150526,29.57,1.83,74.25
20150527,28.08,15.68,80.98
20150528,29.5,2.26,67.41
20150529,30.34,0.97,73.11
20150530,30.09,0.71,77.7
20150531,30.46,1.82,74.1
20150601,29.79,2.71,76.67
20150602,30.24,2.27,72.56
20150603,30.03,1.62,74.53
