,T2M,Rain,Humidity
20150101,16.11,6.14,76.6
20150102,15.94,0.28,75.77
20150103,17.01,0.12,65.82
20150104,16.41,0.01,60.45
20150105,16.8,0.0,43.45
20150106,17.69,0.0,32.43
20150107,17.38,0.0,36.67
20150108,16.43,0.0,36.58
20150109,17.39,0.0,32.39
20150110,18.66,0.0,29.61
20150111,19.03,0.0,29.8
20150112,19.35,0.0,33.26
20150113,18.72,0.0,31.6
20150114,19.22,0.0,34.3
20150115,16.04,0.0,37.09
20150116,15.93,0.0,34.17
20150117,15.16,0.0,30.64
20150118,16.34,0.0,28.59
20150119,17.64,0.0,30.75
20150120,18.28,0.0,37.64
20150121,18.74,4.3,57.43
20150122,18.43,2.73,73.3
20150123,17.64,0.0,64.0
20150124,16.95,0.0,65.52
20150125,16.36,4.68,78.1
20150126,16.75,0.02,68.76
20150127,15.54,0.0,66.98
20150128,15.25,0.0,57.36
20150129,15.27,0.0,43.88
20150130,15.24,0.0,37.37
20150131,18.13,0.0,29.82
20150201,18.71,0.0,33.2
20150202,20.14,0.0,34.13
20150203,20.7,0.0,39.95
20150204,18.52,0.0,40.6
20150205,19.67,0.0,36.26
20150206,20.75,0.0,40.98
20150207,20.3,0.0,24.99
20150208,20.97,0.09,29.41
20150209,20.15,0.04,55.37
20150210,20.58,0.0,44.76
20150211,21.23,0.29,40.1
20150212,20.39,0.0,34.29
20150213,21.12,0.0,23.87
20150214,23.09,0.0,22.62
20150215,24.32,0.0,24.31
20150216,23.72,0.0,26.95
20150217,24.01,0.0,25.97
20150218,23.55,0.0,27.58
20150219,24.39,0.0,28.39
20150220,24.77,0.0,27.52
20150221,25.03,0.0,24.44
20150222,26.38,0.0,23.78
20150223,26.82,0.0,21.4
20150224,26.39,0.0,25.05
20150225,23.65,0.0,31.59
20150226,20.92,0.0,13.4
20150227,20.68,0.0,14.82
20150228,22.41,0.0,19.57
20150301,20.71,7.16,64.02
20150302,19.74,1.19,60.17
20150303,18.99,0.0,46.49
20150304,19.93,0.0,42.78
20150305,21.59,0.0,38.91
20150306,22.83,0.0,38.44
20150307,23.62,0.0,39.5
20150308,24.25,0.0,34.1
20150309,21.0,0.0,16.78
20150310,21.28,0.0,27.16
20150311,25.67,0.04,28.05
20150312,27.03,1.43,42.81
20150313,25.7,7.35,46.18
20150314,22.47,10.98,69.55
20150315,22.53,4.3,66.84
20150316,21.44,0.0,48.12
20150317,21.45,0.0,49.53
20150318,21.39,0.0,44.48
20150319,22.98,0.0,41.35
20150320,25.76,0.0,36.5
20150321,28.14,0.0,31.82
20150322,29.46,0.0,33.04
20150323,29.08,0.0,37.49
20150324,30.07,0.0,32.65
20150325,30.73,0.0,30.56
20150326,30.33,0.0,32.22
20150327,31.24,0.0,29.47
20150328,32.09,0.0,28.9
20150329,30.04,0.11,27.19
20150330,29.01,0.0,22.86
20150331,27.98,0.0,18.86
20150401,28.84,0.0,23.19
20150402,29.29,0.0,31.88
20150403,28.8,0.0,37.25
20150404,27.17,0.06,45.08
20150405,28.49,0.0,39.77
20150406,29.59,2.6,38.28
20150407,29.41,0.41,39.42
20150408,30.01,0.04,36.78
20150409,30.41,0.23,32.78
20150410,31.42,0.0,28.34
20150411,31.32,0.09,31.79
20150412,25.88,9.98,52.65
20150413,25.27,0.29,57.78
20150414,25.97,0.41,54.42
20150415,27.78,0.04,50.85
20150416,30.18,0.0,39.63
20150417,31.91,0.0,32.6
20150418,33.68,0.0,26.29
20150419,33.36,0.0,22.98
20150420,33.55,0.0,19.84
20150421,33.75,0.0,17.77
20150422,32.61,0.0,15.74
20150423,32.04,0.0,16.17
20150424,33.02,0.0,19.75
20150425,33.43,0.0,21.04
20150426,34.17,0.0,23.99
20150427,34.61,0.0,22.09
20150428,34.41,0.0,19.98
20150429,34.18,0.0,19.37
20150430,33.59,0.0,20.59
20150501,34.26,0.0,19.2
20150502,33.75,0.0,15.68
20150503,34.1,0.0,12.13
20150504,35.06,0.0,11.39
20150505,35.37,0.0,12.71
20150506,35.35,0.0,12.93
20150507,35.41,0.0,15.32
20150508,35.53,0.0,20.46
20150509,35.35,0.0,19.94
20150510,34.37,0.0,20.93
20150511,34.97,0.01,25.56
20150512,35.13,0.03,28.88
20150513,35.07,0.18,27.55
20150514,34.97,0.62,24.18
20150515,36.62,0.0,19.79
20150516,37.05,0.0,17.27
20150517,37.01,0.0,14.32
20150518,36.9,0.0,15.78
20150519,36.64,0.0,23.03
20150520,36.49,0.0,27.47
20150521,36.06,0.0,28.79
20150522,36.01,0.0,24.95
20150523,35.45,0.0,29.27
20150524,34.69,0.0,39.31
20150525,35.05,0.0,37.66
20150526,34.7,0.0,37.66
20150527,35.58,0.0,34.49
20150528,35.42,0.02,34.08
20150529,36.54,0.0,26.99
20150530,36.61,0.0,21.73
20150531,36.36,0.0,21.97
20150601,35.81,0.0,26.09
20150602,34.17,1.83,41.67
20150603,30.99,18.38,55.6
20150604,31.53,0.56,52.7
20150605,32.19,0.0,43.37
20150606,33.58,0.0,35.33
20150607,35.36,0.0,34.95
20150608,34.65,0.0,35.58
20150609,33.02,0.01,44.57
20150610,33.76,0.8,45.67
20150611,32.64,2.32,51.03
20150612,31.0,16.6,63.12
20150613,31.14,5.67,62.65
20150614,31.16,2.83,63.66
20150615,31.28,5.28,61.21
20150616,30.91,4.9,63.81
