,T2M,Rain,Humidity
20150101,17.97,0.23,75.39
20150102,17.65,0.04,78.95
20150103,17.92,0.0,78.15
20150104,18.99,0.0,76.85
20150105,19.6,0.0,66.22
20150106,19.04,0.0,66.96
20150107,18.26,0.0,58.73
20150108,17.51,0.0,48.21
20150109,17.47,0.0,48.06
20150110,17.05,0.0,45.31
20150111,16.89,0.0,44.95
20150112,17.47,0.0,42.63
20150113,17.87,0.0,43.07
20150114,18.65,0.0,42.48
20150115,18.58,0.0,44.01
20150116,18.84,0.0,48.24
20150117,19.23,0.0,44.76
20150118,19.02,0.0,50.53
20150119,19.48,0.0,54.88
20150120,18.84,0.0,65.53
20150121,18.66,0.0,67.03
20150122,19.01,0.0,73.07
20150123,19.26,0.0,71.96
20150124,20.79,0.21,63.83
20150125,21.1,0.17,61.89
20150126,19.8,0.0,66.18
20150127,19.53,0.0,63.25
20150128,20.15,0.0,61.09
20150129,20.64,0.0,59.88
20150130,21.09,0.0,54.12
20150131,21.71,0.0,46.87
20150201,21.19,0.0,50.09
20150202,21.66,0.0,50.09
20150203,21.96,0.0,46.4
20150204,22.19,0.0,40.66
20150205,22.2,0.0,37.22
20150206,21.82,0.0,42.43
20150207,21.4,0.0,47.67
20150208,19.99,0.0,50.83
20150209,21.14,0.0,44.09
20150210,23.55,0.08,47.64
20150211,22.56,0.0,49.97
20150212,22.08,0.0,46.66
20150213,22.24,0.0,40.11
20150214,22.28,0.0,37.52
20150215,22.67,0.0,38.45
20150216,23.12,0.0,37.29
20150217,23.18,0.0,37.28
20150218,22.18,0.0,37.83
20150219,22.55,0.0,49.91
20150220,23.16,0.0,40.9
20150221,24.07,0.0,32.81
20150222,24.72,0.0,33.54
20150223,24.12,0.0,34.07
20150224,24.38,0.0,42.31
20150225,23.3,0.0,49.88
20150226,21.7,0.0,51.85
20150227,20.88,0.0,51.63
20150228,20.87,14.91,66.25
20150301,19.9,17.15,82.23
20150302,19.17,1.13,74.75
20150303,18.01,0.0,64.59
20150304,18.13,0.0,55.22
20150305,20.25,0.0,53.75
20150306,22.26,0.0,48.04
20150307,22.94,0.0,43.26
20150308,23.24,0.0,45.81
20150309,23.68,0.0,50.04
20150310,25.59,0.8,58.9
20150311,25.12,0.32,57.95
20150312,26.24,0.0,45.78
20150313,26.42,1.12,49.15
20150314,26.14,1.58,54.76
20150315,23.92,0.35,66.11
20150316,23.31,0.01,63.04
20150317,23.95,0.0,44.84
20150318,25.72,0.0,40.82
20150319,27.48,0.0,43.43
20150320,28.02,0.0,41.8
20150321,28.55,0.0,42.05
20150322,28.96,0.0,41.01
20150323,28.6,0.0,36.58
20150324,29.31,0.0,34.55
20150325,29.67,0.0,34.54
20150326,30.09,0.0,40.1
20150327,29.49,0.03,46.11
20150328,29.1,0.12,48.14
20150329,27.79,2.6,49.59
20150330,27.81,0.41,47.2
20150331,27.32,0.0,33.34
20150401,27.39,0.0,29.11
20150402,26.29,0.0,38.19
20150403,25.55,0.0,52.84
20150404,24.67,0.0,52.11
20150405,25.83,0.0,56.74
20150406,26.12,0.0,51.43
20150407,25.78,0.0,54.56
20150408,27.57,0.0,54.96
20150409,28.33,0.0,53.11
20150410,27.91,0.05,59.07
20150411,27.66,0.24,56.63
20150412,26.11,0.12,51.72
20150413,25.23,0.37,52.62
20150414,26.1,0.04,51.18
20150415,27.81,0.0,46.46
20150416,28.91,0.01,43.46
20150417,29.74,0.0,45.29
20150418,29.79,0.0,47.19
20150419,31.12,0.0,35.32
20150420,31.96,0.0,34.27
20150421,31.47,0.0,37.16
20150422,29.97,0.0,51.34
20150423,29.22,0.0,49.93
20150424,28.23,0.0,45.77
20150425,27.53,0.0,47.95
20150426,28.2,0.0,52.49
20150427,29.57,0.0,49.93
20150428,29.56,0.03,49.23
20150429,29.23,0.0,52.88
20150430,28.67,0.0,53.31
20150501,28.3,0.0,53.8
20150502,28.57,0.03,50.54
20150503,28.27,0.05,53.3
20150504,29.39,0.01,49.47
20150505,30.62,1.57,45.15
20150506,31.01,1.59,39.55
20150507,30.4,0.01,43.78
20150508,30.9,0.02,44.83
20150509,30.52,0.64,46.6
20150510,30.25,0.14,45.39
20150511,30.74,0.1,43.96
20150512,29.68,0.32,53.32
20150513,26.79,30.91,67.29
20150514,27.25,24.56,69.78
20150515,27.75,1.56,67.98
20150516,29.61,0.81,59.41
20150517,28.66,0.02,61.3
20150518,28.64,0.0,63.87
20150519,27.87,0.0,66.32
20150520,28.28,0.0,64.94
20150521,27.99,0.0,66.07
20150522,27.54,0.0,69.2
20150523,26.86,0.0,71.53
20150524,27.83,0.0,67.82
20150525,27.31,0.0,71.56
20150526,27.9,0.0,66.56
20150527,28.51,0.01,64.24
20150528,28.72,0.01,63.11
20150529,28.68,0.58,64.24
20150530,28.35,0.76,64.23
20150531,29.22,0.04,57.62
20150601,27.63,0.09,62.34
20150602,27.2,0.01,64.3
20150603,28.65,0.04,57.69
20150604,29.19,4.3,57.28
20150605,26.33,8.67,74.54
20150606,27.37,1.61,69.72
20150607,26.96,17.58,76.35
20150608,26.29,7.26,76.93
