,T2M,Rain,Humidity
20150101,20.58,0.2,74.59
20150102,22.64,6.58,77.44
20150103,22.94,9.37,79.41
20150104,20.89,5.11,81.24
20150105,18.63,0.0,68.68
20150106,15.77,0.0,60.12
20150107,15.85,0.0,58.4
20150108,16.1,0.0,60.83
20150109,15.83,0.0,61.65
20150110,15.4,0.0,55.28
20150111,14.61,0.0,50.03
20150112,14.71,0.0,50.54
20150113,15.22,0.0,54.4
20150114,16.49,0.0,52.92
20150115,17.49,0.0,50.93
20150116,17.28,0.0,53.39
20150117,16.99,0.0,52.24
20150118,15.1,0.0,55.36
20150119,15.2,0.0,54.08
20150120,14.83,0.0,48.67
20150121,15.43,0.0,47.85
20150122,16.67,0.0,45.17
20150123,18.19,0.0,52.84
20150124,19.57,0.0,65.57
20150125,19.16,0.0,57.74
20150126,19.42,0.0,54.48
20150127,20.32,0.0,61.29
20150128,21.0,0.02,66.17
20150129,21.02,0.62,63.18
20150130,19.08,0.06,64.74
20150131,15.93,0.0,43.46
20150201,15.98,0.0,43.05
20150202,17.64,0.0,44.77
20150203,19.56,0.0,43.54
20150204,20.82,0.0,46.06
20150205,20.64,0.0,50.22
20150206,19.08,0.0,39.67
20150207,19.13,0.0,33.94
20150208,20.66,0.0,40.51
20150209,20.38,0.0,56.88
20150210,21.66,0.0,50.56
20150211,20.16,0.0,38.72
20150212,20.11,0.0,42.59
20150213,21.8,0.0,46.86
20150214,21.67,0.0,49.35
20150215,22.46,6.12,55.51
20150216,22.78,1.08,58.04
20150217,23.32,0.0,56.66
20150218,23.54,2.44,67.4
20150219,24.54,13.4,65.03
20150220,24.04,0.0,48.56
20150221,24.19,0.0,44.89
20150222,25.44,0.07,42.62
20150223,25.35,0.0,44.32
20150224,25.12,0.0,57.12
20150225,25.57,0.0,52.82
20150226,25.49,0.0,48.6
20150227,25.94,0.0,60.25
20150228,26.3,0.0,58.09
20150301,26.64,0.0,54.84
20150302,26.21,0.0,46.73
20150303,24.6,0.7,54.06
20150304,23.42,8.33,61.11
20150305,22.93,0.0,43.26
20150306,21.88,0.0,36.65
20150307,22.65,0.0,36.32
20150308,24.48,0.0,36.68
20150309,25.89,0.0,38.74
20150310,26.91,0.0,40.21
20150311,25.33,0.0,29.73
20150312,24.43,0.0,26.32
20150313,25.86,0.0,31.2
20150314,28.22,0.0,40.65
20150315,28.54,0.0,41.47
20150316,28.18,0.0,40.97
20150317,28.46,0.31,42.51
