,T2M,Rain,Humidity
20150101,21.56,0.06,59.83
20150102,20.82,4.04,68.98
20150103,19.83,3.48,78.98
20150104,20.66,0.64,74.54
20150105,17.55,0.0,63.29
20150106,14.17,0.0,59.89
20150107,14.66,0.03,58.9
20150108,16.0,0.1,59.95
20150109,15.75,0.0,58.68
20150110,13.6,0.0,55.54
20150111,13.75,0.0,50.53
20150112,14.75,0.0,46.66
20150113,15.71,0.0,53.12
20150114,16.89,0.0,53.5
20150115,18.2,0.0,51.59
20150116,18.11,0.0,52.27
20150117,16.44,0.0,52.28
20150118,15.03,0.0,57.52
20150119,14.72,0.0,54.21
20150120,14.28,0.0,49.42
20150121,15.34,0.0,50.41
20150122,16.66,0.0,47.59
20150123,17.67,0.0,48.0
20150124,18.65,0.0,61.26
20150125,17.32,0.0,52.69
20150126,17.92,0.0,51.0
20150127,20.29,0.11,56.4
20150128,19.65,0.3,61.71
20150129,18.75,1.25,60.17
20150130,16.82,0.53,55.26
20150131,14.64,0.0,45.27
20150201,15.03,0.0,44.34
20150202,17.25,0.0,43.95
20150203,19.28,0.0,41.33
20150204,20.05,0.0,44.86
20150205,18.23,0.0,46.1
20150206,16.98,0.0,46.11
20150207,17.41,0.0,43.53
20150208,19.15,0.0,44.42
20150209,19.41,0.0,53.06
20150210,19.32,0.0,44.67
20150211,18.15,0.0,39.06
20150212,18.68,0.0,38.38
20150213,19.11,0.0,42.62
20150214,19.26,0.0,39.34
20150215,20.78,0.06,37.24
20150216,21.38,0.18,46.84
20150217,23.11,0.03,47.15
20150218,24.26,0.25,44.15
20150219,23.8,0.86,50.99
20150220,22.5,0.0,45.42
20150221,23.39,0.17,41.78
20150222,23.93,0.53,41.61
20150223,24.98,0.0,36.33
20150224,25.41,0.02,36.34
20150225,25.31,0.0,38.44
20150226,25.78,0.01,39.38
20150227,26.2,0.38,38.61
20150228,26.7,0.11,38.58
20150301,28.28,0.86,41.03
20150302,25.27,5.56,50.55
20150303,22.46,1.88,58.73
20150304,23.15,0.01,43.94
20150305,21.57,0.0,32.59
20150306,20.82,0.0,36.96
20150307,22.06,0.0,39.51
20150308,23.06,0.0,36.19
20150309,24.91,0.0,32.92
