,T2M,Rain,Humidity
20150101,25.51,0.39,55.11
20150102,25.02,0.5,59.96
20150103,25.58,0.5,54.78
20150104,24.76,0.0,56.5
20150105,24.37,0.0,50.83
20150106,23.65,0.0,43.53
20150107,23.26,0.0,40.86
20150108,22.25,0.0,36.47
20150109,21.33,0.0,28.01
20150110,19.78,0.0,25.02
20150111,19.44,0.0,25.95
20150112,19.55,0.0,29.36
20150113,20.11,0.0,36.88
20150114,20.53,0.0,41.78
20150115,21.24,0.0,51.43
20150116,21.94,0.0,50.01
20150117,21.82,0.0,44.29
20150118,22.24,0.0,44.54
20150119,22.43,0.0,47.54
20150120,23.17,0.0,54.75
20150121,22.94,0.0,57.79
20150122,22.31,0.0,44.23
20150123,22.85,0.0,50.81
20150124,22.78,0.0,50.15
20150125,23.03,0.0,46.17
20150126,23.36,0.0,49.72
20150127,23.11,0.0,48.84
20150128,23.28,0.0,51.81
20150129,23.89,0.0,53.01
20150130,24.23,0.0,50.41
20150131,23.78,0.0,47.95
20150201,24.01,0.0,48.28
20150202,24.02,0.0,50.42
20150203,23.52,0.0,49.69
20150204,22.75,0.0,48.69
20150205,23.82,0.0,36.2
20150206,22.8,0.0,40.03
20150207,23.71,0.0,43.14
20150208,22.81,0.0,45.04
20150209,23.7,0.0,50.95
20150210,23.92,0.0,49.84
20150211,23.93,0.0,49.65
20150212,24.64,0.0,41.55
20150213,25.47,0.0,36.81
20150214,26.23,0.0,27.84
20150215,26.04,0.0,30.78
20150216,25.77,0.0,31.07
20150217,26.07,0.0,31.32
20150218,26.14,0.0,25.78
20150219,26.3,0.0,28.66
20150220,26.17,0.0,32.73
20150221,26.1,0.0,40.19
20150222,26.38,0.0,31.23
20150223,26.16,0.0,29.69
20150224,25.87,0.0,29.86
20150225,25.69,0.0,24.84
20150226,25.99,0.0,20.53
20150227,27.37,0.0,31.44
20150228,26.18,0.48,39.6
20150301,26.62,1.22,56.14
20150302,27.74,1.94,50.43
20150303,26.36,0.04,43.23
20150304,26.38,0.49,36.99
20150305,28.15,0.0,36.31
20150306,28.02,7.73,53.3
20150307,27.04,0.41,58.48
20150308,27.99,2.29,53.55
20150309,26.99,4.12,61.11
20150310,26.92,0.05,57.84
20150311,26.65,0.0,42.49
20150312,26.72,0.0,44.91
20150313,27.89,0.0,45.15
20150314,27.73,0.0,39.18
20150315,28.7,0.0,45.69
20150316,30.47,0.0,35.81
20150317,29.68,0.0,31.63
20150318,29.69,0.0,26.72
20150319,29.47,0.0,25.28
20150320,28.6,0.0,29.53
20150321,29.38,0.0,28.61
20150322,30.47,0.0,25.72
20150323,30.94,0.0,27.22
20150324,32.1,0.0,26.21
20150325,31.26,0.0,31.32
20150326,30.91,0.0,36.87
20150327,30.51,0.0,34.56
20150328,30.5,0.0,28.98
20150329,30.29,0.0,34.25
20150330,29.66,0.05,36.47
20150331,29.82,0.4,42.92
20150401,31.77,0.01,38.26
20150402,33.7,0.0,28.59
20150403,32.23,0.0,25.14
20150404,32.34,0.0,24.56
20150405,31.86,0.0,20.89
20150406,33.08,0.04,23.85
20150407,32.77,0.05,25.69
20150408,33.69,0.0,32.28
20150409,33.43,0.04,38.16
20150410,33.13,3.5,39.21
20150411,26.53,14.36,68.48
20150412,26.24,12.81,64.17
20150413,24.89,9.07,71.83
20150414,25.03,0.93,64.53
20150415,26.44,0.29,60.14
20150416,27.1,0.06,63.51
20150417,28.03,0.0,60.15
20150418,29.53,0.0,47.91
20150419,29.58,0.0,50.14
20150420,29.92,0.0,50.74
20150421,30.32,0.0,50.07
20150422,31.21,0.05,45.4
20150423,31.73,7.51,50.2
20150424,29.28,24.19,59.5
20150425,29.86,0.61,50.65
20150426,29.05,0.02,53.99
20150427,29.83,0.01,55.85
20150428,30.68,0.0,50.99
20150429,31.93,0.0,43.47
20150430,31.23,0.0,44.49
20150501,31.76,0.0,40.26
20150502,32.79,0.7,35.91
20150503,30.62,7.86,51.61
20150504,31.7,0.22,47.3
20150505,31.03,0.16,51.48
20150506,31.63,0.69,46.04
20150507,32.67,0.02,42.74
20150508,32.62,0.49,43.8
20150509,31.42,0.0,48.41
20150510,30.56,0.08,49.08
20150511,30.78,0.0,48.71
20150512,31.27,0.09,47.16
20150513,31.8,0.05,39.38
20150514,32.61,0.26,37.22
20150515,31.79,4.75,44.71
20150516,31.15,1.83,54.28
20150517,31.9,0.22,51.97
20150518,33.23,0.14,46.26
20150519,32.46,0.03,48.55
20150520,34.12,0.0,42.65
20150521,34.6,0.0,41.71
20150522,33.95,0.0,42.09
20150523,34.12,0.0,40.75
20150524,34.05,0.0,39.0
20150525,33.56,0.0,42.35
20150526,34.64,0.0,37.61
20150527,35.51,0.3,34.0
20150528,34.41,1.51,37.29
20150529,34.8,1.6,38.81
20150530,32.68,1.63,46.18
