,T2M,Rain,Humidity
20150101,17.59,2.88,91.3
20150102,19.57,3.31,82.61
20150103,20.19,3.05,85.38
20150104,19.08,3.24,88.03
20150105,16.48,0.0,67.09
20150106,14.98,0.0,59.73
20150107,17.07,0.0,53.95
20150108,16.71,0.0,58.65
20150109,14.52,0.0,62.52
20150110,15.18,0.0,57.13
20150111,14.07,0.0,55.41
20150112,15.52,0.0,49.12
20150113,14.79,0.0,55.89
20150114,15.64,0.0,59.8
20150115,15.66,0.0,66.54
20150116,16.02,0.0,56.45
20150117,15.2,0.0,62.49
20150118,14.01,0.0,59.97
20150119,14.2,0.0,58.11
20150120,14.61,0.0,59.5
20150121,15.61,0.0,62.62
20150122,17.3,0.0,56.13
20150123,18.7,0.0,56.35
20150124,18.76,0.01,66.76
20150125,19.72,0.0,67.98
20150126,20.55,0.0,63.94
20150127,20.42,0.0,61.47
20150128,19.88,0.01,66.29
20150129,20.26,0.06,65.66
20150130,18.76,0.04,67.07
20150131,15.74,0.0,48.31
20150201,16.77,0.0,43.95
20150202,17.51,0.0,49.44
20150203,19.17,0.0,51.68
20150204,20.53,0.0,47.15
20150205,20.14,0.0,58.17
20150206,19.94,0.0,56.39
20150207,20.41,0.0,52.98
20150208,20.63,0.0,52.23
20150209,19.62,0.1,61.04
20150210,20.7,0.19,63.66
20150211,21.08,1.29,62.55
20150212,21.09,0.91,62.43
20150213,21.87,0.05,54.49
20150214,20.17,0.0,44.96
20150215,22.46,0.0,41.49
20150216,21.85,0.0,44.39
20150217,23.26,0.0,38.2
20150218,23.95,0.0,39.26
20150219,22.97,0.0,42.09
20150220,23.46,0.0,40.22
20150221,25.16,0.91,36.06
20150222,24.63,0.0,38.69
20150223,24.49,0.0,36.09
20150224,25.43,0.0,32.37
20150225,26.14,0.0,30.69
20150226,26.67,0.0,32.56
20150227,25.34,0.0,36.98
20150228,25.98,0.0,38.87
20150301,25.15,7.0,49.56
20150302,22.7,7.18,70.75
20150303,23.29,2.87,66.38
20150304,21.72,0.06,51.96
20150305,21.87,0.0,45.36
20150306,23.02,0.0,45.03
20150307,23.58,0.0,43.88
20150308,24.87,0.0,42.36
20150309,26.1,0.09,43.93
20150310,26.57,0.0,43.94
20150311,25.98,0.0,44.63
20150312,26.68,0.02,39.53
20150313,27.7,0.0,36.73
20150314,28.17,0.01,37.52
20150315,28.2,0.01,38.82
20150316,27.23,0.11,40.23
20150317,27.32,1.18,48.21
20150318,27.65,0.0,46.53
20150319,27.19,0.0,39.53
20150320,27.01,0.0,33.38
20150321,27.5,0.0,29.98
20150322,28.53,0.0,29.91
20150323,29.83,0.0,31.52
20150324,29.93,0.0,32.08
20150325,29.45,0.0,31.4
20150326,30.81,0.0,26.83
20150327,30.21,1.53,34.53
20150328,29.51,3.08,45.37
20150329,29.92,0.07,40.02
20150330,27.99,0.69,47.68
20150331,29.77,0.0,40.79
20150401,31.23,0.0,40.24
20150402,31.24,0.0,33.22
20150403,31.09,0.0,24.63
20150404,31.58,0.0,25.04
20150405,30.45,0.0,24.9
20150406,31.31,0.0,28.24
20150407,32.37,0.0,28.38
20150408,31.93,2.33,34.28
20150409,29.74,0.04,41.79
