,T2M,Rain,Humidity
20150101,13.65,9.13,84.82
20150102,14.69,5.95,89.42
20150103,16.59,0.69,78.88
20150104,15.11,0.03,70.32
20150105,13.48,0.0,60.41
20150106,15.41,0.0,46.36
20150107,15.18,0.0,51.92
20150108,13.61,0.0,57.8
20150109,13.43,0.0,50.45
20150110,14.59,0.0,45.32
20150111,14.79,0.0,49.97
20150112,14.52,0.0,50.07
20150113,14.08,0.0,47.01
20150114,15.42,0.0,49.16
20150115,14.84,0.0,67.55
20150116,14.04,0.0,61.32
20150117,13.07,0.0,54.11
20150118,12.49,0.0,51.44
20150119,13.22,0.0,49.37
20150120,14.59,0.0,50.42
20150121,16.81,0.17,57.23
20150122,15.47,2.19,77.02
20150123,16.36,0.59,78.99
20150124,16.51,2.14,76.95
20150125,15.92,8.14,78.99
20150126,16.39,1.48,79.6
20150127,16.75,0.35,79.35
20150128,15.68,0.29,74.22
20150129,15.28,0.84,62.46
20150130,13.08,0.2,46.31
20150131,14.85,0.0,40.85
20150201,16.38,0.0,43.35
20150202,18.05,0.0,49.18
20150203,18.42,0.01,56.36
20150204,17.93,0.0,58.88
20150205,17.29,0.0,51.93
20150206,18.3,0.0,50.65
20150207,20.32,1.9,55.29
20150208,20.1,4.51,66.99
20150209,18.31,0.44,67.5
20150210,18.82,0.0,55.57
20150211,16.43,0.58,72.97
20150212,18.43,0.0,64.49
20150213,17.93,0.0,46.75
20150214,20.95,0.0,36.55
20150215,20.38,0.0,42.41
20150216,21.06,0.0,39.55
20150217,22.99,0.0,34.68
20150218,21.95,0.0,39.55
20150219,21.9,0.0,37.62
20150220,22.92,0.0,35.45
20150221,23.19,0.04,35.51
20150222,23.3,0.0,34.5
20150223,23.7,0.0,30.34
20150224,24.9,0.0,27.75
20150225,25.03,0.0,27.94
20150226,23.35,0.0,30.64
20150227,22.38,0.0,20.83
20150228,22.51,0.47,36.12
20150301,18.17,13.27,75.16
20150302,18.84,3.82,68.73
20150303,18.02,0.0,56.04
20150304,18.02,0.0,52.89
20150305,19.84,0.0,45.82
20150306,21.19,0.0,43.51
