,T2M,Rain,Humidity
20150101,12.94,7.83,84.87
20150102,13.17,1.89,89.68
20150103,15.35,0.24,75.71
20150104,14.28,0.01,69.46
20150105,14.28,0.0,53.97
20150106,15.7,0.0,44.78
20150107,14.93,0.0,53.44
20150108,14.25,0.0,53.02
20150109,14.15,0.0,47.43
20150110,15.94,0.0,41.37
20150111,16.46,0.0,46.09
20150112,15.85,0.0,47.84
20150113,15.59,0.0,45.56
20150114,16.0,0.0,52.32
20150115,14.21,0.01,62.49
20150116,13.78,0.0,56.75
20150117,12.82,0.0,51.0
20150118,12.9,0.0,47.79
20150119,14.16,0.0,45.46
20150120,15.42,0.0,47.01
20150121,17.05,0.56,54.75
20150122,16.57,2.78,83.05
20150123,15.76,0.21,81.68
20150124,16.15,0.1,75.66
20150125,13.78,9.92,84.03
20150126,15.53,2.09,81.91
20150127,15.37,0.17,81.55
20150128,14.86,0.03,71.76
20150129,14.24,0.07,54.41
20150130,12.8,0.1,45.95
20150131,15.36,0.0,39.54
20150201,16.84,0.0,44.32
20150202,18.47,0.0,47.45
20150203,19.14,0.0,53.7
20150204,17.3,0.0,53.5
20150205,17.31,0.0,46.35
20150206,19.15,0.0,46.56
20150207,20.59,2.69,53.14
20150208,20.06,8.43,66.37
20150209,18.31,0.01,67.22
20150210,18.36,0.0,56.56
20150211,18.14,0.19,65.02
20150212,18.19,0.0,61.58
20150213,18.82,0.0,43.74
20150214,20.51,0.0,40.26
20150215,20.41,0.0,42.81
20150216,22.05,0.0,37.57
20150217,22.39,0.0,36.81
20150218,22.86,0.0,34.86
20150219,22.83,0.0,34.85
20150220,23.65,0.0,30.8
20150221,23.54,0.0,32.11
20150222,23.79,0.0,31.7
20150223,24.42,0.0,27.9
20150224,25.1,0.0,27.77
20150225,25.27,0.0,29.62
20150226,22.24,0.0,25.58
20150227,20.66,0.0,17.93
20150228,21.12,0.4,31.06
20150301,19.11,8.97,65.44
20150302,18.94,2.89,69.22
20150303,17.62,0.0,52.31
20150304,18.3,0.0,50.14
20150305,20.38,0.0,42.67
20150306,21.22,0.0,43.47
20150307,22.51,0.0,42.03
20150308,23.94,0.01,39.61
20150309,21.24,0.01,29.22
20150310,21.4,0.0,23.89
20150311,24.46,1.25,34.47
20150312,21.79,1.88,58.11
20150313,23.74,0.8,52.8
20150314,21.06,18.54,73.14
20150315,22.22,13.7,71.26
20150316,22.38,0.39,65.87
20150317,21.67,0.0,60.04
20150318,20.5,0.0,51.6
20150319,21.34,0.0,44.51
20150320,23.08,0.0,44.94
20150321,25.87,0.0,40.67
20150322,26.71,0.0,45.05
20150323,26.66,0.0,47.28
20150324,27.56,0.0,40.55
20150325,28.15,0.0,33.6
20150326,29.15,0.0,30.18
20150327,29.93,0.0,32.59
20150328,30.5,0.02,31.99
20150329,29.5,0.03,35.06
20150330,28.43,0.53,30.82
20150331,27.09,0.0,24.25
