,T2M,Rain,Humidity
20150101,19.18,4.62,84.69
20150102,20.56,1.29,75.34
20150103,19.75,7.29,84.94
20150104,20.11,2.85,75.69
20150105,16.39,0.0,58.53
20150106,16.75,0.0,46.53
20150107,18.35,0.0,42.62
20150108,16.69,0.0,51.07
20150109,15.64,0.0,50.01
20150110,16.18,0.0,47.14
20150111,14.84,0.0,48.11
20150112,15.74,0.0,47.32
20150113,15.68,0.0,49.25
20150114,16.52,0.0,50.49
20150115,16.53,0.0,54.67
20150116,16.75,0.0,51.33
20150117,16.61,0.0,52.01
20150118,16.0,0.0,46.09
20150119,15.46,0.0,49.04
20150120,16.02,0.0,48.84
20150121,17.19,0.0,51.84
20150122,18.77,0.01,49.82
20150123,19.22,0.21,53.56
20150124,19.44,0.18,61.96
20150125,20.92,0.0,58.6
20150126,21.9,0.0,55.73
20150127,21.63,0.0,53.54
20150128,20.82,0.15,57.46
20150129,20.79,0.5,61.45
20150130,19.33,0.01,54.12
20150131,17.95,0.0,31.96
20150201,17.81,0.0,37.42
20150202,19.06,0.0,39.55
20150203,20.17,0.0,43.35
20150204,21.47,0.0,40.68
20150205,20.98,0.0,48.05
20150206,20.94,0.0,50.99
20150207,21.59,0.0,45.8
20150208,22.45,0.12,45.38
20150209,20.83,0.44,52.52
20150210,21.93,0.8,54.48
20150211,22.34,1.09,56.7
20150212,22.4,0.51,54.83
20150213,22.32,0.0,44.69
20150214,22.14,0.0,32.21
20150215,24.24,0.0,29.35
20150216,23.42,0.0,31.76
20150217,24.21,0.0,31.2
20150218,25.54,0.0,26.36
20150219,23.52,0.0,34.17
20150220,24.39,0.0,35.25
20150221,25.46,1.25,33.32
20150222,25.35,0.0,31.16
20150223,25.74,0.0,28.52
20150224,26.42,0.0,25.82
20150225,26.82,0.0,25.28
20150226,26.17,0.0,26.86
20150227,25.8,0.0,28.39
20150228,26.61,1.08,31.21
20150301,25.6,3.7,49.93
20150302,22.1,22.2,71.5
20150303,23.25,1.09,62.42
20150304,21.14,0.0,44.6
20150305,21.93,0.0,44.55
20150306,23.32,0.0,43.75
20150307,24.22,0.0,41.99
20150308,25.32,0.0,41.08
20150309,25.41,1.58,47.85
20150310,26.09,0.0,46.66
20150311,26.17,0.0,44.98
20150312,26.75,0.71,41.26
20150313,27.22,0.0,41.48
20150314,27.28,0.32,41.16
20150315,27.6,0.33,40.32
20150316,26.15,3.01,46.49
20150317,27.03,0.52,51.99
20150318,27.16,0.0,44.4
20150319,26.85,0.0,36.1
20150320,27.09,0.0,30.12
20150321,27.91,0.0,26.9
20150322,29.52,0.0,26.72
20150323,30.43,0.0,27.03
20150324,30.27,0.0,27.52
20150325,29.96,0.0,22.97
20150326,31.16,0.0,21.23
20150327,30.54,0.74,27.01
20150328,30.27,1.49,36.12
20150329,29.94,1.27,39.28
20150330,27.89,0.44,47.2
20150331,30.14,0.0,39.01
20150401,31.22,0.0,38.73
20150402,30.54,0.0,26.46
20150403,30.77,0.0,22.77
20150404,31.22,0.0,23.02
20150405,30.2,0.0,23.81
20150406,31.32,0.0,26.4
20150407,32.59,0.01,27.58
20150408,32.54,0.97,34.78
20150409,31.23,4.51,39.82
20150410,31.68,0.01,37.86
20150411,30.3,2.88,43.85
20150412,26.14,0.47,56.25
20150413,24.6,2.83,61.33
20150414,26.1,6.59,57.53
20150415,25.88,6.72,59.72
20150416,27.91,0.01,52.42
20150417,29.58,0.0,45.34
20150418,31.17,0.0,41.85
20150419,32.02,0.0,37.71
20150420,32.88,0.0,36.23
20150421,33.33,0.0,33.52
20150422,33.85,0.17,30.0
20150423,33.26,0.51,28.58
20150424,32.83,0.53,24.8
20150425,32.27,0.26,38.54
20150426,31.44,2.83,41.41
20150427,32.02,0.9,42.38
20150428,33.2,0.0,35.79
20150429,33.27,0.01,26.59
20150430,33.5,0.0,33.27
20150501,33.84,0.0,25.37
20150502,33.84,0.8,33.06
20150503,33.61,2.47,36.79
20150504,33.01,2.34,39.37
20150505,32.99,0.0,39.33
20150506,34.04,0.0,31.65
20150507,34.26,0.09,30.37
20150508,34.76,0.0,25.68
20150509,34.81,0.0,24.1
20150510,33.09,0.0,32.45
20150511,33.5,0.55,35.39
20150512,33.78,0.04,35.61
20150513,35.26,0.24,27.73
20150514,34.77,0.65,34.11
20150515,32.54,5.99,43.13
20150516,31.51,2.43,50.23
20150517,32.93,0.0,43.63
20150518,34.33,0.0,40.65
20150519,36.48,0.0,31.3
20150520,37.77,0.0,22.88
20150521,37.4,0.0,21.45
20150522,37.98,0.0,19.27
20150523,38.31,0.0,18.02
20150524,37.55,0.0,21.44
20150525,38.21,0.08,22.55
20150526,37.91,0.0,24.33
20150527,39.02,0.09,21.4
20150528,37.94,0.0,14.6
20150529,38.69,0.0,17.12
20150530,39.48,0.0,20.11
20150531,37.47,0.01,31.37
20150601,33.86,2.85,43.33
20150602,34.86,0.54,36.36
20150603,35.21,0.03,33.83
20150604,35.22,0.05,38.04
20150605,33.53,6.25,44.91
20150606,33.13,2.61,49.69
20150607,31.64,10.7,57.67
20150608,33.33,0.0,48.38
20150609,34.49,0.0,42.17
20150610,36.12,0.0,36.16
20150611,35.58,1.02,40.49
20150612,29.57,3.39,65.15
20150613,28.77,27.72,70.58
20150614,27.63,21.98,78.57
20150615,27.39,17.27,80.36
20150616,28.46,22.46,76.68
20150617,28.81,7.2,76.42
20150618,29.08,16.36,77.17
20150619,29.37,3.63,76.34
20150620,29.32,4.22,77.25
