,T2M,Rain,Humidity
20150101,14.1,14.01,84.3
20150102,15.38,0.93,80.15
20150103,16.31,0.12,68.92
20150104,15.33,0.0,62.74
20150105,15.56,0.0,48.91
20150106,17.19,0.0,38.01
20150107,17.13,0.0,42.65
20150108,15.42,0.0,46.6
20150109,16.12,0.0,39.11
20150110,17.89,0.0,35.52
20150111,18.54,0.0,36.39
20150112,17.99,0.0,40.3
20150113,17.97,0.0,36.95
20150114,18.37,0.0,40.2
20150115,15.61,0.0,44.61
20150116,15.82,0.0,39.98
20150117,15.2,0.0,32.81
20150118,16.18,0.0,32.39
20150119,17.12,0.0,34.7
20150120,17.85,0.0,38.45
20150121,19.35,3.7,53.59
20150122,18.24,2.04,74.16
20150123,17.09,0.0,71.81
20150124,17.11,0.02,69.63
20150125,15.95,13.12,82.95
20150126,16.63,0.05,73.25
20150127,16.09,0.04,74.11
20150128,15.59,0.0,68.0
20150129,15.05,0.0,48.91
20150130,14.61,0.0,40.09
20150131,17.52,0.0,34.36
20150201,17.91,0.0,41.18
20150202,19.25,0.0,39.15
20150203,20.05,0.0,49.26
20150204,18.2,0.0,52.02
20150205,19.42,0.0,43.83
20150206,20.56,0.0,45.84
20150207,20.67,0.04,37.67
20150208,20.76,0.43,38.99
20150209,19.64,0.02,57.53
20150210,19.75,0.07,51.72
20150211,20.66,0.74,49.94
20150212,20.09,0.0,44.71
20150213,20.91,0.0,29.65
20150214,22.67,0.0,24.29
20150215,23.24,0.0,27.58
20150216,23.36,0.0,29.22
20150217,23.12,0.0,27.45
20150218,23.04,0.0,28.3
20150219,24.64,0.0,25.97
20150220,24.42,0.0,28.24
20150221,24.5,0.0,25.07
20150222,25.77,0.0,24.95
20150223,26.26,0.0,22.75
20150224,25.92,0.0,24.8
20150225,23.63,0.0,34.29
20150226,21.2,0.0,17.61
20150227,20.41,0.0,16.52
20150228,21.67,0.02,21.97
20150301,20.12,6.7,64.43
20150302,19.2,1.17,62.29
20150303,17.89,0.0,47.86
20150304,19.15,0.0,45.05
20150305,21.03,0.0,37.05
20150306,22.16,0.0,37.74
20150307,23.11,0.0,38.07
20150308,23.73,0.0,35.72
20150309,21.0,0.0,22.83
20150310,22.22,0.0,25.39
20150311,25.82,0.04,29.27
20150312,25.59,2.7,51.18
20150313,23.96,11.65,57.51
20150314,21.7,15.58,71.62
20150315,22.33,5.76,69.23
20150316,21.24,0.0,57.84
20150317,21.07,0.0,51.18
20150318,20.95,0.0,49.02
20150319,22.1,0.0,42.09
20150320,25.12,0.0,36.94
20150321,27.21,0.0,35.28
20150322,29.24,0.0,34.51
20150323,27.79,0.0,44.35
20150324,28.6,0.0,38.18
20150325,29.75,0.0,33.44
20150326,29.74,0.0,33.8
20150327,30.55,0.0,32.97
20150328,31.12,0.08,31.58
20150329,28.92,0.24,31.14
20150330,28.42,0.0,26.35
20150331,26.87,0.0,22.24
20150401,27.74,0.0,24.23
20150402,28.62,0.0,31.92
20150403,28.14,0.0,38.06
20150404,26.41,0.0,46.04
20150405,27.34,0.0,42.04
20150406,28.23,1.97,39.69
20150407,28.42,0.29,39.25
20150408,29.42,0.12,35.9
20150409,29.71,0.94,33.01
20150410,30.77,0.0,31.23
20150411,30.47,0.17,35.44
20150412,26.6,6.75,48.42
20150413,24.56,1.46,57.35
20150414,25.17,0.85,55.65
20150415,27.04,0.12,51.75
20150416,29.4,0.0,40.43
20150417,31.22,0.0,32.85
20150418,32.61,0.0,28.27
20150419,32.97,0.0,25.7
20150420,33.02,0.0,22.88
20150421,33.23,0.0,19.69
20150422,32.46,0.0,16.71
20150423,31.06,0.0,18.13
20150424,31.88,0.0,24.04
20150425,32.36,0.0,26.77
20150426,33.17,0.0,28.99
20150427,33.76,0.0,26.98
20150428,33.61,0.0,24.93
20150429,33.1,0.0,21.86
20150430,32.64,0.0,24.8
20150501,33.02,0.0,25.2
20150502,32.76,0.0,21.99
20150503,33.03,0.0,14.21
20150504,33.81,0.0,13.9
20150505,34.33,0.0,13.43
20150506,33.95,0.0,13.87
20150507,34.66,0.0,15.99
20150508,34.87,0.0,20.49
20150509,34.81,0.0,19.81
20150510,33.6,0.03,19.8
20150511,34.09,0.0,24.66
20150512,34.41,0.0,27.86
20150513,34.0,0.31,30.08
20150514,33.86,0.58,26.59
20150515,35.95,0.0,19.66
20150516,36.47,0.0,17.85
20150517,35.93,0.0,15.22
20150518,36.17,0.0,15.73
20150519,35.83,0.0,24.1
20150520,35.68,0.0,28.08
