,T2M,Rain,Humidity
20150101,15.19,20.09,75.54
20150102,15.85,16.33,88.16
20150103,17.72,2.54,86.33
20150104,16.39,0.13,72.81
20150105,13.7,0.0,56.59
20150106,14.93,0.0,51.94
20150107,15.7,0.0,55.28
20150108,13.53,0.0,58.7
20150109,12.83,0.0,50.11
20150110,13.71,0.0,44.06
20150111,14.9,0.0,40.81
20150112,13.59,0.0,47.09
20150113,12.85,0.0,49.79
20150114,13.75,0.0,52.27
20150115,13.67,0.0,56.77
20150116,13.86,0.0,55.9
20150117,13.52,0.0,50.97
20150118,13.67,0.0,51.13
20150119,13.78,0.0,45.6
20150120,12.67,0.0,47.01
20150121,14.29,0.0,52.86
20150122,16.27,0.63,64.1
20150123,17.21,1.3,78.24
20150124,16.47,0.02,67.54
20150125,16.43,0.03,61.6
20150126,16.17,2.06,78.72
20150127,15.5,5.15,85.87
20150128,16.22,0.41,64.85
20150129,14.73,3.82,59.31
20150130,12.57,0.0,44.48
20150131,14.54,0.0,37.05
20150201,16.24,0.0,38.2
20150202,16.93,0.0,48.08
20150203,20.15,0.46,48.0
20150204,17.92,0.59,56.2
20150205,15.45,0.0,46.36
20150206,17.21,0.0,43.12
20150207,19.16,0.0,49.39
20150208,18.47,0.75,63.49
20150209,18.47,2.21,64.6
20150210,17.63,0.0,48.85
20150211,18.38,0.35,54.58
20150212,18.25,2.55,66.99
20150213,17.16,0.0,47.68
20150214,20.18,0.0,41.94
20150215,21.01,0.0,47.4
20150216,21.74,0.0,43.37
20150217,22.18,0.0,43.96
20150218,22.03,0.0,41.97
20150219,23.02,0.0,38.02
20150220,24.43,0.0,33.62
20150221,23.67,0.0,37.51
20150222,22.73,0.0,38.55
20150223,23.82,0.0,35.83
20150224,23.96,0.0,33.53
20150225,26.29,0.0,30.18
20150226,23.93,0.06,36.02
20150227,23.86,1.45,43.29
20150228,24.49,1.93,41.65
20150301,20.57,13.95,73.26
20150302,19.79,19.78,78.4
20150303,19.83,0.41,64.44
20150304,18.31,0.32,54.54
20150305,18.98,0.0,46.24
20150306,20.66,0.0,42.17
20150307,22.07,0.0,45.06
20150308,23.38,0.0,46.72
20150309,23.52,0.22,51.97
20150310,21.03,0.0,42.62
20150311,21.01,0.0,38.09
20150312,23.75,0.0,36.65
20150313,24.77,0.0,49.22
20150314,21.41,2.82,69.17
20150315,21.99,0.84,68.36
20150316,22.96,6.39,66.03
20150317,23.68,2.21,58.7
20150318,22.7,0.0,47.34
20150319,21.69,0.0,44.34
20150320,23.22,0.0,39.09
20150321,24.42,0.0,37.66
20150322,26.23,0.0,42.3
20150323,26.78,0.0,42.82
20150324,27.5,0.0,33.89
20150325,28.78,0.0,24.97
20150326,28.5,0.0,31.28
20150327,28.46,0.0,34.36
20150328,29.12,0.07,33.56
20150329,30.27,0.0,28.55
20150330,25.48,2.78,54.69
20150331,27.09,0.0,41.98
20150401,28.05,0.0,38.42
20150402,29.93,0.0,31.6
20150403,30.24,0.0,33.38
20150404,29.99,0.03,36.95
20150405,28.72,0.22,42.53
20150406,28.2,0.03,34.97
20150407,28.64,0.0,29.58
20150408,28.04,0.01,31.53
20150409,28.74,0.16,28.5
20150410,29.69,0.0,23.08
20150411,31.83,0.23,26.42
20150412,27.9,5.72,46.29
20150413,25.2,10.83,63.82
20150414,24.04,15.28,74.1
20150415,24.14,6.18,71.51
20150416,27.12,2.18,58.8
20150417,28.58,0.0,47.11
20150418,30.66,0.01,42.55
20150419,32.73,0.0,36.29
20150420,32.83,0.0,37.32
20150421,33.23,0.0,31.85
20150422,31.4,0.0,33.3
20150423,32.54,0.0,31.09
20150424,32.5,0.0,29.68
20150425,31.6,0.14,34.87
20150426,30.31,0.06,40.58
20150427,31.65,0.03,37.24
20150428,32.65,0.93,33.43
20150429,32.16,0.74,33.96
20150430,32.54,0.0,30.67
20150501,33.44,0.0,22.33
20150502,32.58,0.0,27.34
20150503,33.49,0.0,22.09
20150504,34.14,0.0,18.48
20150505,35.07,0.0,16.68
20150506,35.57,0.0,12.85
20150507,36.57,0.0,12.42
20150508,36.04,0.0,14.72
20150509,36.53,0.0,16.1
20150510,37.48,0.01,15.95
20150511,37.13,0.04,16.68
20150512,36.32,0.07,22.28
20150513,35.93,0.0,22.54
20150514,36.02,1.37,27.76
20150515,34.7,0.28,33.35
20150516,34.11,26.45,41.81
20150517,32.5,4.85,47.5
20150518,34.39,0.0,37.44
20150519,35.42,0.0,39.11
20150520,33.88,1.15,35.24
20150521,33.46,0.0,27.9
20150522,35.16,0.0,28.05
20150523,36.27,0.0,27.42
20150524,37.16,0.0,25.11
20150525,37.89,0.0,21.59
20150526,37.14,0.0,19.17
20150527,36.83,0.0,11.54
20150528,36.33,0.0,10.48
20150529,38.43,0.0,13.71
20150530,38.02,0.0,17.47
20150531,38.31,0.0,17.73
20150601,37.34,0.17,18.5
20150602,36.88,0.05,26.26
20150603,38.08,0.0,22.06
20150604,37.96,0.0,25.5
20150605,38.1,0.0,24.74
20150606,38.04,0.01,19.38
20150607,38.08,0.04,19.52
20150608,39.84,0.0,18.1
20150609,40.45,0.0,15.2
20150610,39.17,0.0,21.32
20150611,38.76,0.05,24.37
20150612,38.01,0.54,30.15
20150613,34.67,1.3,41.42
20150614,36.22,0.63,34.49
20150615,36.32,0.85,31.76
20150616,34.31,9.11,48.95
20150617,35.9,0.28,42.61
20150618,36.54,0.41,39.88
20150619,37.26,0.32,36.66
20150620,37.03,0.0,38.04
20150621,36.39,0.03,41.09
20150622,35.4,1.75,43.81
20150623,35.34,0.81,46.25
20150624,33.44,5.97,53.81
20150625,31.2,5.75,66.05
20150626,32.38,0.0,51.77
20150627,32.95,3.76,51.97
20150628,32.76,2.9,54.2
20150629,29.95,56.63,70.5
20150630,29.45,16.64,77.24
20150701,30.68,0.46,65.93
20150702,31.32,0.25,63.72
20150703,32.62,0.74,58.14
20150704,33.32,0.2,55.55
20150705,33.39,1.46,53.0
20150706,32.03,18.47,64.14
20150707,29.99,18.32,74.68
20150708,29.18,16.99,78.6
20150709,29.21,10.4,79.34
20150710,28.49,34.8,83.53
20150711,28.13,21.64,84.93
20150712,28.83,2.84,76.95
20150713,29.72,0.49,74.83
20150714,30.43,1.29,73.44
20150715,29.95,6.18,78.57
20150716,28.47,10.47,81.47
20150717,27.4,13.82,86.82
20150718,28.85,0.59,80.81
20150719,29.3,0.17,80.88
