,T2M,Rain,Humidity
20150101,14.52,0.04,47.97
20150102,14.16,5.55,68.38
20150103,14.48,3.88,78.69
20150104,13.25,0.0,65.61
20150105,12.79,0.0,47.72
20150106,13.41,0.0,55.15
20150107,13.22,0.0,54.67
20150108,13.49,0.0,44.38
20150109,13.41,0.0,34.83
20150110,12.2,0.0,38.64
20150111,13.2,0.0,35.46
20150112,13.35,0.0,36.36
20150113,12.83,0.0,41.89
20150114,11.65,1.49,52.84
20150115,11.41,0.0,61.18
20150116,12.65,0.0,55.74
20150117,14.21,0.0,49.34
20150118,14.19,0.0,44.23
20150119,13.13,0.0,40.6
20150120,12.18,0.0,39.28
20150121,13.03,3.5,45.16
20150122,13.01,3.81,74.4
20150123,11.8,6.14,84.59
20150124,13.14,0.0,67.44
20150125,12.88,0.0,51.15
20150126,11.88,2.6,70.16
20150127,11.27,0.0,68.66
20150128,9.98,0.0,50.62
20150129,10.12,0.0,44.44
20150130,10.88,0.0,39.98
20150131,14.02,0.0,35.63
20150201,14.09,0.0,41.62
20150202,15.27,0.0,46.78
20150203,14.72,0.45,60.97
20150204,13.59,0.01,62.99
20150205,13.81,0.0,45.99
20150206,15.22,0.0,39.29
20150207,16.32,0.07,45.59
20150208,17.05,0.09,47.71
20150209,15.84,0.11,49.21
20150210,15.78,0.0,41.57
20150211,15.91,0.0,38.5
20150212,15.56,0.0,34.07
20150213,17.86,0.0,28.77
20150214,20.34,0.0,33.0
20150215,20.73,0.0,30.74
20150216,19.68,0.0,33.99
20150217,19.71,0.0,40.2
20150218,21.06,0.0,36.7
20150219,21.21,0.1,38.81
20150220,22.49,0.79,38.67
20150221,22.07,0.0,33.9
20150222,21.93,0.0,40.45
20150223,21.97,0.0,36.69
20150224,21.56,0.0,35.76
20150225,22.37,0.52,30.74
20150226,16.95,0.0,16.65
20150227,17.18,0.0,18.04
20150228,17.99,0.09,27.8
20150301,16.64,22.58,78.82
20150302,15.89,17.51,85.45
20150303,16.01,0.63,63.82
20150304,16.38,0.0,45.81
20150305,18.97,0.0,34.09
20150306,18.98,0.0,45.3
20150307,20.43,2.74,49.89
20150308,20.11,2.67,51.91
20150309,15.61,0.63,38.49
20150310,16.26,0.0,44.55
20150311,19.34,0.0,34.85
20150312,21.84,0.01,38.75
20150313,22.24,0.9,58.0
20150314,21.9,2.4,59.5
20150315,18.41,14.43,79.75
20150316,19.1,3.43,71.79
20150317,19.64,0.0,58.56
20150318,19.23,0.0,53.57
20150319,20.96,0.0,42.01
20150320,23.53,0.0,33.65
20150321,24.74,0.0,33.37
20150322,24.12,0.0,46.08
20150323,24.67,0.0,44.84
20150324,26.87,0.0,33.97
20150325,27.45,0.0,32.4
20150326,28.26,0.0,35.0
20150327,28.35,0.0,37.16
20150328,28.66,0.0,29.84
20150329,24.05,6.85,46.31
20150330,22.95,1.64,63.01
20150331,24.36,0.0,58.37
20150401,26.12,0.0,48.3
20150402,27.26,0.01,42.43
20150403,24.72,7.64,57.33
20150404,22.18,16.81,68.98
20150405,23.35,0.0,53.79
20150406,24.7,0.02,39.94
20150407,24.86,0.62,42.6
20150408,24.94,0.1,43.73
20150409,24.27,0.0,42.91
20150410,25.82,0.0,39.25
20150411,27.89,0.0,34.67
20150412,25.26,6.36,52.65
20150413,23.88,3.57,63.69
20150414,24.82,0.02,58.85
20150415,26.07,1.11,53.9
20150416,27.13,0.08,50.8
20150417,27.59,0.31,47.22
20150418,30.07,0.0,40.53
20150419,31.68,0.0,35.27
20150420,31.0,0.0,34.5
20150421,29.31,0.0,32.51
20150422,29.75,0.0,27.89
20150423,31.37,0.0,22.37
20150424,32.37,0.0,20.11
20150425,32.27,0.0,19.01
20150426,29.52,0.0,37.39
20150427,30.84,0.0,35.69
20150428,31.69,0.49,36.4
20150429,32.29,0.04,28.41
20150430,32.53,0.0,27.65
20150501,31.14,0.04,28.57
20150502,31.61,0.08,26.05
20150503,32.56,0.0,18.03
20150504,33.35,0.0,15.73
20150505,33.69,0.0,15.19
20150506,34.49,0.0,12.44
20150507,35.34,0.0,13.71
20150508,34.84,0.0,16.26
20150509,35.43,0.0,20.96
20150510,36.06,0.0,21.56
20150511,36.52,0.0,21.35
20150512,35.16,0.08,24.76
20150513,33.75,0.9,27.6
20150514,32.84,1.26,27.72
20150515,33.25,0.74,27.97
20150516,33.82,2.56,25.68
20150517,34.24,0.0,24.75
20150518,36.48,0.0,21.12
20150519,38.13,0.0,16.93
20150520,35.37,2.4,19.01
20150521,36.0,0.0,17.5
20150522,37.02,0.01,17.02
20150523,37.18,0.0,15.1
20150524,37.5,0.26,16.27
20150525,37.05,0.0,11.09
20150526,36.74,0.0,10.99
20150527,34.06,0.04,6.27
20150528,35.3,0.0,11.35
20150529,36.12,0.02,21.48
20150530,36.22,0.0,21.93
20150531,36.99,0.0,19.67
20150601,36.16,1.37,18.38
20150602,34.72,0.21,25.37
20150603,34.36,0.88,25.51
20150604,34.89,0.0,22.7
20150605,34.96,0.02,23.59
20150606,34.83,0.0,23.78
20150607,36.39,0.0,20.94
20150608,38.12,0.0,16.47
20150609,38.5,0.0,18.86
20150610,36.31,0.02,28.3
20150611,36.73,0.93,29.33
20150612,36.79,0.0,33.5
20150613,35.25,14.84,39.84
20150614,33.04,2.91,45.67
20150615,33.2,0.23,47.04
20150616,33.54,0.02,45.35
20150617,35.24,0.0,33.88
20150618,36.51,0.02,27.21
20150619,37.22,0.09,24.57
20150620,37.19,0.26,31.04
20150621,36.53,3.69,35.28
20150622,34.99,2.04,42.26
20150623,36.52,0.49,36.25
20150624,33.1,6.35,46.37
20150625,29.41,15.88,62.38
20150626,32.33,0.1,47.74
20150627,32.93,0.02,51.78
20150628,34.25,0.23,45.95
20150629,33.89,0.73,45.36
20150630,32.66,6.23,53.69
20150701,33.11,1.39,50.59
20150702,33.44,0.64,47.31
20150703,34.92,0.08,44.97
20150704,35.06,1.34,42.73
20150705,34.83,4.91,46.29
20150706,33.53,8.7,52.86
20150707,32.26,11.55,57.59
20150708,32.53,5.56,57.17
20150709,32.73,5.13,57.31
20150710,30.42,32.78,69.47
20150711,28.54,54.08,78.32
20150712,27.96,17.6,84.87
20150713,29.34,1.03,74.46
20150714,30.72,1.22,67.07
20150715,31.99,0.06,58.2
20150716,32.21,0.03,56.85
20150717,31.81,0.76,62.52
20150718,31.7,6.28,64.43
20150719,31.05,3.57,66.85
20150720,31.13,4.15,65.24
20150721,31.21,0.71,66.15
20150722,30.83,0.13,68.82
20150723,30.91,0.13,70.12
