,T2M,Rain,Humidity
20150101,15.13,0.01,39.71
20150102,15.55,5.78,54.76
20150103,14.35,4.95,74.33
20150104,12.81,0.0,63.23
20150105,12.47,0.0,45.37
20150106,12.82,0.0,53.81
20150107,12.17,0.0,55.58
20150108,12.33,0.0,44.91
20150109,11.7,0.0,38.48
20150110,10.66,0.0,38.61
20150111,11.89,0.0,35.0
20150112,12.69,0.0,33.94
20150113,12.44,0.0,39.46
20150114,11.04,2.58,57.93
20150115,11.13,0.0,71.36
20150116,12.61,0.0,66.02
20150117,13.23,0.0,55.9
20150118,13.04,0.0,47.87
20150119,13.69,0.0,41.24
20150120,11.8,0.0,42.5
20150121,12.79,1.8,43.92
20150122,12.64,5.44,78.07
20150123,12.85,2.21,76.28
20150124,13.05,0.0,62.79
20150125,12.23,0.0,47.16
20150126,12.16,2.0,53.65
20150127,11.5,0.02,55.22
20150128,10.02,0.0,51.82
20150129,9.96,0.0,42.47
20150130,11.13,0.0,40.17
20150131,13.1,0.0,37.06
20150201,14.76,0.0,38.24
20150202,15.51,0.26,42.83
20150203,14.48,3.04,59.77
20150204,13.73,0.24,65.1
20150205,13.28,0.0,50.1
20150206,14.47,0.0,41.3
20150207,15.97,0.0,42.0
20150208,16.83,0.0,43.95
20150209,15.61,0.02,49.83
20150210,15.05,0.0,42.02
20150211,15.17,0.0,37.97
20150212,14.76,0.0,36.02
20150213,16.5,0.0,31.42
20150214,19.64,0.0,35.55
20150215,20.58,0.0,34.72
20150216,18.89,0.01,37.13
20150217,19.96,0.0,44.23
20150218,21.07,0.0,38.76
20150219,20.91,0.05,40.15
20150220,20.74,2.47,44.5
20150221,21.46,0.02,39.74
20150222,21.67,0.0,44.32
20150223,21.23,0.0,40.42
20150224,20.88,0.0,39.4
20150225,20.05,1.62,39.36
20150226,15.42,0.0,24.16
20150227,16.09,0.17,24.95
20150228,17.47,0.21,32.83
20150301,16.16,25.74,83.26
20150302,15.76,35.0,85.69
20150303,15.88,1.11,62.85
20150304,15.66,0.0,51.56
20150305,17.84,0.0,41.1
20150306,17.85,0.2,57.21
20150307,19.28,6.66,57.33
20150308,19.54,0.76,56.17
20150309,15.14,1.65,47.88
20150310,16.41,0.0,49.07
20150311,18.31,0.0,39.52
20150312,20.5,0.0,40.07
20150313,21.82,0.05,44.94
20150314,21.13,0.06,57.72
20150315,19.15,6.57,69.51
20150316,18.98,4.74,72.36
20150317,19.5,0.0,60.63
20150318,19.21,0.0,55.57
20150319,20.25,0.0,45.62
