,T2M,Rain,Humidity
20150101,14.78,0.0,39.63
20150102,15.57,0.65,44.95
20150103,13.07,6.22,67.18
20150104,12.3,0.01,56.84
20150105,11.42,0.0,44.86
20150106,13.0,0.0,44.4
20150107,13.0,0.0,45.05
20150108,13.81,0.0,39.5
20150109,12.63,0.0,38.85
20150110,11.36,0.0,37.24
20150111,12.29,0.0,32.52
20150112,14.12,0.0,30.79
20150113,13.41,0.0,37.73
20150114,11.16,8.82,68.79
20150115,12.36,0.0,67.13
20150116,13.12,0.0,58.42
20150117,12.83,0.0,46.17
20150118,13.42,0.0,39.42
20150119,13.93,0.0,38.3
20150120,12.69,0.0,42.66
20150121,12.02,3.65,56.24
20150122,11.63,8.61,86.18
20150123,12.48,0.11,75.76
20150124,12.92,0.0,64.01
20150125,12.49,0.0,52.96
20150126,12.22,0.49,48.56
20150127,10.97,0.46,55.69
20150128,10.66,0.0,52.2
20150129,10.91,0.0,44.36
20150130,11.47,0.0,44.7
20150131,12.76,0.0,40.25
20150201,14.57,0.0,39.96
20150202,15.68,3.73,47.35
20150203,14.62,15.26,70.12
20150204,14.24,0.11,62.88
20150205,14.0,0.0,49.55
20150206,14.17,0.0,43.57
20150207,15.33,0.0,43.16
20150208,15.45,0.0,51.47
20150209,15.15,0.0,53.09
20150210,15.68,0.0,44.48
20150211,15.93,0.0,41.86
20150212,15.51,0.0,37.83
20150213,16.34,0.0,38.86
20150214,19.72,0.0,40.46
20150215,19.58,0.0,44.02
20150216,18.79,1.99,46.93
20150217,19.89,3.05,50.39
20150218,19.33,0.21,49.41
20150219,19.05,1.37,52.02
20150220,19.68,10.31,60.43
20150221,20.21,0.0,50.94
20150222,20.15,0.0,54.29
20150223,21.24,0.0,49.78
20150224,21.37,0.0,47.64
20150225,18.34,9.45,57.39
20150226,14.89,0.2,38.61
20150227,15.23,0.08,40.23
20150228,15.8,0.17,43.32
20150301,15.1,52.88,79.69
20150302,15.19,31.39,85.41
20150303,14.6,3.66,74.66
20150304,14.43,0.87,69.74
20150305,15.68,1.27,67.14
20150306,16.77,0.28,64.7
20150307,17.49,1.87,63.2
20150308,16.97,4.31,71.56
20150309,14.37,1.7,68.33
20150310,16.2,0.0,56.28
20150311,18.1,0.0,50.24
20150312,19.3,0.0,46.73
20150313,20.44,0.0,42.02
20150314,20.33,2.75,56.74
20150315,18.79,4.96,71.32
20150316,17.88,12.37,77.7
20150317,18.33,0.39,70.21
20150318,18.33,0.0,68.09
20150319,20.12,0.0,58.76
20150320,21.22,0.0,52.66
20150321,22.28,0.0,53.57
20150322,23.22,0.0,55.66
20150323,23.88,0.0,57.37
20150324,25.89,0.0,50.21
20150325,25.91,0.0,49.03
20150326,25.89,0.0,46.01
20150327,25.81,0.0,40.88
20150328,26.97,0.0,36.11
20150329,22.03,6.51,53.35
20150330,21.88,7.12,67.03
20150331,23.07,0.07,57.91
20150401,23.79,0.85,57.48
20150402,25.2,0.04,50.1
20150403,22.64,9.29,60.38
20150404,22.3,1.35,61.14
20150405,22.25,0.03,60.33
20150406,23.79,0.67,52.18
20150407,21.31,4.74,65.27
20150408,23.06,0.03,52.87
20150409,23.78,0.0,54.21
20150410,25.35,0.0,48.82
20150411,27.18,0.01,44.05
20150412,26.14,0.23,50.93
20150413,26.47,0.0,48.84
20150414,25.54,0.64,56.33
20150415,26.18,16.84,59.24
20150416,25.58,4.82,59.88
20150417,26.32,0.19,56.33
20150418,28.43,0.0,46.09
20150419,30.32,0.0,37.98
20150420,30.24,0.15,36.22
20150421,28.55,0.0,39.45
20150422,28.3,0.0,38.87
20150423,30.32,0.0,30.28
20150424,31.28,0.0,27.75
20150425,31.94,0.01,27.61
20150426,28.62,0.02,41.44
20150427,29.52,1.77,42.64
20150428,31.05,3.11,39.09
20150429,30.66,0.91,32.79
20150430,29.85,0.19,35.58
20150501,28.53,10.03,42.55
20150502,28.72,0.0,32.01
