,T2M,Rain,Humidity
20150101,12.85,12.31,84.47
20150102,14.19,10.99,90.8
20150103,16.11,1.52,83.35
20150104,14.48,0.03,74.14
20150105,13.0,0.0,61.03
20150106,14.36,0.0,51.08
20150107,14.69,0.0,54.73
20150108,13.02,0.0,59.84
20150109,13.07,0.0,50.04
20150110,14.78,0.0,42.07
20150111,15.0,0.0,45.3
20150112,14.25,0.0,47.88
20150113,13.54,0.0,46.74
20150114,14.83,0.0,50.5
20150115,13.87,0.03,62.17
20150116,13.21,0.0,61.75
20150117,12.13,0.0,55.1
20150118,12.02,0.0,52.44
20150119,12.21,0.0,52.75
20150120,13.57,0.0,50.26
20150121,16.1,0.11,56.57
20150122,14.96,4.98,77.99
20150123,15.55,1.63,81.96
20150124,15.52,0.97,77.94
20150125,14.77,4.51,76.86
20150126,16.0,2.54,80.27
20150127,15.48,0.68,83.12
20150128,14.44,0.29,73.55
20150129,13.88,3.29,62.16
20150130,12.21,0.03,47.41
20150131,14.7,0.0,38.63
20150201,15.91,0.0,43.27
20150202,17.5,0.0,50.04
20150203,18.1,0.03,54.92
20150204,16.92,0.1,61.94
20150205,16.2,0.0,51.9
20150206,17.12,0.0,51.15
20150207,19.28,2.6,58.19
20150208,18.81,8.14,71.06
20150209,17.77,0.23,69.21
20150210,17.83,0.0,56.02
20150211,16.41,1.22,68.09
20150212,17.77,0.0,67.21
20150213,17.68,0.0,45.87
20150214,20.16,0.0,40.83
20150215,19.76,0.0,49.03
20150216,20.07,0.0,45.43
20150217,21.13,0.0,45.23
20150218,20.84,0.0,46.51
20150219,21.25,0.0,45.34
20150220,22.43,0.0,42.66
20150221,23.21,0.01,39.71
20150222,22.49,0.0,41.1
20150223,23.5,0.0,34.64
20150224,24.14,0.0,33.28
20150225,24.34,0.0,33.01
20150226,22.51,0.0,34.26
20150227,21.49,0.0,31.53
20150228,21.5,2.16,45.36
20150301,17.72,17.14,81.22
20150302,18.25,8.48,71.54
20150303,18.04,0.02,57.34
20150304,17.64,0.0,56.52
20150305,19.06,0.0,48.13
20150306,20.56,0.0,46.06
20150307,21.4,0.0,46.12
20150308,22.46,0.01,47.72
20150309,21.01,0.03,52.36
20150310,20.0,0.0,40.34
20150311,21.68,0.67,40.64
20150312,22.93,0.51,46.89
20150313,23.43,0.2,53.02
20150314,20.23,14.9,73.91
20150315,21.56,14.37,72.91
20150316,22.76,0.64,67.63
20150317,22.15,0.0,62.84
20150318,21.04,0.0,53.88
20150319,20.64,0.0,47.36
20150320,22.37,0.0,44.5
20150321,24.49,0.0,44.63
20150322,25.95,0.0,47.55
20150323,26.19,0.0,48.95
20150324,25.87,0.0,45.11
20150325,26.25,0.0,37.91
20150326,27.05,0.0,36.27
20150327,28.18,0.0,37.51
20150328,28.79,0.0,36.25
20150329,27.82,0.09,41.26
20150330,25.18,2.66,47.16
20150331,26.0,0.0,37.65
20150401,27.89,0.0,31.61
20150402,28.92,0.0,28.36
20150403,28.81,0.0,32.19
20150404,27.74,0.0,31.94
20150405,27.08,0.01,38.93
20150406,27.19,2.81,43.94
20150407,27.17,0.01,36.54
20150408,27.54,0.0,35.39
20150409,28.78,0.0,30.13
20150410,29.71,0.02,27.96
20150411,30.51,2.04,31.6
20150412,27.15,1.26,43.62
20150413,24.36,1.97,55.51
20150414,24.09,4.07,55.99
20150415,25.35,0.1,55.78
20150416,26.78,0.0,50.83
20150417,29.38,0.0,40.67
20150418,31.85,0.0,31.61
20150419,33.0,0.0,29.61
20150420,33.67,0.0,23.77
20150421,33.11,0.0,20.48
20150422,32.66,0.0,20.71
20150423,31.69,0.0,15.12
20150424,32.42,0.0,15.71
20150425,32.84,0.0,15.67
20150426,31.61,0.0,23.93
20150427,32.65,0.0,26.47
20150428,33.84,0.0,21.94
20150429,33.15,0.0,25.43
20150430,33.77,0.0,23.79
20150501,32.91,0.0,12.85
20150502,32.22,0.0,14.66
20150503,32.95,0.0,19.56
20150504,34.19,0.01,17.15
20150505,34.35,0.0,13.91
20150506,35.35,0.0,10.93
20150507,35.29,0.0,11.87
20150508,35.41,0.0,13.2
20150509,35.41,0.0,17.24
20150510,36.15,0.3,19.35
20150511,36.1,0.02,16.88
20150512,36.14,0.18,21.81
20150513,35.29,1.23,27.69
20150514,34.63,1.02,28.17
20150515,34.6,0.11,29.24
20150516,34.49,0.03,32.47
20150517,33.94,3.2,29.01
20150518,35.34,0.0,25.05
20150519,36.87,0.0,23.49
20150520,35.92,0.19,23.73
20150521,35.99,0.0,17.61
20150522,37.29,0.0,19.66
20150523,37.08,0.0,15.47
20150524,37.23,0.0,21.85
20150525,37.27,0.03,24.39
20150526,37.68,0.0,22.96
20150527,36.98,0.23,17.55
20150528,35.95,0.04,11.75
20150529,37.78,2.06,18.36
20150530,37.29,0.0,18.16
20150531,37.41,0.0,18.13
20150601,37.33,0.0,17.83
20150602,35.68,0.01,26.14
20150603,35.44,0.14,22.8
20150604,35.7,0.0,27.62
20150605,37.13,0.0,23.1
20150606,36.49,0.01,21.15
20150607,37.17,0.0,18.84
20150608,37.85,0.0,19.17
20150609,37.31,0.0,20.64
20150610,35.72,5.02,32.83
20150611,33.41,1.43,44.48
20150612,32.7,1.81,48.02
20150613,30.83,10.14,60.78
20150614,31.43,0.69,57.03
20150615,29.05,46.19,69.31
20150616,29.93,7.28,67.62
20150617,31.81,0.04,57.15
20150618,31.47,1.84,57.75
20150619,31.14,0.55,59.51
20150620,31.77,2.66,62.55
20150621,33.08,1.61,58.81
20150622,31.5,13.14,65.13
20150623,28.31,7.25,76.19
