,T2M,Rain,Humidity
20150101,18.62,0.19,75.63
20150102,19.92,0.0,74.2
20150103,20.39,0.85,76.24
20150104,19.26,8.18,86.2
20150105,16.61,1.67,81.72
20150106,15.45,0.0,69.52
20150107,15.36,0.01,68.76
20150108,15.39,1.17,67.61
20150109,13.55,1.34,69.86
20150110,14.64,0.03,65.04
20150111,15.39,0.0,64.26
20150112,15.37,0.0,62.29
20150113,15.82,0.0,60.48
20150114,17.36,0.0,60.01
20150115,18.07,0.01,62.87
20150116,18.14,0.77,66.86
20150117,17.73,2.69,72.72
20150118,15.62,1.17,72.86
20150119,15.11,0.03,68.37
20150120,15.7,0.0,68.07
20150121,17.22,0.0,64.53
20150122,17.61,0.0,62.53
20150123,16.66,0.0,64.38
20150124,16.2,0.0,62.41
20150125,17.03,0.0,55.79
20150126,16.97,0.0,47.98
20150127,17.28,0.0,45.39
20150128,17.61,0.0,59.15
20150129,18.13,0.0,63.8
20150130,16.69,0.0,69.55
20150131,15.5,0.0,62.32
20150201,15.31,0.0,46.62
20150202,17.01,0.0,42.43
20150203,18.1,0.0,40.67
20150204,17.88,0.0,45.71
20150205,18.11,0.0,48.08
20150206,17.71,0.0,48.9
20150207,16.66,0.0,44.46
20150208,16.17,0.0,39.12
20150209,17.21,0.0,40.98
20150210,17.99,0.0,54.1
20150211,17.85,0.0,51.6
20150212,17.26,0.0,47.34
20150213,16.22,0.0,46.9
20150214,16.47,0.0,54.57
20150215,17.32,0.11,51.81
20150216,18.24,0.0,48.64
20150217,19.29,0.0,44.13
20150218,19.11,2.61,50.18
20150219,17.87,3.03,63.55
20150220,19.15,0.02,61.99
20150221,19.58,7.17,60.36
20150222,19.27,5.95,66.05
20150223,20.23,0.0,59.73
20150224,21.25,0.0,53.32
20150225,21.17,0.0,57.46
20150226,20.54,0.24,63.06
20150227,20.21,0.49,67.75
20150228,21.75,0.0,63.02
20150301,23.8,0.0,55.94
20150302,22.93,0.0,55.08
20150303,21.22,0.01,56.11
20150304,18.37,4.25,73.58
20150305,18.76,0.27,69.08
20150306,18.99,0.0,44.01
20150307,19.14,0.0,36.68
20150308,20.78,0.0,34.23
20150309,22.52,0.0,34.36
20150310,22.47,0.0,33.96
20150311,22.28,0.0,27.38
20150312,22.0,0.0,24.25
20150313,20.5,0.0,30.88
20150314,21.16,0.0,41.03
20150315,23.47,0.0,47.33
20150316,23.82,0.0,44.76
20150317,22.85,0.0,50.69
20150318,23.34,0.0,49.34
20150319,22.7,0.04,50.09
20150320,22.48,0.0,36.91
20150321,24.01,0.0,26.22
20150322,24.43,0.0,27.3
20150323,24.39,0.0,30.35
20150324,25.22,0.0,36.74
20150325,24.18,8.34,53.73
20150326,23.36,1.64,63.22
20150327,23.38,0.24,60.69
20150328,22.24,7.0,69.59
20150329,23.44,0.59,64.99
20150330,23.51,4.74,66.84
20150331,20.79,1.83,78.39
20150401,22.09,8.28,73.62
20150402,21.34,20.83,78.81
20150403,21.81,26.29,81.3
20150404,22.49,7.1,80.17
20150405,22.28,26.21,80.43
20150406,21.68,29.45,82.37
20150407,22.98,2.44,76.2
20150408,23.06,1.3,75.94
20150409,22.37,1.78,77.4
20150410,22.62,6.67,72.77
20150411,23.28,10.48,68.43
20150412,23.51,0.67,72.02
20150413,23.59,2.72,70.04
20150414,22.83,0.05,74.9
20150415,23.17,0.0,76.62
20150416,24.02,0.09,72.99
20150417,22.97,3.43,74.24
20150418,21.91,28.09,83.69
20150419,22.88,5.44,75.25
20150420,23.9,7.25,77.14
20150421,23.14,17.73,84.64
20150422,22.96,20.56,84.97
20150423,22.41,23.7,87.78
20150424,21.54,5.72,83.82
20150425,20.5,4.81,86.31
20150426,21.14,1.36,78.82
20150427,21.58,0.82,81.46
20150428,22.22,1.0,81.11
20150429,22.01,3.5,83.53
20150430,22.54,8.08,79.78
20150501,22.79,18.34,83.87
20150502,22.65,2.34,85.3
20150503,23.16,0.27,81.22
20150504,24.34,1.11,80.89
20150505,24.17,0.02,78.49
20150506,23.77,4.36,80.12
20150507,22.93,12.19,84.6
20150508,23.03,0.42,76.61
20150509,24.29,1.79,73.78
20150510,23.98,16.93,84.54
20150511,23.17,5.92,88.22
20150512,23.29,1.8,86.36
20150513,24.14,2.93,81.52
20150514,24.88,4.02,80.46
20150515,24.37,13.06,85.4
20150516,23.55,8.66,89.89
20150517,23.43,10.75,88.61
20150518,23.7,4.0,82.27
20150519,25.1,0.02,77.57
20150520,25.69,0.02,80.88
20150521,25.5,4.34,82.46
20150522,25.46,7.7,83.39
20150523,25.15,7.3,81.97
