,T2M,Rain,Humidity
20150101,20.13,1.92,57.95
20150102,19.66,2.59,72.87
20150103,20.53,3.35,80.75
20150104,20.09,0.5,74.83
20150105,16.02,0.0,62.04
20150106,13.19,0.0,62.67
20150107,14.03,0.0,60.44
20150108,14.86,0.01,60.42
20150109,14.09,0.0,59.69
20150110,12.35,0.0,55.79
20150111,12.39,0.0,54.29
20150112,12.61,0.0,53.48
20150113,13.49,0.0,54.83
20150114,15.08,0.0,52.23
20150115,15.47,0.0,55.02
20150116,15.27,0.0,56.86
20150117,14.31,0.0,55.53
20150118,13.98,0.0,60.66
20150119,13.36,0.0,54.29
20150120,12.79,0.0,52.3
20150121,13.16,0.0,51.58
20150122,14.99,0.0,47.65
20150123,17.6,0.04,55.83
20150124,18.06,0.1,64.75
20150125,16.95,0.0,53.83
20150126,17.26,0.0,61.47
20150127,18.46,1.01,68.11
20150128,18.45,0.58,67.64
20150129,17.16,2.87,68.3
20150130,15.18,0.0,51.0
20150131,13.76,0.0,47.81
20150201,14.37,0.0,46.68
20150202,16.51,0.0,44.35
20150203,18.5,0.0,43.35
20150204,19.59,0.01,47.14
20150205,16.74,0.01,47.5
20150206,15.7,0.0,43.32
20150207,16.6,0.0,43.39
20150208,19.24,0.04,51.49
20150209,18.94,0.02,61.88
20150210,18.64,0.0,46.26
20150211,17.17,0.0,41.64
20150212,18.57,0.01,43.89
20150213,18.51,0.0,48.14
20150214,18.73,0.0,40.54
20150215,19.92,0.01,39.87
20150216,20.44,0.14,47.96
20150217,22.55,0.0,48.13
20150218,23.22,0.0,47.84
20150219,23.03,0.66,45.52
20150220,22.3,0.0,44.65
20150221,23.47,0.03,40.99
20150222,23.2,0.48,43.83
20150223,24.22,0.16,38.23
20150224,24.26,0.0,39.94
20150225,24.06,0.0,42.81
20150226,24.85,0.08,39.51
20150227,24.48,0.21,48.04
20150228,25.73,0.08,42.06
20150301,25.89,1.8,44.99
20150302,22.65,3.73,60.21
20150303,21.2,5.89,66.44
20150304,22.22,0.0,46.41
20150305,20.06,0.0,37.7
20150306,20.25,0.0,38.75
20150307,21.7,0.0,42.04
20150308,22.74,0.0,40.64
20150309,24.67,0.0,38.66
20150310,25.1,0.0,36.52
20150311,22.1,0.0,29.79
20150312,22.78,0.0,29.1
20150313,24.82,0.0,35.86
20150314,26.47,0.0,40.64
20150315,26.35,0.03,44.55
20150316,24.99,1.49,49.25
20150317,26.4,0.04,43.91
20150318,26.02,0.0,35.18
20150319,24.08,0.0,35.28
20150320,24.86,0.0,35.7
20150321,25.65,0.0,33.61
20150322,27.01,0.0,33.21
20150323,27.53,1.07,34.33
20150324,28.83,1.18,33.48
20150325,30.47,0.02,31.15
20150326,30.56,0.37,33.91
20150327,29.09,8.72,49.19
20150328,29.16,0.32,52.09
20150329,29.95,0.02,40.96
20150330,26.79,15.48,59.08
20150331,25.93,0.04,61.76
20150401,28.66,0.7,42.54
20150402,29.66,0.13,37.51
20150403,30.21,0.17,38.92
20150404,30.38,0.3,38.69
20150405,28.81,1.11,41.7
20150406,29.65,1.4,40.67
20150407,30.8,0.22,36.66
20150408,29.8,0.4,38.21
20150409,28.64,0.0,30.13
20150410,28.84,0.0,28.11
20150411,30.71,0.0,26.15
20150412,29.72,0.28,31.58
20150413,26.9,6.4,50.98
20150414,27.73,0.03,54.33
20150415,29.78,0.11,44.86
20150416,30.22,0.73,46.71
20150417,30.45,4.56,41.12
20150418,31.29,1.33,39.07
20150419,31.85,4.26,35.07
20150420,32.35,0.0,39.08
20150421,33.89,0.08,30.82
20150422,33.14,0.8,27.66
20150423,32.45,1.03,25.19
20150424,32.03,0.26,38.89
20150425,28.07,0.67,55.29
20150426,27.77,0.1,48.46
20150427,29.81,0.23,46.28
20150428,31.17,2.41,45.5
20150429,30.58,5.77,50.82
20150430,31.33,0.19,42.31
20150501,33.17,0.0,33.28
20150502,33.68,0.01,32.06
20150503,33.76,0.39,29.22
20150504,33.26,0.37,20.55
20150505,34.23,0.0,17.58
20150506,34.24,0.22,17.61
20150507,34.4,0.36,24.25
20150508,34.08,0.15,35.3
20150509,34.78,0.0,36.88
20150510,35.81,0.28,35.19
20150511,34.92,4.22,41.02
20150512,33.61,5.73,45.84
20150513,33.82,0.3,35.66
20150514,35.9,0.06,27.64
20150515,34.92,0.45,33.05
20150516,33.4,3.61,37.73
20150517,33.18,1.44,44.81
20150518,34.3,1.66,40.75
20150519,34.75,3.52,45.95
20150520,35.68,1.6,37.83
20150521,35.65,0.27,29.75
20150522,37.22,0.17,17.57
20150523,36.92,0.24,19.14
20150524,36.69,0.4,20.34
20150525,35.92,0.57,31.97
20150526,36.76,0.66,29.55
20150527,35.86,2.85,38.61
20150528,35.51,1.12,39.7
20150529,37.17,0.12,36.8
20150530,37.0,0.5,34.02
