,T2M,Rain,Humidity
20150101,13.97,0.0,32.62
20150102,14.5,0.0,31.13
20150103,13.0,0.07,39.94
20150104,12.15,0.01,38.5
20150105,12.64,0.0,32.27
20150106,14.66,0.0,31.83
20150107,13.59,0.0,34.62
20150108,13.97,0.0,23.83
20150109,13.11,0.0,21.85
20150110,12.67,0.0,18.9
20150111,14.74,0.0,17.81
20150112,15.83,0.0,20.24
20150113,13.49,1.6,35.05
20150114,11.59,5.08,72.36
20150115,12.38,0.0,62.35
20150116,13.18,0.0,43.74
20150117,13.19,0.0,36.35
20150118,13.28,0.0,31.21
20150119,13.36,0.0,32.91
20150120,13.38,0.0,35.38
20150121,10.49,10.67,62.82
20150122,10.5,1.81,86.52
20150123,11.48,0.02,76.33
20150124,12.53,0.0,59.69
20150125,12.65,0.0,51.65
20150126,11.56,0.0,48.11
20150127,9.59,0.0,54.52
20150128,11.3,0.0,43.44
20150129,10.52,0.04,47.73
20150130,11.88,0.0,39.1
20150131,13.55,0.0,36.38
20150201,13.27,0.07,48.23
20150202,13.63,4.24,65.2
20150203,10.79,18.45,84.69
20150204,13.2,0.01,56.37
20150205,14.31,0.01,36.35
20150206,13.72,0.0,39.03
20150207,13.5,0.09,46.98
20150208,13.67,0.54,60.26
20150209,15.01,0.0,46.72
20150210,15.78,0.0,39.87
20150211,16.85,0.0,34.84
20150212,16.03,0.0,33.18
20150213,16.97,0.0,37.58
20150214,18.82,0.0,46.93
20150215,18.61,0.03,44.7
20150216,17.14,8.54,58.63
20150217,17.93,3.07,56.34
20150218,18.15,2.76,53.48
20150219,16.47,19.49,64.94
20150220,15.16,6.45,74.1
20150221,18.58,0.02,55.41
20150222,20.62,0.0,45.83
20150223,20.52,0.03,47.84
20150224,19.8,4.09,56.87
20150225,15.41,14.43,79.69
20150226,13.74,0.02,56.06
20150227,13.66,0.0,46.79
20150228,14.69,0.27,47.05
20150301,13.05,28.07,81.99
20150302,13.52,37.42,92.34
20150303,13.41,2.33,75.11
20150304,14.04,1.53,61.13
20150305,12.23,6.0,77.03
20150306,14.45,0.01,63.72
20150307,13.47,9.4,69.41
20150308,13.62,11.44,82.18
20150309,12.24,0.51,67.9
20150310,15.2,0.0,48.47
20150311,17.68,0.0,42.31
20150312,19.04,0.0,42.18
20150313,19.01,0.0,40.92
20150314,19.5,0.67,54.56
20150315,17.1,20.15,76.77
20150316,14.74,18.31,88.81
20150317,16.15,0.3,72.94
20150318,17.69,0.0,62.41
20150319,19.3,0.0,55.14
20150320,20.75,0.0,52.42
20150321,21.13,0.0,53.8
20150322,22.48,0.0,54.32
20150323,23.88,0.0,54.7
20150324,24.88,0.67,54.59
20150325,24.12,1.03,54.63
20150326,24.16,0.0,45.74
20150327,24.66,0.0,44.51
20150328,25.95,2.77,46.36
20150329,18.12,32.0,76.22
20150330,19.67,42.9,77.73
20150331,19.58,4.62,73.52
20150401,19.5,9.51,78.81
20150402,21.63,6.61,67.82
20150403,19.66,10.73,76.6
20150404,21.01,4.81,68.44
20150405,20.28,1.61,68.73
20150406,20.47,3.16,66.23
20150407,18.53,9.45,78.78
20150408,20.4,0.18,68.59
20150409,21.86,0.0,59.86
20150410,23.37,0.0,55.9
20150411,23.33,0.0,62.29
20150412,23.54,0.0,57.12
20150413,23.55,0.0,63.95
20150414,23.05,0.0,70.31
20150415,24.3,22.56,70.09
20150416,23.02,5.63,73.66
20150417,24.13,0.0,62.41
20150418,26.21,0.01,52.09
20150419,27.79,0.67,50.53
20150420,26.83,8.02,56.76
20150421,26.36,0.06,50.66
20150422,26.17,0.0,48.79
20150423,27.1,0.0,43.29
20150424,28.18,0.0,40.82
20150425,28.94,0.0,37.76
20150426,27.06,0.88,46.85
20150427,27.18,1.62,53.8
20150428,27.83,0.59,45.72
20150429,28.07,1.39,43.24
20150430,26.3,5.15,49.23
20150501,26.28,0.49,43.15
20150502,26.7,0.0,37.48
20150503,27.72,0.0,34.19
20150504,28.27,0.0,36.12
20150505,29.69,0.0,36.82
20150506,31.03,0.0,38.25
20150507,32.12,0.0,35.97
20150508,32.25,0.0,37.25
20150509,32.59,0.0,36.06
20150510,32.04,0.03,36.39
20150511,31.08,0.72,39.7
20150512,29.09,5.15,49.06
20150513,27.92,2.63,48.49
20150514,27.75,8.92,52.73
20150515,29.37,0.01,46.27
20150516,31.24,0.01,40.29
