,T2M,Rain,Humidity
20150101,20.04,0.38,75.3
20150102,19.94,0.01,73.79
20150103,20.39,0.0,69.26
20150104,21.35,0.0,64.61
20150105,21.95,0.0,57.54
20150106,21.88,0.0,53.19
20150107,21.73,0.0,53.93
20150108,20.45,0.0,41.53
20150109,19.67,0.0,32.13
20150110,19.04,0.0,28.65
20150111,18.89,0.0,26.65
20150112,18.75,0.0,25.65
20150113,19.75,0.0,24.82
20150114,20.37,0.0,26.92
20150115,20.26,0.0,35.71
20150116,20.75,0.0,36.35
20150117,21.4,0.0,34.82
20150118,21.79,0.0,38.01
20150119,22.49,0.0,42.8
20150120,21.84,0.0,49.89
20150121,21.52,0.0,50.86
20150122,21.64,0.0,55.37
20150123,21.98,0.0,55.45
20150124,23.18,0.0,46.93
20150125,23.56,0.0,46.02
20150126,21.87,0.0,50.77
20150127,22.56,0.0,42.49
20150128,22.71,0.0,45.96
20150129,23.23,0.0,47.96
20150130,23.61,0.0,38.8
20150131,23.54,0.0,39.27
20150201,23.97,0.0,36.45
20150202,23.84,0.0,33.72
20150203,22.85,0.0,39.25
20150204,22.93,0.0,29.76
20150205,22.5,0.0,29.41
20150206,21.95,0.0,30.1
20150207,21.98,0.0,34.25
20150208,22.53,0.0,42.2
20150209,24.09,0.0,34.74
20150210,25.02,0.0,34.47
20150211,23.97,0.0,35.84
20150212,24.24,0.0,31.13
20150213,24.82,0.0,30.14
20150214,24.93,0.0,26.63
20150215,25.47,0.0,20.93
20150216,25.62,0.0,19.25
20150217,25.79,0.0,21.2
20150218,24.76,0.0,23.53
20150219,24.24,0.0,44.08
20150220,25.02,0.0,39.84
20150221,25.63,0.0,28.55
20150222,25.71,0.0,27.45
20150223,25.36,0.0,27.67
20150224,25.46,0.0,42.75
20150225,25.31,0.0,47.18
20150226,24.89,0.0,44.63
20150227,23.94,0.0,42.71
20150228,23.04,7.75,61.4
20150301,22.31,11.64,73.07
20150302,21.41,2.01,72.96
20150303,20.09,0.0,62.16
20150304,19.7,0.0,52.0
20150305,21.8,0.0,48.6
20150306,24.08,0.0,49.12
20150307,25.56,0.0,43.55
20150308,26.53,0.17,38.13
20150309,27.07,0.07,48.61
20150310,26.18,0.22,56.0
20150311,27.47,0.0,41.45
20150312,26.9,0.0,34.91
20150313,27.5,0.01,39.96
20150314,27.13,0.0,47.5
20150315,26.43,0.0,57.98
20150316,26.74,0.0,53.83
20150317,28.14,0.0,38.36
20150318,28.76,0.0,35.22
20150319,29.4,0.0,35.69
20150320,29.58,0.0,37.5
20150321,29.38,0.0,38.19
20150322,30.01,0.0,37.08
20150323,29.84,0.03,40.12
20150324,31.22,0.21,33.21
20150325,31.13,0.16,32.64
20150326,30.92,0.01,38.19
20150327,30.91,0.05,37.83
20150328,29.64,0.04,45.45
20150329,29.33,0.21,47.68
20150330,28.57,0.04,42.03
20150331,28.73,0.25,40.47
20150401,29.61,0.0,27.25
20150402,28.92,0.0,36.58
20150403,28.29,0.0,41.69
20150404,27.98,0.0,36.19
20150405,28.33,0.0,38.42
20150406,28.68,0.0,41.75
20150407,28.12,0.0,42.75
20150408,29.16,0.0,46.87
20150409,29.09,0.0,50.74
20150410,28.81,2.05,53.94
20150411,27.61,3.78,55.27
20150412,25.85,0.44,54.39
20150413,26.67,0.0,41.8
20150414,27.03,0.0,46.88
20150415,28.72,0.01,41.04
20150416,28.93,0.1,43.65
20150417,30.14,0.04,41.8
20150418,30.57,0.0,41.22
20150419,31.55,0.0,39.61
20150420,32.11,0.0,37.07
20150421,31.6,0.0,44.73
20150422,30.09,0.18,51.52
20150423,29.81,0.15,52.27
20150424,30.21,0.03,44.51
20150425,29.19,0.0,43.35
20150426,29.51,0.0,45.44
20150427,30.82,0.15,43.65
20150428,31.07,0.14,44.38
20150429,31.04,0.0,45.12
20150430,30.19,0.0,49.2
20150501,30.37,0.0,46.8
20150502,29.9,0.0,47.88
20150503,29.83,0.0,50.52
20150504,30.72,0.0,43.67
20150505,30.92,3.46,49.03
20150506,31.05,1.81,44.65
20150507,31.38,0.02,44.48
20150508,31.13,0.01,45.39
20150509,30.76,0.95,47.75
20150510,30.95,0.85,45.48
20150511,31.26,0.47,45.45
20150512,29.2,1.79,56.57
20150513,28.02,7.02,61.26
20150514,28.26,0.69,62.03
20150515,27.23,0.41,64.04
20150516,29.52,0.15,58.25
20150517,29.58,0.48,58.29
20150518,29.81,0.05,58.81
20150519,29.5,0.0,57.03
20150520,29.85,0.0,56.17
20150521,29.62,0.0,59.29
20150522,29.42,0.0,59.41
20150523,29.17,0.0,59.9
20150524,29.31,0.0,57.82
20150525,29.35,0.0,59.99
20150526,29.69,0.0,59.31
20150527,30.22,0.01,56.93
20150528,29.96,0.01,56.68
20150529,29.9,1.35,59.09
20150530,29.61,2.81,55.4
20150531,29.32,2.03,58.13
20150601,28.35,0.46,60.84
20150602,26.76,0.02,67.38
20150603,29.44,0.04,55.54
20150604,29.76,3.08,55.33
20150605,26.37,5.79,73.06
20150606,28.0,0.24,65.6
20150607,27.61,4.92,69.24
20150608,25.79,2.45,79.08
20150609,26.18,2.34,75.86
20150610,26.83,2.51,71.64
20150611,26.16,4.72,76.79
20150612,24.14,8.46,84.74
20150613,23.76,5.25,81.23
20150614,23.67,4.34,81.49
20150615,24.22,4.72,73.89
20150616,24.44,1.84,74.93
20150617,24.49,9.03,76.38
20150618,23.91,12.9,80.54
20150619,24.52,16.91,79.28
20150620,24.38,33.25,85.26
20150621,23.88,37.65,88.95
20150622,24.2,11.4,87.46
20150623,25.25,18.49,83.68
20150624,24.99,12.44,84.64
20150625,25.08,5.69,84.37
20150626,25.1,1.63,83.06
20150627,25.15,0.4,81.47
20150628,25.27,0.18,81.07
20150629,25.02,5.23,82.34
20150630,24.62,5.8,83.65
