,T2M,Rain,Humidity
20150101,19.29,4.56,59.0
20150102,19.05,3.3,77.56
20150103,20.11,2.77,83.07
20150104,19.32,0.79,76.91
20150105,15.49,0.0,62.83
20150106,12.66,0.0,63.88
20150107,14.01,0.0,60.51
20150108,14.38,0.0,61.35
20150109,13.4,0.0,60.77
20150110,11.66,0.0,57.79
20150111,11.89,0.0,54.95
20150112,12.5,0.0,52.52
20150113,13.03,0.0,54.05
20150114,14.54,0.0,50.05
20150115,14.53,0.0,56.68
20150116,14.43,0.0,59.8
20150117,13.63,0.0,57.43
20150118,13.47,0.0,61.85
20150119,12.83,0.0,56.04
20150120,12.43,0.0,52.42
20150121,12.98,0.0,50.58
20150122,15.13,0.0,45.94
20150123,17.41,0.04,60.08
20150124,17.58,0.25,65.77
20150125,16.66,0.0,55.12
20150126,16.97,0.03,66.58
20150127,17.63,1.58,74.35
20150128,18.17,0.24,68.54
20150129,16.66,3.69,67.96
20150130,14.47,0.0,51.1
20150131,13.49,0.0,48.86
20150201,14.09,0.0,48.12
20150202,16.9,0.0,42.5
20150203,18.96,0.0,41.84
20150204,19.37,0.01,47.59
20150205,16.07,0.04,48.27
20150206,15.24,0.0,42.7
20150207,16.58,0.0,43.93
20150208,19.13,0.12,55.07
20150209,18.54,0.01,64.4
20150210,18.28,0.0,45.74
20150211,17.2,0.0,41.27
20150212,18.4,0.02,46.15
20150213,18.19,0.0,48.51
20150214,18.53,0.0,41.05
20150215,19.61,0.0,42.46
20150216,20.25,0.04,47.57
20150217,22.26,0.0,48.52
20150218,22.92,0.0,49.69
20150219,22.84,0.37,45.85
20150220,22.36,0.01,43.98
20150221,23.67,0.0,40.49
20150222,23.21,0.14,42.9
20150223,24.31,0.37,38.73
20150224,24.4,0.0,40.2
20150225,24.36,0.0,41.25
20150226,24.65,0.35,40.08
20150227,24.1,0.4,50.54
20150228,25.38,0.05,43.56
20150301,24.56,1.75,47.89
20150302,21.9,3.75,63.56
20150303,20.97,5.65,68.14
20150304,21.83,0.03,46.88
20150305,19.67,0.0,38.87
20150306,20.15,0.0,38.82
20150307,21.61,0.0,42.14
20150308,22.84,0.0,42.29
20150309,24.73,0.0,41.3
20150310,24.77,0.0,38.17
20150311,21.62,0.0,29.94
20150312,22.52,0.0,29.53
20150313,25.07,0.0,37.96
20150314,26.13,0.0,42.25
