,T2M,Rain,Humidity
20150101,17.02,26.25,83.48
20150102,17.59,3.62,86.15
20150103,16.97,4.25,91.0
20150104,16.04,0.42,79.44
20150105,12.74,0.0,65.44
20150106,14.25,0.0,52.47
20150107,15.23,0.0,55.03
20150108,13.61,0.0,62.49
20150109,12.64,0.0,55.25
20150110,14.07,0.0,43.26
20150111,13.98,0.0,43.37
20150112,13.3,0.0,47.98
20150113,12.79,0.0,51.07
20150114,15.06,0.0,46.93
20150115,14.61,0.0,51.96
20150116,13.23,0.0,61.19
20150117,12.19,0.0,59.7
20150118,12.81,0.0,50.33
20150119,12.43,0.0,53.78
20150120,13.8,0.0,48.42
20150121,16.25,0.0,56.03
20150122,17.02,0.6,60.71
20150123,16.12,1.56,78.38
20150124,16.51,0.02,75.72
20150125,18.9,0.0,65.09
20150126,19.58,0.55,65.61
20150127,18.17,2.1,75.3
20150128,17.18,2.79,77.05
20150129,15.89,3.43,74.6
20150130,13.04,0.77,52.0
20150131,14.22,0.0,37.81
20150201,16.19,0.0,40.8
20150202,17.62,0.0,45.22
20150203,20.46,0.0,41.7
20150204,18.07,0.48,62.44
20150205,16.9,0.0,55.58
20150206,17.37,0.0,50.3
20150207,19.37,0.0,53.8
20150208,19.78,2.99,59.3
20150209,17.83,1.01,71.59
20150210,18.24,0.0,60.23
20150211,17.46,4.94,65.18
20150212,18.36,0.56,68.37
20150213,18.04,0.0,52.76
20150214,19.57,0.0,42.28
20150215,20.31,0.0,47.87
20150216,20.58,0.0,44.96
20150217,21.31,0.0,43.98
20150218,21.6,0.0,41.62
20150219,20.97,0.0,43.37
20150220,22.26,0.0,40.06
20150221,22.98,0.0,36.89
20150222,22.27,0.0,40.39
20150223,22.96,0.0,34.92
20150224,23.94,0.0,31.48
20150225,25.5,0.0,29.02
20150226,24.2,0.0,35.2
20150227,24.37,0.03,38.79
20150228,25.17,5.84,39.28
20150301,22.41,5.91,66.17
20150302,19.87,25.34,77.0
20150303,19.29,3.17,68.65
20150304,17.27,0.0,57.49
20150305,18.91,0.0,47.63
