,T2M,Rain,Humidity
20150101,13.59,0.0,40.59
20150102,13.08,3.0,54.06
20150103,11.14,7.39,71.78
20150104,9.6,0.1,63.98
20150105,10.24,0.0,43.78
20150106,12.08,0.0,41.79
20150107,10.64,0.0,45.12
20150108,11.54,0.0,35.93
20150109,11.1,0.0,34.97
20150110,10.31,0.0,32.93
20150111,11.47,0.0,28.67
20150112,12.54,0.0,29.63
20150113,12.32,0.04,35.29
20150114,8.07,7.55,68.56
20150115,9.88,0.0,66.09
20150116,11.49,0.0,54.27
20150117,10.93,0.0,46.23
20150118,10.93,0.0,39.49
20150119,11.36,0.0,37.76
20150120,11.07,0.0,40.88
20150121,10.67,2.46,51.3
20150122,9.47,5.92,80.65
20150123,10.29,0.28,78.06
20150124,11.53,0.0,64.34
20150125,11.09,0.0,54.16
20150126,9.97,1.51,51.45
20150127,8.03,0.89,69.02
20150128,9.14,0.0,57.32
20150129,8.39,0.0,50.13
20150130,8.52,0.0,47.62
20150131,10.46,0.0,38.58
20150201,12.33,0.0,40.94
20150202,12.69,3.44,54.96
20150203,11.16,13.17,71.1
20150204,11.99,0.01,59.98
20150205,12.36,0.0,44.68
20150206,12.07,0.0,43.42
20150207,12.56,0.0,42.6
20150208,13.03,0.0,48.19
20150209,12.98,0.0,52.29
20150210,13.15,0.0,45.37
20150211,13.18,0.0,42.84
20150212,12.55,0.0,40.48
20150213,13.54,0.0,38.59
20150214,16.67,0.0,42.93
20150215,16.93,0.0,45.18
20150216,16.65,1.83,47.88
20150217,17.25,0.84,51.37
20150218,16.82,0.17,50.99
20150219,16.01,0.64,53.49
20150220,16.88,10.51,61.68
20150221,16.62,0.0,54.78
20150222,18.27,0.0,46.77
20150223,19.42,0.0,46.06
20150224,19.55,0.14,45.49
20150225,15.6,7.66,63.59
20150226,13.38,0.8,45.26
20150227,13.08,0.31,35.61
20150228,13.78,0.27,39.78
20150301,11.8,57.46,78.84
20150302,10.38,43.23,91.45
20150303,10.6,6.31,82.89
20150304,10.88,0.5,74.89
20150305,12.65,0.73,67.64
20150306,13.25,0.55,67.3
20150307,14.05,1.01,65.62
20150308,14.07,3.38,73.83
20150309,11.83,4.01,67.51
20150310,14.07,0.0,53.73
20150311,16.34,0.0,47.16
20150312,16.64,0.0,49.79
20150313,17.83,0.0,43.55
20150314,17.41,4.07,57.82
20150315,15.32,3.4,75.72
20150316,14.68,8.6,78.02
20150317,15.25,0.4,73.23
20150318,15.21,0.0,72.97
20150319,17.22,0.0,61.06
20150320,18.26,0.0,54.94
20150321,19.17,0.0,54.99
20150322,20.1,0.0,55.58
20150323,21.35,0.0,56.12
20150324,22.37,0.0,56.47
20150325,22.77,0.0,53.61
20150326,22.39,0.0,47.62
20150327,22.54,0.0,42.97
20150328,24.1,0.0,37.15
20150329,19.14,7.75,53.5
20150330,18.44,4.8,67.93
20150331,19.0,0.01,60.36
20150401,19.54,2.09,64.49
20150402,21.41,0.3,55.36
20150403,17.78,14.06,68.55
20150404,17.77,2.37,71.58
20150405,18.69,0.09,63.45
20150406,19.68,0.57,56.12
20150407,18.48,3.79,60.05
20150408,18.73,0.17,57.49
20150409,19.84,0.0,58.91
20150410,21.5,0.0,52.42
20150411,22.84,0.02,47.35
20150412,22.87,0.05,48.51
20150413,21.63,0.0,55.24
20150414,21.3,3.1,65.89
20150415,21.58,13.2,69.28
20150416,21.19,5.14,68.96
20150417,22.23,0.0,59.61
