,T2M,Rain,Humidity
20150101,21.37,0.72,88.08
20150102,21.06,0.13,84.22
20150103,21.1,0.0,82.91
20150104,21.06,0.0,83.04
20150105,22.12,0.03,81.54
20150106,22.45,0.01,73.87
20150107,21.77,0.0,80.08
20150108,21.61,0.0,81.66
20150109,21.52,0.0,76.95
20150110,19.75,0.0,60.7
20150111,18.26,0.0,56.06
20150112,18.47,0.0,56.09
20150113,18.83,0.0,56.82
20150114,19.32,0.0,62.3
20150115,19.89,0.0,63.82
20150116,20.28,0.0,65.97
20150117,21.15,0.0,72.68
20150118,21.95,0.0,74.37
20150119,22.07,0.0,73.84
20150120,21.61,0.0,79.19
20150121,21.58,0.0,77.63
20150122,20.92,0.0,75.36
20150123,21.28,0.0,72.75
20150124,21.5,0.0,74.48
20150125,22.16,0.0,70.04
20150126,21.06,0.0,61.68
20150127,21.49,0.0,67.04
20150128,21.84,0.0,76.45
20150129,22.73,0.0,75.47
20150130,23.33,0.0,69.83
20150131,22.56,0.0,62.6
20150201,22.55,0.0,64.26
20150202,22.11,0.0,61.75
20150203,21.73,0.0,58.43
20150204,20.61,0.0,54.8
20150205,21.66,0.0,49.89
20150206,21.68,0.0,63.53
20150207,21.74,0.0,67.87
20150208,21.84,0.0,73.06
20150209,21.71,0.0,67.21
20150210,22.5,0.0,60.08
20150211,21.99,0.0,53.78
20150212,22.49,0.0,57.59
20150213,22.48,0.0,58.9
20150214,23.32,0.0,66.65
20150215,23.64,0.0,65.53
20150216,23.86,0.0,66.0
20150217,24.15,0.0,71.27
20150218,24.14,0.0,72.81
20150219,24.02,0.0,74.18
20150220,24.45,0.0,70.68
20150221,23.84,0.0,56.43
20150222,23.8,0.0,50.3
20150223,24.27,0.0,48.12
20150224,23.7,0.0,54.08
20150225,23.21,0.0,66.54
20150226,24.01,0.05,72.42
20150227,24.41,0.07,70.65
20150228,24.17,0.51,72.69
20150301,24.05,3.06,77.55
20150302,23.5,10.15,83.3
20150303,22.91,0.02,78.45
20150304,22.29,0.01,77.88
20150305,23.48,0.0,75.34
20150306,25.0,0.02,73.6
20150307,25.67,0.09,71.55
20150308,25.29,1.97,74.14
20150309,25.25,2.76,75.45
20150310,26.14,0.14,67.29
20150311,25.52,0.05,51.7
20150312,26.14,0.0,52.99
20150313,26.38,0.0,64.21
20150314,26.22,0.0,68.52
20150315,26.28,0.02,72.43
20150316,26.6,0.01,73.13
20150317,27.01,0.0,69.63
20150318,26.92,0.0,67.76
20150319,26.32,0.0,69.54
20150320,27.09,0.0,63.22
20150321,27.63,0.0,51.9
20150322,26.72,0.0,62.26
20150323,26.84,0.01,66.52
20150324,28.62,0.01,62.25
20150325,27.78,0.03,65.61
20150326,27.55,0.02,64.42
20150327,27.36,0.22,59.24
20150328,26.51,0.37,65.18
