,T2M,Rain,Humidity
20150101,12.69,1.67,77.02
20150102,13.75,1.97,87.83
20150103,15.56,0.28,78.88
20150104,14.22,0.05,70.46
20150105,13.65,0.0,50.01
20150106,15.15,0.0,45.69
20150107,15.3,0.0,49.51
20150108,14.88,0.0,42.94
20150109,14.7,0.0,37.5
20150110,16.16,0.0,34.24
20150111,16.6,0.0,37.04
20150112,14.81,0.0,40.51
20150113,13.68,0.0,42.25
20150114,14.77,0.38,50.49
20150115,12.68,0.0,52.74
20150116,12.79,0.0,46.83
20150117,13.71,0.0,41.42
20150118,13.76,0.0,40.06
20150119,12.94,0.0,43.36
20150120,12.99,0.0,42.38
20150121,15.03,1.6,47.93
20150122,16.83,16.38,78.15
20150123,15.31,1.19,74.55
20150124,14.93,0.0,66.36
20150125,12.17,2.66,74.13
20150126,13.79,4.17,86.95
20150127,14.61,0.02,72.62
20150128,13.19,0.0,53.38
20150129,12.46,0.02,43.47
20150130,12.56,0.01,36.89
20150131,15.21,0.0,32.33
20150201,15.76,0.0,40.94
20150202,17.67,0.0,44.65
20150203,18.47,0.0,50.92
20150204,15.79,0.0,52.41
20150205,14.89,0.0,42.3
20150206,16.36,0.22,44.0
20150207,17.56,5.83,57.02
20150208,17.02,3.96,74.83
20150209,17.65,0.09,62.38
20150210,17.37,0.0,44.56
20150211,18.49,0.01,45.12
20150212,17.5,0.01,47.63
20150213,18.04,0.0,36.51
20150214,20.2,0.0,39.65
20150215,20.37,0.0,39.77
20150216,21.02,0.0,36.33
20150217,20.84,0.0,42.12
20150218,20.69,0.0,42.42
20150219,22.35,0.0,40.63
20150220,23.47,0.05,36.93
20150221,23.24,0.0,36.93
20150222,23.02,0.0,35.61
20150223,24.27,0.0,32.01
20150224,23.95,0.0,35.62
20150225,24.68,0.0,36.8
20150226,20.97,0.0,25.62
20150227,19.22,0.0,27.26
20150228,18.81,1.2,40.04
20150301,17.68,11.44,76.91
20150302,18.49,3.17,70.03
20150303,18.64,0.0,57.49
20150304,18.05,0.0,46.92
20150305,19.49,0.0,39.18
20150306,20.38,0.0,41.65
20150307,22.05,0.0,40.79
20150308,24.19,0.37,39.32
20150309,20.2,0.0,37.71
20150310,18.25,0.0,31.2
20150311,21.71,0.17,32.2
20150312,21.93,1.57,48.23
20150313,22.55,7.49,59.34
20150314,22.12,8.12,65.34
20150315,19.7,37.06,83.34
20150316,21.62,0.57,68.95
20150317,20.97,0.0,61.16
20150318,20.4,0.0,49.72
20150319,21.38,0.0,40.24
20150320,24.15,0.0,33.62
20150321,25.05,0.0,40.12
20150322,26.33,0.0,41.96
20150323,26.38,0.0,42.84
20150324,26.84,0.0,37.21
20150325,27.47,0.0,33.39
20150326,28.27,0.0,32.63
20150327,28.62,0.0,37.29
20150328,28.12,0.0,37.33
20150329,27.34,0.32,41.03
20150330,25.78,10.16,60.32
20150331,25.19,0.05,52.86
20150401,26.89,0.0,42.23
20150402,28.01,0.0,37.37
20150403,28.28,0.35,42.73
20150404,25.88,0.82,48.03
20150405,24.83,0.35,52.44
20150406,25.87,0.73,42.06
20150407,23.98,3.27,46.88
20150408,25.78,0.0,39.48
20150409,26.66,0.0,37.01
20150410,28.14,0.0,32.46
20150411,28.97,0.11,34.3
20150412,26.41,5.3,51.67
20150413,22.19,1.19,76.68
20150414,24.07,0.42,62.74
20150415,25.35,0.1,56.78
20150416,27.28,0.0,49.82
20150417,29.9,0.0,38.52
20150418,31.84,0.0,34.43
20150419,32.81,0.0,31.45
20150420,33.34,0.0,28.62
20150421,31.67,0.0,26.35
20150422,31.53,0.0,27.08
20150423,31.7,0.0,24.5
20150424,32.29,0.0,23.75
20150425,32.83,0.0,20.76
20150426,31.29,0.0,32.15
20150427,32.32,0.0,29.68
20150428,33.48,0.0,26.28
20150429,32.72,0.0,30.22
20150430,34.29,0.0,23.97
20150501,32.36,0.0,15.55
20150502,32.12,0.0,24.11
20150503,32.95,0.0,20.64
20150504,33.61,0.0,17.39
20150505,34.22,0.0,15.34
20150506,35.47,0.0,12.16
20150507,35.58,0.0,12.72
20150508,35.91,0.0,14.5
20150509,36.16,0.0,17.25
20150510,36.06,0.0,16.52
20150511,36.42,0.0,18.5
20150512,35.96,0.83,22.83
20150513,33.93,5.92,37.59
20150514,33.61,0.12,33.39
