,T2M,Rain,Humidity
20150101,16.25,20.83,78.99
20150102,16.69,5.42,88.04
20150103,16.8,1.92,90.78
20150104,16.12,0.66,78.02
20150105,12.93,0.0,61.96
20150106,14.01,0.0,51.7
20150107,14.79,0.0,56.07
20150108,13.99,0.0,57.84
20150109,12.77,0.0,51.51
20150110,13.47,0.0,42.71
20150111,13.97,0.0,40.15
20150112,13.07,0.0,46.01
20150113,12.38,0.0,50.68
20150114,14.57,0.0,46.63
20150115,14.57,0.0,48.99
20150116,13.4,0.0,57.14
20150117,12.45,0.0,54.73
20150118,13.11,0.0,50.57
20150119,12.56,0.0,50.12
20150120,13.23,0.0,45.81
20150121,15.45,0.0,49.28
20150122,17.62,0.17,53.88
20150123,16.85,0.72,74.32
20150124,16.73,0.02,70.88
20150125,18.25,0.0,59.12
20150126,18.57,1.4,65.77
20150127,17.58,2.74,77.38
20150128,16.79,4.09,76.19
20150129,15.73,4.98,68.85
20150130,12.9,4.05,47.42
20150131,13.79,0.0,37.1
20150201,15.69,0.0,38.61
20150202,17.27,0.0,43.6
20150203,20.37,0.0,40.41
20150204,18.22,0.4,57.2
20150205,16.55,0.0,47.69
20150206,17.36,0.0,43.42
20150207,18.95,0.0,49.54
20150208,19.19,1.91,57.74
20150209,17.59,0.64,69.87
20150210,18.37,0.0,50.42
20150211,18.32,3.81,55.88
20150212,18.34,0.31,66.53
20150213,17.91,0.0,51.35
20150214,19.27,0.0,40.9
20150215,20.32,0.0,45.73
20150216,20.98,0.0,42.43
20150217,21.6,0.0,41.56
20150218,21.51,0.0,38.8
20150219,21.59,0.0,37.27
20150220,23.1,0.0,32.01
20150221,23.15,0.0,34.06
20150222,22.17,0.0,38.78
20150223,23.01,0.0,35.17
20150224,23.96,0.0,31.77
20150225,25.0,0.0,30.27
20150226,23.58,0.0,36.69
20150227,24.33,0.2,41.0
20150228,24.29,5.04,45.82
20150301,22.94,3.05,61.72
20150302,19.72,17.75,77.72
20150303,19.63,2.75,66.38
20150304,17.71,0.01,53.0
20150305,18.98,0.0,43.2
20150306,20.26,0.0,41.31
20150307,21.62,0.0,42.04
20150308,23.12,0.0,43.06
20150309,24.15,0.05,47.21
