,T2M,Rain,Humidity
20150101,16.56,22.54,80.34
20150102,17.19,6.73,89.24
20150103,17.68,3.05,88.76
20150104,16.09,0.55,81.16
20150105,13.31,0.0,60.43
20150106,14.32,0.0,49.92
20150107,15.19,0.0,54.39
20150108,14.73,0.0,56.01
20150109,12.68,0.0,53.13
20150110,13.23,0.0,43.12
20150111,14.47,0.0,37.09
20150112,13.39,0.0,44.25
20150113,12.81,0.0,48.38
20150114,14.95,0.0,47.29
20150115,14.71,0.0,52.29
20150116,13.91,0.0,54.68
20150117,13.0,0.0,52.83
20150118,13.19,0.0,51.29
20150119,13.03,0.0,48.29
20150120,13.27,0.0,45.57
20150121,15.23,0.0,46.11
20150122,17.86,0.19,48.91
20150123,16.98,1.12,71.83
20150124,16.96,0.05,70.74
20150125,18.18,0.01,58.34
20150126,18.41,1.29,65.05
20150127,17.95,2.88,75.36
20150128,17.19,2.0,74.76
20150129,16.24,5.73,69.1
20150130,13.31,2.34,47.97
20150131,13.79,0.0,36.66
20150201,16.09,0.0,37.0
20150202,17.38,0.0,42.83
20150203,19.88,0.0,41.93
20150204,18.61,0.6,53.33
20150205,16.94,0.0,45.74
20150206,17.8,0.0,40.37
20150207,19.36,0.0,46.44
20150208,19.37,2.35,56.83
20150209,17.76,0.84,68.81
20150210,18.94,0.0,47.74
20150211,18.89,4.22,52.96
20150212,18.79,0.33,64.11
20150213,18.25,0.0,51.0
20150214,19.65,0.0,39.13
20150215,20.75,0.0,45.07
20150216,21.12,0.0,43.16
20150217,21.73,0.0,45.19
20150218,21.69,0.0,40.96
20150219,21.62,0.0,38.84
20150220,23.18,0.0,33.13
20150221,23.34,0.0,36.18
20150222,22.29,0.0,40.33
20150223,23.09,0.0,37.51
20150224,24.06,0.0,33.71
20150225,24.56,0.0,34.91
20150226,23.87,0.0,38.61
20150227,24.09,0.11,45.75
20150228,24.42,3.26,45.92
20150301,23.79,8.53,60.04
20150302,20.03,19.85,76.97
20150303,20.15,2.44,65.43
20150304,18.28,0.04,51.24
20150305,18.87,0.0,43.66
20150306,20.06,0.0,41.02
20150307,21.7,0.0,40.99
20150308,23.31,0.0,42.52
20150309,24.43,0.04,46.0
20150310,22.67,0.05,47.51
20150311,21.76,0.0,33.56
20150312,24.01,0.0,35.02
20150313,24.85,0.0,40.92
20150314,24.43,2.02,51.64
20150315,24.01,2.57,58.68
20150316,23.53,3.45,56.94
20150317,23.61,5.6,58.79
20150318,23.05,0.0,47.75
20150319,21.83,0.0,40.7
20150320,23.11,0.0,34.81
20150321,24.08,0.0,30.61
20150322,25.88,0.0,38.09
20150323,26.56,0.0,40.76
20150324,26.67,0.0,38.5
20150325,27.82,0.0,33.84
20150326,28.25,0.0,34.86
